Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1108511.7168426514,4237.1216,4189.7275,4121.2124,4398.879,4231.4546,4541.061,4370.5454,4237.636,4455.0303,3726.6062,4406.091,4206.727,4236.091,4103.697
1108520.3521251678,4235.0605,4188.1816,4117.091,4391.1514,4220.121,4541.061,4366.4243,4231.4546,4448.8486,3723.5154,4400.9395,4204.152,4233.515,4097.515
1108535.185098648,4235.5757,4186.6367,4119.667,4392.697,4220.121,4537.4546,4369.5156,4231.4546,4446.273,3721.9697,4401.9697,4204.6665,4236.6064,4094.9397
1108535.4626178741,4235.0605,4187.152,4119.152,4394.758,4220.121,4529.7275,4370.5454,4230.9395,4448.8486,3722.485,4401.9697,4203.6367,4236.091,4096.4854
1108542.6089763641,4234.5454,4187.667,4118.1216,4392.697,4219.091,4526.6367,4367.4546,4228.879,4448.8486,3723.0005,4399.909,4203.121,4234.5454,4101.121
1108550.6110191345,4242.788,4187.152,4123.273,4394.758,4223.7275,4532.303,4371.061,4231.9697,4448.8486,3725.061,4400.9395,4209.8184,4236.6064,4107.303
1108559.4098567963,4253.0913,4188.1816,4126.879,4399.394,4224.758,4538.485,4378.2725,4233.0,4449.364,3724.5457,4404.546,4217.5454,4236.6064,4108.8486
1108570.461511612,4253.6064,4191.273,4129.4546,4401.9697,4225.273,4540.546,4378.2725,4233.0,4449.364,3725.061,4407.6367,4220.121,4237.1216,4109.879
1108602.6947498322,4252.5757,4191.273,4130.485,4403.0,4233.0,4541.5757,4372.091,4233.0,4449.8794,3729.697,4411.758,4219.606,4239.182,4112.4546
1108603.6167144775,4253.0913,4190.758,4128.4243,4401.9697,4235.0605,4538.485,4369.0005,4224.758,4449.8794,3732.273,4408.152,4218.0605,4239.182,4110.394
1108605.5669784546,4251.031,4191.273,4129.9697,4400.425,4226.303,4534.364,4370.0303,4217.0303,4448.8486,3730.2124,4402.4854,4218.0605,4236.6064,4109.364
1108606.6195964813,4250.0,4191.788,4132.5454,4398.879,4225.273,4537.4546,4369.5156,4220.6367,4448.8486,3729.697,4405.0605,4219.606,4236.6064,4110.909
1108607.6090335846,4252.5757,4190.242,4129.9697,4398.3643,4231.4546,4542.0913,4370.5454,4222.6973,4452.455,3732.273,4409.182,4220.121,4242.788,4111.9395
1108613.620519638,4254.121,4189.7275,4131.5156,4398.879,4233.0,4540.546,4374.6665,4221.1514,4456.061,3733.3032,4409.6973,4220.6367,4248.9697,4113.485
1108629.6882629395,4253.0913,4194.879,4137.6973,4401.9697,4232.485,4539.0,4377.2427,4220.6367,4452.455,3731.2427,4408.152,4221.6665,4246.909,4115.0303
1108632.2791576385,4251.031,4202.0913,4138.727,4404.0303,4234.5454,4541.061,4377.758,4221.1514,4447.303,3728.6667,4407.6367,4220.121,4244.3335,4118.1216
1108637.6547813416,4252.5757,4204.152,4136.6665,4401.9697,4235.5757,4542.6064,4378.7876,4224.2427,4452.9697,3731.2427,4411.758,4220.121,4248.9697,4121.2124
1108652.718782425,4255.667,4198.485,4136.6665,4400.9395,4233.515,4542.6064,4378.2725,4229.909,4462.2427,3736.3943,4414.8486,4222.6973,4251.031,4119.152
1108655.6735038757,4253.0913,4194.3633,4137.182,4401.9697,4234.0303,4541.061,4376.212,4232.485,4461.7275,3737.9397,4415.364,4222.1816,4248.4546,4115.546
1108660.9528064728,4252.5757,4199.0,4138.2124,4404.0303,4234.5454,4541.061,4376.727,4231.9697,4460.182,3737.4246,4414.8486,4219.606,4251.546,4118.1216
1108677.6316165924,4259.788,4203.6367,4141.303,4407.121,4235.5757,4543.636,4377.758,4232.485,4463.273,3739.485,4415.879,4226.303,4253.0913,4122.758
1108678.6468029022,4264.4243,4203.6367,4142.848,4409.6973,4236.091,4544.152,4378.7876,4234.0303,4465.8486,3745.1516,4423.0913,4235.0605,4257.7275,4125.8486
1108685.8081817627,4265.97,4203.121,4143.879,4410.2124,4235.5757,4543.636,4378.7876,4234.5454,4466.364,3751.3335,4429.273,4237.636,4264.9395,4128.4243
1108692.6620006561,4265.4546,4203.121,4144.3945,4408.152,4234.0303,4541.5757,4374.1514,4228.364,4465.8486,3749.273,4422.576,4233.0,4259.788,4125.3335
1108714.7598266602,4258.7573,4200.5454,4140.7876,4405.5757,4230.9395,4540.546,4373.1216,4221.6665,4463.273,3741.5457,4413.8184,4226.303,4250.515,4121.7275
1108716.9818878174,4253.6064,4202.0913,4138.2124,4405.5757,4233.0,4540.546,4376.727,4222.1816,4462.2427,3741.0305,4418.4546,4222.6973,4252.5757,4123.273
1108717.6010608673,4253.6064,4200.5454,4139.758,4405.5757,4235.0605,4541.061,4373.1216,4223.7275,4462.7583,3742.576,4420.515,4221.1514,4255.667,4120.6973
1108724.5826721191,4253.0913,4194.3633,4139.758,4401.4546,4231.9697,4540.546,4367.4546,4226.303,4463.788,3741.5457,4414.3335,4218.0605,4252.0605,4111.9395
1108740.6940460205,4250.515,4191.788,4136.6665,4396.3037,4229.909,4540.546,4369.5156,4231.9697,4464.819,3746.697,4413.8184,4217.0303,4251.031,4108.3335
1108749.250650406,4251.031,4192.3027,4136.6665,4397.8486,4231.4546,4540.546,4371.061,4233.515,4465.8486,3753.9094,4416.394,4219.091,4253.0913,4110.394
1108749.7687339783,4252.0605,4196.9395,4139.758,4403.0,4234.5454,4541.5757,4371.576,4232.485,4466.8794,3755.97,4417.9395,4220.121,4254.121,4110.909
1108763.7326717377,4252.5757,4199.5156,4140.7876,4403.0,4235.5757,4542.0913,4373.1216,4235.5757,4466.8794,3755.97,4417.4243,4219.606,4256.1816,4113.485
1108764.7247314453,4251.546,4195.909,4139.2427,4401.4546,4234.0303,4541.5757,4371.061,4234.5454,4465.3335,3755.4546,4415.364,4219.606,4254.636,4114.0
1108771.6615200043,4251.546,4191.788,4138.727,4400.9395,4231.9697,4541.5757,4369.5156,4233.515,4464.819,3754.4243,4414.3335,4220.6367,4253.0913,4110.909
1108780.2562713623,4251.546,4190.758,4139.2427,4397.8486,4228.364,4541.5757,4372.606,4234.0303,4463.788,3752.3638,4414.3335,4219.606,4252.5757,4110.394
1108796.74077034,4247.4243,4188.6973,4139.2427,4391.1514,4221.6665,4541.061,4367.9697,4226.8184,4461.2124,3742.576,4410.2124,4217.0303,4252.5757,4109.879
1108797.7530956268,4245.364,4187.152,4138.2124,4390.636,4220.121,4540.546,4359.727,4218.576,4454.0005,3736.3943,4404.0303,4216.0,4250.515,4106.788
1108805.655002594,4248.9697,4189.2124,4139.2427,4395.273,4228.879,4541.061,4359.2124,4214.9697,4448.334,3740.5154,4405.0605,4216.5156,4248.4546,4107.303
1108811.6762638092,4250.515,4191.273,4142.848,4399.909,4236.091,4543.1216,4362.8184,4219.091,4454.0005,3742.576,4409.6973,4218.0605,4250.515,4110.394
1108820.5893039703,4249.4854,4191.788,4144.3945,4400.425,4234.5454,4542.0913,4362.8184,4225.788,4458.1216,3738.97,4409.6973,4220.121,4254.121,4113.485
1108827.6901245117,4250.515,4189.2124,4142.3335,4395.273,4232.485,4539.515,4359.727,4226.303,4452.455,3737.9397,4404.0303,4219.606,4251.546,4112.9697
1108835.7138633728,4250.0,4189.2124,4141.303,4392.697,4233.515,4541.061,4362.8184,4226.8184,4454.5156,3741.0305,4402.4854,4218.576,4250.0,4111.4243
1108842.6711559296,4248.9697,4194.3633,4142.848,4399.909,4235.0605,4544.152,4371.576,4236.091,4464.303,3746.697,4409.182,4220.6367,4254.121,4112.4546
1108851.0246276855,4251.546,4194.3633,4143.364,4401.9697,4234.0303,4543.1216,4372.091,4239.182,4466.364,3747.7273,4411.2427,4220.121,4254.636,4112.9697
1108858.6781024933,4248.9697,4189.7275,4139.2427,4394.2427,4233.0,4542.0913,4363.3335,4230.4243,4460.182,3738.97,4403.515,4216.5156,4249.4854,4109.879
1108866.8677806854,4241.7573,4188.6973,4136.6665,4392.697,4233.0,4542.6064,4362.303,4227.3335,4454.0005,3733.818,4398.3643,4215.485,4248.9697,4107.303
1108874.6721744537,4245.879,4191.273,4139.2427,4398.879,4234.5454,4543.1216,4369.5156,4232.485,4453.485,3738.97,4404.0303,4216.5156,4251.031,4110.909
1108882.9317092896,4254.636,4194.879,4143.879,4400.425,4236.6064,4544.152,4371.576,4235.0605,4461.7275,3744.6365,4412.273,4220.121,4252.5757,4117.6064
1108899.1296291351,4253.6064,4201.576,4144.3945,4401.4546,4237.636,4544.667,4369.5156,4234.0303,4467.394,3745.1516,4415.879,4222.1816,4258.2427,4121.7275
1108900.9985923767,4251.031,4205.6973,4145.94,4405.0605,4237.636,4543.636,4372.091,4233.0,4465.3335,3744.1213,4416.394,4219.606,4264.4243,4121.7275
1108906.6112041473,4254.121,4205.1816,4154.182,4409.6973,4238.152,4543.636,4374.6665,4235.5757,4465.3335,3746.182,4419.485,4224.758,4268.031,4123.788
1108914.6106243134,4256.1816,4204.6665,4158.819,4412.788,4239.697,4543.1216,4374.1514,4237.1216,4468.4243,3749.7883,4423.0913,4234.0303,4268.546,4127.909
1108921.679019928,4254.636,4205.6973,4154.182,4408.152,4238.152,4543.1216,4370.5454,4235.0605,4465.8486,3747.2122,4419.485,4228.879,4266.485,4121.7275
