Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
626940.7365322113,4285.5454,4233.0,4190.758,4420.0,4269.5757,4404.0303,4399.909,4308.7275,4495.7275,3732.273,4431.3335,4233.0,4283.485,4138.727
626948.1890201569,4291.7275,4235.5757,4189.7275,4421.031,4269.0605,4403.0,4403.0,4309.2427,4495.7275,3730.7273,4434.4243,4235.5757,4285.5454,4139.758
626956.3603401184,4291.7275,4234.0303,4189.2124,4421.546,4269.0605,4402.4854,4400.9395,4302.546,4487.4854,3730.7273,4432.879,4235.5757,4284.0,4141.8184
626978.2547950745,4283.485,4223.7275,4187.152,4415.364,4268.031,4398.879,4394.2427,4295.3335,4477.182,3723.0005,4420.0,4223.7275,4272.667,4132.5454
626979.1321754456,4281.4243,4221.6665,4185.0913,4412.273,4268.031,4399.909,4392.697,4295.3335,4477.182,3718.879,4416.909,4220.121,4270.6064,4125.8486
626981.1999797821,4288.121,4233.515,4188.1816,4424.1216,4269.5757,4403.515,4395.788,4297.909,4483.364,3728.6667,4427.7275,4233.0,4282.97,4135.6367
626988.1489276886,4291.7275,4238.667,4192.3027,4432.879,4271.121,4400.425,4393.727,4297.909,4483.364,3732.273,4429.273,4238.152,4285.5454,4142.848
626995.1593875885,4288.636,4233.0,4190.758,4426.6973,4269.5757,4398.3643,4391.1514,4295.8486,4479.2427,3725.576,4423.6064,4232.485,4279.879,4137.182
627003.2596588135,4284.0,4232.485,4189.2124,4419.485,4268.031,4401.4546,4392.697,4297.394,4479.758,3727.6365,4427.7275,4234.0303,4281.4243,4136.6665
627011.2223625183,4285.5454,4236.091,4191.788,4422.576,4269.0605,4403.0,4394.2427,4301.0,4482.8486,3734.8484,4434.4243,4237.636,4285.5454,4141.303
627019.2484855652,4287.0913,4231.4546,4191.273,4422.061,4268.031,4399.909,4392.697,4297.394,4483.364,3731.2427,4430.8184,4234.0303,4283.485,4137.182
627027.4317264557,4283.485,4226.8184,4187.152,4416.909,4270.0913,4400.425,4390.636,4291.2124,4476.152,3724.5457,4424.6367,4231.9697,4279.879,4129.9697
627041.095495224,4286.0605,4231.9697,4188.6973,4421.031,4275.758,4402.4854,4391.6665,4294.303,4478.2124,3731.7576,4427.7275,4233.0,4280.394,4133.576
627044.9800491333,4289.152,4237.636,4192.3027,4425.667,4273.697,4400.9395,4394.2427,4302.546,4489.031,3739.485,4434.4243,4235.5757,4285.5454,4140.273
627055.2141666412,4285.5454,4230.9395,4190.242,4419.485,4266.485,4398.879,4392.697,4300.485,4488.5156,3734.8484,4432.879,4236.091,4285.031,4138.727
627059.4215393066,4282.4546,4220.121,4185.6064,4411.2427,4265.4546,4395.788,4388.061,4292.2427,4478.7275,3728.6667,4427.7275,4227.8486,4280.394,4132.031
627067.3983097076,4284.0,4219.091,4184.0605,4412.788,4265.97,4393.212,4388.061,4293.273,4479.758,3730.2124,4429.788,4223.7275,4279.364,4131.5156
627075.7219791412,4285.5454,4229.909,4187.152,4419.485,4265.97,4397.3335,4392.697,4299.9697,4484.909,3732.7878,4432.364,4232.485,4282.4546,4137.182
627082.3752880096,4284.0,4234.5454,4189.7275,4419.485,4268.546,4401.9697,4390.636,4298.9395,4481.303,3732.273,4428.2427,4236.091,4282.97,4139.2427
627090.4731750488,4281.4243,4224.758,4188.1816,4415.364,4268.031,4393.727,4384.4546,4292.758,4479.2427,3730.2124,4424.1216,4228.879,4280.394,4134.0913
627098.1512069702,4281.4243,4225.788,4187.152,4414.8486,4265.97,4390.636,4387.0303,4293.273,4480.273,3730.2124,4429.273,4229.394,4281.9395,4133.061
