Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
680341,-529.719329976925,-532.4688007178742,-534.8757945132777,-536.8225397914333,-534.9712430592485,-535.8717736041239,-522.0669162387086,15416.549597929288,12204.59610889627,1646.6781269825367,-12347.041498999102,-4754.403541546233,-4189.965708620383,3371.8247908038384,9713.808349342564,-4717.205785619465
680342,3216.2401539097445,3208.0242716366465,3196.390548778075,3197.650105173512,3199.1791506638674,3199.196494419406,3238.0950979942536,47541.93726790632,39453.41019933687,-3972.5735869722957,-45694.72572799269,-66212.32212905864,-66822.50218652553,-2884.492342350086,34274.98902640163,-67363.28210249654
680343,5558.747899257192,5547.1757997187015,5529.8720177228115,5533.278943910685,5534.852371656545,5535.892561985769,5589.33198134744,68721.8034752055,54226.12964967619,-5445.557251741769,-61749.79994238338,-87736.35130063849,-88469.11941550247,-3090.175543028627,48321.733491243234,-88977.39375858329
680344,5606.730792871271,5595.618028572,5577.679968089418,5581.4124230483685,5583.4926561468565,5585.128439173479,5638.272269316386,70062.10327785398,53021.72624553037,-4068.7361285714433,-58797.90545372927,-76400.93558682501,-76716.91278635089,-509.1622097906725,48044.60013411018,-77171.62248769762
680345,4374.415156877292,4365.982239176356,4350.107218900401,4352.895631738755,4355.553913374622,4357.212159341869,4403.3297088047475,58992.147751326665,45931.078656396945,-3805.2058426565122,-51576.36031601338,-69022.98523565501,-69444.2263554484,-1255.5462622032694,41468.06121999709,-69866.40001512636
680346,3906.95733792452,3899.7992562612803,3884.9035868378423,3887.1748114057223,3889.8775524932694,3891.808765220089,3935.8390561779556,54302.536543455186,44688.19330945389,-4985.356368049814,-51752.943339319434,-76630.35757278123,-77487.7665425115,-3809.2758231628613,39639.78023136557,-77894.030978698
680347,4477.734538763723,4469.456716302063,4454.162391968923,4457.200135181787,4459.421290668609,4462.298418552606,4508.833446820545,59938.463930171085,47677.188015120824,-4810.271086348443,-54208.2269708667,-77300.55937169673,-78006.78402883856,-2846.4263530404123,42426.59088980241,-78402.65013725878
680348,4590.080732195909,4580.2394072016195,4565.919837933765,4570.037528411485,4572.087804854402,4575.6961816042,4620.655883584321,62097.805895114056,46509.063915440995,-3164.0825144273676,-50797.080134879245,-64219.735026426904,-64357.67761465363,239.30360053326763,42090.107142526205,-64773.74856763421
680349,3870.0531659852345,3859.271538292144,3847.5041381556703,3851.942360148355,3854.7863143437403,3857.956301553141,3897.3640309906727,55853.95839401052,42429.758446680025,-2937.0354771671846,-46470.37743276366,-59970.884764821574,-60112.28856862872,-212.860798989962,38412.92360479559,-60591.77934688606
680350,3621.3155788474915,3609.6225514389166,3599.021960969395,3603.162061655438,3607.4787181467823,3609.260847591424,3648.131469773661,53112.58305748824,43039.1637568437,-4440.365525551202,-48930.57596065506,-72433.29196509521,-73112.88048739369,-3399.359258070217,38215.545990733226,-73650.66806873673
680351,4209.602202455244,4197.624278228706,4186.141103496303,4189.464804747833,4195.20914692477,4195.624773237512,4240.104230886429,58814.40965015422,46847.69905585113,-4610.615100599654,-52794.97221834954,-77548.50270064373,-78289.89002881863,-3332.6694169775037,41506.34904903402,-78820.63893312417
680352,4336.061765201339,4326.174451244795,4314.4307766797465,4315.8604335435775,4322.555894372816,4322.399531562231,4369.223633597422,61336.56904447428,45736.15570670238,-2715.4830457472563,-49288.34158619441,-63631.762694070734,-63842.033787433764,30.312051603545967,41222.61849847283,-64313.97025106813
680353,3559.0384473628947,3552.967956838501,3542.3702377405634,3541.4076012382984,3548.284895366214,3548.6772723513823,3591.1191058774293,55030.82044488664,40752.86700165166,-1908.0424010848824,-43405.84476173435,-54500.324194866356,-54564.71388377352,585.0540070132911,36998.56185978369,-54995.4254156894
680354,3198.203644604986,3194.635756929383,3184.155387313819,3182.206620049705,3188.159760942958,3189.991218867463,3229.4623177730514,51436.557787253005,40683.678076756216,-3535.7320610267293,-45252.96645432917,-66137.70893612714,-66681.61954999689,-2650.6629798158933,36285.130322015975,-67111.9613016644
680355,3828.3125868617294,3824.9465754582716,3812.9178866923367,3811.8099386202284,3816.180183203888,3819.2649437293962,3861.615731455178,57320.37263892363,45355.913180090625,-4667.559933937131,-50871.04042343991,-76373.12097598659,-77083.02064688402,-3696.440171892437,40159.35328734663,-77514.09773247137
680356,4119.944315380927,4116.716208541826,4104.153106364649,4103.959131602484,4107.472265210167,4110.387399409586,4154.440680624337,61243.923556117894,45350.29218117799,-3477.330437416354,-48904.59800132,-65026.08204242259,-65244.25144773429,-658.5439871375875,40785.017517512446,-65655.6645776715
680357,3321.3042580953147,3319.2532467978067,3308.0350133685292,3307.8883425172244,3311.859698945811,3313.184995269277,3353.4782570462357,54890.16762559041,39527.976178120036,-2564.057689428599,-41680.169236819755,-51263.72267824385,-51268.97022906281,823.4344839127313,35996.04351752259,-51658.97373344364
680358,2742.8532292474215,2740.8185756939192,2729.9684252194293,2730.1123630136062,2734.6627303644977,2734.2482031453223,2772.572305696559,49290.44711860897,37681.421826895385,-4065.794523205501,-41414.09368168405,-58738.09006195893,-59318.63651634294,-1922.6036671860857,33793.38539759454,-59681.56729122829
680359,3356.4531718517983,3351.9283137335324,3339.180221509749,3340.4826352682303,3344.422228800173,3343.0572712801186,3385.992183956745,54628.27749671807,42619.664265047846,-5625.180876682261,-47816.140437337526,-72320.20977968883,-73367.4717652722,-3707.3889026130746,37732.611773773766,-73677.22896247442
680360,3933.065186821521,3926.02300372764,3912.2057594105836,3914.196675118874,3916.627337577249,3914.8311205505443,3961.23443204309,60809.95513770906,44683.611160802626,-4687.273784287724,-48356.143237179174,-66090.3027075197,-66765.78488008525,-1198.6774993336098,40077.755865970175,-67036.28994007973
680361,3265.2719993543697,3258.138996442599,3246.461600281217,3247.4839263089116,3248.660648984991,3246.4997513098597,3288.9437185014804,55684.51122002344,39309.94927848718,-3163.0259054931457,-41084.48784079724,-50716.257820035295,-50888.15414879887,940.2003695986549,35819.27853600082,-51196.04521699314
680362,2418.395848445216,2412.1920329940485,2403.336632509928,2402.6301770582836,2403.308780173924,2401.1622798251947,2439.5453155110645,47699.978978972606,35482.8614129325,-3859.5352926834075,-38177.18981849565,-53098.38823258478,-53440.18919889237,-1165.3074561424621,31957.075092394734,-53837.11073530111
680363,2804.2504481671044,2797.526391856756,2788.9405565180077,2787.329879422372,2787.9727897943317,2786.647243080121,2828.6578050954386,50644.93100231392,39362.25468202171,-5363.5341687105265,-43728.20305301815,-66875.24770890443,-67532.6028226839,-3428.5626155879863,34790.335804190196,-67984.1286684561
680364,3590.191330271633,3582.13757890301,3572.4647040250475,3570.936416094229,3571.6706166153435,3571.6632680878065,3618.4647688316754,58246.653380188145,43120.79402967766,-4810.27248965695,-46587.88930879619,-65265.20098703775,-65623.09121359306,-1573.0065021721189,38459.46473288919,-66065.33233047157
680365,3227.0024490041496,3218.9331256124337,3209.565001961999,3208.4787882217697,3209.334940300624,3210.3799595099667,3253.63958359393,55647.716573230195,39393.652326460506,-3221.611266276608,-40999.09065567423,-50936.26485723021,-50854.53670506459,864.649292874017,35740.728781857455,-51273.731687832624
680366,2279.875230952229,2272.829402002146,2264.182574145855,2264.112973885337,2264.795640901083,2266.2060993646346,2302.452067147953,46683.73289378217,34572.64162978598,-3463.71588719354,-36710.93016735672,-49884.43936244598,-49993.44663732486,-712.0418828697899,31138.28830252314,-50424.49048747039
680367,2356.2323022467754,2349.646533572555,2339.2958968213015,2341.1337395222927,2340.9706717773142,2342.150701383518,2378.83278293895,46663.20644277649,36728.95322615829,-4820.703466923618,-40488.747983675334,-62325.38309250263,-62825.555945565706,-3267.685435423643,32362.780837055157,-63294.60769528495
680368,3155.476459016598,3149.25175562594,3135.6560919277945,3139.120043096508,3137.9619416954365,3138.5187293603285,3181.124824557798,54275.115351801294,40930.22439815451,-4423.59433730803,-43900.45510104477,-63159.86399878272,-63443.30440587237,-1894.136215689285,36277.421411897754,-63933.89053298537
680369,3084.2171694530816,3079.540743481013,3064.969641129823,3068.2011862275676,3066.927216207003,3066.847673297827,3110.2905552655866,54526.256889821816,38858.61497774934,-2751.04182138776,-39597.18882444431,-49914.88228246366,-49754.88010870413,871.3835662831764,35104.36448551603,-50216.31703815642
680370,2217.820065158304,2214.5922419617937,2201.953934882783,2203.415286429121,2202.9821452047236,2203.0204349746527,2241.863134530605,46636.01136694896,34196.384625976614,-2761.8704956210368,-34960.0092707907,-47061.038497698195,-47105.851657990446,-205.4622980291477,30810.556261776474,-47485.22427209317
680371,2097.4134130354437,2093.1799653058897,2082.365361627797,2082.3768853784577,2082.7242189852986,2083.9492839920167,2121.9559041061284,44956.64435389952,35226.54302604861,-4288.029327366964,-37790.780546809074,-59098.12409730335,-59683.90490817136,-3144.2957580064913,30972.70960147567,-59969.06642055983
680372,2829.1481372952894,2822.2740931345465,2812.1749534614482,2812.1729316565284,2812.35467861889,2814.827750747138,2856.9522912431594,51949.25541583731,39178.87051009407,-4305.103134982731,-41582.490741028494,-61826.443368969136,-62307.48285173472,-2403.1573159440654,34476.22647663498,-62551.6036990939
680373,2938.741087102254,2930.751477441848,2922.060896896506,2923.1175282979293,2922.282405533729,2924.8591029263607,2967.6949293936264,54009.887958299805,37803.47889787034,-2621.282172846243,-38142.396926074354,-48540.878739018895,-48417.63368435974,685.7483530693326,33968.64842754173,-48709.359119841414
680374,2180.0152398635264,2172.8617262981816,2165.9059823471353,2168.3861418331694,2166.5024812484007,2168.300512857004,2206.9239761265726,47333.71189978551,33189.35445831535,-2241.206660445781,-33290.12064900782,-43374.905246263355,-43156.40564018389,355.22690825073096,29953.20887793921,-43551.58671358208
680375,1972.8237676198569,1965.6127864017647,1957.980639019379,1961.9527660010367,1959.904442024992,1960.9731391167227,1998.6267830694387,44824.26369390797,33715.51433474694,-3653.72688644889,-35682.575594085996,-55743.40671330381,-55971.59474108643,-2757.3408616826464,29694.750731762477,-56449.66187190214
680376,2686.968429750419,2677.8168623144425,2667.3468547604116,2672.3797834189672,2671.5180579363696,2672.033539100901,2713.746858047589,51419.467490164185,37946.96458605415,-3823.7764868150152,-40052.5123567491,-61750.15037344456,-62027.90377548136,-2719.828414530465,33240.60451310783,-62516.39824868455
680377,2943.1451027468174,2932.7706974353614,2921.128404203504,2925.800176792541,2926.9952943067083,2927.1214009045134,2969.4233114121516,54765.361138504115,37228.71491296681,-1899.8849961319345,-36996.63156544407,-48664.07786143679,-48474.258524551246,606.7972971501232,33272.79475823359,-48923.32822192772
680378,2249.83866754887,2240.4745155502515,2230.694118398058,2233.5817251900544,2236.312543941377,2236.818300423859,2273.943280683934,48788.14729106397,32233.271289718694,-946.0226761722424,-31061.140703720223,-39467.64760228798,-39196.666190670665,1234.7396841300965,29117.639768973608,-39622.51743148346
680379,1961.511875369379,1953.1334928423698,1945.0792099995142,1946.5262365084486,1949.0750428137849,1950.9628000938746,1986.1876137371378,45360.730571636224,31968.31207147625,-2334.095503350375,-32618.39964924132,-50510.904558263,-50735.251835229574,-1828.1986582753261,28222.223785018105,-51174.289831252965
680380,2710.7328326119905,2701.347614034101,2692.8988828191386,2694.459625182036,2695.594110878865,2698.8218312134404,2738.856461161631,51770.74715964882,36719.24334693185,-3190.8094735906757,-38274.78499066366,-60655.06801027284,-61035.395166551374,-2726.0782809652387,32036.97264265221,-61474.418528025824
680381,3165.1137219787634,3154.3204990129,3145.716189491406,3147.8586896232637,3148.045527127596,3151.1068925631216,3193.727125930156,56560.923168631154,37131.49151704996,-1698.4766176822916,-36780.16974325708,-50057.685321929996,-49946.69443308856,353.9142183899299,32979.976762921404,-50324.42146020278
680382,2512.2550375161427,2501.243333555637,2494.513766572053,2496.5842192821647,2496.8174826590744,2498.0043204435,2536.382386480198,50895.214072316456,31656.65193079638,-436.5154727047694,-29978.619123505618,-37073.55576251702,-36745.677625699194,1833.333519644703,28590.06988667153,-37003.274864749794
680383,2024.3054139640271,2012.7236398479633,2007.6079168927056,2009.674371732172,2009.9668389172127,2009.040284913672,2044.6643955948823,45470.87823899227,29751.407683572874,-1563.6290703809834,-29672.410077404205,-44475.408832134795,-44673.560861577906,-850.3279321537547,26410.43869791182,-44798.85721761331
680384,2707.228397100121,2693.750035829081,2687.875115253674,2690.5120917438703,2690.5859156479105,2688.9131934724405,2728.640774475832,50750.818896916964,34416.67441220902,-2810.95977607072,-35795.90103656203,-57402.57783337485,-57989.53713365947,-2511.085488484446,30078.675080420813,-58051.06304050972
680385,3396.418016110022,3382.393036839989,3375.0693841512743,3377.7741666355414,3378.3031598468406,3377.27647848812,3420.0248860186953,57194.70826784166,36467.092877173185,-1720.8540234024504,-36391.659206046,-51007.20344062842,-51209.229178138135,65.65575135252459,32391.018039821767,-51331.72083292866
680386,2898.884477587606,2887.7313778829875,2880.103945153177,2881.87856949588,2883.799913109703,2883.7130109178406,2922.0142203348614,52807.79679581278,31456.25422015198,-198.18199421180128,-29637.370486530835,-36308.06093014581,-36114.119105908714,2163.6881645058224,28527.206362083594,-36366.35354552834
680387,2224.3120406161233,2216.8235156507735,2208.5456124259554,2209.626027362801,2212.649581709149,2213.2935752535777,2247.245633793059,45598.306205665605,27948.621376293377,-922.9294325603283,-27168.79961184543,-39273.53616891724,-39413.68630228256,18.36752525663185,25038.69912211295,-39732.34368099741
680388,2727.738913615816,2721.4538123919892,2710.617607052841,2712.1448696882635,2714.941247915324,2716.222301896845,2754.149748730971,48875.71573240478,31702.905169244616,-2382.8967242364834,-32596.38251022506,-52676.67849193961,-53259.781958881234,-2171.569214317196,27787.814667569655,-53518.9328120397
680389,3594.211251817606,3587.9355262861927,3574.538776861027,3576.9838737373593,3578.543264874809,3580.1609723227957,3624.4255020529,56506.69943372378,35075.78091715177,-1767.100224059799,-35045.88933067734,-50273.40777959066,-50626.77735669348,-190.99707869512784,31116.211087863157,-50769.021229461476
680390,3344.5146028453173,3339.667455385261,3326.0519425979187,3329.241583565984,3329.2604607211115,3330.8109832599557,3374.178425826956,54213.36631234159,31237.283067302447,-207.1832458368275,-29422.54552638794,-35895.57223430702,-35855.57315870069,2295.1629975742426,28346.369763458257,-35928.35361524447
680391,2566.58858089185,2563.1322807966826,2550.3612209929593,2554.6135023646602,2552.9943845270573,2554.685262022047,2593.47433537358,45982.492202040616,26706.006791190754,-560.9120681950791,-25579.13110422423,-35577.815392280725,-35793.716904928,705.7199320120282,24105.63764972676,-35860.73219973888
680392,2805.9380874231733,2800.89189041722,2787.6283201741985,2793.5077777951055,2790.391439138704,2792.8921042292122,2832.6759995826137,46541.25803933598,29076.77687336437,-2007.0844685503341,-29723.034831565677,-48434.246443612516,-49151.18798707471,-1806.5375713307915,25636.72533005586,-49193.22370020636
680393,3702.0214526653504,3693.7014700392347,3679.7349880652405,3686.6873540138577,3682.8831298116816,3686.147578183715,3730.0576928644086,54051.29869301946,33015.957618030414,-1644.9842662022145,-33074.832314106934,-48797.354469359314,-49432.156448532,-315.68496274731615,29387.63519426147,-49363.44293527154
680394,3690.443697556011,3680.893537429085,3668.767759824056,3675.2030537301016,3671.847310088737,3674.7697697348694,3716.837573657791,53792.08656204431,30447.480736474656,-28.02103146139295,-28627.750801060476,-34915.765825560295,-35184.31343099444,2545.284847864706,27792.451927040813,-34977.30451769555
680395,2920.170488907329,2911.7079395406618,2902.910985964395,2908.1920226173884,2905.725558876467,2907.4725769109464,2943.3375814203564,45644.955485633036,25583.900290748294,-151.1274456125185,-24197.854774939362,-32140.875459337098,-32552.146576739742,1491.6525371833382,23379.14104197775,-32300.33630504776
680396,2943.1019899490752,2935.372442594953,2927.693716113804,2932.8822308166273,2930.7828798833666,2931.773889765297,2966.4480905226483,44071.02999249394,26797.77474680002,-1777.066972187796,-27442.623261445842,-44832.21653288498,-45615.53702471012,-1447.3366493753615,23857.45904562898,-45429.08430672894
