Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
976073.0040073395,4189.7275,4219.091,4117.091,4404.546,4251.031,4547.2427,4380.333,4247.9395,4464.819,3749.273,4417.9395,4222.1816,4265.4546,4095.9697
976073.8790035248,4189.7275,4220.6367,4121.2124,4405.5757,4251.031,4556.515,4386.0005,4245.879,4462.7583,3747.2122,4419.485,4222.1816,4265.97,4098.0303
976075.953245163,4187.667,4220.121,4122.758,4409.182,4249.4854,4560.121,4387.0303,4248.9697,4462.7583,3747.7273,4422.576,4223.7275,4265.97,4096.4854
976085.0439071655,4187.667,4220.121,4120.6973,4409.182,4248.9697,4556.515,4386.515,4252.0605,4469.4546,3753.394,4423.6064,4225.273,4267.0,4097.0
976094.9635505676,4194.879,4220.6367,4122.2427,4412.273,4248.9697,4555.4854,4386.515,4252.5757,4478.2124,3755.97,4425.152,4224.758,4268.031,4101.121
976099.9224185944,4197.97,4219.606,4126.879,4417.4243,4243.303,4558.5757,4381.8794,4252.5757,4473.061,3749.273,4422.576,4221.6665,4266.485,4099.5757
976107.907295227,4191.273,4220.6367,4122.2427,4413.303,4237.1216,4556.0,4377.758,4247.9395,4463.788,3745.1516,4417.4243,4220.6367,4261.3335,4095.4546
976115.953207016,4187.152,4220.6367,4111.9395,4403.0,4236.091,4547.2427,4377.758,4238.667,4464.303,3745.6667,4414.8486,4219.606,4255.152,4091.3335
976123.27003479,4186.6367,4217.5454,4110.394,4400.425,4234.5454,4543.1216,4374.6665,4234.5454,4466.364,3742.576,4413.8184,4216.0,4250.0,4085.667
976135.9887123108,4186.121,4216.0,4116.5757,4407.6367,4234.0303,4546.2124,4373.1216,4235.5757,4458.6367,3737.4246,4408.667,4216.5156,4251.546,4086.697
976138.9379501343,4187.152,4218.0605,4118.6367,4408.667,4235.0605,4545.697,4376.212,4235.0605,4448.334,3737.9397,4404.546,4219.091,4254.636,4089.788
976146.947145462,4187.152,4218.0605,4112.4546,4403.0,4234.0303,4542.6064,4377.2427,4234.0303,4449.364,3740.5154,4410.2124,4218.0605,4252.5757,4088.7576
976155.9309959412,4186.6367,4218.0605,4112.4546,4405.0605,4235.0605,4543.636,4375.6973,4236.091,4460.182,3738.97,4417.4243,4218.576,4252.5757,4091.3335
