Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1203618,-1202.633771707874,-1200.8063298363963,-1194.2576973100206,-1195.259295839736,-1236.788962725397,-56879.32390410894,-71505.90454957503,-10798.965124105107,6350.360276042713,-1174.2433412273554,-1151.195915880093,-86751.12227083497,-100934.79919006224,-1162.6854196420397,-105881.23439722069,-1154.4063330580163
1203619,-2713.0929863639667,-2710.777956436259,-2704.953140721026,-2709.6030768323735,-2720.3799624626245,-49952.37342458471,-42071.89586573992,-24830.92599784661,30117.105993986563,-2688.967650740261,-2660.638311191059,-67582.42789374104,-103079.74777291322,-2674.5940828580315,-115933.42160675405,-2658.7337826017592
1203620,-3315.354714499374,-3312.629534190519,-3303.1292625315273,-3310.7399922479854,-3325.365879088864,-77009.75360650886,-67546.70804016152,-31143.02336718225,40163.661482184536,-3283.295514181036,-3240.9428000176813,-103010.23636373963,-151541.57949133986,-3260.501544276787,-169220.98045123988,-3239.1256224617855
1203621,-3078.1830292677305,-3075.0834779098104,-3062.158815319961,-3071.8108158043974,-3098.809660587486,-100773.54281920475,-98645.02403912148,-29780.846927136845,37100.50837084635,-3036.7393481870986,-2985.2356845097784,-136827.99111615226,-185492.67463214393,-3008.792140287882,-203183.2143566446,-2984.6701010697243
1203622,-2815.364492921709,-2811.9674518722213,-2800.8255220223327,-2811.8596197362112,-2825.2307825050493,-80795.5444999176,-74869.99473091829,-27515.280109154133,33146.35780616242,-2776.5396852161357,-2732.1044744266283,-107089.36887709763,-149106.12328392177,-2754.243449812989,-164265.98722052693,-2728.476799056843
1203623,-2911.5992896875823,-2908.1572804761927,-2899.6625729965226,-2911.703705500192,-2906.1009382668503,-52452.66433905861,-38348.44425497093,-28371.213045107517,34767.894831335536,-2877.134987790489,-2841.4892374219053,-66119.33149316361,-105809.31847136382,-2861.6419114189703,-120042.26681649458,-2833.789906940311
1203624,-2955.289204829357,-2951.7741444785024,-2941.26544359516,-2953.468222606328,-2957.98087563708,-65265.59734692245,-55620.224215358685,-29319.948575618644,36108.9759655447,-2910.523198663831,-2869.740673162245,-86695.37669823768,-129429.41535368351,-2891.9127363751068,-144716.54043022855,-2862.6181399873894
1203625,-2693.1707220503995,-2689.0510559853374,-2675.827956618754,-2686.616145189271,-2711.9519778476865,-92305.20530179076,-92806.4321294959,-27621.045227963077,32800.67834190124,-2632.3634985637973,-2583.501309353972,-127239.13223904585,-170338.8338388487,-2607.494794246897,-185644.2431083769,-2578.7412126379086
1203626,-2544.973260677922,-2540.137602834684,-2529.5123489483567,-2538.074424776727,-2556.6309649741406,-80614.83196895661,-78295.0389488097,-26328.68188039076,30717.0968699836,-2482.739381760831,-2439.1361532009787,-109161.59866334873,-148409.63870998737,-2459.9511226585973,-162166.24313792973,-2432.294267515592
1203627,-2769.57565857378,-2764.889510971476,-2758.6126032390234,-2765.8388807294923,-2763.011340271687,-49890.022564535575,-36708.540574768915,-28160.768644286003,34198.15650298363,-2716.1815181804654,-2682.2351196383042,-63413.412114558014,-101629.6600891266,-2698.6707519732536,-114978.96257043404,-2670.7398664695543
1203628,-2912.7651957393664,-2908.968062069225,-2901.9545431498045,-2908.9777764690853,-2910.5607962704726,-55586.255833503456,-43527.351495073846,-29824.032277668146,36910.43468137257,-2857.7935241190157,-2820.8067741970344,-72779.24569898535,-114235.84116434802,-2837.220905814225,-128891.25755876616,-2808.840627074385
1203629,-2633.661865730217,-2630.189905184795,-2619.623618658491,-2626.8268349873288,-2650.9246653013543,-85330.06916484964,-84370.66426177503,-27980.12367552722,33415.547866475856,-2567.996738326267,-2522.039242754377,-117435.10014016643,-159301.33602424464,-2540.4311474979227,-174271.0848773796,-2513.5763701173883
1203630,-2370.8383871474957,-2366.1457338295077,-2356.4346862545353,-2364.380903257178,-2387.1508608919057,-82066.65424370038,-81587.09395742079,-25748.122745787907,29853.68958623951,-2306.3300993991425,-2263.2839358762685,-112005.76912043002,-149556.97620604627,-2280.467546238845,-163082.48940111068,-2255.8934214398723
1203631,-2552.1702222677195,-2544.941759792644,-2539.937275900181,-2549.3782341051037,-2548.8734314717553,-50516.55789138435,-38784.9837464411,-27134.66393540576,32946.50105296842,-2502.7169347777262,-2470.174251909525,-64722.03757450547,-100526.66549109065,-2484.6376816945676,-113562.2182218069,-2460.447898091722
