Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1364756,-10494.115669136627,-10499.010561759866,-10478.884268123395,-10495.44363162294,-10502.23328646668,10999.740076397116,4247.723084294616,-68602.19336245718,19623.633051202556,-10499.92144059265,-10472.06653395301,4537.765497678139,1662.8205415098882,-10491.70686130886,-407.49020727964717,-10485.184274787669
1364757,-10820.501960475482,-10824.465451785858,-10803.598240221025,-10822.72179546231,-10821.493236898503,-11706.461211803044,-25966.45286411834,-71789.15764935999,24287.077157720298,-10828.12362361679,-10791.915546595066,-25423.823367273464,-37389.83082884423,-10812.748318276117,-44781.742004285305,-10806.116252411179
1364758,-10896.37694995904,-10899.881125975335,-10879.815360278313,-10900.224630133183,-10892.756250601451,-33079.76428860957,-52966.07907523687,-72746.8230073445,25753.432680218466,-10908.552502307346,-10866.224918280643,-52552.05566250165,-69166.0817337719,-10887.63087356318,-79279.10335893749,-10881.5324604751
1364759,-10900.749490746075,-10903.964936813614,-10884.679782592024,-10905.76381763248,-10897.337363409752,-38008.09609217028,-58576.166489297684,-72505.59220539808,24788.103587055342,-10923.82036421054,-10880.721654506367,-58368.47496200806,-74405.8447112331,-10900.911320081454,-84113.33671169689,-10896.046598764484
1364760,-11102.344587903832,-11104.785149745248,-11084.249065201962,-11106.761740964539,-11102.392018096685,-23894.701682787592,-41076.88560978661,-73327.5448483864,24424.848848240028,-11141.192269739566,-11101.541174969057,-40734.646263030765,-54689.18942698609,-11118.647974311854,-63001.44215525573,-11115.112270105315
1364761,-11384.084499610572,-11385.313122239793,-11362.739443071732,-11386.978116103997,-11385.683077616126,-13431.040545194102,-28628.93235891581,-75002.34503308087,25290.774403745432,-11434.895659989608,-11397.25760378006,-28034.06427963301,-41906.34306694617,-11411.426506821643,-49970.357775798024,-11408.808635423073
1364762,-11489.38658629939,-11489.876289858243,-11467.213694396129,-11491.519387752765,-11488.580066431947,-20158.769401687074,-36975.679677290434,-75752.68022269491,25396.226698621664,-11539.952345027343,-11500.877291420442,-36421.85242542364,-51173.28351244724,-11514.374300149755,-59656.8440716743,-11512.124787197416
1364763,-11516.718677084747,-11517.597173463244,-11496.696961530288,-11518.9446558007,-11513.387403121744,-27121.328454602783,-45197.45165662702,-75805.71417846455,24332.927253870417,-11555.102590173618,-11515.2688175078,-44774.78430179962,-58840.80334602254,-11530.256140283429,-66961.2067022144,-11527.750976463212
1364764,-11734.29115113102,-11736.385961248436,-11716.518662856639,-11736.52551317331,-11731.671400848616,-19231.674493550407,-35690.99803725144,-76982.0092749928,24128.242896494237,-11757.32795475257,-11719.276884580817,-35030.33256829764,-47783.83976300589,-11736.486641015033,-55227.43466827019,-11733.218451609304
1364765,-12064.145808692909,-12067.734838130025,-12047.44516387682,-12066.42978635227,-12063.503578395143,-10395.362790531346,-25611.393149664265,-79164.18781203646,25308.641656616113,-12077.326613484835,-12039.548520030268,-24498.53410177181,-37659.513446477176,-12058.932133165057,-45453.14651206234,-12054.990747361147
1364766,-12210.306639711062,-12215.322736087273,-12194.935127189594,-12213.319323009087,-12210.065410708958,-16286.036931025608,-33093.58308662549,-80381.27694486291,25719.538664305757,-12220.821181418447,-12179.900985701366,-31854.403410473176,-46110.4335500624,-12201.031104730962,-54733.826634304205,-12197.045301691789
1364767,-12202.876601281685,-12208.729251374078,-12189.075350251911,-12206.73127702664,-12202.690591645314,-24784.191345386007,-42901.96928901672,-80472.3601236424,24488.978282210377,-12214.381247918362,-12171.25787302953,-41851.71343307468,-55310.8648921924,-12192.881133767472,-63714.37375188754,-12189.395411641439
1364768,-12345.1209711122,-12350.89366433353,-12331.253486893904,-12349.124981593726,-12346.69626818698,-19213.833308741196,-35621.65991821357,-81491.78406865746,23746.022288644708,-12357.641372289345,-12316.038880516422,-34564.73403386614,-46267.62300594374,-12336.6242598234,-53802.73306198156,-12333.66051997209
1364769,-12656.307932228454,-12661.678409296323,-12641.133279487301,-12660.460122658427,-12659.63787478004,-9888.751747840193,-24473.291410872465,-83985.93142974257,24732.547562485335,-12667.922062470265,-12627.68956688936,-23136.958658084866,-35066.732683674774,-12647.266964838975,-42731.03769355561,-12644.289286829735
1364770,-12841.488200264625,-12847.16172226842,-12826.533267485727,-12847.00108697873,-12844.158618318434,-14412.407781473945,-30133.4020829015,-85978.45379340148,25459.492077230632,-12849.242936154937,-12806.931594847632,-28697.38588955174,-42275.149301997226,-12827.281383799931,-50822.59276581561,-12823.762439629769
1364771,-12839.885818508408,-12846.87600562703,-12826.99454142934,-12847.55468706019,-12841.134541139825,-24177.221611524717,-41372.22709426989,-86551.37233705602,24338.210250099874,-12841.431523689647,-12797.265980111035,-40113.978313635365,-53567.39813668888,-12819.261724869788,-61972.7214554773,-12815.506019221608
1364772,-12930.603394895852,-12939.01761311882,-12918.375096489453,-12939.297511701343,-12932.335437042133,-20572.380964850272,-36189.086543424535,-87421.74780677025,23121.415478663283,-12927.283093171687,-12885.423820173979,-34961.4762846295,-46576.59884886509,-12907.80226519966,-53831.354708792656,-12904.626103816212
1364773,-13205.194673011645,-13214.016069033149,-13190.577487387201,-13212.949400506455,-13207.94354335518,-10457.408609646503,-23771.295754743984,-89647.68817926517,23685.294965990688,-13203.459492438436,-13164.28205321673,-22339.346013525537,-33673.68965898564,-13186.075836721539,-40660.57606038008,-13183.65531599752
1364774,-13396.391959817647,-13404.71887571906,-13379.065379781201,-13402.858163357014,-13398.031215277519,-13634.509169955765,-27685.161970800727,-91622.56856806215,24581.513410877225,-13404.137980984911,-13362.664443818889,-26270.062090681327,-39312.44353662626,-13384.70751313938,-47216.795844426975,-13382.508667321901
1364775,-13380.199844254388,-13388.11150558447,-13362.650566906592,-13386.815321730537,-13380.117921757013,-25332.789432259655,-41229.555583617075,-92063.519841945,23727.477726913516,-13400.863876202671,-13354.844409085601,-40169.7333041444,-53619.560756302046,-13377.882045560182,-61721.29805931496,-13375.292792789438
