Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
931805,-6361.102998173566,-6366.90321229337,-6362.0322497920515,-6367.9317526002305,-6364.716786679585,-6366.849330594504,-6368.421142691074,-797.3030294416983,-43763.536363674575,-6595.536412600266,-5802.156411998876,-70766.64476231212,-77429.96482441467,-63107.142053067124,-76528.52276542681,-6342.466935833079
931806,-5693.986383992527,-5702.069765752245,-5698.105126578401,-5700.117238682144,-5698.398385493012,-5703.17599630961,-5702.249209428961,-1309.7950788197722,-44274.51344025691,-5924.699986958224,-5100.268025045942,-140699.886832059,-164729.99719698832,-63422.67811065376,-171359.92139526436,-5654.070314404746
931807,-5155.133948834044,-5164.49918910282,-5161.866187149686,-5160.564185495916,-5160.022152980304,-5165.881043842866,-5163.8364430049605,-1714.086759058329,-46325.42035517941,-5387.362175442153,-4535.565277380005,-180702.57561379945,-211282.95235548296,-63630.73318806533,-220920.44989502936,-5104.098548910515
931808,-4974.250573624107,-4983.065186744923,-4981.765256166678,-4978.661906872283,-4978.542007440074,-4983.827884614134,-4981.982128523226,-1929.9222905068602,-47689.51049182926,-5213.040845097227,-4359.2689981341955,-178018.61770664877,-205636.80928307242,-64875.02677480916,-214006.87595829007,-4929.629343266983
931809,-5114.950660056008,-5121.57865061556,-5121.060078192454,-5118.003718534455,-5117.609724683773,-5121.262107163559,-5120.158847451351,-2020.283448853955,-46366.67017560889,-5359.003995611458,-4519.813297515055,-155350.57284171833,-180207.14082149585,-67581.82506784648,-187091.16882935498,-5081.991887708235
931810,-5205.711707309036,-5209.947725717944,-5209.854616697743,-5207.7196971880985,-5207.046683058136,-5208.258271776969,-5208.284261069671,-2141.4993492834983,-44586.95660198832,-5450.0731570410035,-4612.759184039678,-146451.66680449617,-172620.20844951842,-70221.99690601826,-179810.145329592,-5173.76117438274
931811,-5094.161632837008,-5097.356924742613,-5097.7356108338745,-5096.213033428661,-5095.545880737273,-5094.013887396199,-5095.770674580729,-2322.1565765780906,-44917.17256750434,-5337.078518627837,-4478.320881540389,-151319.1397791669,-177540.61595252727,-71715.1931230961,-184843.87991826062,-5053.528332306428
931812,-5068.812319130871,-5072.581976171854,-5073.33035460035,-5071.796879060407,-5071.009506736076,-5067.479571741293,-5071.440108935336,-2443.4999846988753,-45532.06734587712,-5312.64468182912,-4430.473830755757,-145503.90828744246,-167986.32286090593,-73219.62353753934,-173895.4465407543,-5022.945765495464
931813,-5321.110110712268,-5326.04093512448,-5326.635519745009,-5324.786103015834,-5323.568441713076,-5319.390641512508,-5325.507937041835,-2462.9145482014615,-43531.24293686586,-5566.926493749591,-4682.014382613144,-127506.35424917343,-147985.28235379624,-75936.59930157606,-152964.88933287456,-5278.116275857806
931814,-5625.544345024274,-5631.059043834108,-5630.879492559111,-5628.892575370139,-5627.358982828339,-5623.330985958852,-5630.822098739144,-2476.1567085038246,-40208.9391224353,-5869.658288884938,-4995.819154475794,-118778.31813642151,-141770.8880094844,-78979.47730353501,-147542.46822357492,-5584.358998081438
931815,-5803.5667142702405,-5808.82619084444,-5807.47436915654,-5805.93244842354,-5804.377680975138,-5800.395541091319,-5807.931044959712,-2519.4914472915716,-38518.419166633365,-6041.062067616674,-5166.4423756131055,-120214.12003394435,-144305.5902678204,-81187.57071588418,-150434.5683110045,-5754.996226223569
931816,-6072.579411487811,-6077.711068644607,-6074.930079116104,-6074.647878087009,-6072.603807520078,-6068.635272349013,-6075.10889071089,-2496.609531771037,-37492.506096347875,-6305.542176349531,-5409.116632357949,-109749.48817213802,-129683.94203033713,-83339.05309039168,-134153.24350057362,-6013.972837122765
931817,-6620.634222865556,-6627.06517084164,-6622.601619749285,-6624.391434556454,-6620.655001954567,-6617.352773667748,-6622.591466212551,-2365.843196265796,-33966.59426533822,-6861.42886890641,-5941.8430431360375,-85487.83658563954,-101816.19159114984,-86527.4055034013,-104764.690120746,-6564.934802251592
931818,-7229.51782673641,-7238.761433799775,-7232.50229597907,-7236.562878269054,-7230.598516320564,-7228.610827122745,-7233.1927084098625,-2221.739889671101,-28308.918457757587,-7489.881367829632,-6569.549708069023,-70674.39657001327,-88998.80702327249,-89825.54221995722,-92534.12683626299,-7193.54748300729
931819,-7684.598308661955,-7696.786040216151,-7688.927204393494,-7694.301227831646,-7687.045429204512,-7686.467633682635,-7690.842061514078,-2106.8710419636755,-23538.707445515465,-7961.229588522653,-7062.114869135039,-69158.05620771582,-89852.96824813707,-91847.7975965699,-93988.24969360953,-7668.793217551679
931820,-8212.407195147058,-8226.160660601061,-8217.114886490821,-8222.292611962292,-8215.362161395804,-8215.896169509844,-8219.986826014814,-1910.1409454302584,-19659.20566681044,-8490.98666428514,-7612.9796656515755,-55969.72246372452,-73165.42973714636,-93462.00004666773,-75379.05987063562,-8199.794552026015
931821,-9113.42992400184,-9126.84153232281,-9117.010358621195,-9121.30528068362,-9115.932012871748,-9116.736851025737,-9120.630498815855,-1554.6913894121476,-13860.783521961603,-9387.857016542108,-8511.934609100103,-23240.152724437805,-35160.28180492974,-96579.05333325727,-34671.47778196269,-9090.751393070583
931822,-10260.41965044329,-10272.112808103184,-10261.881905749064,-10265.737894441763,-10262.47004258927,-10261.972453123097,-10266.525823960616,-1133.5111542443956,-6089.702705647151,-10539.27651764608,-9646.886532297922,3702.7866504367153,-7993.532718997723,-101155.5432906645,-7203.561871782784,-10232.757944908113
931823,-11378.446764744931,-11388.26693164762,-11378.175186369524,-11382.127755170712,-11380.866241109516,-11377.566614798758,-11383.741023935268,-741.048314648899,617.0872402224763,-11668.084773777975,-10756.33865077747,11270.066797900778,-1802.3832219383648,-105736.42158071343,-2554.25095151832,-11356.62648996326
931824,-12552.335749236958,-12561.224349057136,-12551.78464626695,-12555.905831248669,-12555.840521717113,-12549.577124074978,-12557.394738797746,-315.6973253772997,5647.850263948957,-12841.83264838067,-11916.525772195313,20484.517034112283,12457.87927809079,-110194.93869682586,10864.500074604033,-12530.771775045061
931825,-13998.528191900506,-14007.534605887638,-13998.704428264991,-14003.101272124328,-14002.927945467398,-13995.328817020518,-14003.611311428911,213.17675540475477,11627.604940190373,-14272.348654350473,-13326.61692824921,45227.21146455445,46063.66282634357,-115464.92204334427,44149.823808673464,-13958.387895355663
931826,-15553.518950575579,-15562.985901724192,-15554.109048044373,-15559.181837339605,-15557.861233250425,-15551.311946044412,-15558.313421405932,758.9523744901581,18906.38992628961,-15815.774595909028,-14833.216863386957,64251.56399883453,67387.34715057928,-121031.63256605172,64124.67035192462,-15490.620970039809
931827,-16884.562902761325,-16894.12963003561,-16884.454444686813,-16890.641062964758,-16888.02545798998,-16883.70849305751,-16888.557830409794,1218.9565950391839,24304.845850507372,-17155.705343987836,-16140.144890568203,60136.4099129482,58376.64002950433,-125244.76868488191,53826.418987566765,-16819.203999975976
931828,-18063.65991434387,-18072.887604800006,-18061.683627278777,-18069.56391646064,-18066.002134400565,-18063.216902775363,-18066.71564694563,1666.0437258521586,26811.19349337317,-18351.874545475148,-17332.967887827734,53163.038415921335,49798.151245501256,-128082.96837761122,46047.5844117623,-18014.230359880148
931829,-19431.047791666242,-19440.28440681209,-19426.715996630053,-19437.11266262667,-19432.585114245194,-19430.390768256086,-19433.624529206085,2224.0650399701826,29594.629042596272,-19722.80918087584,-18721.35429263387,66274.43025455356,67989.48482672972,-131204.8083814397,65949.6161282034,-19391.053786929777
931830,-20972.85341453657,-20983.359945231903,-20967.224139566242,-20980.332823718963,-20974.581431965988,-20973.285599478855,-20976.01876741903,2841.918471767747,34287.186085713336,-21256.469536567754,-20257.872295860197,84391.61158083982,88822.50926340309,-135039.35573582887,86687.08597498116,-20924.733365216925
931831,-22345.621819881715,-22358.53340597204,-22341.006506612794,-22355.610113590585,-22348.92713142617,-22349.253908960876,-22350.66202073653,3378.9543528281165,38004.991465027306,-22629.925897804882,-21604.0589865391,82450.6607679074,82854.50843006186,-138146.8840007592,79245.64533572161,-22287.529810025157
931832,-23502.35353759263,-23517.766934152707,-23500.567684709604,-23514.927577259405,-23508.073787186695,-23509.78941937336,-23509.975743172236,3853.8918357355287,38760.75605812749,-23803.567468269444,-22744.77864911487,71025.00152973337,69026.73502355607,-139932.61479914622,65245.140154821085,-23449.37227942388
931833,-24779.2717618654,-24796.319431399686,-24780.381537096197,-24793.70786215188,-24787.222889197135,-24789.51485943154,-24789.315701968073,4412.943651516854,39411.84756315549,-25099.42953294982,-24033.590636294502,77328.04371935915,80173.1090393796,-141720.6799516285,77664.92918187164,-24742.96576180282
931834,-26307.833887158726,-26325.189721611565,-26310.497863863864,-26323.138646254352,-26317.28329200743,-26319.782886686888,-26319.782182018404,5084.976346172047,42910.96073812029,-26635.507685241413,-25584.515896894474,98296.54538770822,106118.19310290691,-144373.9175095689,104077.67550354682,-26283.728219967645
931835,-27847.142814501753,-27863.776516453654,-27849.64072515637,-27862.296955157493,-27857.355785510004,-27860.090008237363,-27860.490780694912,5768.274394907342,47614.61454024963,-28172.344950997198,-27122.193953188493,110915.9738348394,117800.28124506466,-147019.25684040954,115283.892281384,-27819.29193129009
931836,-29314.045235126614,-29330.03952229923,-29315.18447861175,-29328.354350517715,-29324.276341427914,-29327.428640866587,-29328.152399498296,6448.605730401824,51083.24506112401,-29635.131759298343,-28550.551305075263,116462.25267859215,122673.74427162975,-149169.88140815712,120891.8672285832,-29267.645147197487
931837,-30975.65884868135,-30992.19726535321,-30975.39473916572,-30989.37583693315,-30985.226040046073,-30989.34353629617,-30989.73078911478,7221.048533282384,54876.32488383992,-31297.618040944195,-30167.647509935392,134123.35791804115,145606.47209264402,-152037.82662730684,145667.3269637495,-30910.803781833805
931838,-32914.77068518291,-32933.230733485994,-32914.25736720655,-32929.1797102838,-32923.71682317072,-32929.24072124218,-32928.31755777129,8069.403157903027,61086.800190458984,-33245.51095987145,-32101.82078250564,157460.86163787835,173024.3517965757,-156332.1967753602,173132.31957095774,-32849.90902118813
