Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1181393,940.0183430600567,940.6293543955094,942.5337497190405,941.0969432768745,939.3260946748202,2545.31577828605,-27183.597861705788,34169.189460594134,-7567.145577016939,942.4860947236016,947.2035766348185,-28351.255886585484,-21091.47177174314,937.4952495378283,-19014.020245588887,942.605557094215
1181394,2026.9569297909231,2027.1804124810565,2029.7190477560778,2030.6605862980298,2008.809005330936,3520.1841760794223,-146152.35544483637,42016.01380452311,-21257.89064889385,2064.7564637052237,2094.7020558390013,-164085.56059624086,-158212.22052656437,2078.075769886328,-156515.32045372567,2079.477370496521
1181395,2666.107527436402,2665.99173287364,2668.0101034964846,2670.3448057235837,2639.2674842892184,4123.563696763092,-197947.06135017934,46989.331573862466,-29977.197556753603,2720.337205484476,2758.061510411967,-220940.71692486003,-212213.25426743005,2739.8170638556185,-209592.38914353072,2738.1276212435705
1181396,2673.9129377600957,2673.7509820326195,2674.54401546584,2676.9883703569317,2647.523085658051,4167.581843756083,-183300.3732251261,47374.443844623456,-30302.333014018208,2725.3251467247705,2756.4157567279435,-202795.05934761802,-191487.11360203044,2741.2767172730446,-187980.1893220814,2737.7888148698253
1181397,2399.6091696617304,2400.0120996263176,2400.4693970195326,2402.0109586237504,2376.0516154036886,3932.257702270086,-161412.92241571652,45262.02161765839,-25752.106365008593,2443.2627868301597,2470.355682882415,-179806.5295155495,-171042.8928604248,2457.9042859416004,-168153.27727505437,2453.7832031215376
1181398,2348.332915758184,2349.89030315565,2351.3810762615494,2351.427049213068,2325.8034600463125,3888.1150480021092,-167085.34924001974,44653.952339118405,-23936.62843427879,2388.597967542214,2420.773889820465,-188311.64448428707,-182927.23473698657,2407.902089454533,-180886.02917028207,2403.33115499973
1181399,2512.5124995147935,2515.210660028512,2517.7242408193097,2516.1532605486836,2491.495937142773,4062.961945896676,-173663.7351441659,46011.812374923225,-26052.53079671634,2549.6302017805438,2586.217076223118,-194293.66523070354,-187325.53331560962,2572.0218871830775,-184636.5073829501,2567.108284684229
1181400,2527.522813584935,2530.840445417467,2533.093657381877,2530.5625109860684,2510.0159231524685,4116.1373376746105,-157360.79947855818,46439.34080973123,-26503.23316199635,2556.479436446756,2591.0716731162056,-173379.10902040513,-163250.88723591215,2576.9021230498865,-159475.8092392616,2572.609718863174
1181401,2382.755630842884,2386.481787404088,2387.603950810274,2385.3982106480516,2367.076407510986,4001.510784581836,-144706.10853926124,45314.2059642716,-23691.59498087535,2402.7024221098973,2436.319517036726,-159941.03808660826,-151284.09893380257,2422.4501709920614,-147931.50631932955,2419.489249061823
1181402,2402.1139107969393,2406.4434325600023,2406.7964198380732,2405.60530949067,2384.5400089463487,4018.731291688493,-158983.4304862636,45152.47238767776,-22481.200625350393,2418.884983461435,2456.373190595796,-178510.55900608565,-173357.23972994875,2441.812465388851,-171195.9842824131,2439.5564789112955
1181403,2585.043701086684,2589.7847304439283,2590.2391251737918,2589.4586020378665,2566.333102879502,4205.361518506308,-171599.07288974436,46494.36517643971,-24476.448239289966,2604.9034167801824,2642.349039063396,-192198.02556102586,-186040.6169124664,2627.7632267913286,-183784.86152732972,2625.2002886063037
1181404,2590.0425308689873,2594.4982415516993,2595.70766616337,2594.3914046672335,2574.5511967885705,4250.5625725382815,-154233.66151990858,46753.63998874026,-24899.700067435682,2615.982778253924,2645.1653610330077,-170129.46443646876,-160263.5587468702,2632.6573314089974,-157010.08461440093,2629.6054960486895
