Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1601735,-1816.0042019732325,-1818.7287770709106,-246.29901973820392,-1816.564692690136,-1822.4277863426694,37968.65463012097,46567.80470803694,-3212.4621872062635,-510.30695278411537,-1831.4182753262874,-1833.0463063552804,44435.42429638363,50600.067500407764,-1836.7170515271637,55013.73088118566,-1833.770974854444
1601736,-617.8605128812695,-621.9388256465716,-51677.399350310036,-607.4258999900848,-621.0681474702193,6191.128752000178,14739.32201773299,5281.620542138061,-15718.639068614662,-641.4558342998187,-641.7685089878361,9783.605967050533,24912.353811418372,-650.2292005773082,34671.818223847804,-647.021191381798
1601737,-19.74810490141851,-25.068202319097438,-69658.59919407491,-5.752044255326997,-24.03736787532889,11346.814373983785,23999.7135971732,9889.455958191193,-22808.090993646627,-49.56847151818225,-53.20718335647466,17099.16275694563,38001.81164159715,-62.917098110502906,51279.479579928186,-60.34173484252566
1601738,34.457912842810686,27.974299688343564,-60799.859429661214,46.30578825047402,28.64094273317027,28264.52010498449,43896.48991571649,10538.431586076678,-21472.853012018284,1.5795911933581843,-5.503204361101345,36798.59476971361,57920.19237837069,-13.72047943948806,71430.3770062184,-12.39246064865037
1601739,84.1111467571208,76.69461162283716,-56113.098249403105,95.88484184572472,81.4273491933182,18338.388344759667,30896.54133667791,10635.186187192612,-18782.451972447852,52.42365505500712,46.73522942097581,24765.732805261978,42793.56684564968,39.988593197821984,54495.20356294509,40.09500658895524
1601740,367.3268911964724,359.81478518925366,-63767.15783858886,383.2139410413762,369.23507468726166,-1453.1282267976503,7468.629684391078,12377.33825580442,-19504.02201420965,341.80864152892434,338.14022225032454,1729.0511781550513,18501.343795678986,332.5564779698404,29433.07304613726,331.6446412342782
1601741,602.5634151692775,596.344151629201,-64576.94139664238,620.9231702705823,604.1471399817074,6407.848339133057,17560.106075641845,14305.38577115814,-20717.336299965387,586.0297537176343,579.499600694605,11241.793099297847,29497.004621550328,575.9189591561201,41322.2146516171,574.4702754442505
1601742,632.7835957256013,628.9515074793987,-53464.52926470838,649.1208883374737,630.6956670933644,27695.53814715629,42569.67263398807,14851.480289693493,-19073.752866690073,623.0310156110208,612.6031371771621,36044.21863030436,54713.45781969853,610.6917084717522,66848.23778277992,609.6435260704058
1601743,744.057407665179,742.4558899222777,-50174.39735030919,758.6785819158466,741.4409667147826,22135.555255342573,35160.75170927007,15414.372241980582,-17428.93308067969,734.3950030780261,725.4221485525909,29318.800179228216,46165.908093772014,722.6817512755513,57252.22865367886,722.7576059843063
1601744,1098.8445082675194,1097.9627906223554,-60878.81387415345,1114.8688631988437,1098.5446978417804,-903.2105501853898,8014.122633914405,17509.55958234549,-19028.177565748876,1082.299720997865,1077.1438686862712,2574.5738927443813,18700.30230782529,1072.2834608564845,29313.99520123906,1073.3166657692418
1601745,1387.5037265578792,1385.5513117733108,-64670.03728014715,1403.539664038529,1386.566756758651,1105.624035714285,11084.71544826355,19645.220999813417,-20811.197115609993,1361.8903389448174,1355.9660358506203,5199.259842238475,22918.027287398974,1350.9115491826535,34394.67035984749,1352.4022661570566
1601746,1389.227606097264,1385.2650825359913,-52181.11634847855,1401.2650911309142,1384.920859405739,24912.581177637396,38828.316410092986,20021.61561713128,-18947.78782221085,1358.611617207805,1349.2997489785935,32751.036038531005,51095.055328612456,1345.866415874194,62872.71169544702,1348.1272858804175
1601747,1398.6132945497811,1392.6648952665519,-44217.700017687384,1408.0674099897255,1394.1741117444653,27302.82329609857,40410.82839506972,20003.728675810096,-16281.90579577733,1368.90963605356,1360.7266755865917,35022.18801974148,51526.30604221164,1357.6569203812055,62205.82630250057,1361.6006338246127
1601748,1690.2479308049572,1682.6776033386225,-53859.086516441326,1702.6400283006728,1689.0608634294688,5343.656512949954,14269.570938347493,21648.983064735075,-17275.091573116537,1663.442205705336,1659.7344955573042,9354.385461854301,24730.19243761414,1655.1729499424164,34872.79269752092,1660.7819132731481
1601749,1998.0671348849546,1989.1205936349331,-61603.456495758786,2013.6623690216875,1996.9920130305027,1708.7835971178847,10853.899907472396,23763.55010760225,-19537.221062839635,1972.242867015664,1968.6493120659377,5439.445822245677,22207.01080687495,1963.4666664521046,33414.504764070356,1969.2639099515236
