Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
976099,1271.7081583395154,1270.8025620857911,1267.9816339859028,1271.5056381440036,1268.3484881581414,1272.1700863768972,1268.874303726444,-1100.0199692309898,165.22661240310902,1263.5739511359484,1307.841346502839,21292.7910872552,25679.471103194937,-12448.518021174972,22458.004000246656,1265.276487540213
976100,259.7499936336869,258.6365689558752,256.5690032342484,257.34085826217876,256.4492950645624,258.8728130219166,257.40247355945473,-553.1976450308599,8275.754382555362,245.69279250745632,417.5044780338877,83448.10793618095,122582.18977802122,-16376.993661756303,120189.35976870672,264.0293924648188
976101,-302.44094062836746,-302.92261477412285,-304.7904576421385,-306.0393134139241,-305.62377575971544,-303.62499081917787,-304.6497510563265,-218.1956282756753,13870.884973465785,-324.81791616139014,-94.0888762166297,112119.66256803257,161129.62074106792,-18669.959398561357,157800.94541803712,-300.12491058093434
976102,-288.71954158101585,-287.8774561073175,-290.2987689642251,-292.32535672003166,-292.0054126761096,-289.04898928264697,-291.49537902581136,-115.55733390899402,14584.250489089964,-319.06249920513415,-102.25119104821545,106403.3841944807,146886.0945591159,-18508.062371847132,142632.83339509554,-297.85961203717875
976103,-63.712567581938806,-61.79665440893753,-65.31255103592562,-66.7492865212613,-67.71135854763719,-63.18210724366552,-67.8451456423914,-62.30416426527312,12004.497950895602,-95.51555815834183,94.7390270428304,94864.28440696049,132454.74276253366,-17135.113286210115,129252.5696579221,-77.85809651076191
976104,-59.45036179164153,-57.5039041130915,-62.06554919297331,-62.02854140969596,-64.56565730499963,-59.17659409018485,-65.40519925498783,87.22064498513966,10811.034452348038,-84.54330757425608,109.87485892868801,96459.86510338416,140956.25902094416,-16713.67362361192,139113.2786100289,-64.72781466566578
976105,-235.5702357848465,-234.77931486325474,-239.5725865407811,-238.20781694264105,-241.50352592475753,-236.7107759465959,-243.1973740967398,265.963006906116,12076.108732839537,-252.4650653218426,-47.14871542298776,100116.62675355736,144894.30473178063,-17588.704650742693,142395.5213674186,-229.59655680276904
976106,-306.46636528913314,-307.6816632661847,-311.3916036050997,-309.80898046777827,-312.55861418277163,-309.4635167616416,-314.8904563166525,363.7061545264697,12193.367412539319,-322.10037626863175,-130.34038213076792,93247.56380322031,129080.30302087434,-18510.315167168723,125234.28748852316,-300.1681057914363
976107,-324.01279215161327,-327.5159729297779,-329.0397890047912,-328.5024260496799,-329.7746448348946,-328.27598614360824,-332.0437030894661,437.42710136449875,9729.69555298391,-346.53160065256407,-169.93968553679343,86825.01026291003,121441.06961452418,-19370.173713758013,118106.22644746372,-325.91494427809033
976108,-558.6211280458194,-563.6949755664766,-563.2373702309559,-564.2122983066225,-563.7879194810831,-562.8197732569729,-565.6251123881843,589.9731451915213,7865.655824527212,-590.5859667219655,-400.9044528362927,92790.65708945932,137607.5649954531,-21371.704507420764,135736.37185508502,-568.2098061211134
976109,-943.4080778058516,-948.2914684260666,-947.5980724356401,-949.5423441503467,-947.7808302102112,-946.4306879899261,-949.662503177853,763.4963457186167,8293.523470210275,-982.5087958678594,-776.0823469266769,99146.74091888117,147415.9683890261,-24441.71187276051,145353.23164413474,-959.9918485451713
976110,-1162.9323370849281,-1165.8786280362856,-1166.6898379035706,-1168.581051838,-1166.349379383079,-1164.5010798469061,-1168.94317363968,846.7258935559217,8251.795398597436,-1204.671924330692,-1012.7644732956448,91712.80789732232,129951.30274454031,-26932.10814133567,126624.26537991603,-1187.4479229131448
976111,-1232.165462772989,-1232.806374643939,-1235.2856330435518,-1236.163121513486,-1234.8605595838999,-1232.7710238579002,-1238.0063186749223,892.8433185074847,6108.904256789768,-1269.734351011441,-1101.1997340712246,81898.67195546356,114561.42703117276,-28343.00345234997,111533.73431371615,-1257.4353528369966
976112,-1461.1057439165352,-1460.8693506441261,-1463.6644409537414,-1463.0876634097328,-1464.0302239874638,-1461.7071696897406,-1466.7775123046756,1025.636703534344,4638.90435714485,-1488.9070558997785,-1312.4645811237015,86509.01875211646,127953.97220224855,-30023.92417479365,126476.6524971662,-1474.802258442745
976113,-1852.1443765511349,-1853.190688875025,-1854.4889821864144,-1852.9852441278697,-1856.2953086882994,-1853.708327649735,-1858.1899509811408,1200.7232395193205,5671.15291706234,-1872.7066153201358,-1675.1255870987554,95807.62524234745,143709.2499566901,-32500.27804820924,142343.17729220528,-1854.221815885299
976114,-2069.2120195626167,-2072.61688839982,-2071.2866830875955,-2070.0196776693565,-2074.536811557093,-2072.1739688220996,-2076.28466610358,1277.5065343108804,6376.610021669914,-2091.0451969632895,-1903.7019725816378,90414.84379687031,129742.12945237133,-34407.41021657907,127026.88139491019,-2073.133584213592
