Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1112680,114.23004244783908,115.36866102748075,112.43289875793651,111.739259904424,122.21176081904714,140.98666234454194,51458.41663237784,-456.4649962131196,-4786.107610943737,124.18111035521316,106.98144024293832,77257.89880409496,91664.86494305081,-2095.6443049590553,95456.23535075274,111.94596366212356
1112681,1089.357827199038,1090.9507031436017,1085.4240260717847,1086.9761217361347,1098.1618679684434,1128.3485450236171,49059.23683177306,-691.2798894164522,-22753.318140960124,1096.0234456402015,1067.6669271481278,96273.99512277795,137166.24010438428,-1147.425344715798,148012.24973329896,1070.7506229326427
1112682,1385.6825119125215,1386.7065589265844,1378.1708225710256,1380.875486616557,1397.436161278853,1448.6773438274727,74915.86785937325,-722.1503297804602,-29453.530859146143,1386.4731479357747,1343.864958929004,140101.7481172788,195927.9257848321,-882.9756960663021,210768.5701678247,1349.1120906753713
1112683,1157.0382843859684,1157.125894211542,1147.0714771225994,1150.3682819988674,1170.0128630521424,1232.5102443051255,94626.59030530763,-645.8462423113168,-26390.075440456123,1156.3465047910797,1107.5026663097847,163425.17256615608,218510.2307268288,-1134.6520307344554,233128.60911834548,1115.643800291531
1112684,1037.0017243750847,1036.9606977411972,1028.2289270062597,1032.5795929859232,1047.1715167322611,1098.078042797827,74953.14562870853,-665.0386240657181,-23841.981695439998,1043.988061173734,1002.0405411739924,133310.738755369,181134.2685264832,-1260.7089171670846,193711.5527046462,1009.5558065285418
1112685,1163.1660345409846,1163.7416459542646,1157.0928487174697,1163.0316028413204,1171.8567264368717,1211.0735657188538,50782.02722137069,-747.5268388233653,-25667.66629360995,1179.1364700063386,1142.892856813764,102282.8381837399,148451.99665549872,-1140.6005865675302,160480.4279361081,1148.8487236600743
1112686,1132.0398225561298,1133.2593262221967,1126.9351623904076,1134.3906540082971,1144.7596976086122,1192.6021461230362,64416.8396839113,-725.1142677422902,-26167.208320034093,1149.3213892663048,1107.1002404715287,121316.33213792893,170641.6279208909,-1193.3375193957886,183511.41772873112,1114.795844362522
1112687,867.0299833559884,868.9538584584229,862.1184711247456,870.4703222068272,884.1450560306675,942.6767639529385,88251.54899965596,-628.1972621875434,-22894.065429695213,881.0946070179964,832.6920181402904,149631.68213019107,198142.54489788317,-1484.110573556311,210890.45724375165,843.1552321807605
1112688,787.8145212949205,790.6500998198436,784.6697070895942,792.9002840898584,803.4932249599489,852.3495134758228,76359.4698865571,-631.6389701375622,-21695.99004374401,802.0369664949258,759.5497459979648,131543.3577852144,175625.2350153246,-1576.781364418058,187289.64924254676,769.10492277948
1112689,995.1508405207676,998.408130480929,993.8737441636924,1001.0910791162541,1006.6063070286792,1040.9054736016037,49796.30666805537,-719.0755113110548,-25176.71052199922,1012.6183475895599,979.5007861424962,99124.08022742366,143077.26157152402,-1377.1005055366554,154782.51215824892,985.89995393951
