Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1551677,445.6529419225708,447.05674824052085,15318.908876717476,442.3847862317891,447.42761990688945,7535.659458442719,6522.88135760343,-2252.2596328664667,5976.574298974851,443.3148163018939,443.44412482080713,7526.83098500015,4300.028190274761,444.92179866193874,2517.9457504779652,443.15022169515737
1551678,-410.55323325970403,-408.5840111323178,50694.88865773168,-426.5783959618381,-418.8846127239999,70149.49398444235,78133.55574810409,-5894.653949068562,13842.6576906321,-428.5889628253951,-438.05923227538574,79581.73130149978,74895.47910325702,-434.5599560538404,72417.22320801196,-434.96400568124767
1551679,-815.9794204733795,-813.6051897806341,68488.13603405215,-839.0747836068747,-827.6103124635615,92910.83764116111,103539.2437981255,-6915.810779526865,18436.92408797048,-841.9029292523372,-854.0629752151582,105299.62337310222,98683.04939564837,-850.8904516690911,95029.00895175964,-849.8896423606609
1551680,-697.4776352007848,-694.8798687228895,66278.1075853454,-720.6135206311023,-706.4605154591843,82282.71292890512,91059.4198158313,-4580.90046293025,18276.813046165837,-721.5242672057127,-731.9246514720699,92704.3052929001,85361.18569432202,-730.0706227158037,81231.54837117562,-728.4854943476273
1551681,-436.6911755745158,-433.9346346016008,58950.60295230283,-456.8333487944015,-443.27643630831756,74813.76021970592,83213.68184982377,-1066.598604906558,15867.212634338595,-453.41685777911357,-464.498931573091,84397.8311526799,78334.74811102133,-462.1813507875932,75139.471717543,-461.4774950052995
1551682,-383.59420269221937,-380.63935927023215,59458.885180086894,-402.1085518051738,-390.58943283069294,82343.4208626915,92444.4699778157,1085.5839660209908,15097.774896996521,-394.063575134497,-408.3772928768168,93385.72938549746,88400.84516541386,-404.14937966439396,86069.96426025781,-405.1502451901899
1551683,-426.8739750314543,-423.6274417410208,63221.172474629566,-445.15180914998575,-433.78658477176765,83615.9435375393,93365.71884847993,2208.9391285404204,16064.062817392887,-435.2588207149169,-449.92141411629336,94508.2234034852,88700.99701806217,-444.99989720379904,85860.24707133882,-447.41014132648365
1551684,-317.1182740704528,-313.38804576768666,61089.36854343031,-334.7548282769761,-321.83430881034855,71302.24567092245,78504.35971454727,4105.2104315136585,15965.00178650156,-325.5586988904376,-337.2215882280807,79843.85702935772,73047.55811826797,-333.4212997138622,69432.44152029516,-336.50101107321467
1551685,-157.9906855868596,-153.7670255597609,57299.328684047345,-175.8188550035202,-162.082681653556,67314.80633661523,74177.7160215513,6510.166576788483,14567.61439931793,-165.56910783396535,-175.83932800428778,75384.83335731314,69369.93039818529,-173.22551496395306,66137.4643010039,-176.38855992247645
1551686,-182.3031504302881,-178.16084333673362,60294.52701710494,-203.11469737290085,-189.5095261627192,79887.55272695169,89164.04906864498,7806.1370735804185,14372.292865526915,-188.2160496150153,-199.3470503504301,90212.09205001997,85378.76722326392,-197.4091893320144,82845.27650405461,-200.43094263818517
