Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1010367,-156.55869522259968,-157.1625845577301,74.93712932352847,72.81641372675617,-154.99429627212186,-158.55969931498822,-82.35426649848587,-2096.1910063631603,-36081.61898738195,-116.67466359621402,-185.27112742846148,-42365.98595333818,-33667.486247555134,-29217.56205452237,-31753.572497250723,-137.12326611318343
1010368,135.67427269655792,133.39685893475695,369.0785050022135,364.9153672925108,136.87925515506788,133.0686389353615,209.47498483579307,-2270.907084687388,-36733.19030923482,170.96947332710528,45.177448408945125,-49610.854724056124,-34384.51973766394,-29198.92706857573,-31873.441798830278,133.25789882632859
1010369,358.0498455440444,354.93862142201544,593.2465816029181,587.6272291835844,359.3339783201489,356.07372523922606,431.89427378434215,-2358.0844285333424,-39218.66737608604,395.969508201626,232.99514240681611,-54260.63907175182,-34867.3505770148,-29230.277905777868,-32002.75760945396,347.4961026678363
1010370,275.6171234132467,272.40877286548846,512.3322984926248,506.19450128986057,276.9954043360508,274.9851580476111,349.9973851841125,-2279.713484105504,-41034.49227325595,322.74550262607954,158.3845280202086,-54559.9304164623,-35199.23822031858,-29545.843754600304,-32363.819401933437,273.16254454551085
1010371,-108.3824989345002,-111.40474027633583,129.50026622179564,123.83785871564965,-107.15374703120433,-108.2731644459111,-33.10775225100864,-2096.838221155463,-39981.61219891769,-53.79500435285796,-198.54684975830756,-52588.57003083402,-35626.47706660404,-30161.699457269042,-33004.61135894091,-99.05295905456869
1010372,-416.3914187577512,-419.0539689966927,-177.46419680472502,-181.9485411006785,-415.35971130961144,-416.4437096940203,-340.0876772597618,-1973.6711080884006,-38754.80606983024,-361.53071117126535,-499.5790462930733,-52379.716790471124,-36161.204802765686,-30715.442093604997,-33602.298887218916,-404.42980212496246
1010373,-459.6386816777859,-461.92652033361276,-219.02050138501338,-222.26204731434402,-458.8274364020255,-459.94787116780157,-382.2130076623515,-1946.2184492347274,-40335.34678036306,-408.83299160832286,-557.7226831078207,-54178.15226709832,-36605.732810078494,-31010.75292064579,-33957.26808747671,-452.4828093058923
1010374,-518.4011183109421,-520.6329181295914,-274.54319257860993,-277.1771571521108,-517.943823599987,-518.5425612918154,-439.3163659345612,-1890.632049533972,-42565.94070081551,-472.2334099575341,-623.429047442455,-54814.06953898443,-36952.14872686989,-31314.594555811538,-34309.30460631175,-515.2109398095347
1010375,-801.1565047873241,-803.7893697996545,-552.9707287857921,-555.7531718847234,-801.3427492917606,-801.2718390999728,-719.8905713364593,-1758.7358783328523,-42133.55852602635,-761.4405651164459,-899.7754490058,-53747.12600363638,-37403.004135068186,-31839.37131891774,-34874.121466003235,-801.7547627999622
1010376,-1068.9843324389885,-1072.2760498440296,-817.3416489544427,-820.6031960346977,-1070.1574957935093,-1069.8751551983542,-986.1038537472809,-1656.1225436255484,-40640.724741492086,-1039.061252475776,-1172.4942814404667,-53840.5918814472,-37980.74482551827,-32357.83575759458,-35448.737639578576,-1078.9375413955345
1010377,-1102.2191661765985,-1105.8830804646661,-848.8740559797674,-852.8388049696757,-1104.0513487794078,-1104.2160494202885,-1018.9630459099437,-1633.3536290155298,-41516.02540954678,-1081.4637823648784,-1224.4533481426322,-55704.055766876394,-38467.20609336582,-32645.76419732392,-35802.88727906514,-1122.8433708915286
1010378,-1115.609917872536,-1118.9382236248725,-860.9260673471736,-866.1366019680279,-1116.8280446974366,-1118.0838177549617,-1032.403723968746,-1592.8782314460918,-43594.82042892279,-1097.7889252451268,-1241.43639916841,-56423.05074091848,-38788.83118119225,-32901.96493660052,-36107.78429654494,-1137.2102514496833
1010379,-1345.6116601742874,-1348.0629446056173,-1088.532953487807,-1095.400736203746,-1345.0138838039113,-1347.824474981434,-1261.8189962748747,-1484.463148184506,-43359.57170934347,-1325.509527318045,-1453.4190321276806,-55138.89234285631,-39142.333777440566,-33362.3228660928,-36604.11168815357,-1359.2574434824883
1010380,-1602.3795496442276,-1603.8691499016295,-1342.2321284814561,-1350.4257664847603,-1599.8194301224607,-1604.1105515456238,-1517.3295815428687,-1409.864111298124,-41587.17920851832,-1580.1183208159027,-1700.8098834102314,-54831.5221842541,-39639.102623234234,-33852.26243376262,-37147.96100665198,-1610.999062692652
1010381,-1637.0471091728714,-1638.0509573875545,-1374.529787077607,-1383.1183048382381,-1633.4543244452066,-1638.3708862667827,-1550.616068871027,-1430.9035964738018,-41931.68398177308,-1613.2535215671585,-1746.4616919700927,-56704.460301763,-40118.02053470143,-34127.37090605666,-37492.73757567753,-1646.6066927990335
