Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
916711,2380.8309182047096,2382.704842373294,2380.824506896571,2382.469256589205,2381.9236478842035,2384.1161215244606,2380.5988651159287,-7548.409108008572,-318.612850429173,2087442.7537255115,-2295319.046875625,-2261416.9546471387,3187646.314359719,1968368.316464764,-2713815.0239497162,-1529874.8397622434
916712,-1201.333191743761,-1203.1284347517828,-1200.6937244921937,-1202.2099897927183,-1201.227950130333,-1198.3912772315318,-1209.9066797800645,-40816.14392511272,-315.9237791833509,5278652.768783279,-5961751.372803945,-6027462.489363971,1514397.3681199923,3834704.422667609,-2351679.1931066373,3057282.720376824
916713,-2483.757566164699,-2487.601219510565,-2483.279819200209,-2486.1619481813186,-2483.9213425051457,-2480.722444285526,-2495.9383837494524,-55723.05339639833,-182.29000067611491,5892104.500915083,-6902610.828208016,-6950840.0762493815,414420.5699075372,5836738.644889304,-1821289.9644725863,6152795.230650237
916714,-1932.6678368994126,-1936.4326096660511,-1932.7992784345279,-1935.2618015678045,-1932.2078804840232,-1929.189456837049,-1943.531937121321,-52265.190640021705,128.24312379990138,4458022.67294286,-5701350.757280828,-5453346.477126279,-520761.2031919368,7035715.636526471,-1109041.5684941527,6789393.800356979
916715,-1698.2025529179452,-1700.5798484692239,-1698.6314799171942,-1700.3205840461642,-1696.6606254643468,-1694.3813170669143,-1706.6730121815287,-46602.32288577547,606.1183192988515,3183801.6858631205,-4983710.41961088,-4189307.147961187,-1469824.428382057,6863926.194071222,-576853.5139614546,4955382.298559064
916716,-2353.2949164761776,-2354.109658323653,-2353.4858221423774,-2354.9591914218063,-2350.7063228176266,-2349.3176291681,-2361.1756141456603,-48558.56778944699,1142.7553658998609,3121892.7110565887,-6026235.42708734,-4710614.981240502,-1558583.1529737203,5951417.373819208,-570076.2740313344,2443226.5682762163
916717,-2576.337743598917,-2575.9193119425627,-2575.820273592784,-2577.3715338713914,-2572.909152988893,-2571.9166461535633,-2584.7310286244856,-50952.05508092452,1448.8350814554801,3790897.6426095404,-7881175.873496771,-6406671.873729039,-341697.4338398973,4994719.383272918,-674657.328829126,1583772.1533880353
916718,-2012.5233812063843,-2011.535426177378,-2010.9571768933195,-2012.9226142295552,-2008.6574845364455,-2007.501815416833,-2021.214069977654,-46954.794165647574,1318.0471148921501,4326253.830638723,-9269372.383457098,-8033981.107405997,1018237.3850398101,3577925.7245546933,-192130.1139720724,2503286.7412311174
916719,-2020.6779660834907,-2020.36747967935,-2018.0223367249905,-2021.4840221564434,-2016.84381993385,-2015.862758265659,-2030.0455784168232,-43664.81036368056,918.3067990791378,4813930.927397456,-9532488.539950965,-8625955.235727916,1180358.1370761918,1289156.5633162209,1111011.9473230636,3301949.5977944843
916720,-3020.883191883045,-3022.338632253748,-3017.545993979663,-3023.047987717785,-3017.0535303885026,-3017.274356692047,-3031.44762015934,-47771.70770172803,561.1237953923949,6104044.278171732,-8271800.736682396,-7559093.615314599,420806.3359595012,-1133503.6176882465,3095517.050974473,2908593.061425241
916721,-3553.66157332105,-3556.6981645736814,-3550.479035844958,-3556.5249312592823,-3549.413708277778,-3551.3276734900264,-3563.9633171583478,-51656.577305381725,368.1448007426359,7825302.843627082,-5746448.292294236,-5157616.470329255,125471.5562673099,-2496210.219102853,4915932.154798301,2198779.1831955365
916722,-2955.0179292133325,-2958.505294601452,-2952.685321874878,-2957.0728006012287,-2950.392127649402,-2953.365919078774,-2962.7329067557,-47265.824701863065,247.30038713193454,8477153.990718054,-3471545.463346799,-3031351.021321838,972785.8345327373,-1918449.631308671,5148319.901279273,2092995.8604249784
916723,-2660.9126738413174,-2663.826591346226,-2659.21243583795,-2661.4557549662472,-2656.640694575082,-2659.16367716619,-2666.2040622200707,-41875.15941216948,98.54795136915655,7653264.926455822,-3177744.631423219,-2832861.928766787,2245641.723747831,726467.5925316643,3033021.5208988674,2411076.423010562
916724,-3585.513261578538,-3587.075929191966,-3583.5826670643137,-3584.864317938988,-3582.1681806232855,-3582.582990474732,-3590.944024529525,-45089.75259126022,-56.341083189251144,6145637.1797666475,-4923015.800170489,-4549387.703674663,2979370.7956723063,4166388.017007767,-605165.240212732,2985486.6103921556
916725,-4383.770573950929,-4383.379115168833,-4381.323174890942,-4382.440982533143,-4381.197735205944,-4378.888805173649,-4390.63619075357,-50521.760078162915,-176.8649067401605,4526030.5026282985,-6915448.367108568,-6509289.315715653,3223056.074338855,6168188.346592788,-3586686.0262535233,3981088.516243417
916726,-3889.3483253415066,-3887.3439354686316,-3887.2023951507,-3887.762415331214,-3887.277316978566,-3883.276533266061,-3896.5168165032856,-46916.220805037534,-255.5303537142728,2891537.0194186647,-7514836.722017586,-7193118.47567665,2930345.750854597,5497641.478369803,-4403884.304009469,4903294.008632954
916727,-3272.676427190717,-3270.8460657510723,-3271.7481727290815,-3271.6388088552812,-3271.255862273792,-3267.429905199743,-3279.600323962426,-39026.71020809946,-287.50892546834325,1631946.7135338294,-7066099.058701547,-6889704.650904245,1008685.3660072905,3314199.6763472413,-3951071.1392689743,4592963.244526909
916728,-3910.256952155095,-3910.5845351151665,-3910.301366840741,-3910.642070666077,-3909.4687571748573,-3907.1450475483734,-3918.205867224827,-39439.984856815674,-304.26990115699397,1737529.7614662831,-7132562.686696219,-7060796.075066421,-2411776.966390281,2061400.6406514447,-3724934.0266006966,2703169.082095264
916729,-4873.651482108951,-4876.3777579711705,-4873.531475969319,-4875.268045822169,-4872.8199019053045,-4872.157235579338,-4882.690761952257,-45782.30859923038,-346.23523815798296,3589972.5012069866,-8133905.138894931,-8100286.7327394495,-5188553.177904254,2828265.3833724097,-3604198.2033349653,495109.5038205881
916730,-4656.564002499832,-4660.196160709975,-4655.70118298385,-4658.560034456617,-4655.146389518923,-4655.558499913412,-4664.352994202078,-45144.46422591672,-395.4376088738799,5896629.011307369,-9121323.052837724,-9093602.559388202,-5718285.4525324255,4052124.6404758226,-2945360.5654185633,-694502.1221375905
