Clasificador,Feature_Set,AUC_mean,AUC_std,Acc_mean,Acc_std,N_pos,N_neg,Categoria
LDA,Estadisticas,0.2031,0.0221,0.8289,0.0057,300,1500,Letters
SVM,Estadisticas,0.1787,0.0141,0.3356,0.0416,300,1500,Letters
GBM,Estadisticas,0.095,0.0129,0.8283,0.0032,300,1500,Letters
LDA,Estadisticas_tm,0.3372,0.0206,0.8333,0.0,300,1500,Letters
SVM,Estadisticas_tm,0.2321,0.0099,0.42,0.0688,300,1500,Letters
GBM,Estadisticas_tm,0.1002,0.0157,0.8317,0.0022,300,1500,Letters
LDA,Frecuencias_Abs,0.4373,0.0398,0.8317,0.0033,300,1500,Letters
SVM,Frecuencias_Abs,0.4363,0.052,0.5072,0.2549,300,1500,Letters
GBM,Frecuencias_Abs,0.0923,0.0151,0.8317,0.0022,300,1500,Letters
LDA,Frecuencias_Rel,0.34,0.0285,0.8333,0.0,300,1500,Letters
SVM,Frecuencias_Rel,0.2529,0.0333,0.3856,0.122,300,1500,Letters
GBM,Frecuencias_Rel,0.0868,0.013,0.8272,0.0075,300,1500,Letters
LDA,Frecuencias_Est,0.2574,0.0303,0.8322,0.0014,300,1500,Letters
SVM,Frecuencias_Est,0.2066,0.023,0.3522,0.039,300,1500,Letters
GBM,Frecuencias_Est,0.0942,0.0138,0.8228,0.0073,300,1500,Letters
LDA,Wavelets,0.2757,0.0118,0.83,0.0044,300,1500,Letters
SVM,Wavelets,0.2951,0.0321,0.395,0.1452,300,1500,Letters
GBM,Wavelets,0.0836,0.011,0.8256,0.0069,300,1500,Letters
LDA,welch,0.3562,0.0445,0.8317,0.0033,300,1500,Letters
SVM,welch,0.3061,0.0257,0.4256,0.1397,300,1500,Letters
GBM,welch,0.0898,0.0121,0.8294,0.0065,300,1500,Letters
LDA,Frecuencias_Todas,0.2104,0.0163,0.8328,0.0011,300,1500,Letters
SVM,Frecuencias_Todas,0.1969,0.0262,0.3094,0.0621,300,1500,Letters
GBM,Frecuencias_Todas,0.0924,0.0088,0.825,0.0079,300,1500,Letters
LDA,TODAS,0.1452,0.0266,0.8261,0.0067,300,1500,Letters
SVM,TODAS,0.1943,0.0182,0.3311,0.0603,300,1500,Letters
GBM,TODAS,0.0949,0.0122,0.8289,0.0062,300,1500,Letters
