Categoria,Feature_Set,Clasificador,Acc_mean,Acc_std,AUC_mean,AUC_std,F1_mean,F1_std,N_samples,N_targets,N_nontargets
Letters,Estadisticas,LDA_shrinkage,0.831111111111111,0.0032394177193585303,0.22018333333333334,0.02894148310720174,0.0,0.0,1800,300,1500
Letters,Estadisticas,SVM_RBF,0.3472222222222222,0.06213783960769083,0.18819444444444447,0.014815980278231281,0.06519954831457994,0.018639034240280284,1800,300,1500
Letters,Estadisticas,GradientBoosting,0.8316666666666667,0.0033333333333333656,0.09661666666666666,0.012827480627904269,0.0,0.0,1800,300,1500
Letters,Estadisticas_tm,LDA_shrinkage,0.8333333333333334,0.0,0.3292111111111111,0.032348295507216795,0.0,0.0,1800,300,1500
Letters,Estadisticas_tm,SVM_RBF,0.3711111111111111,0.07739189991749464,0.25905555555555554,0.017181169709673236,0.1174720016072353,0.02734256711602728,1800,300,1500
Letters,Estadisticas_tm,GradientBoosting,0.8255555555555555,0.006431020501550147,0.10110000000000001,0.015439803459377253,0.0,0.0,1800,300,1500
Letters,Frecuencias_Abs,LDA_shrinkage,0.8305555555555555,0.0035136418446315727,0.43249999999999994,0.02270267428637176,0.0,0.0,1800,300,1500
Letters,Frecuencias_Abs,SVM_RBF,0.5083333333333334,0.2734778299182406,0.4307666666666667,0.030195845311467517,0.12272344640787033,0.10739832990315774,1800,300,1500
Letters,Frecuencias_Abs,GradientBoosting,0.8283333333333331,0.0027216552697591177,0.0958111111111111,0.01109158562176473,0.0,0.0,1800,300,1500
Letters,Frecuencias_Rel,LDA_shrinkage,0.8333333333333334,0.0,0.3540166666666667,0.03678800462040062,0.0,0.0,1800,300,1500
Letters,Frecuencias_Rel,SVM_RBF,0.35055555555555556,0.06988526752673949,0.26575,0.030141169908561777,0.13304377017668395,0.034026977072469086,1800,300,1500
Letters,Frecuencias_Rel,GradientBoosting,0.8283333333333334,0.005091750772173191,0.09645000000000001,0.010769762196900068,0.0,0.0,1800,300,1500
Letters,Frecuencias_Est,LDA_shrinkage,0.8300000000000001,0.004082482904638658,0.27113333333333334,0.010181658648742157,0.0,0.0,1800,300,1500
Letters,Frecuencias_Est,SVM_RBF,0.3188888888888889,0.026666666666666672,0.2285222222222222,0.010109071833424339,0.1203688904060967,0.02357178979511811,1800,300,1500
Letters,Frecuencias_Est,GradientBoosting,0.8222222222222223,0.007243558228002951,0.10729999999999999,0.0069088063323754865,0.0,0.0,1800,300,1500
Letters,Wavelets,LDA_shrinkage,0.8322222222222223,0.0013608276348795385,0.29486666666666667,0.016996408480457498,0.0,0.0,1800,300,1500
Letters,Wavelets,SVM_RBF,0.2883333333333334,0.102370062174591,0.32882222222222224,0.011024798086110498,0.18837843167815643,0.04149751776362025,1800,300,1500
Letters,Wavelets,GradientBoosting,0.825,0.011111111111111122,0.09772222222222222,0.012088332299278415,0.0,0.0,1800,300,1500
Letters,welch,LDA_shrinkage,0.8333333333333334,0.0,0.36256111111111117,0.04231759477050294,0.0,0.0,1800,300,1500
Letters,welch,SVM_RBF,0.3966666666666667,0.10057550446687023,0.31203888888888887,0.009505920831997179,0.15872930738313235,0.025311065066799143,1800,300,1500
Letters,welch,GradientBoosting,0.8261111111111111,0.008534606386520694,0.10150555555555556,0.01403456271557058,0.0,0.0,1800,300,1500
Letters,Frecuencias_Todas,LDA_shrinkage,0.8205555555555556,0.0071578326259584095,0.21423333333333336,0.011841397877940904,0.0,0.0,1800,300,1500
Letters,Frecuencias_Todas,SVM_RBF,0.33444444444444443,0.10385471808798964,0.18731111111111107,0.021677827609715483,0.08785699250547503,0.03925889174401687,1800,300,1500
Letters,Frecuencias_Todas,GradientBoosting,0.8283333333333334,0.004444444444444479,0.08662222222222221,0.009468443364834923,0.0,0.0,1800,300,1500
Numbers,Wavelets,LDA_shrinkage,0.8200425460277622,0.009939820648940112,0.23425539640179366,0.017641870112194803,0.0,0.0,1806,301,1505
Numbers,Wavelets,SVM_RBF,0.271904317350515,0.12628574617211,0.2842265308715938,0.0332165581732115,0.16655941848321362,0.06737686339428854,1806,301,1505
Numbers,Wavelets,GradientBoosting,0.8266861541757855,0.006758315045349855,0.09266833687344553,0.016551491878527287,0.0,0.0,1806,301,1505
Numbers,welch,LDA_shrinkage,0.8333343536217688,0.0009213204572932731,0.3074024653704409,0.019240442517574615,0.0,0.0,1806,301,1505
Numbers,welch,SVM_RBF,0.34883304510185026,0.02941936418497082,0.2295187262857869,0.01588185785176382,0.09948254903617851,0.01589328472591586,1806,301,1505
Numbers,welch,GradientBoosting,0.8222632038077163,0.009085783092549964,0.09719586805366447,0.006793318478552233,0.0,0.0,1806,301,1505
GENERAL,Wavelets,LDA_shrinkage,0.8269550985281292,0.0030860915487382606,0.296697538079326,0.015993429205921332,0.0,0.0,3606,601,3005
GENERAL,Wavelets,SVM_RBF,0.6109189683457494,0.026263112967488338,0.31228698266892185,0.02440131377046958,0.038098768264447046,0.008826294194217566,3606,601,3005
GENERAL,Wavelets,GradientBoosting,0.8258451442863673,0.005399300446120485,0.10999990832542639,0.012240028194875524,0.0,0.0,3606,601,3005
GENERAL,welch,LDA_shrinkage,0.832501411935562,0.0016121532851113886,0.36873836305881386,0.02288302114995243,0.0,0.0,3606,601,3005
GENERAL,welch,SVM_RBF,0.37631021857146696,0.07891899123681138,0.28550364864802924,0.011491414604108331,0.13910639159867405,0.04069040586181636,3606,601,3005
GENERAL,welch,GradientBoosting,0.8241823260245658,0.0041330394619678796,0.13962476451093905,0.01392707348049913,0.0,0.0,3606,601,3005
