Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
184641.20411872864,4254.121,4207.758,4187.152,4364.364,4244.3335,4540.031,4372.091,4341.1816,4486.4546,3770.394,4446.273,4238.152,4239.182,4141.8184
184652.19402313232,4248.9697,4205.6973,4173.758,4356.6367,4236.091,4530.758,4363.848,4332.9395,4481.8184,3766.273,4436.485,4229.909,4236.6064,4130.485
184655.1957130432,4246.394,4201.0605,4170.1514,4354.5757,4235.0605,4530.2427,4364.879,4328.303,4476.667,3760.606,4439.576,4229.394,4234.5454,4127.394
184668.14041137695,4252.5757,4204.6665,4177.364,4360.758,4240.7275,4541.061,4372.091,4339.636,4481.8184,3769.879,4450.909,4236.6064,4240.2124,4136.152
184692.21687316895,4248.4546,4205.6973,4175.303,4360.2427,4239.697,4541.5757,4371.061,4336.546,4480.788,3769.879,4444.2124,4230.9395,4239.182,4131.0005
184693.15719604492,4232.485,4189.2124,4156.2427,4346.8486,4236.091,4537.4546,4374.1514,4338.091,4479.2427,3753.9094,4422.061,4216.0,4226.303,4115.0303
184694.14448738098,4234.0303,4189.2124,4155.727,4346.8486,4237.1216,4533.8486,4374.1514,4341.1816,4481.303,3753.9094,4424.1216,4216.0,4223.2124,4117.6064
184696.14672660828,4224.758,4189.7275,4156.758,4343.2427,4235.5757,4528.6973,4366.9395,4334.4854,4478.2124,3753.9094,4421.031,4205.1816,4221.6665,4110.394
184698.10485839844,4219.091,4188.6973,4154.6973,4341.1816,4234.0303,4529.2124,4364.364,4334.4854,4478.2124,3752.8792,4416.909,4201.0605,4219.091,4106.273
184707.11541175842,4227.8486,4188.1816,4157.273,4341.6973,4235.0605,4530.2427,4366.9395,4340.1514,4477.6973,3751.8489,4415.364,4208.273,4217.0303,4109.364
184714.20121192932,4236.091,4191.273,4168.091,4344.788,4235.5757,4530.758,4366.4243,4342.7275,4479.2427,3760.606,4423.6064,4217.0303,4224.2427,4116.5757
184736.23514175415,4241.2427,4199.5156,4176.3335,4350.9697,4236.6064,4530.758,4365.394,4344.273,4490.576,3772.9697,4440.0913,4227.3335,4238.152,4129.4546
184737.1904850006,4246.909,4204.6665,4175.303,4355.0913,4238.667,4529.7275,4367.9697,4343.758,4491.0913,3772.4546,4448.8486,4234.5454,4246.394,4138.727
184740.35000801086,4251.031,4204.6665,4173.2427,4356.6367,4239.182,4530.2427,4369.5156,4339.636,4479.758,3768.3335,4445.2427,4235.0605,4245.879,4137.6973
184759.26327705383,4248.4546,4203.6367,4175.303,4355.0913,4236.6064,4530.758,4369.5156,4343.758,4484.394,3772.4546,4441.6367,4233.515,4242.273,4134.0913
184760.43581962585,4241.2427,4193.8486,4171.6973,4348.909,4234.5454,4526.1216,4369.5156,4345.303,4490.576,3770.394,4438.031,4228.364,4237.1216,4131.5156
184774.20711517334,4235.5757,4186.121,4165.515,4342.2124,4235.5757,4530.758,4369.5156,4335.515,4480.788,3758.5454,4430.303,4220.6367,4231.9697,4125.3335
184781.1393737793,4237.1216,4196.9395,4169.1216,4342.7275,4237.636,4540.546,4371.061,4335.515,4476.152,3760.091,4430.8184,4218.576,4231.9697,4123.273
184781.25095367432,4240.7275,4202.0913,4170.667,4346.8486,4238.152,4542.0913,4374.6665,4347.364,4481.8184,3769.879,4432.879,4220.6367,4236.091,4125.8486
184786.24320030212,4236.6064,4188.6973,4161.394,4341.1816,4236.091,4539.0,4370.5454,4343.758,4482.3335,3766.788,4426.182,4217.0303,4233.0,4120.182
184793.19190979004,4233.515,4183.546,4154.6973,4333.4546,4235.5757,4537.9697,4363.848,4332.9395,4481.303,3761.1213,4424.6367,4212.3945,4226.8184,4111.4243
184802.15120315552,4236.091,4193.8486,4160.364,4338.091,4238.152,4532.8184,4366.9395,4337.5757,4480.273,3768.8486,4431.3335,4217.5454,4230.4243,4114.0
184818.12405586243,4237.1216,4194.3633,4163.9697,4347.364,4238.152,4526.6367,4371.576,4341.6973,4480.273,3775.0305,4433.9097,4218.0605,4231.4546,4117.091
184818.21942329407,4233.515,4186.121,4158.819,4344.788,4235.5757,4532.303,4369.0005,4341.6973,4487.4854,3770.394,4429.788,4207.758,4224.2427,4111.9395
184836.21525764465,4231.9697,4192.3027,4158.819,4343.2427,4242.788,4542.6064,4370.0303,4343.758,4496.758,3770.394,4429.788,4206.2124,4224.2427,4112.4546
184855.15189170837,4238.152,4207.242,4171.182,4354.5757,4251.546,4542.0913,4377.2427,4346.3335,4498.3027,3776.5762,4433.9097,4220.121,4235.0605,4124.8184
184858.18791389465,4240.7275,4205.6973,4175.8184,4357.6665,4244.3335,4540.546,4377.2427,4348.394,4489.546,3776.0608,4433.9097,4226.8184,4237.1216,4131.0005
184860.54158210754,4236.6064,4191.788,4162.4243,4347.364,4233.0,4540.546,4369.0005,4341.6973,4478.2124,3768.3335,4427.7275,4216.5156,4226.303,4124.303
184901.21817588806,4233.515,4187.667,4154.182,4340.1514,4235.5757,4534.364,4365.9087,4331.909,4475.1216,3760.606,4420.515,4205.6973,4219.091,4116.0605
184918.20192337036,4230.4243,4188.1816,4157.273,4341.1816,4237.636,4529.2124,4366.9395,4329.3335,4477.182,3757.0002,4416.394,4204.152,4219.606,4111.4243
184919.3172454834,4236.6064,4193.8486,4160.8794,4347.364,4245.879,4528.6973,4366.4243,4335.0,4481.303,3769.3638,4420.0,4205.6973,4220.121,4110.909
184921.226978302,4234.5454,4187.152,4161.909,4344.788,4236.6064,4524.576,4359.727,4333.9697,4468.94,3770.394,4419.485,4211.364,4219.091,4114.515
184922.24526405334,4237.1216,4191.788,4170.667,4352.0,4248.9697,4528.182,4366.4243,4337.0605,4472.0303,3774.0,4424.6367,4217.0303,4220.6367,4118.1216
184923.18272590637,4236.6064,4194.879,4166.0303,4354.5757,4254.121,4543.1216,4371.061,4341.1816,4482.3335,3773.4849,4424.1216,4212.909,4220.6367,4114.0
184933.18009376526,4235.0605,4193.8486,4157.788,4352.515,4249.4854,4540.546,4369.0005,4338.091,4481.8184,3772.9697,4426.6973,4204.6665,4219.606,4108.3335
184936.17296218872,4233.515,4190.758,4159.8486,4349.9395,4248.4546,4527.667,4364.879,4333.9697,4478.7275,3772.9697,4431.8486,4205.6973,4220.6367,4108.3335
184944.14496421814,4233.515,4190.758,4166.0303,4348.394,4249.4854,4534.879,4365.9087,4336.0303,4480.788,3776.5762,4432.364,4212.909,4222.1816,4112.9697
184951.1318206787,4234.0303,4192.3027,4168.091,4347.364,4248.9697,4547.2427,4371.061,4339.121,4480.273,3783.788,4432.364,4214.9697,4223.7275,4116.5757
184959.4762325287,4234.5454,4193.3335,4169.1216,4348.394,4247.9395,4545.182,4377.758,4342.2124,4488.5156,3784.303,4431.8486,4213.4243,4224.2427,4115.546
184967.18645095825,4235.0605,4195.394,4169.636,4347.364,4250.0,4543.1216,4382.909,4346.8486,4495.7275,3779.667,4429.788,4216.5156,4223.2124,4112.4546
184975.19707679749,4235.0605,4194.879,4171.182,4346.3335,4248.4546,4546.2124,4380.333,4344.788,4486.4546,3777.091,4431.3335,4219.606,4221.1514,4112.9697
184983.18767547607,4236.6064,4190.758,4171.6973,4347.879,4240.2124,4543.636,4373.6367,4336.546,4478.2124,3774.5151,4428.758,4218.0605,4221.6665,4110.394
184991.19567871094,4235.0605,4188.6973,4170.1514,4346.3335,4236.091,4538.485,4372.606,4333.9697,4480.788,3767.3032,4423.0913,4216.5156,4220.6367,4109.364
185000.12588500977,4235.0605,4193.8486,4171.6973,4348.909,4239.182,4539.515,4377.758,4342.2124,4487.4854,3768.3335,4427.2124,4219.091,4220.121,4117.6064
185018.18752288818,4243.818,4202.0913,4172.2124,4353.5454,4240.7275,4543.1216,4379.303,4348.394,4493.152,3777.6064,4433.9097,4222.1816,4228.364,4126.879
185019.37413215637,4251.031,4203.6367,4174.788,4352.0,4238.152,4539.515,4377.758,4346.8486,4492.121,3779.667,4432.364,4224.758,4235.5757,4127.909
185030.18927574158,4251.031,4200.031,4176.3335,4348.909,4235.0605,4532.303,4376.212,4346.8486,4485.9395,3775.546,4427.2124,4223.2124,4229.909,4129.4546
185032.1695804596,4249.4854,4201.576,4172.7275,4349.9395,4236.091,4535.909,4377.758,4344.788,4483.364,3774.5151,4421.031,4219.606,4221.1514,4131.5156
185056.2562942505,4244.3335,4202.0913,4172.2124,4348.909,4238.152,4542.6064,4378.7876,4339.121,4480.788,3771.9395,4416.909,4218.576,4219.091,4124.8184
185057.16919898987,4237.636,4192.8184,4168.606,4344.788,4238.152,4540.546,4375.182,4336.0303,4477.182,3763.1821,4418.4546,4214.455,4219.091,4112.9697
185059.82494354248,4235.5757,4187.667,4158.303,4344.788,4237.1216,4537.4546,4370.5454,4333.9697,4478.7275,3759.0608,4416.394,4206.727,4212.3945,4107.8184
185062.1223449707,4235.0605,4191.273,4158.819,4345.303,4237.636,4539.515,4372.606,4332.425,4479.2427,3761.1213,4409.182,4203.6367,4204.6665,4109.879
185071.18773460388,4236.6064,4192.8184,4171.6973,4344.273,4237.1216,4540.546,4375.182,4336.0303,4477.6973,3761.1213,4407.6367,4211.879,4206.727,4114.0
185078.18484306335,4238.152,4190.242,4174.788,4345.8184,4236.6064,4538.485,4371.061,4338.6064,4478.2124,3762.1519,4411.2427,4220.6367,4216.0,4114.515
185086.18664741516,4237.636,4189.7275,4170.1514,4345.303,4236.091,4541.061,4368.485,4337.0605,4478.2124,3765.7578,4421.546,4220.6367,4220.6367,4117.091
185095.16739845276,4238.667,4192.8184,4173.2427,4345.303,4236.6064,4539.515,4375.182,4342.7275,4480.788,3770.9092,4428.758,4220.6367,4221.6665,4122.758
185109.18807983398,4239.697,4193.3335,4172.7275,4348.394,4238.152,4528.6973,4378.7876,4348.394,4482.8486,3772.9697,4424.1216,4222.1816,4223.7275,4121.2124
185112.18810081482,4237.1216,4190.758,4164.485,4344.788,4232.485,4523.0303,4374.6665,4340.1514,4479.758,3766.273,4415.364,4213.9395,4218.576,4112.4546
185125.15449523926,4235.0605,4186.6367,4156.758,4331.909,4220.6367,4526.1216,4369.0005,4331.394,4469.9697,3753.394,4409.182,4203.6367,4206.2124,4106.788
185127.12597846985,4236.091,4185.6064,4155.212,4329.3335,4218.0605,4524.0605,4362.8184,4329.3335,4464.303,3755.4546,4406.091,4201.576,4204.152,4107.303
185135.2243423462,4234.5454,4187.152,4158.819,4340.667,4222.6973,4522.5156,4360.2427,4336.0303,4474.0913,3770.9092,4412.273,4202.606,4217.0303,4109.364
185141.2124633789,4226.303,4187.152,4158.819,4341.6973,4221.6665,4529.2124,4364.879,4342.2124,4485.9395,3775.546,4420.0,4204.152,4223.2124,4110.909
185149.1310596466,4218.576,4184.0605,4149.0303,4331.909,4222.1816,4532.8184,4369.0005,4340.1514,4483.364,3769.3638,4412.788,4202.0913,4216.0,4102.1514
185157.18531608582,4217.0303,4183.546,4144.3945,4330.879,4229.909,4531.273,4370.0303,4339.121,4478.2124,3769.3638,4407.6367,4196.9395,4214.455,4094.4246
185165.20643234253,4225.788,4187.152,4154.6973,4341.6973,4236.091,4531.273,4372.091,4342.2124,4484.909,3773.4849,4416.394,4200.031,4219.091,4101.636
185173.11787605286,4235.0605,4190.242,4163.4546,4348.909,4236.091,4532.303,4374.6665,4342.7275,4492.121,3774.0,4421.546,4207.242,4220.6367,4110.394
185181.21647834778,4235.5757,4189.2124,4158.303,4340.1514,4227.3335,4531.788,4370.0303,4342.7275,4489.546,3772.9697,4419.485,4205.1816,4221.1514,4108.8486
185189.1210079193,4232.485,4184.576,4154.6973,4330.879,4219.606,4527.667,4365.9087,4345.8184,4482.8486,3772.4546,4416.394,4202.606,4220.6367,4106.273
185197.1309185028,4229.909,4184.0605,4157.788,4336.546,4221.1514,4525.091,4365.9087,4344.788,4479.2427,3772.4546,4416.909,4204.6665,4218.0605,4105.758
185204.14113998413,4226.8184,4186.121,4159.3335,4340.667,4221.6665,4527.152,4366.4243,4343.2427,4480.788,3774.0,4415.879,4204.6665,4217.0303,4103.697
185212.20135688782,4221.6665,4184.0605,4157.273,4331.394,4219.606,4529.7275,4369.5156,4347.364,4483.364,3770.394,4411.2427,4203.121,4212.909,4101.636
185229.24876213074,4220.6367,4184.576,4156.758,4328.8184,4226.303,4529.7275,4373.1216,4348.909,4482.3335,3763.1821,4408.152,4203.121,4206.2124,4100.6064
185237.3185157776,4228.879,4188.6973,4160.364,4340.667,4236.6064,4530.2427,4372.091,4346.3335,4481.303,3764.2124,4413.303,4205.1816,4209.3027,4103.697
185238.29317092896,4234.5454,4191.788,4163.9697,4348.909,4237.636,4531.788,4372.091,4346.8486,4482.8486,3775.546,4423.0913,4207.242,4221.1514,4110.394
185262.26329803467,4226.8184,4192.3027,4161.394,4347.879,4234.5454,4531.273,4372.091,4345.8184,4482.8486,3780.6973,4425.667,4207.242,4223.7275,4111.4243
185263.258934021,4217.5454,4189.7275,4157.273,4344.788,4236.091,4528.6973,4365.9087,4345.303,4482.8486,3772.9697,4421.546,4205.6973,4217.5454,4104.212
185265.3260231018,4220.121,4188.1816,4156.758,4344.788,4233.515,4527.667,4360.758,4345.303,4478.7275,3769.3638,4418.4546,4203.6367,4218.576,4099.0605
185269.30117607117,4221.1514,4187.667,4157.788,4344.788,4225.273,4527.667,4361.7876,4339.121,4471.0005,3768.8486,4418.4546,4202.606,4218.0605,4099.0605
185292.38510131836,4218.576,4189.2124,4158.303,4345.303,4226.303,4527.667,4361.7876,4336.0303,4473.061,3764.2124,4416.909,4203.121,4209.8184,4098.0303
185306.18453025818,4222.1816,4189.2124,4157.273,4344.788,4232.485,4527.667,4361.273,4344.273,4478.2124,3761.1213,4413.303,4203.6367,4205.1816,4095.9697
