Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3996054.0528297424,4238.152,4206.727,4139.2427,4410.7275,4252.0605,4525.606,4353.0303,4278.849,4462.7583,3742.576,4421.031,4226.303,4265.97,4095.4546
3996067.0161247253,4238.152,4208.273,4139.758,4409.182,4241.7573,4528.182,4358.6973,4282.4546,4472.5454,3755.97,4420.515,4221.6665,4267.0,4102.1514
3996069.982767105,4239.182,4208.7876,4139.2427,4403.0,4219.606,4528.6973,4362.303,4281.9395,4476.667,3763.6973,4418.4546,4219.091,4265.4546,4108.8486
3996077.9600143433,4239.182,4205.6973,4137.182,4401.4546,4233.0,4526.6367,4356.1216,4269.0605,4467.909,3751.8489,4416.909,4220.121,4268.546,4110.394
3996086.07673645,4235.0605,4200.031,4133.061,4401.4546,4258.7573,4524.0605,4344.273,4268.031,4459.6665,3745.1516,4414.8486,4216.0,4267.0,4107.303
3996094.0363407135,4235.5757,4203.121,4136.6665,4405.0605,4248.4546,4524.0605,4345.8184,4283.485,4464.819,3758.5454,4416.909,4218.0605,4265.4546,4107.8184
3996106.0090065002,4239.697,4207.242,4141.8184,4413.303,4242.788,4524.576,4353.5454,4287.606,4467.394,3762.667,4417.4243,4221.6665,4267.0,4111.9395
3996109.37166214,4240.2124,4206.727,4141.303,4416.909,4256.1816,4523.0303,4352.515,4282.4546,4464.303,3746.697,4416.909,4221.1514,4266.485,4110.394
3996116.959810257,4238.667,4210.334,4142.3335,4417.4243,4242.788,4526.1216,4352.515,4285.031,4464.819,3736.9094,4421.546,4225.273,4267.0,4104.212
3996126.0373592377,4236.6064,4212.3945,4139.758,4415.879,4225.273,4525.606,4355.606,4284.515,4466.364,3746.697,4421.546,4225.788,4265.4546,4098.0303
3996132.973432541,4234.5454,4205.1816,4133.061,4406.6064,4239.697,4519.4243,4355.0913,4279.364,4467.909,3756.4849,4416.909,4218.0605,4262.364,4096.4854
3996145.035982132,4234.5454,4199.5156,4135.1216,4399.909,4253.0913,4518.909,4355.606,4280.394,4475.6367,3758.5454,4422.576,4222.1816,4265.97,4103.697
3996149.3706703186,4236.6064,4200.5454,4141.303,4401.4546,4244.8486,4523.5454,4359.2124,4281.9395,4478.2124,3760.606,4428.758,4235.0605,4268.546,4110.909
3996157.073020935,4241.2427,4201.576,4141.303,4400.9395,4232.485,4524.0605,4361.7876,4281.4243,4471.515,3761.1213,4426.182,4236.6064,4267.0,4107.303
3996166.0163402557,4250.0,4205.6973,4142.3335,4406.6064,4220.121,4525.091,4363.848,4283.485,4474.0913,3753.394,4431.3335,4233.515,4277.8184,4112.4546
3996172.9547977448,4252.0605,4211.364,4144.909,4416.394,4217.5454,4527.667,4365.9087,4287.0913,4478.7275,3749.7883,4440.0913,4239.697,4289.152,4124.303
3996180.0174713135,4240.2124,4205.1816,4140.7876,4408.152,4244.3335,4526.1216,4361.7876,4286.0605,4473.576,3763.1821,4428.2427,4236.091,4274.2124,4113.485
3996189.029932022,4233.0,4199.5156,4138.2124,4401.9697,4263.394,4525.606,4359.727,4282.4546,4471.515,3772.9697,4415.364,4225.273,4261.8486,4101.121
3996196.942806244,4236.6064,4205.1816,4142.3335,4412.788,4247.9395,4527.667,4362.303,4279.879,4473.061,3762.667,4418.4546,4225.273,4264.4243,4107.303
3996204.0174007416,4237.1216,4206.727,4141.303,4416.909,4246.909,4527.667,4361.273,4279.879,4465.8486,3754.9397,4418.9697,4225.273,4258.2427,4103.697
3996212.0101451874,4234.5454,4208.7876,4137.182,4413.8184,4257.7275,4528.6973,4362.303,4280.394,4467.394,3757.5151,4420.515,4219.091,4255.152,4094.9397
3996219.935655594,4235.0605,4215.485,4136.152,4415.879,4241.2427,4530.2427,4368.485,4277.303,4478.2124,3747.2122,4428.758,4218.576,4267.515,4099.0605
3996227.936267853,4237.636,4213.9395,4138.727,4414.3335,4232.485,4531.788,4369.5156,4269.5757,4479.758,3742.576,4428.758,4221.1514,4272.667,4102.667
3996236.01603508,4236.091,4206.2124,4138.2124,4408.667,4251.546,4530.758,4366.4243,4267.0,4478.7275,3770.394,4417.4243,4217.5454,4263.9097,4098.0303
3996247.99656868,4235.5757,4202.606,4135.1216,4409.6973,4260.818,4527.667,4367.9697,4274.7275,4480.273,3778.6367,4417.9395,4218.0605,4263.394,4099.0605
3996252.0184516907,4242.273,4207.242,4142.848,4412.273,4248.4546,4528.182,4373.1216,4282.97,4481.8184,3759.0608,4429.273,4231.4546,4273.697,4108.8486
3996259.0141296387,4252.0605,4219.606,4153.1514,4410.7275,4235.0605,4532.8184,4377.2427,4284.515,4484.394,3759.0608,4434.4243,4241.2427,4284.515,4122.2427
3996267.056465149,4252.5757,4220.6367,4148.5156,4408.152,4239.697,4532.8184,4377.758,4284.0,4483.879,3764.7275,4432.364,4238.667,4284.0,4128.4243
3996275.0432491302,4247.9395,4205.6973,4139.2427,4408.152,4250.0,4528.182,4373.1216,4283.485,4481.303,3764.2124,4424.1216,4231.9697,4271.121,4117.6064
