Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
244729.27737236023,4235.5757,4188.1816,4209.8184,4340.1514,4221.6665,4530.758,4375.182,4329.8486,4469.9697,3725.061,4415.879,4203.121,4218.576,4121.7275
244741.23978614807,4231.9697,4186.6367,4208.7876,4337.0605,4223.2124,4531.788,4377.758,4332.425,4473.576,3723.5154,4416.394,4201.576,4214.9697,4122.758
244745.1457977295,4233.0,4186.121,4213.4243,4338.6064,4222.1816,4531.273,4377.2427,4337.5757,4480.788,3732.7878,4429.273,4204.152,4226.303,4126.879
244753.2000541687,4233.515,4186.6367,4217.5454,4343.2427,4220.121,4527.152,4371.061,4340.1514,4484.909,3741.0305,4433.9097,4204.152,4234.0303,4125.3335
244760.1203918457,4233.0,4186.6367,4216.5156,4344.273,4219.091,4523.5454,4369.5156,4338.091,4480.788,3738.4548,4430.303,4202.606,4229.909,4124.8184
244768.54181289673,4231.9697,4186.6367,4214.9697,4339.636,4218.0605,4524.576,4373.1216,4338.091,4478.7275,3734.3335,4431.3335,4204.6665,4227.3335,4124.8184
244777.22573280334,4232.485,4186.6367,4219.606,4337.0605,4219.091,4526.6367,4373.1216,4338.6064,4483.364,3731.7576,4432.364,4206.727,4235.0605,4124.8184
244795.17674446106,4235.0605,4186.121,4217.0303,4335.0,4219.091,4524.576,4371.061,4331.909,4478.7275,3731.2427,4427.7275,4207.758,4234.0303,4126.364
244797.14679718018,4236.6064,4185.0913,4206.2124,4329.8486,4216.0,4522.0,4368.485,4326.2427,4465.3335,3731.7576,4423.6064,4205.1816,4221.6665,4123.788
244800.11558532715,4236.6064,4185.0913,4206.727,4329.8486,4215.485,4525.091,4365.9087,4329.8486,4468.4243,3731.7576,4423.6064,4204.152,4221.6665,4125.8486
244808.50744247437,4236.6064,4187.152,4219.091,4338.091,4218.576,4527.667,4364.879,4332.9395,4480.788,3730.2124,4427.7275,4213.4243,4233.0,4137.6973
244816.19930267334,4235.0605,4188.1816,4220.121,4339.121,4219.606,4526.1216,4363.848,4330.879,4480.788,3731.7576,4433.394,4220.6367,4240.7275,4141.8184
244824.25665855408,4235.5757,4186.6367,4209.3027,4333.9697,4219.091,4525.606,4363.3335,4329.8486,4475.1216,3731.7576,4430.8184,4211.879,4235.5757,4132.031
244832.14664459229,4232.485,4183.546,4203.6367,4330.879,4218.576,4527.152,4367.9697,4329.8486,4475.1216,3727.1216,4421.031,4201.0605,4223.7275,4122.758
244855.1414012909,4223.2124,4180.9697,4203.121,4329.8486,4218.576,4527.152,4372.091,4331.394,4473.576,3721.4546,4414.3335,4201.0605,4218.576,4119.667
244856.14919662476,4218.576,4177.364,4202.606,4329.3335,4218.0605,4525.606,4369.0005,4333.4546,4467.909,3718.3638,4410.2124,4200.5454,4217.5454,4117.091
244858.0882549286,4219.606,4175.303,4201.576,4327.788,4216.5156,4525.091,4362.8184,4326.2427,4462.7583,3713.2124,4402.4854,4191.788,4208.7876,4112.4546
244863.1522655487,4221.1514,4178.909,4202.0913,4326.7573,4216.5156,4524.576,4360.758,4318.515,4460.182,3711.1519,4398.879,4188.6973,4200.5454,4110.394
244871.23656272888,4225.788,4186.121,4205.1816,4329.8486,4220.6367,4524.0605,4363.3335,4325.212,4463.788,3716.3032,4405.0605,4193.3335,4206.2124,4112.9697
244879.47249412537,4227.8486,4187.667,4205.6973,4332.9395,4223.2124,4527.152,4365.394,4329.8486,4463.788,3716.8184,4405.5757,4191.788,4208.273,4110.394
244887.25423812866,4220.121,4184.576,4204.152,4329.8486,4222.1816,4526.1216,4360.758,4324.697,4462.2427,3712.6973,4399.909,4190.242,4201.0605,4104.7275
244895.24579048157,4220.121,4186.121,4205.6973,4331.909,4221.1514,4524.0605,4359.2124,4327.788,4465.8486,3717.8486,4404.0303,4199.5156,4206.727,4110.909
244903.27310562134,4227.3335,4187.152,4208.7876,4338.6064,4222.1816,4523.0303,4361.7876,4331.909,4465.8486,3721.9697,4409.182,4207.242,4217.0303,4120.6973
244911.2343788147,4223.7275,4186.121,4206.2124,4336.0303,4223.2124,4516.334,4360.758,4324.697,4460.6978,3718.3638,4406.091,4202.0913,4214.455,4116.5757
244919.4474220276,4219.606,4186.6367,4205.6973,4329.3335,4222.6973,4514.788,4360.758,4324.697,4461.7275,3723.0005,4409.6973,4199.5156,4214.455,4111.4243
244926.5010356903,4222.1816,4180.4546,4207.758,4328.8184,4221.1514,4523.5454,4361.7876,4330.879,4469.9697,3732.7878,4418.4546,4203.6367,4221.6665,4115.546
244934.26251411438,4220.6367,4175.8184,4204.6665,4330.879,4220.121,4527.152,4362.303,4328.303,4467.394,3732.273,4417.4243,4202.606,4220.121,4118.1216
244947.3066329956,4219.606,4184.0605,4205.1816,4330.879,4220.121,4523.0303,4365.9087,4329.3335,4464.303,3730.2124,4416.394,4201.576,4217.5454,4118.1216
244969.15864944458,4223.2124,4186.121,4209.3027,4330.879,4222.1816,4523.5454,4366.9395,4339.121,4475.6367,3733.818,4420.0,4205.6973,4223.2124,4122.758
244971.41981124878,4221.1514,4174.788,4204.6665,4327.788,4221.6665,4525.091,4362.8184,4341.1816,4478.7275,3731.7576,4419.485,4204.152,4222.6973,4125.3335
244972.19967842102,4223.2124,4175.303,4206.727,4328.303,4219.606,4524.576,4359.727,4336.0303,4468.94,3724.5457,4420.0,4204.152,4222.1816,4121.2124
244974.30729866028,4235.5757,4188.6973,4221.6665,4337.0605,4224.758,4525.091,4362.303,4337.0605,4470.485,3727.6365,4428.758,4217.5454,4231.9697,4126.879
244982.56158828735,4240.7275,4192.3027,4226.303,4346.3335,4234.0303,4526.1216,4365.394,4346.3335,4483.364,3741.5457,4444.727,4227.8486,4244.3335,4142.848
244992.9177761078,4238.667,4188.6973,4223.2124,4348.394,4236.091,4528.6973,4364.364,4351.485,4486.97,3748.2424,4451.94,4225.788,4249.4854,4144.909
244999.835729599,4234.5454,4187.152,4220.121,4342.2124,4233.515,4526.6367,4360.2427,4340.1514,4477.182,3736.9094,4441.1216,4221.6665,4240.2124,4131.5156
245005.15151023865,4226.303,4185.6064,4211.364,4334.4854,4232.485,4522.5156,4359.2124,4327.2725,4464.819,3719.9092,4428.758,4213.9395,4223.7275,4121.2124
245013.23866844177,4227.3335,4186.6367,4209.8184,4331.909,4235.0605,4525.091,4364.879,4330.879,4461.2124,3713.7275,4425.667,4206.727,4219.091,4122.2427
245021.12913131714,4235.5757,4187.667,4217.5454,4333.4546,4236.091,4528.6973,4369.0005,4334.4854,4464.819,3716.8184,4425.667,4210.334,4223.7275,4126.879
245029.1304588318,4237.636,4188.1816,4212.909,4333.9697,4228.879,4526.6367,4368.485,4330.879,4463.273,3717.3335,4420.515,4210.8486,4221.1514,4126.879
