Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
375582.30662345886,4208.273,4169.636,4095.9697,4318.515,4203.121,4501.3945,4330.879,4299.4546,4461.2124,3688.485,4378.2725,4185.6064,4211.879,4098.0303
375589.44439888,4213.4243,4173.758,4100.091,4317.4854,4202.606,4493.152,4328.303,4290.182,4451.4243,3689.5154,4388.5757,4191.273,4222.6973,4102.667
375601.2530326843,4218.0605,4170.667,4095.9697,4316.4546,4201.576,4496.758,4327.788,4281.9395,4446.273,3684.364,4379.303,4185.6064,4219.091,4098.0303
375605.26180267334,4216.5156,4171.182,4095.4546,4318.0005,4202.606,4498.3027,4329.3335,4285.031,4450.909,3684.8792,4371.061,4187.667,4206.727,4095.4546
375613.21663856506,4217.5454,4171.6973,4094.4246,4317.4854,4201.0605,4496.242,4331.394,4288.121,4450.909,3683.3337,4371.061,4188.1816,4203.6367,4094.9397
375621.20819091797,4220.6367,4170.667,4092.8792,4314.909,4194.879,4495.7275,4331.394,4288.636,4446.7876,3673.0305,4365.9087,4178.909,4203.6367,4093.394
375629.2052268982,4219.091,4169.636,4093.394,4314.909,4194.879,4495.2124,4331.394,4291.7275,4449.364,3670.97,4361.273,4176.8486,4201.0605,4094.4246
375636.2895965576,4218.0605,4162.4243,4089.788,4314.909,4201.0605,4497.273,4332.425,4291.2124,4448.8486,3679.2122,4363.848,4179.9395,4203.121,4094.9397
375644.2687511444,4218.576,4156.2427,4088.7576,4311.303,4201.0605,4498.8184,4331.909,4290.182,4448.334,3681.2727,4362.303,4177.879,4200.5454,4094.9397
375652.2042751312,4220.6367,4165.515,4093.9092,4311.303,4199.5156,4496.242,4331.909,4290.182,4449.8794,3679.7275,4361.273,4183.546,4196.9395,4100.091
375661.3802909851,4221.6665,4170.667,4095.9697,4316.4546,4199.0,4494.6973,4330.879,4285.5454,4448.334,3683.8489,4362.8184,4192.8184,4205.6973,4104.7275
375669.98744010925,4220.121,4163.4546,4093.394,4315.94,4192.3027,4493.667,4328.303,4281.9395,4448.334,3682.303,4363.3335,4186.121,4207.242,4100.6064
375681.41412734985,4219.091,4163.4546,4092.8792,4313.364,4192.3027,4494.1816,4327.2725,4284.0,4448.8486,3673.546,4359.727,4179.9395,4193.3335,4095.4546
375684.2248439789,4221.1514,4170.1514,4090.303,4315.94,4202.0913,4495.7275,4328.303,4281.9395,4441.6367,3666.8486,4355.0913,4184.0605,4186.121,4092.8792
375692.53039360046,4217.0303,4173.2427,4086.697,4317.4854,4204.152,4497.273,4328.8184,4277.8184,4434.94,3664.273,4354.5757,4182.0,4192.3027,4085.667
375708.6954116821,4207.758,4169.1216,4086.697,4315.94,4201.0605,4497.273,4328.8184,4283.485,4440.606,3666.8486,4354.5757,4172.7275,4191.788,4077.9392
375708.7731361389,4202.606,4160.364,4080.5154,4314.3936,4200.031,4495.2124,4328.303,4283.485,4444.727,3667.3638,4347.879,4169.636,4183.0303,4074.8486
375717.62013435364,4202.0913,4157.788,4077.4243,4311.8184,4202.0913,4494.6973,4325.7275,4278.849,4443.6973,3667.879,4345.303,4172.7275,4188.1816,4075.8787
375723.1533527374,4204.6665,4168.091,4086.182,4314.909,4205.6973,4496.758,4325.7275,4281.4243,4446.273,3674.0608,4350.4546,4171.182,4193.8486,4081.0303
375736.24992370605,4215.485,4174.788,4097.0,4326.2427,4208.7876,4497.788,4327.788,4284.0,4448.8486,3681.2727,4356.1216,4175.8184,4189.2124,4090.303
375743.34597587585,4222.1816,4168.606,4093.9092,4326.2427,4206.727,4496.758,4328.303,4283.485,4449.364,3682.8186,4361.273,4186.121,4195.394,4095.9697
375747.2577095032,4211.879,4160.364,4085.667,4313.364,4203.6367,4496.242,4326.7573,4284.0,4449.364,3680.2424,4364.364,4186.121,4206.2124,4093.394
