Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1577748.8677501678,4296.364,4235.0605,4155.212,4426.6973,4252.5757,4527.667,4393.212,4297.394,4485.4243,3743.6062,4432.879,4237.636,4280.394,4135.1216
1577756.8805217743,4289.152,4233.0,4156.2427,4431.3335,4254.636,4535.394,4395.273,4297.394,4482.8486,3738.97,4429.788,4235.0605,4279.364,4131.0005
1577764.8105621338,4286.0605,4226.8184,4150.576,4426.182,4254.636,4539.0,4394.2427,4297.909,4488.5156,3741.5457,4431.3335,4237.636,4282.97,4134.0913
1577772.791147232,4284.515,4220.6367,4142.848,4415.364,4252.5757,4540.546,4395.273,4296.364,4487.4854,3746.697,4428.758,4237.636,4278.849,4134.0913
1577780.7853221893,4280.394,4219.091,4138.727,4407.121,4251.031,4539.515,4397.8486,4295.8486,4480.273,3739.485,4416.909,4224.2427,4268.031,4125.8486
1577788.7680530548,4279.364,4220.121,4137.182,4403.0,4250.0,4534.879,4397.8486,4295.3335,4478.7275,3730.7273,4411.2427,4218.576,4263.394,4120.6973
1577796.8764305115,4282.97,4222.6973,4140.273,4410.7275,4251.546,4536.9395,4399.394,4297.394,4485.9395,3739.485,4422.061,4231.4546,4273.1816,4126.364
1577808.827638626,4286.0605,4224.2427,4143.364,4417.9395,4260.303,4544.152,4403.515,4302.0303,4495.7275,3753.9094,4431.8486,4239.182,4283.485,4138.2124
1577823.7977027893,4284.515,4222.1816,4140.7876,4411.758,4264.4243,4544.152,4401.9697,4301.515,4497.788,3754.4243,4434.4243,4234.5454,4285.5454,4139.758
1577825.85811615,4282.97,4221.1514,4138.727,4406.091,4256.1816,4540.031,4398.3643,4296.879,4493.152,3748.758,4431.8486,4233.0,4279.879,4129.4546
1577830.0034999847,4283.485,4222.6973,4140.273,4410.7275,4251.031,4543.636,4399.909,4297.909,4494.1816,3746.182,4425.667,4234.5454,4278.3335,4127.394
1577835.7889652252,4283.485,4222.6973,4140.273,4409.6973,4255.152,4542.6064,4399.909,4299.9697,4495.2124,3747.2122,4425.667,4234.0303,4281.9395,4131.5156
1577843.879699707,4281.4243,4223.2124,4137.6973,4408.152,4255.667,4531.273,4395.273,4292.2427,4489.031,3746.182,4430.8184,4234.5454,4277.303,4128.4243
1577851.875782013,4279.879,4222.1816,4137.6973,4412.788,4252.0605,4528.182,4391.6665,4286.5757,4480.788,3741.5457,4428.2427,4234.0303,4270.0913,4123.788
1577859.8840236664,4280.9097,4219.606,4139.2427,4417.4243,4252.5757,4537.4546,4396.8184,4292.2427,4478.7275,3740.0002,4420.515,4233.515,4265.97,4124.303
