Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3749070.879459381,4263.394,4221.1514,4142.3335,4407.121,4294.303,4543.1216,4398.879,4307.6973,4486.97,3772.9697,4437.5156,4111.4243,4274.2124,4132.031
3749078.8645744324,4277.303,4238.667,4153.6665,4423.6064,4251.031,4550.3335,4407.121,4314.3936,4498.8184,3768.3335,4452.9697,4116.5757,4291.2124,4147.485
3749085.8964920044,4285.031,4241.2427,4156.758,4424.1216,4265.4546,4559.6064,4410.2124,4314.3936,4499.3335,3779.667,4460.6978,4108.8486,4299.9697,4156.758
3749093.8770771027,4271.636,4230.9395,4152.1216,4409.182,4297.909,4552.9097,4407.6367,4311.8184,4496.758,3789.97,4450.3945,4095.9697,4284.515,4144.3945
3749101.912021637,4268.546,4230.9395,4153.1514,4412.273,4275.242,4546.7275,4410.2124,4313.364,4496.758,3783.788,4449.8794,4095.9697,4280.394,4142.3335
3749109.834909439,4282.4546,4238.152,4157.788,4419.485,4260.303,4553.9395,4416.909,4313.879,4496.758,3775.0305,4464.819,4102.667,4301.515,4157.273
3749122.858762741,4282.4546,4236.091,4156.758,4411.758,4287.0913,4560.636,4416.909,4312.333,4496.758,3774.5151,4467.909,4102.667,4306.667,4157.788
3749125.812768936,4277.303,4227.3335,4154.6973,4408.152,4295.8486,4558.0605,4409.6973,4315.425,4497.273,3781.2122,4457.606,4100.091,4292.758,4148.5156
3749141.9830322266,4276.788,4217.0303,4151.606,4407.6367,4285.031,4550.8486,4404.546,4311.8184,4496.242,3791.0002,4448.8486,4095.9697,4284.0,4147.485
3749143.893480301,4271.121,4219.091,4146.455,4403.0,4276.788,4546.2124,4402.4854,4302.0303,4494.1816,3776.0608,4443.6973,4091.3335,4282.97,4143.364
3749149.8692035675,4270.0913,4232.485,4145.4243,4409.6973,4254.121,4547.7573,4405.0605,4302.0303,4491.0913,3750.8186,4445.2427,4092.364,4288.636,4143.364
3749171.936273575,4271.121,4229.909,4142.848,4414.8486,4256.1816,4547.7573,4402.4854,4305.1216,4486.97,3758.5454,4441.6367,4093.9092,4290.182,4144.3945
3749172.989845276,4264.9395,4218.0605,4139.2427,4403.515,4285.031,4543.1216,4394.2427,4299.9697,4481.8184,3760.606,4431.8486,4094.9397,4282.97,4135.1216
3749173.969268799,4261.3335,4217.0303,4138.2124,4396.3037,4280.394,4540.031,4393.727,4303.061,4477.6973,3751.8489,4428.758,4107.303,4272.667,4131.5156
3749185.9018802643,4262.364,4220.6367,4140.273,4401.4546,4267.515,4543.636,4398.3643,4315.425,4479.758,3770.9092,4428.2427,4125.3335,4270.0913,4133.576
3749189.5446777344,4272.152,4227.8486,4149.5454,4412.788,4261.8486,4551.879,4402.4854,4320.5757,4491.6064,3771.9395,4439.061,4124.8184,4286.0605,4142.848
3749196.911096573,4286.5757,4239.182,4160.364,4422.061,4250.0,4551.364,4405.0605,4311.8184,4496.242,3745.6667,4451.4243,4109.364,4304.6064,4157.788
3749204.9281597137,4284.0,4238.152,4159.3335,4414.8486,4268.546,4542.6064,4400.9395,4300.485,4483.364,3762.1519,4441.1216,4098.0303,4292.758,4153.1514
3749212.9418849945,4275.758,4229.909,4154.182,4405.0605,4287.606,4547.2427,4397.8486,4297.909,4480.788,3786.879,4429.788,4097.515,4276.273,4140.273
3749224.827528,4280.9097,4236.091,4155.727,4412.273,4271.121,4558.5757,4404.546,4302.0303,4493.152,3767.8184,4444.727,4101.121,4290.6973,4154.182
3749228.830575943,4279.879,4238.667,4157.788,4414.8486,4264.9395,4557.546,4409.182,4303.576,4493.152,3758.0305,4452.9697,4101.121,4298.9395,4162.94
3749241.9040203094,4268.031,4225.273,4149.5454,4403.0,4276.788,4548.273,4400.425,4305.1216,4480.788,3761.6362,4438.031,4094.9397,4284.515,4145.4243
3749243.8917160034,4264.4243,4214.455,4140.7876,4397.3335,4279.364,4544.667,4390.636,4308.7275,4476.667,3763.6973,4430.8184,4087.212,4277.8184,4136.152
3749251.8961429596,4266.485,4217.5454,4142.848,4405.0605,4274.2124,4545.697,4389.091,4312.8486,4482.8486,3779.667,4434.94,4085.1514,4283.485,4140.7876
3749268.9044475555,4266.485,4224.2427,4145.94,4409.6973,4260.303,4545.697,4394.758,4316.9697,4483.879,3772.4546,4435.97,4086.182,4286.5757,4140.273
3749269.8776721954,4262.364,4221.1514,4140.7876,4399.394,4249.4854,4541.5757,4393.212,4310.788,4477.6973,3744.1213,4429.273,4083.6064,4277.303,4131.5156
3749277.8131961823,4259.273,4214.9697,4137.182,4388.061,4254.121,4540.031,4383.94,4299.9697,4475.6367,3751.8489,4416.909,4081.546,4266.485,4123.273
3749294.412136078,4264.4243,4220.121,4142.3335,4395.788,4249.4854,4542.6064,4387.0303,4302.0303,4480.273,3762.667,4415.879,4089.788,4274.7275,4128.9395
3749294.4905757904,4270.6064,4223.7275,4144.909,4403.515,4252.0605,4542.6064,4396.3037,4305.1216,4478.7275,3748.758,4428.2427,4098.0303,4288.121,4141.303
3749299.9415397644,4265.4546,4209.8184,4140.7876,4392.697,4271.636,4540.546,4389.606,4303.576,4475.1216,3751.8489,4430.303,4100.6064,4281.4243,4141.8184
