Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
709864.4139766693,4242.788,4185.0913,4108.3335,4341.6973,4208.273,4495.2124,4348.909,4296.879,4465.8486,3707.5457,4409.6973,4221.1514,4238.667,4110.394
709878.424167633,4240.2124,4185.0913,4110.909,4342.2124,4209.8184,4496.242,4349.4243,4291.2124,4462.2427,3709.0913,4405.5757,4221.6665,4237.636,4110.394
709879.4047832489,4239.697,4189.2124,4111.9395,4346.3335,4208.7876,4498.3027,4350.9697,4287.0913,4461.7275,3700.3337,4398.3643,4217.5454,4234.5454,4109.364
709888.4263038635,4246.394,4189.7275,4113.485,4348.394,4206.2124,4497.788,4354.5757,4294.303,4463.788,3699.8184,4403.0,4221.1514,4236.6064,4111.4243
709898.5533714294,4244.8486,4186.121,4114.0,4345.8184,4206.2124,4496.758,4355.606,4299.9697,4464.819,3710.1216,4413.303,4222.1816,4241.2427,4111.9395
709909.649848938,4236.6064,4185.0913,4108.3335,4337.5757,4206.2124,4497.273,4353.5454,4290.6973,4463.273,3712.6973,4411.2427,4220.6367,4242.273,4111.9395
709911.6744995117,4234.5454,4185.6064,4101.636,4330.3643,4207.758,4498.8184,4356.6367,4282.97,4462.7583,3707.5457,4402.4854,4218.576,4236.6064,4107.8184
709918.497800827,4235.0605,4184.576,4098.546,4333.4546,4209.3027,4498.3027,4357.6665,4285.031,4463.273,3703.4246,4398.879,4209.3027,4232.485,4102.667
709926.4969825745,4232.485,4186.121,4097.0,4341.1816,4208.7876,4495.2124,4349.4243,4286.0605,4462.2427,3699.3035,4397.8486,4205.1816,4233.515,4102.667
709949.392080307,4231.9697,4184.0605,4095.4546,4341.1816,4208.7876,4494.6973,4344.788,4283.485,4460.182,3699.3035,4392.697,4207.758,4234.0303,4104.212
709950.4644870758,4230.9395,4175.8184,4094.4246,4333.4546,4209.3027,4497.788,4347.364,4282.4546,4461.2124,3704.9697,4386.515,4206.2124,4233.0,4101.121
709953.3355236053,4229.909,4172.7275,4093.394,4329.8486,4207.758,4498.3027,4346.8486,4289.152,4462.7583,3708.576,4388.5757,4202.606,4234.0303,4099.5757
709959.3689441681,4231.4546,4173.758,4091.3335,4329.8486,4204.6665,4496.758,4344.273,4294.8184,4464.819,3711.1519,4391.6665,4204.6665,4234.5454,4103.697
709966.4642810822,4233.0,4173.2427,4092.364,4328.8184,4204.6665,4497.273,4350.4546,4296.364,4464.819,3710.1216,4390.636,4204.6665,4233.0,4107.303
709974.3647575378,4236.6064,4174.788,4096.4854,4330.879,4206.727,4498.3027,4357.152,4296.879,4464.819,3709.0913,4391.6665,4203.121,4235.0605,4110.394
709982.3713302612,4237.636,4176.8486,4097.515,4334.4854,4207.758,4498.8184,4353.0303,4293.273,4465.3335,3707.0303,4389.606,4204.152,4234.5454,4107.8184
709990.451335907,4235.0605,4173.2427,4094.9397,4330.879,4205.1816,4497.788,4346.8486,4284.515,4457.091,3695.697,4377.758,4200.5454,4224.2427,4095.9697
709998.4595775604,4234.0303,4172.2124,4093.9092,4328.8184,4204.6665,4494.1816,4346.3335,4280.9097,4445.758,3684.8792,4375.6973,4199.5156,4216.5156,4091.3335
710006.4589977264,4233.515,4177.364,4096.4854,4332.9395,4208.273,4494.1816,4346.3335,4284.0,4446.273,3683.3337,4387.5454,4203.121,4220.6367,4097.0
710014.4941806793,4232.485,4183.546,4096.4854,4332.9395,4208.273,4497.788,4344.273,4283.485,4446.7876,3686.9397,4387.0303,4202.0913,4221.6665,4094.9397
710042.5410270691,4232.485,4185.0913,4097.515,4333.4546,4209.3027,4497.273,4344.273,4282.97,4445.758,3690.5457,4381.8794,4201.576,4218.576,4091.3335
710044.8560714722,4235.5757,4183.546,4102.1514,4341.1816,4216.5156,4495.7275,4345.8184,4284.0,4456.576,3696.7275,4389.606,4203.6367,4225.273,4101.121
710046.5309619904,4237.1216,4184.576,4103.1816,4344.788,4220.121,4500.364,4346.8486,4284.515,4466.364,3698.788,4397.3335,4204.6665,4235.5757,4105.758
710051.5146255493,4235.5757,4187.667,4103.697,4342.2124,4217.0303,4502.9395,4348.394,4290.182,4461.7275,3698.788,4397.3335,4209.3027,4235.0605,4102.667
