Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3588854.819536209,4250.515,4194.879,4143.879,4374.1514,4257.2124,4533.3335,4375.6973,4270.0913,4477.6973,3758.5454,4332.9395,2030.7272,4279.879,4108.8486
3588862.7989292145,4252.5757,4203.121,4151.606,4381.8794,4254.121,4543.1216,4378.2725,4270.6064,4484.394,3764.7275,4344.273,2036.909,4287.606,4120.6973
3588870.857000351,4253.0913,4208.273,4153.1514,4388.061,4248.4546,4545.697,4378.7876,4268.031,4481.303,3760.091,4348.909,2042.5757,4290.6973,4127.394
3588877.8643608093,4250.0,4205.6973,4146.9697,4387.5454,4257.7275,4543.636,4377.2427,4275.242,4483.879,3764.7275,4346.8486,2049.273,4292.2427,4125.8486
3588885.749578476,4250.515,4204.152,4144.3945,4384.9697,4260.303,4547.2427,4378.7876,4285.031,4486.4546,3755.4546,4346.8486,2051.8484,4300.485,4127.909
3588893.8567638397,4251.546,4204.152,4144.3945,4382.394,4254.636,4544.667,4379.303,4279.364,4482.8486,3741.0305,4342.2124,2049.7878,4298.9395,4124.8184
3588902.9026031494,4243.303,4202.0913,4140.7876,4376.727,4251.546,4532.303,4375.182,4265.4546,4477.182,3750.3032,4330.3643,2049.273,4276.273,4110.909
3588914.754629135,4241.7573,4200.5454,4139.758,4374.6665,4237.1216,4526.1216,4373.1216,4262.879,4471.515,3763.6973,4324.697,2050.3032,4262.879,4104.212
3588917.74392128,4251.546,4195.909,4144.3945,4373.6367,4232.485,4529.7275,4377.758,4267.0,4466.8794,3754.9397,4328.303,2051.3335,4269.5757,4110.394
3588925.836086273,4255.152,4191.273,4144.3945,4367.4546,4252.0605,4529.7275,4377.2427,4264.4243,4461.7275,3738.4548,4328.8184,2058.5454,4271.121,4115.0303
3588937.7892017365,4251.546,4193.8486,4147.485,4371.576,4254.636,4528.182,4369.0005,4261.8486,4462.7583,3733.818,4328.303,2066.2727,4271.636,4116.0605
3588941.8795108795,4253.6064,4204.152,4156.2427,4386.515,4231.9697,4535.394,4371.576,4270.0913,4474.6064,3743.6062,4339.636,2070.9092,4284.515,4121.2124
3588949.7978687286,4253.0913,4207.242,4152.1216,4390.636,4232.485,4543.636,4378.2725,4276.273,4483.364,3757.5151,4348.394,2071.9395,4290.6973,4121.7275
3588956.7589759827,4240.7275,4194.879,4139.758,4380.848,4258.7573,4539.515,4372.606,4269.5757,4480.788,3769.3638,4340.667,2068.8486,4283.485,4113.485
3588964.8308753967,4230.9395,4186.121,4137.182,4370.5454,4272.152,4531.788,4367.4546,4264.9395,4475.6367,3766.273,4330.3643,2069.3635,4278.3335,4107.8184
3588972.809791565,4234.0303,4188.6973,4139.2427,4370.0303,4258.7573,4530.758,4372.091,4267.515,4469.4546,3747.7273,4329.3335,2080.182,4276.788,4111.9395
3588985.837459564,4237.636,4191.788,4138.727,4369.5156,4239.182,4530.2427,4371.576,4267.0,4463.788,3746.182,4321.091,2083.7878,4268.546,4109.879
3588990.0274276733,4235.5757,4194.3633,4138.727,4363.3335,4235.0605,4528.6973,4366.9395,4265.4546,4463.273,3754.9397,4310.788,2078.1213,4260.303,4100.6064
3588996.864795685,4242.273,4201.0605,4140.273,4363.3335,4235.0605,4530.2427,4372.091,4269.0605,4465.8486,3750.8186,4313.879,2080.182,4264.9395,4103.697
3589004.8110485077,4252.5757,4203.6367,4141.8184,4371.061,4236.6064,4529.7275,4376.212,4271.636,4464.819,3743.091,4318.515,2089.9697,4271.121,4112.9697
3589012.7563476562,4253.6064,4201.0605,4142.3335,4372.606,4248.4546,4525.606,4370.0303,4270.0913,4461.2124,3745.6667,4314.909,2096.1514,4267.0,4113.485
3589019.814968109,4250.0,4202.0913,4143.364,4373.6367,4256.1816,4527.667,4367.4546,4271.121,4462.7583,3750.8186,4323.667,2099.2424,4271.636,4114.515
