Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
905090.0239944458,4252.0605,4200.5454,4094.4246,4367.4546,4224.2427,4525.606,4371.576,4283.485,4466.364,3711.1519,4425.667,4220.121,4271.121,4126.879
905090.4796123505,4253.0913,4200.5454,4095.9697,4375.6973,4228.879,4528.182,4372.091,4286.0605,4474.6064,3735.8792,4421.031,4222.6973,4266.485,4125.8486
905092.490196228,4252.5757,4203.6367,4096.4854,4378.7876,4214.9697,4523.0303,4371.576,4286.5757,4470.485,3713.2124,4417.9395,4219.606,4267.515,4120.6973
905105.6642532349,4255.152,4208.7876,4098.546,4391.6665,4237.636,4532.303,4380.848,4296.364,4477.182,3747.2122,4418.9697,4217.5454,4252.5757,4111.4243
905106.4512729645,4253.0913,4208.7876,4100.091,4384.9697,4242.273,4526.6367,4377.758,4289.667,4476.152,3734.3335,4415.879,4218.0605,4260.303,4115.546
905107.5406074524,4251.546,4206.2124,4098.0303,4376.212,4231.4546,4522.5156,4373.1216,4287.0913,4465.8486,3714.2427,4416.909,4213.4243,4266.485,4120.182
905122.4796772003,4262.364,4212.909,4107.8184,4386.0005,4212.909,4527.152,4377.758,4299.9697,4473.576,3717.8486,4431.3335,4224.758,4275.242,4130.485
905124.4280338287,4261.8486,4212.3945,4108.3335,4385.485,4219.091,4526.1216,4375.182,4297.909,4478.2124,3712.1821,4432.364,4228.879,4277.8184,4129.9697
905126.4641284943,4246.394,4193.8486,4088.7576,4371.061,4244.8486,4522.5156,4367.9697,4281.9395,4461.7275,3705.485,4418.4546,4211.879,4263.9097,4114.0
905134.432554245,4244.3335,4185.6064,4081.546,4366.9395,4245.364,4523.0303,4368.485,4283.485,4463.273,3722.485,4413.8184,4205.1816,4251.546,4108.3335
905142.457485199,4252.5757,4197.97,4092.8792,4370.0303,4233.515,4526.6367,4370.5454,4295.3335,4482.8486,3743.6062,4418.4546,4217.5454,4252.5757,4118.1216
905158.5495471954,4252.5757,4206.2124,4096.4854,4373.1216,4222.6973,4529.2124,4372.606,4295.3335,4479.2427,3729.697,4424.1216,4223.2124,4261.3335,4125.3335
905195.5213546753,4254.636,4203.121,4094.9397,4375.6973,4204.152,4528.182,4378.7876,4289.667,4467.394,3694.6667,4431.8486,4221.6665,4274.7275,4126.364
905197.6523399353,4254.121,4203.6367,4094.4246,4372.606,4216.0,4526.6367,4375.6973,4285.031,4466.364,3696.2126,4427.7275,4221.1514,4271.121,4122.2427
905198.422908783,4241.2427,4200.5454,4087.212,4366.9395,4237.1216,4527.152,4366.4243,4281.9395,4465.8486,3725.061,4412.788,4216.5156,4251.031,4110.394
905200.9897232056,4251.546,4194.3633,4097.0,4375.182,4233.515,4529.7275,4379.8184,4286.5757,4482.8486,3722.485,4429.273,4220.6367,4267.515,4116.0605
905218.5664176941,4250.0,4202.0913,4097.515,4377.2427,4235.0605,4527.152,4372.091,4285.5454,4476.152,3705.485,4429.273,4219.606,4269.5757,4114.0
905229.474067688,4248.4546,4206.2124,4095.9697,4378.2725,4205.1816,4523.0303,4368.485,4284.0,4462.7583,3701.364,4420.0,4217.5454,4262.879,4108.8486
905252.543926239,4248.9697,4202.0913,4097.0,4373.6367,4197.97,4525.606,4369.5156,4284.0,4461.2124,3708.576,4420.515,4217.0303,4256.697,4111.9395
905253.511428833,4240.2124,4192.3027,4090.818,4366.9395,4232.485,4525.606,4362.8184,4284.515,4467.909,3732.7878,4417.4243,4207.758,4249.4854,4109.879
905254.6007633209,4248.9697,4200.5454,4092.364,4370.5454,4213.4243,4509.6367,4360.758,4279.364,4452.9697,3692.6062,4410.7275,4205.6973,4253.0913,4106.273
905256.5226554871,4244.3335,4202.0913,4087.212,4372.091,4236.091,4527.667,4369.0005,4290.6973,4476.667,3728.6667,4418.9697,4203.6367,4252.5757,4112.9697
905261.4643573761,4248.4546,4198.485,4089.2725,4375.182,4240.7275,4529.2124,4372.606,4297.394,4474.6064,3733.818,4411.758,4203.121,4253.0913,4106.788
905268.7749862671,4247.9395,4195.394,4086.182,4371.061,4222.6973,4522.0,4363.3335,4290.182,4463.788,3720.4243,4404.546,4202.0913,4241.2427,4100.091
905276.5567302704,4246.909,4196.9395,4083.0908,4366.9395,4197.97,4513.758,4361.7876,4282.97,4459.1514,3706.5154,4401.9697,4200.5454,4238.667,4102.667
905284.5544815063,4250.515,4195.394,4085.667,4366.9395,4198.485,4511.6973,4365.9087,4282.97,4454.0005,3689.5154,4400.425,4203.121,4245.364,4107.303
905292.5381660461,4253.0913,4196.9395,4092.364,4373.6367,4217.5454,4515.303,4365.9087,4284.515,4454.5156,3692.091,4405.0605,4206.727,4250.0,4109.879
905314.6016597748,4253.6064,4203.6367,4093.9092,4375.6973,4222.6973,4515.303,4365.9087,4284.515,4463.273,3708.576,4413.8184,4207.758,4251.546,4111.9395
905316.5564537048,4246.909,4193.8486,4080.5154,4364.879,4225.788,4510.6665,4364.879,4282.97,4464.819,3721.4546,4411.2427,4203.6367,4243.303,4106.788
905317.5315856934,4239.697,4184.576,4078.4548,4361.7876,4228.364,4516.8486,4360.758,4282.97,4461.2124,3726.0913,4405.5757,4203.6367,4240.2124,4102.667
905324.547290802,4238.152,4192.3027,4087.212,4367.4546,4209.3027,4524.0605,4362.303,4284.0,4461.7275,3704.9697,4404.546,4201.576,4246.909,4102.1514
905332.503080368,4233.0,4190.758,4075.8787,4359.2124,4203.121,4520.455,4363.848,4282.97,4461.7275,3694.1516,4393.727,4189.7275,4241.2427,4091.3335
905340.4395580292,4226.8184,4184.0605,4066.6064,4349.4243,4218.576,4518.909,4360.2427,4282.97,4463.273,3712.1821,4388.061,4183.0303,4228.879,4083.6064
905347.4681377411,4230.4243,4186.6367,4076.3938,4354.0605,4223.2124,4521.485,4359.2124,4283.485,4463.788,3716.8184,4401.4546,4188.6973,4235.0605,4091.3335
905355.6644916534,4237.1216,4187.667,4083.6064,4359.727,4217.5454,4513.758,4359.727,4280.9097,4461.7275,3708.0605,4409.182,4198.485,4249.4854,4099.5757
905363.4424209595,4237.636,4189.7275,4084.6365,4362.8184,4212.3945,4511.1816,4358.6973,4281.9395,4462.2427,3714.2427,4403.515,4201.0605,4247.4243,4100.6064
