Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
767902.571439743,4217.5454,4170.1514,4084.1213,4319.546,4227.3335,4518.3945,4357.152,4288.121,4463.273,3742.0608,4383.4243,4187.667,4236.091,4093.394
767910.42137146,4219.091,4174.273,4087.212,4327.788,4237.1216,4531.788,4359.727,4294.8184,4464.819,3746.182,4386.515,4186.6367,4239.182,4094.9397
767918.479681015,4220.6367,4174.788,4084.1213,4330.879,4234.0303,4523.0303,4355.606,4295.3335,4466.8794,3746.697,4387.5454,4188.1816,4242.788,4094.9397
767926.7437458038,4219.606,4171.6973,4083.6064,4329.3335,4229.909,4513.758,4353.5454,4291.2124,4466.364,3742.576,4383.94,4189.2124,4240.2124,4094.9397
767934.6494674683,4224.2427,4176.8486,4090.303,4330.3643,4235.0605,4523.5454,4357.6665,4291.2124,4465.3335,3739.485,4382.394,4192.8184,4238.152,4097.0
767950.7393836975,4233.515,4186.121,4097.515,4340.1514,4237.1216,4529.7275,4362.303,4296.364,4467.394,3741.5457,4387.0303,4202.0913,4244.3335,4104.7275
767952.4323940277,4238.152,4189.2124,4100.091,4345.303,4234.0303,4524.0605,4361.7876,4296.364,4467.394,3742.576,4388.5757,4206.727,4252.0605,4110.394
767958.6358070374,4238.152,4184.576,4097.515,4336.546,4231.4546,4524.0605,4360.2427,4289.667,4465.8486,3740.0002,4386.0005,4202.0913,4251.546,4108.8486
767966.6121006012,4231.4546,4177.364,4090.818,4329.3335,4234.0303,4523.5454,4360.758,4285.031,4463.273,3739.485,4381.364,4194.879,4242.788,4104.7275
767976.8161773682,4220.121,4171.182,4084.1213,4328.303,4234.5454,4515.8184,4356.6367,4282.4546,4454.5156,3733.818,4369.0005,4185.0913,4228.364,4093.394
767985.3346347809,4214.9697,4168.606,4078.4548,4322.636,4225.273,4513.2427,4352.515,4280.9097,4445.2427,3721.9697,4356.6367,4171.6973,4218.0605,4077.4243
767989.4239902496,4216.5156,4168.606,4074.8486,4318.0005,4217.5454,4516.334,4356.1216,4282.4546,4451.4243,3722.485,4352.515,4168.091,4217.0303,4074.3333
767997.4930286407,4220.121,4169.636,4081.546,4326.2427,4220.121,4514.2734,4356.6367,4286.0605,4462.2427,3731.2427,4359.2124,4181.485,4222.6973,4085.1514
768005.3863525391,4222.1816,4177.879,4092.8792,4336.546,4223.2124,4515.8184,4355.0913,4284.0,4457.606,3730.2124,4368.485,4190.242,4229.909,4091.3335
768037.5702381134,4221.6665,4185.6064,4094.4246,4337.5757,4227.8486,4524.576,4359.2124,4284.0,4454.5156,3728.1519,4369.5156,4186.121,4231.9697,4091.3335
768039.5028591156,4224.2427,4185.0913,4093.394,4339.636,4236.6064,4526.1216,4361.273,4289.667,4463.788,3736.3943,4374.1514,4186.6367,4236.6064,4095.9697
768040.4453277588,4227.3335,4187.152,4096.4854,4347.879,4237.636,4524.576,4359.2124,4292.758,4468.4243,3744.6365,4386.0005,4192.8184,4247.4243,4101.636
768041.4469242096,4221.6665,4185.6064,4094.9397,4343.758,4235.5757,4526.6367,4359.727,4294.303,4465.3335,3743.091,4389.091,4191.788,4250.0,4099.0605
768062.5522136688,4217.0303,4177.879,4091.3335,4331.394,4237.636,4526.6367,4360.2427,4292.758,4465.3335,3741.0305,4385.485,4189.2124,4243.303,4093.9092
768064.4586086273,4222.1816,4180.9697,4091.8486,4330.879,4236.091,4526.1216,4358.182,4286.5757,4466.8794,3742.0608,4389.091,4189.7275,4241.7573,4094.4246
768065.557718277,4223.7275,4185.0913,4092.364,4333.4546,4233.515,4527.152,4356.1216,4284.0,4463.788,3737.4246,4386.515,4188.6973,4239.697,4094.4246
768070.5916881561,4218.576,4178.909,4091.8486,4329.8486,4232.485,4525.606,4353.5454,4285.031,4461.7275,3729.697,4377.2427,4186.6367,4235.5757,4091.8486
768076.4617919922,4223.7275,4181.485,4094.9397,4332.9395,4231.9697,4523.5454,4355.0913,4285.031,4462.2427,3733.3032,4377.2427,4186.6367,4238.667,4092.364
768088.4895324707,4231.9697,4186.6367,4097.515,4335.515,4234.0303,4527.152,4359.727,4285.5454,4464.303,3738.97,4379.303,4188.6973,4241.7573,4095.9697
768092.4715995789,4227.3335,4176.3335,4095.9697,4329.8486,4228.364,4523.5454,4360.2427,4285.5454,4464.303,3733.818,4374.1514,4188.6973,4237.636,4091.8486
768100.4776954651,4219.091,4168.606,4092.8792,4328.303,4218.0605,4516.334,4357.152,4282.4546,4461.2124,3727.1216,4370.5454,4184.0605,4231.4546,4085.1514
768112.3957633972,4225.788,4177.879,4092.364,4332.9395,4223.7275,4520.455,4356.6367,4286.5757,4462.2427,3736.3943,4379.303,4189.2124,4237.1216,4091.3335
768116.4014339447,4237.1216,4186.6367,4100.091,4339.121,4237.1216,4529.2124,4363.3335,4298.9395,4475.1216,3751.8489,4395.788,4202.606,4259.273,4107.303
768123.4836578369,4238.152,4189.2124,4106.273,4345.303,4238.667,4528.6973,4369.0005,4302.0303,4482.8486,3757.0002,4406.6064,4207.242,4270.6064,4115.0303
768132.447719574,4236.091,4189.7275,4104.7275,4347.879,4236.091,4526.1216,4366.4243,4292.2427,4472.0303,3747.7273,4403.0,4203.121,4258.2427,4108.3335
768139.4567489624,4236.091,4189.7275,4098.0303,4346.8486,4239.697,4528.182,4360.758,4282.4546,4461.2124,3738.4548,4394.758,4203.6367,4247.9395,4101.121
768147.4797725677,4236.091,4189.2124,4097.0,4344.788,4241.7573,4529.2124,4361.273,4283.485,4463.788,3737.9397,4392.697,4205.1816,4253.6064,4103.1816
768155.4489135742,4236.6064,4191.273,4100.6064,4345.8184,4238.667,4528.6973,4362.8184,4287.606,4466.364,3743.091,4395.788,4202.0913,4254.636,4109.364
768163.4719371796,4237.1216,4194.879,4102.1514,4349.4243,4236.091,4527.667,4362.8184,4287.0913,4465.3335,3746.697,4397.3335,4201.0605,4252.5757,4109.364
768171.4725494385,4238.667,4192.8184,4102.1514,4350.4546,4236.6064,4521.485,4360.758,4284.515,4465.3335,3746.697,4402.4854,4204.152,4258.7573,4108.8486
768179.3994903564,4238.152,4186.6367,4099.5757,4343.2427,4234.5454,4513.758,4355.606,4284.515,4462.7583,3744.6365,4408.152,4203.6367,4263.394,4111.4243
768192.4757957458,4235.0605,4185.6064,4098.546,4337.5757,4233.0,4511.1816,4353.5454,4284.0,4461.7275,3741.5457,4411.758,4202.606,4260.818,4108.8486
