Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3366202.552318573,4238.152,4185.0913,4150.576,4376.212,4236.091,4501.3945,4363.848,4285.5454,4484.909,3746.697,4360.758,4235.5757,4260.818,4121.2124
3366210.126399994,4235.5757,4186.6367,4146.455,4374.6665,4233.0,4498.3027,4368.485,4288.636,4480.788,3751.3335,4356.1216,4236.6064,4255.152,4117.6064
3366218.2116508484,4249.4854,4190.242,4154.6973,4385.485,4231.9697,4511.6973,4378.2725,4293.788,4493.152,3771.9395,4356.6367,4235.5757,4263.394,4122.2427
3366224.291086197,4253.0913,4190.758,4158.819,4384.9697,4235.0605,4516.8486,4375.182,4288.636,4492.121,3767.3032,4358.6973,4235.5757,4272.152,4126.879
3366233.2801818848,4237.636,4185.0913,4147.485,4371.061,4237.1216,4502.9395,4364.364,4280.9097,4476.667,3747.7273,4349.4243,4235.0605,4258.7573,4118.6367
3366241.504907608,4235.5757,4179.9395,4141.303,4369.5156,4236.091,4497.273,4364.364,4288.121,4481.303,3748.758,4347.879,4231.9697,4250.515,4116.5757
3366248.612165451,4250.0,4187.667,4154.182,4382.909,4235.5757,4511.6973,4373.1216,4299.4546,4496.242,3765.7578,4365.394,4236.091,4272.152,4129.9697
3366261.9869709015,4256.697,4195.394,4162.94,4391.6665,4235.0605,4518.3945,4375.6973,4298.9395,4500.879,3776.0608,4374.6665,4246.909,4288.636,4135.6367
3366274.77478981,4247.9395,4189.2124,4156.2427,4383.4243,4236.091,4507.576,4369.5156,4297.394,4500.364,3773.4849,4363.3335,4245.364,4276.788,4127.394
3366274.90735054,4242.788,4188.6973,4154.6973,4377.2427,4239.182,4502.9395,4371.576,4299.4546,4502.9395,3774.5151,4362.303,4240.7275,4274.7275,4128.4243
3366285.122871399,4252.0605,4199.5156,4165.0005,4387.0303,4236.6064,4513.758,4382.394,4301.0,4504.485,3783.2727,4378.2725,4247.9395,4291.7275,4140.7876
3366287.0206832886,4254.636,4199.0,4161.909,4390.1216,4234.5454,4515.8184,4378.7876,4295.8486,4500.364,3777.6064,4377.758,4246.394,4288.121,4136.152
3366294.971704483,4239.697,4184.0605,4144.3945,4374.1514,4240.7275,4506.5454,4367.4546,4290.6973,4492.121,3762.667,4357.6665,4233.0,4263.9097,4117.6064
3366303.039073944,4231.9697,4176.3335,4141.303,4365.9087,4243.303,4506.031,4370.0303,4292.758,4490.576,3763.1821,4347.364,4233.0,4256.697,4112.4546
3366310.958147049,4245.879,4180.9697,4150.576,4374.1514,4236.091,4512.2124,4379.8184,4298.9395,4498.3027,3772.4546,4356.6367,4242.273,4269.5757,4121.7275
3366319.038629532,4256.1816,4196.424,4160.8794,4386.515,4230.9395,4514.788,4381.364,4301.515,4502.4243,3776.0608,4369.0005,4246.394,4282.97,4132.031
3366327.048778534,4254.121,4205.1816,4167.061,4391.6665,4238.152,4514.2734,4376.727,4297.909,4499.3335,3775.0305,4374.1514,4248.9697,4289.152,4135.1216
3366335.054397583,4253.6064,4197.97,4166.5454,4391.6665,4252.0605,4512.2124,4371.061,4297.909,4498.3027,3779.667,4376.727,4253.6064,4291.7275,4138.2124
3366343.0387973785,4251.546,4191.273,4159.3335,4388.5757,4252.5757,4509.121,4366.9395,4297.394,4501.3945,3785.3333,4374.6665,4250.0,4286.0605,4135.6367
3366351.0296344757,4249.4854,4194.879,4158.303,4386.0005,4240.7275,4509.6367,4367.4546,4291.7275,4500.364,3781.2122,4371.061,4241.7573,4275.242,4129.4546
3366359.116792679,4252.5757,4200.5454,4163.4546,4391.6665,4231.9697,4510.6665,4372.091,4292.758,4496.242,3772.9697,4371.576,4242.788,4276.273,4129.9697
3366367.046356201,4252.5757,4197.97,4162.94,4396.3037,4235.0605,4508.606,4372.606,4292.2427,4495.7275,3772.9697,4371.576,4247.4243,4280.394,4130.485
3366373.9948272705,4242.788,4189.7275,4156.758,4384.9697,4240.7275,4503.97,4366.4243,4287.606,4490.0605,3766.273,4361.7876,4238.667,4269.5757,4123.788
3366383.190870285,4238.667,4185.0913,4150.061,4375.6973,4241.2427,4496.758,4364.364,4288.121,4480.788,3756.4849,4356.1216,4231.4546,4260.818,4118.1216
3366391.0024166107,4238.667,4188.1816,4146.9697,4380.333,4240.2124,4497.788,4366.9395,4287.606,4482.3335,3764.2124,4360.2427,4237.1216,4267.0,4119.667
3366398.7164497375,4237.636,4190.758,4152.1216,4386.0005,4240.7275,4503.455,4367.4546,4290.6973,4493.667,3776.5762,4359.727,4238.152,4269.5757,4122.758
3366406.194448471,4242.788,4188.6973,4156.2427,4386.0005,4238.152,4504.485,4367.9697,4295.3335,4496.758,3774.5151,4359.727,4235.0605,4268.031,4123.273
3366414.008617401,4246.394,4189.7275,4155.212,4384.4546,4236.091,4499.849,4366.4243,4292.758,4492.6367,3767.3032,4363.848,4237.636,4270.6064,4124.8184
3366422.0757484436,4245.879,4189.7275,4156.2427,4387.5454,4237.636,4502.9395,4365.394,4287.606,4493.152,3763.1821,4367.4546,4240.2124,4272.152,4126.879
3366430.019378662,4247.9395,4188.6973,4157.788,4387.0303,4238.152,4506.031,4365.9087,4288.636,4492.121,3759.5757,4364.364,4237.1216,4266.485,4125.3335
3366436.990261078,4251.546,4193.8486,4159.3335,4386.0005,4236.6064,4503.97,4367.9697,4292.2427,4493.152,3763.6973,4362.8184,4238.152,4268.546,4125.8486
3366445.0273513794,4251.546,4201.0605,4163.9697,4391.6665,4237.1216,4507.576,4370.0303,4295.8486,4501.3945,3771.9395,4369.5156,4247.9395,4280.9097,4132.031
3366453.053712845,4252.5757,4201.0605,4163.4546,4394.758,4237.1216,4513.758,4371.576,4297.394,4502.9395,3769.879,4370.5454,4246.909,4280.9097,4128.9395
3366461.053609848,4252.0605,4199.5156,4156.758,4390.1216,4236.6064,4511.1816,4373.1216,4293.273,4494.1816,3766.788,4360.758,4236.091,4271.121,4121.7275
3366469.0594673157,4246.909,4197.97,4158.303,4390.636,4235.5757,4504.485,4370.5454,4289.667,4489.031,3765.2427,4356.1216,4236.091,4269.5757,4120.6973
3366477.05078125,4236.091,4187.667,4155.727,4384.9697,4235.0605,4498.3027,4362.8184,4285.5454,4483.364,3751.8489,4352.0,4235.5757,4259.273,4112.4546
3366485.0630760193,4231.9697,4182.515,4146.455,4375.6973,4236.6064,4491.6064,4358.6973,4281.4243,4476.667,3743.6062,4346.3335,4230.4243,4245.879,4104.212
3366493.052959442,4239.182,4187.152,4149.0303,4379.8184,4237.1216,4487.4854,4361.273,4284.0,4477.6973,3749.273,4349.4243,4233.0,4253.0913,4108.3335
3366501.0454654694,4241.2427,4188.6973,4157.273,4388.061,4236.091,4491.6064,4358.6973,4284.515,4481.303,3754.4243,4355.606,4237.636,4259.788,4113.485
3366509.003162384,4242.788,4193.8486,4160.8794,4393.212,4234.5454,4495.2124,4359.2124,4286.0605,4482.8486,3760.091,4360.2427,4239.697,4259.788,4119.667
3366517.0624256134,4250.515,4200.031,4161.394,4398.3643,4234.5454,4496.242,4367.4546,4287.606,4484.909,3767.3032,4366.9395,4242.273,4266.485,4127.394
3366524.0013599396,4245.364,4191.788,4159.8486,4393.212,4238.152,4494.6973,4363.848,4284.0,4480.273,3760.606,4364.879,4238.667,4263.9097,4119.667
3366532.236814499,4233.515,4184.576,4153.1514,4381.8794,4238.152,4493.152,4358.6973,4284.0,4477.182,3745.6667,4357.152,4235.5757,4254.121,4108.8486
3366540.0443077087,4234.0303,4187.152,4150.576,4379.303,4234.0303,4498.3027,4365.394,4286.5757,4478.7275,3745.1516,4355.606,4236.091,4252.5757,4110.394
3366548.353433609,4235.0605,4188.6973,4150.576,4382.909,4236.6064,4503.97,4367.9697,4285.5454,4481.303,3753.394,4355.0913,4236.091,4254.121,4110.394
3366556.1912059784,4230.9395,4185.0913,4144.909,4381.364,4239.182,4498.3027,4361.273,4281.9395,4481.303,3753.394,4353.0303,4234.5454,4252.5757,4104.212
3366563.985347748,4231.4546,4185.6064,4140.273,4378.7876,4233.515,4492.121,4358.182,4281.9395,4480.273,3748.2424,4353.0303,4232.485,4252.0605,4098.546
3366573.0822086334,4234.0303,4188.1816,4139.2427,4379.8184,4235.0605,4497.273,4363.848,4285.031,4482.3335,3750.8186,4351.485,4231.4546,4250.0,4097.515
3366580.6109905243,4231.4546,4188.6973,4140.7876,4379.303,4237.1216,4496.758,4365.394,4284.515,4482.3335,3746.697,4350.9697,4233.0,4248.4546,4099.0605
3366587.1152877808,4229.394,4186.121,4142.848,4377.758,4229.394,4490.576,4363.3335,4282.4546,4477.182,3735.8792,4355.0913,4231.9697,4250.515,4102.667
3366594.967842102,4230.9395,4184.0605,4141.303,4378.7876,4226.8184,4492.6367,4362.8184,4282.4546,4474.0913,3743.091,4356.1216,4230.9395,4248.9697,4106.273
3366603.056907654,4235.5757,4188.1816,4143.879,4381.8794,4235.5757,4497.788,4364.879,4286.0605,4480.788,3760.091,4354.0605,4234.5454,4251.031,4109.879
3366610.9623908997,4241.2427,4191.273,4153.1514,4385.485,4235.5757,4498.8184,4367.4546,4288.121,4486.4546,3763.6973,4362.303,4238.152,4263.9097,4113.485
3366619.0416812897,4242.788,4193.3335,4155.212,4390.1216,4231.4546,4499.849,4367.4546,4287.606,4485.4243,3766.273,4373.6367,4238.152,4276.273,4115.546
3366627.0587444305,4238.667,4189.7275,4149.0303,4385.485,4238.152,4497.788,4361.273,4283.485,4483.879,3766.273,4365.9087,4236.091,4267.515,4111.9395
3366635.061264038,4235.5757,4181.485,4146.455,4378.2725,4245.364,4495.2124,4357.152,4280.394,4482.3335,3754.4243,4349.4243,4234.5454,4251.546,4106.273
3366642.027616501,4235.0605,4179.4243,4145.4243,4376.727,4241.2427,4495.2124,4361.273,4282.4546,4479.758,3746.697,4346.8486,4233.0,4247.9395,4103.1816
3366650.470018387,4234.0303,4184.0605,4143.879,4379.303,4234.5454,4497.273,4364.879,4285.031,4479.758,3751.3335,4352.0,4233.515,4248.9697,4102.1514
3366658.9856147766,4234.5454,4185.6064,4145.94,4379.8184,4240.7275,4496.758,4364.879,4286.0605,4481.303,3754.4243,4347.879,4234.0303,4246.394,4100.6064
3366666.3403511047,4235.0605,4186.121,4144.909,4379.8184,4246.394,4495.2124,4365.9087,4286.0605,4480.788,3744.1213,4342.7275,4234.5454,4244.8486,4102.667
3366674.0124225616,4233.515,4188.6973,4146.455,4380.333,4237.1216,4501.9097,4366.9395,4285.031,4483.364,3736.9094,4346.8486,4233.515,4247.4243,4106.273
3366682.2543144226,4235.5757,4188.6973,4153.1514,4382.909,4231.9697,4508.0913,4367.4546,4286.0605,4486.4546,3749.7883,4353.0303,4234.0303,4248.4546,4104.212
3366690.137863159,4236.6064,4188.6973,4150.061,4382.909,4238.152,4500.364,4364.364,4286.0605,4485.4243,3759.5757,4349.9395,4235.5757,4247.4243,4102.667
3366698.1568336487,4233.0,4187.152,4141.303,4377.758,4239.697,4493.667,4362.303,4282.97,4481.303,3750.3032,4340.1514,4229.909,4244.8486,4101.121
3366706.1653137207,4229.909,4179.9395,4138.727,4372.091,4234.0303,4496.242,4361.7876,4281.4243,4478.2124,3741.5457,4339.121,4223.2124,4241.2427,4096.4854
3366713.902235031,4229.909,4177.364,4140.7876,4369.0005,4234.0303,4496.242,4360.2427,4282.97,4477.6973,3744.6365,4347.879,4224.2427,4242.273,4095.4546
3366727.8814315796,4230.4243,4179.9395,4139.758,4366.9395,4235.5757,4493.667,4360.2427,4282.97,4479.758,3744.1213,4350.9697,4228.879,4245.879,4099.5757
3366735.402584076,4232.485,4178.394,4138.727,4365.394,4233.515,4494.6973,4365.394,4282.4546,4479.2427,3737.9397,4346.8486,4230.4243,4246.909,4103.697
3366742.63215065,4235.5757,4179.9395,4139.758,4367.4546,4234.0303,4498.3027,4369.0005,4284.515,4480.788,3744.6365,4347.364,4232.485,4246.394,4108.8486
3366746.1156845093,4235.0605,4184.0605,4141.303,4370.0303,4235.5757,4503.97,4369.5156,4287.606,4492.121,3763.6973,4352.515,4235.0605,4250.0,4111.9395
3366753.1881332397,4235.0605,4182.515,4140.7876,4371.576,4237.1216,4504.485,4371.576,4287.606,4498.8184,3771.9395,4352.515,4232.485,4252.5757,4110.394
