Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
551250.6573200226,4281.9395,4220.6367,4142.848,4392.182,4253.0913,4529.7275,4418.4546,4309.758,4490.576,3784.8184,4329.8486,4222.6973,4226.8184,4206.2124
551257.3425769806,4273.697,4217.0303,4134.606,4396.3037,4252.5757,4531.273,4423.0913,4316.4546,4491.0913,3786.3635,4327.788,4221.1514,4224.2427,4200.5454
551265.2869224548,4264.9395,4206.727,4119.667,4386.515,4251.031,4533.3335,4429.273,4312.333,4484.394,3779.1516,4309.2427,4208.7876,4209.3027,4188.6973
551273.3693122864,4265.97,4202.0913,4118.1216,4381.8794,4251.546,4530.758,4422.576,4303.061,4475.6367,3766.788,4292.2427,4198.485,4197.455,4182.0
551281.2931537628,4267.515,4209.8184,4125.8486,4386.515,4252.0605,4527.667,4418.9697,4307.6973,4483.879,3773.4849,4305.6367,4204.6665,4205.6973,4183.0303
551288.462638855,4271.636,4218.576,4131.5156,4387.5454,4252.0605,4529.2124,4425.667,4323.1514,4503.97,3795.1213,4325.7275,4214.9697,4220.6367,4190.242
551301.5086650848,4283.485,4221.6665,4148.5156,4396.8184,4252.0605,4526.1216,4421.031,4321.091,4510.6665,3805.4246,4335.0,4225.788,4230.9395,4201.0605
551304.904460907,4287.606,4223.7275,4159.8486,4411.758,4253.0913,4522.5156,4413.303,4308.212,4506.031,3803.879,4345.303,4232.485,4237.636,4204.6665
551312.522649765,4282.97,4221.1514,4146.455,4402.4854,4253.6064,4525.606,4418.4546,4313.364,4507.576,3803.879,4338.091,4232.485,4236.091,4202.606
551320.5652236938,4282.97,4218.576,4139.2427,4395.273,4253.0913,4527.667,4420.0,4319.546,4513.2427,3805.4246,4327.788,4233.0,4234.5454,4203.6367
551328.5493850708,4285.5454,4221.1514,4156.2427,4404.546,4253.0913,4525.606,4415.364,4315.94,4511.6973,3804.9092,4339.121,4237.1216,4241.2427,4207.242
551336.3304138184,4285.5454,4222.1816,4159.3335,4400.425,4251.546,4525.091,4416.909,4315.94,4507.0605,3803.364,4352.515,4236.6064,4241.2427,4208.273
