Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
310736.478805542,4250.515,4235.0605,4146.455,4434.94,4251.546,4528.182,4400.425,4294.8184,4484.909,3772.9697,4428.2427,4210.8486,4252.0605,4209.3027
310739.6538257599,4251.031,4226.8184,4141.8184,4427.7275,4248.9697,4531.273,4405.5757,4304.091,4495.2124,3771.4243,4420.0,4203.121,4249.4854,4202.0913
310747.65825271606,4252.5757,4223.2124,4147.485,4414.3335,4247.9395,4533.8486,4406.091,4305.1216,4494.1816,3771.4243,4415.364,4203.121,4247.9395,4200.031
310759.75227355957,4251.031,4230.9395,4151.606,4420.0,4250.0,4529.7275,4405.5757,4298.9395,4483.364,3771.9395,4414.8486,4204.152,4249.4854,4201.576
310762.6495361328,4259.273,4237.636,4155.727,4432.364,4250.0,4527.667,4415.364,4298.4243,4480.788,3770.394,4418.9697,4208.7876,4251.031,4212.3945
310771.7549800873,4271.636,4238.152,4161.394,4435.455,4250.0,4538.485,4414.3335,4301.0,4481.303,3764.7275,4430.8184,4220.121,4252.0605,4221.1514
310779.0310382843,4271.636,4237.1216,4162.4243,4433.9097,4250.515,4542.6064,4404.546,4295.8486,4472.0303,3758.0305,4431.3335,4222.6973,4250.515,4219.606
310786.6983413696,4267.515,4237.636,4165.0005,4434.4243,4251.031,4530.2427,4408.152,4285.5454,4463.788,3751.3335,4422.061,4219.606,4249.4854,4218.576
310796.2758541107,4269.0605,4238.152,4166.5454,4436.485,4251.031,4525.091,4409.182,4279.364,4455.5454,3744.1213,4425.667,4223.7275,4251.031,4220.121
310802.6878833771,4271.636,4239.697,4166.5454,4438.5454,4251.546,4536.9395,4407.121,4281.4243,4444.727,3742.576,4433.9097,4231.9697,4250.515,4222.6973
310811.1069202423,4269.5757,4238.667,4168.091,4438.5454,4252.5757,4543.636,4413.8184,4283.485,4447.819,3748.758,4431.8486,4237.636,4254.636,4217.5454
310818.67122650146,4268.546,4238.667,4166.0303,4435.455,4253.0913,4541.061,4414.3335,4282.97,4458.6367,3757.0002,4436.485,4235.5757,4267.0,4181.485
310826.6179561615,4267.0,4238.152,4159.3335,4431.8486,4251.546,4541.5757,4411.758,4291.2124,4464.303,3762.1519,4443.6973,4227.3335,4270.0913,4142.3335
310834.38372612,4263.394,4234.5454,4156.758,4431.3335,4251.031,4544.152,4416.394,4299.9697,4472.0303,3764.7275,4432.879,4222.1816,4257.2124,4145.4243
310841.614484787,4258.7573,4235.0605,4155.727,4432.364,4252.0605,4543.636,4412.788,4304.6064,4479.758,3764.7275,4421.031,4217.5454,4249.4854,4165.0005
310850.6772518158,4255.667,4235.0605,4155.727,4430.303,4252.0605,4541.5757,4408.152,4313.364,4487.4854,3769.879,4424.6367,4210.8486,4254.636,4175.303
310857.7015399933,4254.636,4226.303,4154.182,4426.182,4249.4854,4540.031,4415.364,4319.0303,4496.758,3776.0608,4421.546,4204.152,4250.515,4185.0913
310866.797208786,4251.546,4218.576,4144.3945,4423.6064,4250.0,4542.6064,4419.485,4306.667,4488.0,3765.2427,4398.3643,4193.3335,4235.5757,4184.576
310873.6479282379,4249.4854,4220.121,4137.182,4418.9697,4251.546,4546.2124,4412.273,4291.2124,4471.0005,3747.2122,4388.061,4185.6064,4229.394,4171.6973
310881.7036151886,4248.9697,4221.1514,4141.8184,4414.8486,4247.9395,4543.1216,4407.121,4286.0605,4472.0303,3747.2122,4403.515,4191.788,4232.485,4170.1514
310889.6701335907,4250.0,4221.6665,4146.455,4420.515,4247.4243,4539.0,4407.6367,4284.515,4479.2427,3755.4546,4417.4243,4205.6973,4238.667,4180.4546
310897.6585865021,4258.2427,4231.9697,4158.303,4431.3335,4252.5757,4545.697,4409.182,4284.515,4476.667,3755.97,4421.546,4214.455,4248.9697,4188.6973
310904.6413898468,4268.031,4239.182,4172.7275,4437.0005,4253.6064,4544.667,4408.667,4285.5454,4473.576,3755.4546,4423.6064,4218.576,4254.121,4193.8486
