Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
374121.31524086,4264.4243,4236.091,4157.788,4406.6064,4252.5757,4545.697,4362.303,4294.8184,4461.7275,3729.697,4430.8184,4224.2427,4269.5757,4112.9697
374123.6765384674,4267.515,4236.6064,4158.819,4409.182,4251.546,4542.0913,4358.6973,4294.8184,4465.8486,3732.7878,4434.4243,4234.5454,4275.242,4122.758
374134.1416835785,4262.364,4237.636,4157.273,4410.7275,4252.0605,4542.6064,4357.6665,4299.9697,4476.667,3737.4246,4431.8486,4237.1216,4284.515,4120.6973
374139.4622325897,4258.7573,4236.6064,4155.727,4408.667,4252.0605,4544.152,4352.515,4303.576,4483.879,3744.6365,4438.5454,4233.0,4283.485,4114.515
374147.4664211273,4263.394,4235.5757,4158.303,4410.7275,4247.9395,4537.9697,4347.364,4307.6973,4486.97,3748.2424,4448.334,4234.5454,4281.9395,4119.667
374155.59434890747,4267.0,4236.091,4159.3335,4410.2124,4246.394,4531.273,4348.394,4314.3936,4493.152,3744.1213,4449.8794,4238.152,4289.667,4126.879
374163.64097595215,4266.485,4235.0605,4153.1514,4403.0,4246.909,4536.9395,4357.6665,4325.7275,4506.5454,3745.1516,4448.8486,4238.152,4294.303,4127.909
374172.3623275757,4265.4546,4233.0,4151.606,4397.3335,4240.7275,4544.152,4365.394,4330.3643,4511.1816,3748.2424,4446.273,4237.636,4288.121,4126.879
374178.40576171875,4264.4243,4232.485,4157.273,4398.879,4237.636,4543.636,4363.3335,4321.6064,4500.879,3745.6667,4441.6367,4235.5757,4280.9097,4123.788
374186.4104270935,4266.485,4234.5454,4156.2427,4403.0,4246.909,4543.636,4360.758,4314.3936,4492.6367,3741.5457,4442.6665,4235.5757,4282.4546,4123.788
374194.42534446716,4265.4546,4236.091,4151.606,4404.0303,4252.0605,4544.667,4362.303,4313.879,4495.2124,3742.0608,4440.0913,4231.9697,4281.4243,4123.273
374202.4414539337,4256.697,4233.0,4150.061,4400.425,4247.9395,4546.2124,4363.3335,4315.425,4497.273,3743.6062,4434.4243,4225.788,4276.788,4116.5757
374210.834980011,4254.636,4230.9395,4154.182,4397.8486,4246.909,4549.818,4362.8184,4313.364,4493.152,3739.485,4441.1216,4228.879,4279.879,4116.0605
374218.4307575226,4268.546,4237.1216,4162.94,4408.152,4251.546,4547.7573,4361.273,4304.6064,4486.4546,3733.818,4444.727,4237.1216,4283.485,4124.8184
374225.53873062134,4270.0913,4241.2427,4163.4546,4415.364,4249.4854,4542.6064,4360.2427,4295.8486,4478.2124,3735.3638,4432.364,4236.6064,4280.9097,4127.394
374233.44111442566,4254.636,4232.485,4154.6973,4406.091,4241.7573,4543.636,4357.152,4299.9697,4479.2427,3739.485,4433.394,4234.0303,4280.9097,4121.7275
374241.46842956543,4254.636,4227.8486,4152.6367,4396.8184,4241.7573,4542.6064,4353.5454,4308.212,4481.8184,3734.8484,4447.819,4235.5757,4281.9395,4122.2427
374249.4442462921,4268.031,4237.1216,4157.273,4403.0,4250.515,4541.061,4354.0605,4309.758,4480.788,3733.818,4448.8486,4236.091,4281.9395,4125.8486
374257.4601173401,4272.152,4240.7275,4160.8794,4413.303,4253.6064,4541.5757,4357.6665,4310.788,4479.2427,3741.0305,4443.182,4239.182,4290.182,4127.909
374265.4492855072,4269.0605,4238.667,4165.0005,4416.394,4251.031,4541.061,4361.7876,4314.3936,4482.3335,3741.5457,4449.8794,4242.273,4295.8486,4131.5156
374273.428440094,4268.546,4243.303,4165.0005,4411.758,4249.4854,4541.061,4364.364,4324.182,4493.667,3743.6062,4451.94,4239.697,4289.152,4131.0005
374281.3718318939,4268.546,4241.7573,4157.273,4403.515,4251.031,4543.636,4363.848,4330.879,4501.3945,3746.182,4442.152,4235.0605,4279.364,4127.909
374288.5181903839,4269.0605,4236.6064,4155.727,4407.121,4250.515,4544.152,4363.848,4326.7573,4500.364,3743.091,4441.1216,4235.0605,4277.8184,4127.909
374296.4642047882,4270.0913,4237.1216,4160.8794,4407.121,4242.273,4541.061,4359.727,4315.425,4492.121,3740.0002,4446.7876,4235.5757,4278.849,4128.9395
374304.65507507324,4265.4546,4236.6064,4156.758,4397.3335,4239.182,4538.485,4353.5454,4304.091,4481.8184,3736.3943,4438.5454,4234.5454,4274.7275,4124.303
374312.3927116394,4262.364,4232.485,4150.061,4396.3037,4245.879,4540.546,4355.0913,4306.1514,4483.879,3734.3335,4428.2427,4233.0,4269.0605,4122.2427
