Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3098748.4061717987,4269.5757,4230.4243,4169.1216,4344.273,4209.3027,4542.0913,4396.8184,4301.515,4478.2124,3752.8792,4462.2427,4236.091,4268.031,4141.303
3098756.236553192,4268.546,4236.091,4174.788,4351.485,4214.9697,4545.697,4400.9395,4301.0,4485.4243,3759.5757,4466.8794,4240.2124,4277.303,4143.879
3098764.310359955,4269.5757,4236.6064,4172.2124,4355.606,4217.0303,4545.182,4395.788,4302.0303,4492.121,3762.667,4472.5454,4246.909,4283.485,4147.485
3098772.251367569,4274.7275,4237.636,4173.758,4356.1216,4218.0605,4543.1216,4393.727,4311.8184,4497.788,3769.3638,4474.6064,4250.515,4282.97,4154.6973
3098780.240058899,4280.394,4240.2124,4181.485,4361.7876,4220.6367,4545.182,4401.9697,4310.788,4498.8184,3771.4243,4472.0303,4252.5757,4284.0,4158.303
3098788.2726192474,4283.485,4240.2124,4187.667,4366.4243,4222.6973,4547.7573,4405.0605,4302.546,4494.6973,3765.7578,4469.9697,4251.546,4285.5454,4156.2427
3098796.3087558746,4280.394,4239.182,4186.121,4361.7876,4221.1514,4545.182,4401.9697,4310.2725,4496.758,3763.1821,4466.8794,4251.546,4285.5454,4157.788
3098804.723739624,4272.667,4237.636,4177.879,4355.0913,4220.121,4541.5757,4401.9697,4313.364,4498.8184,3760.606,4459.6665,4250.0,4280.394,4158.303
3098812.268257141,4266.485,4235.0605,4170.667,4353.5454,4215.485,4543.1216,4400.9395,4300.485,4490.0605,3753.9094,4447.819,4238.667,4269.5757,4149.5454
3098819.285392761,4268.031,4234.5454,4170.1514,4354.5757,4209.8184,4543.636,4399.394,4299.4546,4481.8184,3751.3335,4439.061,4232.485,4262.364,4145.94
3098827.3351192474,4269.0605,4234.5454,4171.6973,4348.909,4204.6665,4541.061,4398.879,4305.6367,4483.879,3753.9094,4441.1216,4235.0605,4265.4546,4149.0303
3098835.205554962,4265.97,4231.4546,4169.1216,4343.758,4202.606,4541.5757,4398.3643,4299.4546,4481.8184,3752.3638,4451.4243,4233.515,4269.0605,4149.0303
3098843.284368515,4273.1816,4234.0303,4172.2124,4353.0303,4211.364,4544.152,4398.3643,4301.515,4478.7275,3753.394,4461.7275,4238.152,4273.697,4153.6665
3098851.244211197,4284.0,4244.3335,4185.0913,4363.3335,4220.121,4544.152,4395.788,4310.2725,4483.879,3757.5151,4464.819,4253.6064,4282.4546,4161.394
3098859.2240810394,4285.031,4245.879,4191.788,4362.8184,4219.091,4542.6064,4389.091,4300.485,4479.2427,3753.9094,4456.576,4253.6064,4281.4243,4159.3335
3098867.316007614,4279.879,4238.152,4183.546,4360.758,4216.0,4541.061,4383.4243,4287.0913,4464.303,3744.1213,4447.303,4241.7573,4270.0913,4154.182
3098875.322341919,4271.636,4234.5454,4173.2427,4357.6665,4217.0303,4539.515,4386.515,4289.152,4464.819,3740.5154,4445.758,4239.697,4266.485,4154.6973
3098882.2543621063,4271.636,4236.6064,4173.2427,4355.606,4218.576,4541.5757,4393.727,4296.879,4476.667,3745.1516,4446.273,4245.879,4270.6064,4158.303
3098890.2218341827,4278.849,4236.6064,4175.303,4358.6973,4217.5454,4543.636,4392.697,4298.9395,4481.8184,3751.3335,4445.758,4246.909,4269.0605,4160.8794
3098898.223876953,4278.849,4235.5757,4174.273,4359.2124,4217.5454,4543.636,4389.606,4298.4243,4481.303,3754.9397,4444.727,4242.273,4265.4546,4158.819
3098915.2278900146,4274.7275,4238.152,4175.303,4357.152,4218.0605,4544.667,4397.8486,4303.576,4483.364,3757.0002,4445.758,4245.364,4276.273,4161.394
3098916.214942932,4276.273,4239.182,4177.364,4356.1216,4220.121,4545.697,4405.0605,4311.303,4488.5156,3758.5454,4449.364,4252.0605,4286.0605,4169.1216
3098922.286748886,4271.121,4236.091,4172.7275,4348.394,4219.091,4544.152,4398.3643,4306.1514,4486.97,3755.97,4443.182,4242.788,4274.7275,4161.394
3098930.2821159363,4263.9097,4231.4546,4169.1216,4342.2124,4216.5156,4543.636,4392.182,4299.4546,4482.3335,3747.2122,4431.8486,4230.4243,4262.879,4150.576
3098938.2796287537,4267.515,4232.485,4170.1514,4349.4243,4214.9697,4542.6064,4391.1514,4302.0303,4478.2124,3741.0305,4430.8184,4230.9395,4265.4546,4152.1216
3098946.2411403656,4269.5757,4234.5454,4171.182,4356.1216,4217.0303,4540.546,4388.061,4297.909,4469.9697,3740.0002,4433.9097,4233.515,4264.9395,4154.182
3098954.5743465424,4272.152,4236.091,4174.273,4356.1216,4219.091,4540.546,4385.485,4284.515,4461.7275,3738.97,4434.4243,4235.0605,4261.3335,4154.182
3098961.569547653,4274.7275,4236.091,4174.273,4356.6367,4209.8184,4541.061,4386.0005,4285.031,4462.2427,3738.97,4438.031,4237.1216,4267.515,4157.788
3098969.2833423615,4274.7275,4234.5454,4173.758,4354.5757,4202.606,4541.5757,4386.0005,4294.8184,4466.364,3740.5154,4436.485,4235.0605,4270.0913,4159.8486
3098977.2889614105,4281.9395,4237.1216,4186.121,4353.0303,4212.909,4543.636,4385.485,4296.879,4472.5454,3746.182,4431.3335,4242.273,4270.6064,4165.515
3098985.4831695557,4285.5454,4240.2124,4193.8486,4355.606,4222.1816,4543.636,4387.0303,4297.394,4482.3335,3754.9397,4441.1216,4253.6064,4276.788,4175.8184
3098993.2436943054,4274.7275,4233.515,4178.909,4357.152,4216.0,4541.5757,4388.5757,4299.9697,4480.788,3755.4546,4447.819,4244.8486,4276.788,4172.2124
3099001.3020038605,4266.485,4231.4546,4167.5757,4353.5454,4214.9697,4541.061,4388.5757,4298.9395,4474.6064,3747.2122,4431.3335,4234.0303,4268.031,4159.3335
3099009.2833042145,4267.515,4234.5454,4173.2427,4346.8486,4218.576,4543.636,4387.0303,4297.909,4476.667,3742.576,4418.9697,4236.091,4263.394,4157.273
3099017.2605514526,4265.97,4225.788,4173.2427,4343.2427,4209.8184,4543.1216,4387.0303,4297.394,4476.667,3741.0305,4426.182,4228.879,4262.879,4158.303
3099033.271074295,4263.9097,4221.1514,4168.606,4344.788,4205.1816,4541.5757,4389.091,4298.9395,4473.576,3742.0608,4431.3335,4221.6665,4261.8486,4154.6973
3099034.6126556396,4264.9395,4233.0,4172.2124,4349.9395,4214.9697,4538.485,4383.94,4298.4243,4473.061,3746.182,4428.758,4230.9395,4264.4243,4153.1514
3099040.4992103577,4267.0,4238.152,4174.273,4355.606,4220.121,4533.8486,4375.6973,4290.6973,4468.4243,3745.6667,4428.2427,4235.0605,4265.4546,4156.2427
3099053.951740265,4268.546,4235.0605,4178.394,4361.273,4217.0303,4529.7275,4375.182,4281.9395,4462.7583,3743.6062,4431.3335,4231.4546,4263.9097,4156.758
3099067.415714264,4270.0913,4237.1216,4185.0913,4362.303,4216.5156,4528.6973,4377.758,4283.485,4467.909,3750.3032,4440.0913,4234.5454,4268.546,4156.2427
3099068.268299103,4274.7275,4239.697,4185.6064,4362.303,4218.576,4533.8486,4379.303,4292.2427,4475.1216,3756.4849,4442.152,4237.636,4274.2124,4161.909
3099077.4528980255,4279.879,4240.2124,4183.546,4362.8184,4220.6367,4543.1216,4388.061,4299.4546,4481.8184,3760.606,4438.5454,4237.636,4278.3335,4170.1514
3099080.2664756775,4276.273,4240.2124,4187.152,4361.7876,4220.6367,4546.2124,4395.273,4305.1216,4492.6367,3769.3638,4449.8794,4239.697,4284.0,4173.2427
3099089.8756980896,4270.0913,4237.1216,4187.667,4360.758,4217.5454,4543.1216,4392.697,4310.788,4500.364,3775.546,4463.273,4241.7573,4289.152,4171.6973
3099099.1535186768,4270.0913,4235.5757,4185.0913,4358.182,4218.0605,4548.788,4394.2427,4312.8486,4499.849,3775.0305,4457.606,4245.364,4287.0913,4171.182
3099104.2041778564,4269.5757,4235.0605,4184.0605,4353.0303,4221.6665,4560.121,4402.4854,4314.909,4500.879,3772.9697,4451.4243,4249.4854,4284.515,4171.182
3099112.232685089,4267.515,4232.485,4184.576,4352.515,4221.1514,4557.546,4401.4546,4316.9697,4502.4243,3771.4243,4456.061,4244.8486,4287.606,4173.758
3099119.2951202393,4270.0913,4233.515,4188.1816,4356.6367,4218.0605,4546.7275,4395.273,4311.8184,4494.1816,3766.273,4447.819,4240.2124,4283.485,4174.273
3099127.408027649,4270.0913,4235.5757,4184.576,4354.5757,4217.5454,4543.636,4392.697,4301.0,4481.8184,3752.3638,4429.788,4235.0605,4270.0913,4162.94
3099135.3073120117,4265.97,4234.0303,4173.758,4348.909,4219.606,4546.7275,4389.606,4289.667,4474.6064,3738.97,4427.2124,4225.273,4260.818,4151.091
3099143.357038498,4264.9395,4231.9697,4173.2427,4351.485,4221.6665,4546.7275,4386.0005,4281.9395,4468.94,3738.4548,4433.394,4223.2124,4264.4243,4152.6367
3099161.427497864,4268.546,4233.515,4182.0,4356.1216,4220.6367,4544.667,4383.94,4281.9395,4462.7583,3742.576,4429.788,4230.9395,4266.485,4157.273
3099163.3620262146,4268.546,4236.091,4183.0303,4350.9697,4220.121,4540.546,4382.909,4282.4546,4460.182,3738.4548,4424.6367,4233.515,4254.636,4156.2427
3099174.3335723877,4265.97,4234.0303,4179.4243,4344.788,4220.121,4540.546,4384.4546,4282.4546,4460.6978,3735.3638,4429.788,4231.9697,4251.031,4155.212
3099176.365852356,4267.515,4230.4243,4182.0,4350.4546,4218.0605,4544.152,4387.5454,4290.6973,4464.819,3742.0608,4430.8184,4235.5757,4261.3335,4162.94
3099194.3764686584,4270.6064,4231.9697,4187.667,4357.152,4217.5454,4545.697,4390.636,4302.546,4475.6367,3750.3032,4432.364,4239.697,4268.546,4172.7275
3099195.953130722,4268.546,4235.0605,4188.1816,4356.6367,4219.606,4545.182,4392.697,4303.061,4481.8184,3752.3638,4442.152,4239.182,4267.515,4171.182
3099199.280977249,4266.485,4233.0,4181.485,4350.9697,4218.0605,4546.7275,4393.212,4301.0,4479.2427,3751.8489,4446.7876,4237.1216,4268.546,4167.5757
3099207.299232483,4267.515,4232.485,4177.364,4348.909,4218.0605,4546.7275,4393.727,4301.515,4480.273,3754.4243,4442.152,4236.091,4269.5757,4171.6973
3099215.5582904816,4267.515,4235.0605,4177.879,4347.879,4218.0605,4545.697,4394.2427,4304.6064,4480.788,3751.8489,4440.0913,4237.636,4269.5757,4170.667
3099222.2802639008,4264.9395,4225.273,4173.758,4336.0303,4206.2124,4544.667,4388.061,4299.4546,4467.394,3736.3943,4432.879,4232.485,4265.97,4158.303
3099230.286836624,4263.394,4216.0,4170.667,4325.212,4199.5156,4543.1216,4385.485,4287.606,4453.485,3728.6667,4416.909,4228.364,4252.0605,4153.1514
3099238.2967472076,4265.97,4226.303,4174.788,4337.5757,4212.909,4544.667,4393.212,4288.121,4460.6978,3735.8792,4418.9697,4234.5454,4251.546,4161.909
3099250.3004074097,4270.0913,4234.0303,4178.394,4351.485,4219.091,4545.182,4394.2427,4292.2427,4466.364,3737.4246,4430.303,4238.152,4261.8486,4164.485
3099261.2824440002,4268.546,4223.2124,4172.2124,4341.1816,4205.1816,4549.818,4391.1514,4282.97,4451.94,3727.1216,4425.152,4231.9697,4256.697,4155.727
3099270.2662944794,4263.394,4214.9697,4168.091,4332.9395,4200.5454,4554.97,4397.8486,4282.4546,4447.303,3725.576,4422.061,4230.9395,4251.546,4156.758
3099272.3133563995,4271.121,4224.758,4178.394,4342.7275,4214.455,4556.0,4403.0,4303.061,4467.909,3741.5457,4440.606,4243.818,4270.6064,4174.788
3099278.2258987427,4281.4243,4237.636,4190.758,4349.9395,4224.2427,4558.0605,4401.9697,4318.0005,4485.4243,3757.5151,4457.606,4255.667,4289.152,4189.7275
3099285.303592682,4273.697,4233.0,4188.6973,4345.8184,4216.0,4559.6064,4399.394,4314.3936,4484.394,3758.5454,4452.9697,4255.667,4279.879,4190.758
3099298.227071762,4266.485,4223.7275,4184.0605,4343.2427,4209.8184,4556.0,4394.2427,4309.758,4480.788,3753.9094,4445.758,4251.031,4270.0913,4186.6367
3099301.265001297,4274.7275,4230.4243,4187.667,4346.8486,4217.0303,4554.97,4393.727,4311.303,4483.879,3755.97,4448.8486,4251.546,4281.4243,4184.576
3099309.2651367188,4276.273,4237.1216,4184.576,4347.879,4222.6973,4557.031,4395.273,4310.788,4485.9395,3758.0305,4452.9697,4253.6064,4288.636,4188.1816
3099317.2907829285,4268.031,4229.909,4175.8184,4342.7275,4218.0605,4556.0,4393.212,4300.485,4479.758,3749.7883,4446.7876,4247.4243,4273.1816,4185.0913
3099325.2584934235,4267.0,4230.4243,4178.909,4345.303,4218.576,4554.4546,4391.6665,4295.8486,4471.515,3741.5457,4441.1216,4242.273,4263.394,4175.303
3099333.3280086517,4270.0913,4238.152,4186.6367,4350.4546,4222.6973,4556.0,4394.758,4296.364,4467.909,3742.0608,4445.2427,4245.364,4271.636,4176.8486
3099341.3305282593,4274.2124,4235.5757,4186.6367,4347.364,4221.6665,4554.4546,4394.2427,4291.2124,4464.303,3742.0608,4448.8486,4250.0,4269.0605,4186.121
3099349.29561615,4281.4243,4233.515,4185.6064,4350.4546,4220.121,4553.425,4393.212,4290.6973,4465.8486,3740.5154,4444.2124,4251.546,4265.4546,4188.6973
3099356.4009666443,4282.97,4236.091,4193.8486,4355.606,4220.6367,4555.4854,4395.273,4299.4546,4474.0913,3746.697,4445.2427,4252.0605,4276.788,4186.6367
3099364.3214702606,4285.031,4235.5757,4203.121,4348.394,4219.606,4554.97,4396.3037,4304.091,4479.758,3757.0002,4457.091,4252.0605,4286.0605,4191.273
3099372.2834587097,4291.2124,4237.636,4207.758,4349.9395,4221.6665,4554.97,4396.3037,4309.758,4486.4546,3765.2427,4466.8794,4260.303,4292.758,4201.576
3099380.2976608276,4284.515,4239.697,4202.0913,4363.848,4224.2427,4553.9395,4396.3037,4316.9697,4496.758,3772.9697,4472.0303,4269.0605,4301.515,4205.6973
3099388.336420059,4269.5757,4236.091,4191.273,4362.8184,4222.1816,4548.788,4393.212,4314.909,4499.3335,3775.546,4478.7275,4258.7573,4303.061,4195.909
3099396.337032318,4267.0,4234.5454,4187.667,4354.0605,4219.606,4546.2124,4389.606,4312.8486,4494.6973,3772.4546,4479.2427,4250.0,4293.788,4187.667
3099404.867172241,4271.121,4237.1216,4190.758,4353.5454,4220.6367,4551.364,4391.6665,4314.3936,4495.2124,3769.879,4467.909,4255.667,4286.0605,4194.879
3099412.2953414917,4269.5757,4233.515,4189.2124,4347.879,4220.121,4555.4854,4395.273,4307.182,4491.6064,3765.2427,4461.2124,4253.6064,4284.515,4194.879
3099420.2914237976,4267.0,4230.4243,4184.576,4341.6973,4220.121,4556.515,4394.758,4298.9395,4482.3335,3759.5757,4463.788,4249.4854,4285.5454,4186.6367
3099428.446292877,4268.546,4233.0,4185.0913,4342.7275,4221.6665,4558.5757,4392.182,4298.9395,4481.303,3761.6362,4458.1216,4251.031,4285.5454,4186.6367
3099435.284614563,4268.031,4233.0,4185.6064,4341.6973,4218.576,4556.515,4394.758,4298.4243,4479.2427,3757.5151,4446.273,4242.788,4278.3335,4186.6367
3099443.5017108917,4269.5757,4233.0,4186.121,4346.3335,4223.7275,4561.667,4401.9697,4296.879,4476.667,3754.4243,4451.4243,4238.667,4279.364,4185.0913
3099451.3556957245,4278.849,4236.6064,4190.242,4359.727,4235.5757,4571.4546,4404.0303,4305.6367,4488.5156,3761.6362,4461.7275,4251.546,4285.031,4192.3027
3099459.3884944916,4281.4243,4237.1216,4192.3027,4358.182,4235.5757,4567.3335,4400.425,4315.425,4496.242,3760.091,4453.485,4255.152,4276.788,4196.9395
3099467.3569202423,4271.636,4235.5757,4189.2124,4345.303,4230.4243,4560.121,4395.788,4308.7275,4482.8486,3749.273,4445.758,4242.788,4267.0,4189.7275
3099475.7397174835,4265.97,4236.091,4185.6064,4348.394,4232.485,4561.667,4391.6665,4298.4243,4479.758,3752.3638,4451.4243,4236.091,4274.2124,4185.6064
3099483.268737793,4269.0605,4236.6064,4186.121,4358.6973,4229.394,4563.7275,4394.758,4304.6064,4491.6064,3760.091,4454.5156,4239.182,4285.5454,4189.2124
3099495.390176773,4268.031,4236.091,4187.667,4355.606,4223.2124,4561.152,4400.425,4311.303,4493.667,3758.5454,4448.8486,4239.697,4282.4546,4189.2124
3099526.6242027283,4264.4243,4235.5757,4185.0913,4351.485,4228.364,4560.636,4401.4546,4304.6064,4490.576,3759.5757,4447.303,4236.6064,4272.152,4184.576
3099527.5745391846,4266.485,4235.0605,4183.546,4357.6665,4236.6064,4559.6064,4399.394,4297.394,4490.0605,3760.606,4451.94,4236.091,4268.546,4184.576
3099528.4378528595,4268.546,4236.091,4187.667,4355.606,4231.9697,4560.636,4395.273,4299.9697,4483.364,3755.97,4452.9697,4240.2124,4270.0913,4188.6973
3099530.378341675,4264.9395,4235.5757,4189.2124,4345.8184,4222.6973,4561.667,4394.2427,4299.4546,4478.2124,3753.9094,4450.3945,4238.152,4270.6064,4188.1816
3099531.394958496,4264.4243,4233.515,4186.121,4348.909,4221.1514,4557.546,4393.727,4290.182,4478.7275,3754.4243,4449.364,4234.0303,4272.152,4184.576
3099543.464899063,4267.515,4235.5757,4190.758,4355.606,4223.2124,4554.97,4386.515,4284.515,4477.182,3753.9094,4452.9697,4240.7275,4278.3335,4185.6064
3099547.313451767,4269.0605,4237.636,4200.5454,4352.515,4222.1816,4554.4546,4383.94,4294.8184,4475.6367,3754.4243,4459.1514,4251.031,4282.97,4194.3633
3099558.734893799,4272.152,4236.091,4204.6665,4352.515,4221.6665,4554.97,4394.2427,4309.758,4482.3335,3758.5454,4466.364,4254.636,4281.9395,4203.121
3099564.994573593,4274.2124,4234.5454,4199.0,4357.152,4221.6665,4556.515,4397.8486,4315.425,4492.6367,3759.5757,4462.7583,4253.0913,4283.485,4204.6665
3099570.27387619,4269.5757,4234.0303,4190.758,4351.485,4220.121,4557.546,4392.182,4315.425,4496.758,3761.6362,4449.8794,4252.0605,4283.485,4203.121
3099578.3829689026,4266.485,4232.485,4187.667,4345.303,4219.091,4555.4854,4391.1514,4314.3936,4494.1816,3761.6362,4445.2427,4252.0605,4278.3335,4202.606
3099587.3560905457,4268.031,4231.9697,4187.667,4348.394,4220.6367,4555.4854,4396.3037,4313.879,4495.2124,3757.0002,4448.334,4246.394,4276.788,4195.909
3099603.8489341736,4266.485,4235.0605,4185.0913,4346.8486,4223.7275,4559.6064,4401.9697,4312.8486,4497.273,3757.5151,4448.8486,4237.1216,4277.8184,4186.6367
3099619.291305542,4262.879,4230.9395,4184.0605,4342.7275,4222.1816,4560.636,4400.9395,4303.576,4489.031,3755.4546,4438.031,4234.0303,4272.667,4186.6367
3099620.2054023743,4263.9097,4222.1816,4186.121,4343.2427,4218.0605,4553.425,4393.727,4288.636,4474.0913,3746.182,4431.8486,4235.0605,4265.97,4188.6973
3099623.3036518097,4268.546,4226.8184,4186.6367,4347.879,4219.606,4549.303,4388.061,4281.9395,4471.515,3745.1516,4444.727,4239.182,4273.1816,4190.242
3099625.579595566,4267.0,4236.091,4191.788,4355.0913,4222.6973,4554.4546,4383.94,4287.606,4477.182,3752.8792,4452.9697,4247.9395,4280.9097,4198.485
3099633.3751678467,4268.031,4241.7573,4203.6367,4361.273,4227.3335,4559.6064,4388.5757,4296.879,4480.273,3754.9397,4450.3945,4255.667,4284.0,4206.2124
3099641.2558555603,4280.394,4248.4546,4207.242,4366.4243,4235.0605,4562.182,4401.4546,4299.9697,4482.3335,3757.0002,4457.606,4258.2427,4290.182,4206.2124
3099649.37210083,4280.9097,4248.9697,4205.6973,4363.848,4233.0,4563.2124,4401.9697,4298.4243,4475.6367,3756.4849,4466.8794,4258.2427,4291.7275,4206.727
3099661.281108856,4267.0,4237.1216,4204.152,4352.0,4222.1816,4560.636,4389.606,4298.4243,4466.364,3747.7273,4456.061,4254.636,4285.031,4203.6367
3099673.3627319336,4267.0,4230.4243,4195.394,4347.879,4221.1514,4559.0913,4387.0303,4302.546,4471.515,3745.1516,4441.6367,4246.394,4275.242,4194.3633
3099691.363096237,4268.546,4234.5454,4185.0913,4355.0913,4223.2124,4558.5757,4391.6665,4303.576,4481.8184,3748.758,4439.061,4239.182,4269.5757,4188.6973
3099692.372083664,4256.1816,4230.4243,4184.576,4353.5454,4219.091,4555.4854,4390.636,4300.485,4479.2427,3748.758,4437.5156,4232.485,4267.0,4182.515
3099693.461418152,4252.5757,4221.6665,4185.6064,4343.758,4216.5156,4555.4854,4393.212,4299.9697,4475.6367,3745.1516,4431.8486,4230.9395,4260.818,4177.364
3099698.2095241547,4261.3335,4221.6665,4185.0913,4343.758,4220.121,4559.6064,4401.4546,4302.546,4480.788,3743.6062,4433.394,4234.0303,4258.2427,4182.0
3099704.282283783,4264.9395,4233.515,4186.6367,4352.0,4225.788,4561.667,4405.5757,4303.061,4483.879,3749.7883,4444.727,4234.5454,4266.485,4188.6973
3099712.2950553894,4263.9097,4238.152,4189.2124,4355.606,4225.788,4560.636,4401.9697,4298.4243,4479.2427,3754.4243,4448.8486,4234.5454,4272.667,4186.121
3099720.3316688538,4264.9395,4230.4243,4193.3335,4351.485,4220.121,4557.546,4395.273,4295.3335,4479.2427,3754.9397,4443.182,4240.2124,4270.6064,4186.6367
3099728.2609939575,4270.0913,4236.091,4201.576,4355.606,4224.758,4557.031,4394.2427,4298.9395,4491.6064,3761.6362,4450.909,4252.0605,4282.97,4200.5454
