Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1470951.8704414368,4256.1816,4220.121,4139.2427,4416.394,4252.5757,4527.667,4374.1514,4282.4546,4478.2124,3747.2122,4431.8486,4218.0605,4253.6064,4112.4546
1470952.8155326843,4255.152,4220.121,4139.758,4411.758,4250.515,4526.6367,4375.182,4281.9395,4476.152,3748.2424,4431.8486,4220.121,4254.121,4116.0605
1470957.9572677612,4253.6064,4217.5454,4141.303,4406.091,4249.4854,4527.152,4377.758,4277.8184,4467.394,3741.5457,4431.3335,4216.0,4252.0605,4111.9395
1470970.8843231201,4255.152,4216.5156,4139.758,4403.0,4247.4243,4528.182,4380.333,4275.242,4461.2124,3737.4246,4428.2427,4208.273,4248.4546,4107.303
1470972.8927612305,4255.152,4217.0303,4138.727,4403.0,4251.031,4529.2124,4385.485,4279.364,4461.7275,3737.9397,4416.394,4204.6665,4241.2427,4106.273
1470985.8102798462,4254.121,4209.3027,4139.2427,4404.0303,4248.9697,4529.7275,4386.515,4281.4243,4466.8794,3736.3943,4408.152,4203.6367,4233.515,4101.636
1470990.8828735352,4255.667,4204.152,4139.2427,4402.4854,4238.667,4527.667,4383.4243,4288.636,4474.6064,3736.3943,4411.2427,4203.6367,4235.5757,4101.121
1471000.9031295776,4257.7275,4208.273,4138.2124,4400.9395,4239.182,4527.152,4382.909,4301.0,4484.909,3742.0608,4415.879,4206.2124,4245.879,4108.8486
1471005.0966739655,4258.2427,4209.8184,4138.727,4401.4546,4245.879,4528.6973,4383.4243,4303.576,4493.152,3747.7273,4419.485,4207.242,4250.0,4111.4243
1471020.8885669708,4261.8486,4209.8184,4141.303,4402.4854,4245.364,4528.6973,4382.394,4298.9395,4490.0605,3751.3335,4422.061,4209.3027,4247.4243,4108.3335
1471022.8288173676,4266.485,4217.0303,4141.8184,4405.0605,4247.9395,4527.152,4383.4243,4300.485,4483.364,3751.8489,4427.2124,4216.5156,4250.515,4109.879
1471028.883934021,4266.485,4221.1514,4142.3335,4410.7275,4253.6064,4528.6973,4382.909,4297.909,4482.3335,3750.8186,4430.8184,4219.091,4254.121,4112.4546
1471037.1661186218,4266.485,4218.576,4146.9697,4415.879,4252.5757,4530.2427,4378.2725,4285.031,4481.8184,3752.8792,4430.303,4216.5156,4253.0913,4112.9697
1471052.8752803802,4269.5757,4226.303,4154.6973,4422.576,4257.2124,4529.2124,4379.303,4281.9395,4479.758,3755.4546,4435.97,4220.121,4257.7275,4116.5757
1471053.7738800049,4269.5757,4236.091,4156.758,4427.2124,4268.546,4530.758,4386.0005,4286.0605,4481.8184,3755.97,4444.727,4223.7275,4267.515,4121.7275
1471062.5803470612,4264.9395,4228.364,4150.576,4423.6064,4266.485,4532.303,4387.0303,4282.97,4482.3335,3756.4849,4440.606,4220.6367,4266.485,4121.7275
1471067.8164958954,4263.9097,4220.121,4144.3945,4419.485,4257.7275,4530.758,4386.0005,4286.0605,4478.7275,3754.4243,4431.3335,4220.121,4256.697,4117.091
1471075.8187770844,4265.97,4222.1816,4143.364,4417.9395,4253.6064,4528.6973,4387.5454,4296.879,4480.788,3750.3032,4430.303,4219.091,4252.0605,4112.4546
1471093.8835144043,4263.394,4219.091,4141.303,4409.182,4251.031,4527.152,4384.4546,4295.3335,4478.2124,3744.6365,4423.0913,4209.8184,4250.0,4107.8184
1471096.8661308289,4260.303,4212.3945,4138.727,4405.0605,4248.9697,4526.6367,4383.4243,4291.7275,4476.667,3740.5154,4417.9395,4202.606,4247.4243,4106.273
1471108.9568138123,4262.879,4217.0303,4140.273,4412.788,4251.546,4528.182,4390.1216,4302.546,4488.5156,3744.6365,4428.2427,4210.334,4249.4854,4108.8486
1471109.882593155,4265.97,4221.6665,4142.3335,4415.364,4253.6064,4533.8486,4394.758,4310.788,4498.8184,3753.9094,4432.364,4219.606,4252.5757,4111.4243
1471119.9147701263,4264.9395,4220.121,4142.3335,4414.3335,4254.636,4541.5757,4394.2427,4304.6064,4499.3335,3756.4849,4422.061,4217.0303,4252.0605,4111.4243
1471123.8536834717,4261.3335,4218.576,4141.8184,4413.8184,4254.636,4541.5757,4391.1514,4300.485,4495.2124,3754.9397,4418.9697,4213.9395,4251.031,4111.4243
1471137.1765136719,4263.9097,4218.576,4141.8184,4412.273,4253.6064,4531.788,4387.0303,4298.4243,4486.97,3754.4243,4428.2427,4216.5156,4253.0913,4110.909
1471139.9092674255,4264.9395,4219.091,4141.8184,4412.273,4253.0913,4527.667,4381.8794,4290.182,4481.303,3751.3335,4435.455,4220.121,4254.121,4112.4546
1471146.8935012817,4258.7573,4218.576,4140.273,4410.7275,4252.0605,4528.6973,4377.2427,4279.364,4476.667,3745.1516,4434.94,4218.0605,4252.5757,4112.4546
1471159.9161624908,4258.7573,4219.091,4140.273,4412.273,4252.0605,4527.152,4375.182,4270.0913,4466.8794,3746.182,4430.8184,4215.485,4252.0605,4110.909
1471162.9059314728,4266.485,4221.6665,4142.848,4416.909,4254.121,4526.6367,4377.2427,4266.485,4462.2427,3749.273,4430.8184,4219.091,4253.0913,4111.9395
1471170.845746994,4261.8486,4221.1514,4142.3335,4414.8486,4255.152,4526.6367,4376.212,4268.546,4464.303,3746.182,4432.364,4222.1816,4253.0913,4112.4546
1471179.8906326294,4251.546,4217.0303,4138.2124,4406.091,4251.031,4525.606,4375.182,4275.242,4463.788,3741.5457,4427.2124,4215.485,4251.031,4109.364
1471191.9195652008,4252.5757,4215.485,4136.6665,4403.515,4248.4546,4526.6367,4382.909,4285.031,4468.94,3741.0305,4423.0913,4207.758,4248.9697,4106.788
1471232.8877449036,4256.1816,4217.0303,4139.2427,4405.5757,4249.4854,4528.6973,4387.0303,4295.3335,4479.758,3744.1213,4429.273,4210.334,4249.4854,4108.3335
1471234.2133522034,4263.394,4219.606,4139.2427,4410.2124,4252.5757,4530.2427,4393.212,4309.2427,4495.7275,3757.5151,4425.667,4217.0303,4253.0913,4109.879
1471235.3794574738,4267.515,4219.606,4140.7876,4408.152,4252.5757,4531.273,4390.636,4307.182,4496.758,3754.9397,4426.6973,4218.0605,4252.0605,4112.4546
1471236.8927001953,4266.485,4219.091,4142.3335,4407.6367,4252.0605,4528.6973,4386.0005,4300.485,4486.97,3753.394,4434.4243,4219.606,4253.6064,4116.0605
1471238.8095855713,4266.485,4219.606,4146.9697,4411.2427,4253.0913,4526.1216,4384.9697,4301.0,4481.8184,3756.4849,4435.97,4221.6665,4260.818,4118.1216
1471253.4544467926,4267.0,4220.121,4151.606,4414.3335,4253.6064,4526.1216,4381.8794,4297.394,4480.273,3753.9094,4435.455,4222.6973,4260.818,4117.091
1471253.564119339,4266.485,4221.6665,4146.455,4417.4243,4252.0605,4526.6367,4380.848,4286.0605,4470.485,3746.182,4433.9097,4220.6367,4252.0605,4114.515
1471260.288476944,4267.0,4220.6367,4139.758,4414.8486,4251.546,4526.1216,4382.394,4278.849,4460.6978,3738.4548,4424.1216,4218.0605,4247.9395,4110.909
1471266.9172286987,4267.0,4217.5454,4143.364,4410.2124,4251.546,4525.606,4382.394,4280.394,4462.7583,3735.3638,4418.9697,4216.5156,4250.515,4110.394
1471274.780035019,4265.4546,4220.6367,4148.5156,4413.8184,4251.031,4527.667,4384.9697,4284.0,4474.0913,3743.091,4427.2124,4219.091,4253.0913,4113.485
1471281.7566394806,4267.515,4223.2124,4144.909,4416.909,4250.0,4527.667,4383.94,4284.515,4479.758,3754.4243,4434.4243,4219.606,4254.121,4112.4546
1471305.0751686096,4267.0,4220.121,4140.273,4411.2427,4248.4546,4526.1216,4378.7876,4286.5757,4478.7275,3756.4849,4432.364,4218.0605,4255.152,4109.879
1471306.887626648,4257.7275,4218.576,4139.2427,4408.152,4248.9697,4526.6367,4382.909,4296.879,4480.273,3754.4243,4428.758,4217.0303,4253.6064,4109.364
1471308.872461319,4252.5757,4221.6665,4139.758,4416.394,4250.515,4528.182,4387.0303,4301.515,4483.364,3755.97,4428.758,4209.8184,4252.5757,4107.8184
1471313.883304596,4259.273,4222.1816,4140.7876,4417.4243,4251.031,4528.182,4380.333,4296.364,4482.8486,3757.0002,4431.8486,4203.6367,4252.0605,4105.2427
1471320.8558559418,4263.9097,4219.606,4140.7876,4409.182,4247.9395,4525.091,4375.6973,4296.879,4481.303,3754.9397,4433.9097,4211.364,4251.546,4106.788
1471328.9277553558,4263.394,4219.606,4140.7876,4411.2427,4247.4243,4524.0605,4377.2427,4296.364,4481.8184,3753.9094,4432.879,4220.121,4252.5757,4110.394
1471337.911605835,4264.4243,4219.606,4143.364,4416.909,4247.4243,4523.5454,4377.2427,4287.0913,4480.273,3753.9094,4431.3335,4217.5454,4253.0913,4109.879
1471349.8320579529,4267.0,4221.6665,4145.94,4413.303,4241.7573,4517.879,4373.6367,4282.97,4474.0913,3749.7883,4434.4243,4219.091,4254.121,4111.4243
