Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2829894.782066345,4280.9097,4238.667,4170.667,4420.515,4282.4546,4544.152,4394.758,4306.667,4511.1816,3769.3638,4433.9097,4299.4546,4268.546,4126.364
2829902.500629425,4279.879,4236.6064,4172.7275,4415.879,4275.758,4542.6064,4393.212,4303.061,4508.0913,3771.4243,4430.8184,4299.9697,4267.0,4132.031
2829923.46739769,4280.9097,4241.7573,4172.7275,4421.546,4270.6064,4543.636,4395.273,4309.758,4512.727,3776.0608,4432.364,4302.546,4269.5757,4138.2124
2829924.516916275,4284.0,4247.4243,4172.2124,4430.303,4277.303,4542.6064,4391.1514,4307.182,4512.2124,3774.0,4434.4243,4302.0303,4271.636,4136.6665
2829926.506757736,4285.031,4250.0,4173.2427,4427.7275,4285.031,4542.6064,4391.6665,4297.394,4507.576,3769.879,4434.4243,4301.0,4268.546,4132.031
2829934.462070465,4284.0,4247.4243,4173.758,4422.576,4285.5454,4551.364,4399.394,4298.9395,4508.0913,3769.879,4427.2124,4299.9697,4264.9395,4128.4243
2829950.5059719086,4282.97,4242.788,4172.2124,4423.6064,4284.0,4560.121,4401.4546,4306.667,4511.6973,3770.9092,4422.576,4298.9395,4264.4243,4125.3335
2829952.4102211,4282.4546,4245.879,4171.182,4425.152,4285.031,4559.0913,4401.4546,4306.667,4512.2124,3769.3638,4428.2427,4299.9697,4265.97,4125.8486
2829958.461046219,4285.5454,4252.5757,4172.2124,4426.182,4285.5454,4556.515,4403.515,4307.6973,4509.6367,3770.394,4433.394,4302.546,4267.515,4132.5454
2829966.3808345795,4291.2124,4252.0605,4179.4243,4430.303,4285.031,4553.425,4402.4854,4312.333,4509.6367,3774.0,4436.485,4307.6973,4273.697,4139.2427
2829973.408460617,4293.273,4249.4854,4188.1816,4431.8486,4284.515,4551.364,4401.4546,4315.425,4511.6973,3777.091,4444.727,4312.333,4282.4546,4140.7876
2829981.423139572,4291.7275,4251.031,4187.152,4429.788,4285.031,4556.515,4403.515,4314.909,4512.2124,3781.2122,4450.3945,4314.909,4282.97,4142.3335
2829989.4320964813,4291.7275,4252.0605,4183.546,4429.273,4285.031,4558.5757,4404.0303,4317.4854,4517.364,3788.4246,4447.303,4317.4854,4285.5454,4150.061
2829997.4269866943,4296.364,4250.515,4187.152,4430.303,4285.031,4550.3335,4402.4854,4319.0303,4525.606,3793.0608,4452.455,4322.636,4291.7275,4155.727
2830005.50866127,4297.909,4250.0,4186.121,4431.8486,4284.515,4545.697,4401.9697,4317.4854,4528.182,3790.485,4463.788,4324.182,4292.2427,4153.1514
2830021.5866565704,4290.182,4250.515,4177.364,4430.8184,4285.5454,4546.7275,4400.9395,4316.4546,4523.5454,3787.9092,4458.6367,4319.546,4286.0605,4148.5156
2830027.3773670197,4281.9395,4247.9395,4171.6973,4425.152,4284.0,4548.273,4401.9697,4309.758,4515.303,3783.2727,4444.2124,4313.879,4277.8184,4141.8184
2830029.4930934906,4282.4546,4244.8486,4172.2124,4422.061,4279.364,4547.7573,4402.4854,4301.0,4510.152,3775.546,4439.576,4307.182,4269.5757,4135.6367
2830037.528514862,4284.0,4242.788,4171.6973,4422.576,4276.273,4543.1216,4396.3037,4297.909,4505.5156,3770.9092,4437.5156,4300.485,4267.515,4131.5156
2830044.5013046265,4281.9395,4243.303,4170.667,4426.182,4276.273,4540.031,4389.091,4298.4243,4495.2124,3769.3638,4437.5156,4298.9395,4268.546,4129.9697
2830053.3969402313,4281.9395,4248.9697,4172.7275,4430.8184,4278.3335,4543.636,4391.1514,4299.4546,4495.7275,3769.3638,4446.7876,4300.485,4268.031,4133.576
2830060.6229305267,4284.515,4249.4854,4173.2427,4429.788,4277.303,4545.697,4395.788,4301.515,4507.0605,3772.4546,4442.6665,4301.515,4267.0,4137.6973
2830069.5655345917,4281.9395,4240.2124,4169.636,4424.1216,4275.242,4542.0913,4392.697,4302.0303,4504.485,3768.8486,4426.6973,4300.485,4267.0,4132.5454
2830076.5209198,4279.879,4234.5454,4168.606,4423.0913,4278.3335,4543.1216,4393.212,4299.9697,4494.1816,3759.5757,4424.6367,4296.879,4263.9097,4123.788
2830084.422826767,4281.4243,4238.667,4170.1514,4423.6064,4280.9097,4547.2427,4398.3643,4298.9395,4492.6367,3761.1213,4431.3335,4296.879,4260.818,4129.4546
2830092.397212982,4283.485,4244.8486,4171.182,4423.6064,4280.394,4542.6064,4394.2427,4297.909,4502.4243,3773.4849,4439.576,4305.6367,4270.6064,4140.7876
2830100.5108356476,4285.031,4245.879,4172.7275,4427.7275,4280.394,4539.0,4387.0303,4298.9395,4511.6973,3781.2122,4447.303,4312.8486,4283.485,4143.879
2830108.4542274475,4282.4546,4239.182,4171.6973,4426.182,4276.273,4538.485,4385.485,4298.9395,4504.485,3774.5151,4439.576,4307.6973,4276.273,4139.758
2830116.4951324463,4278.849,4236.091,4168.606,4417.9395,4268.546,4531.788,4384.4546,4294.303,4495.7275,3767.8184,4429.273,4299.9697,4263.9097,4138.2124
2830134.4163417816,4282.4546,4239.697,4170.667,4417.4243,4268.546,4527.152,4384.4546,4296.879,4504.485,3774.5151,4439.061,4306.667,4274.2124,4141.8184
2830135.38813591,4287.0913,4239.697,4175.8184,4424.6367,4271.121,4531.273,4386.515,4302.546,4514.788,3781.7275,4451.4243,4316.9697,4285.5454,4143.364
2830139.4352912903,4286.0605,4237.636,4174.273,4424.6367,4270.6064,4532.303,4387.0303,4301.0,4512.2124,3777.091,4447.303,4310.788,4277.303,4140.7876
2830152.499437332,4285.031,4239.697,4171.182,4421.031,4268.546,4529.2124,4387.0303,4297.909,4506.031,3770.9092,4440.606,4302.546,4269.0605,4138.2124
2830156.4950942993,4285.5454,4239.697,4172.2124,4423.0913,4268.546,4529.7275,4387.0303,4297.909,4500.364,3770.394,4439.061,4306.667,4269.5757,4139.2427
2830163.4862422943,4284.515,4238.152,4175.8184,4426.6973,4270.0913,4528.6973,4386.515,4297.909,4496.758,3772.9697,4441.1216,4313.879,4273.697,4142.3335
2830171.5292930603,4287.606,4239.182,4176.8486,4424.1216,4271.636,4534.364,4386.515,4296.879,4497.788,3771.9395,4441.1216,4314.3936,4274.7275,4143.879
2830179.4559955597,4290.6973,4239.697,4174.273,4418.4546,4269.5757,4538.485,4384.9697,4294.8184,4495.7275,3763.6973,4435.455,4307.6973,4270.0913,4142.3335
2830187.5121593475,4286.0605,4237.636,4172.7275,4418.9697,4269.0605,4530.2427,4387.0303,4296.364,4493.152,3760.606,4430.8184,4301.515,4264.9395,4140.7876
2830194.579601288,4281.9395,4236.091,4172.2124,4418.9697,4269.5757,4529.7275,4392.182,4298.9395,4496.242,3763.6973,4430.8184,4301.0,4266.485,4140.273
2830203.544616699,4281.9395,4236.091,4170.667,4415.364,4268.031,4540.546,4391.6665,4291.2124,4493.667,3759.0608,4430.303,4303.061,4268.546,4138.727
2830210.4620933533,4282.4546,4235.5757,4169.1216,4413.303,4267.515,4542.0913,4385.485,4282.97,4485.4243,3752.3638,4429.273,4300.485,4265.4546,4138.727
2830218.459367752,4282.4546,4235.5757,4170.1514,4415.879,4269.0605,4538.485,4384.4546,4288.636,4486.4546,3753.9094,4427.7275,4297.394,4262.879,4139.758
2830226.522922516,4283.485,4238.667,4170.667,4421.546,4269.5757,4542.0913,4390.636,4296.364,4494.1816,3757.0002,4425.152,4298.4243,4263.394,4138.2124
2830234.4675064087,4284.0,4243.303,4171.6973,4425.152,4269.5757,4544.152,4395.273,4295.8486,4494.1816,3756.4849,4426.6973,4301.0,4264.9395,4136.6665
2830242.4836158752,4285.031,4243.303,4173.2427,4425.152,4270.6064,4543.1216,4394.758,4295.8486,4491.6064,3756.4849,4433.394,4302.0303,4265.4546,4137.6973
2830255.5260658264,4284.515,4243.818,4172.7275,4423.0913,4269.0605,4544.667,4396.3037,4299.9697,4496.242,3762.1519,4435.97,4300.485,4267.0,4138.727
2830271.5594768524,4283.485,4247.4243,4173.2427,4424.1216,4267.0,4546.7275,4400.9395,4303.061,4501.3945,3770.9092,4437.5156,4305.1216,4270.6064,4140.7876
2830273.590326309,4284.0,4245.364,4173.758,4424.6367,4268.031,4545.182,4400.425,4302.546,4499.3335,3771.9395,4438.031,4309.2427,4271.636,4141.8184
2830274.500846863,4282.97,4236.6064,4171.6973,4421.031,4264.9395,4544.152,4393.212,4299.4546,4494.1816,3762.1519,4432.879,4303.576,4268.031,4139.2427
2830283.3828926086,4282.4546,4236.091,4171.182,4420.0,4261.8486,4545.697,4392.182,4299.9697,4493.667,3760.606,4429.788,4298.4243,4264.9395,4137.6973
2830289.5007133484,4284.515,4244.3335,4173.758,4423.6064,4265.4546,4545.697,4398.3643,4301.515,4497.273,3769.3638,4431.8486,4301.515,4269.0605,4139.2427
2830297.466993332,4285.031,4243.818,4173.758,4425.152,4269.5757,4547.7573,4402.4854,4301.515,4495.2124,3771.4243,4434.4243,4305.6367,4274.2124,4140.7876
2830305.5214881897,4284.515,4238.667,4171.182,4421.546,4267.515,4554.97,4401.9697,4305.1216,4495.7275,3768.3335,4435.455,4303.061,4273.1816,4140.7876
