Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4553412.118911743,4262.364,4238.152,4206.727,4437.0005,4262.879,4527.667,4386.0005,4295.8486,4478.2124,3746.182,4437.0005,4234.5454,4279.364,4140.7876
4553420.207738876,4267.0,4238.667,4208.273,4439.576,4267.0,4531.788,4386.515,4290.182,4480.788,3746.697,4439.061,4239.182,4285.5454,4141.8184
4553427.232027054,4268.031,4234.0303,4205.6973,4435.97,4265.4546,4539.515,4384.9697,4289.152,4488.5156,3745.1516,4434.4243,4232.485,4282.4546,4138.727
4553435.2247715,4267.0,4240.2124,4214.9697,4440.606,4267.0,4543.636,4388.5757,4297.909,4493.152,3750.8186,4441.1216,4236.6064,4283.485,4145.4243
4553448.267221451,4269.5757,4248.4546,4222.6973,4446.7876,4269.5757,4542.6064,4396.3037,4301.515,4493.152,3757.5151,4452.455,4248.9697,4295.3335,4156.758
4553451.636552811,4271.121,4251.031,4220.121,4447.819,4268.031,4541.061,4395.273,4297.909,4494.1816,3757.5151,4452.455,4251.031,4300.485,4156.758
4553464.154243469,4270.6064,4248.9697,4219.606,4445.2427,4268.546,4541.5757,4390.636,4298.4243,4496.242,3755.4546,4448.334,4247.4243,4296.364,4152.6367
4553467.094659805,4270.0913,4241.2427,4220.121,4439.576,4270.0913,4542.6064,4391.1514,4301.0,4496.242,3756.4849,4451.4243,4250.515,4298.9395,4153.6665
4553475.146770477,4268.546,4236.091,4219.091,4439.061,4268.031,4540.546,4388.061,4298.9395,4496.242,3758.0305,4452.9697,4251.546,4300.485,4155.727
4553483.243703842,4267.0,4238.667,4219.091,4447.819,4266.485,4539.0,4387.0303,4298.4243,4498.8184,3760.091,4448.8486,4245.879,4290.6973,4152.6367
4553491.165399551,4268.031,4240.2124,4218.576,4447.819,4267.515,4541.5757,4391.6665,4299.9697,4500.364,3761.1213,4448.8486,4246.394,4284.0,4146.455
4553499.247074127,4267.515,4236.6064,4214.9697,4435.97,4269.0605,4543.636,4393.727,4300.485,4498.3027,3762.1519,4448.334,4244.3335,4284.515,4144.909
4553506.169319153,4265.4546,4236.6064,4214.9697,4430.8184,4269.5757,4544.667,4392.697,4298.9395,4496.242,3762.1519,4444.727,4237.1216,4286.5757,4151.606
4553514.205932617,4266.485,4238.667,4217.5454,4433.9097,4269.5757,4544.152,4392.697,4299.9697,4495.7275,3760.091,4447.303,4239.182,4290.182,4157.273
4553522.194862366,4268.031,4237.1216,4217.5454,4435.97,4268.031,4542.0913,4392.182,4299.9697,4495.7275,3757.5151,4450.909,4247.4243,4294.8184,4156.2427
4553530.21645546,4267.0,4235.0605,4216.0,4436.485,4266.485,4542.0913,4393.212,4298.4243,4494.1816,3758.5454,4447.819,4248.9697,4294.303,4155.727
4553538.238286972,4268.031,4240.2124,4219.091,4439.061,4273.697,4545.182,4394.2427,4297.909,4493.152,3761.6362,4449.8794,4247.4243,4292.2427,4156.758
4553550.32491684,4271.636,4253.0913,4225.788,4446.273,4280.394,4544.667,4387.5454,4297.394,4494.6973,3763.6973,4461.2124,4252.5757,4297.394,4156.758
4553554.23617363,4271.636,4251.546,4226.303,4448.8486,4273.697,4543.1216,4387.0303,4296.879,4497.788,3764.2124,4466.8794,4255.152,4301.515,4156.2427
4553562.920331955,4268.546,4239.182,4220.6367,4443.182,4266.485,4543.636,4395.788,4298.4243,4498.3027,3760.091,4461.7275,4252.5757,4297.394,4156.2427
4553571.026802063,4268.546,4239.697,4221.1514,4439.576,4269.0605,4542.6064,4392.697,4298.4243,4495.2124,3755.4546,4460.182,4248.9697,4296.879,4156.2427
4553577.274799347,4270.0913,4244.3335,4224.758,4442.152,4271.636,4541.5757,4385.485,4298.9395,4494.6973,3755.97,4463.788,4251.031,4298.9395,4156.2427
4553585.208654404,4268.031,4238.667,4221.6665,4440.0913,4269.0605,4542.0913,4393.212,4299.9697,4497.273,3755.97,4458.1216,4252.0605,4292.2427,4156.2427
4553593.205690384,4263.9097,4234.0303,4216.0,4434.94,4268.031,4541.5757,4396.3037,4299.9697,4496.758,3754.9397,4446.273,4241.7573,4281.9395,4156.2427
4553602.164745331,4263.394,4237.1216,4217.0303,4432.879,4269.0605,4540.546,4386.515,4297.909,4494.1816,3756.4849,4444.2124,4235.0605,4281.9395,4156.2427
4553610.854387283,4264.9395,4239.182,4220.121,4435.97,4270.6064,4542.6064,4385.485,4295.3335,4494.1816,3757.5151,4449.8794,4238.667,4289.152,4156.2427
4553617.218732834,4265.4546,4238.667,4217.5454,4435.455,4270.6064,4545.182,4393.212,4292.2427,4494.1816,3755.97,4442.6665,4239.182,4289.667,4156.2427
4553630.215167999,4265.4546,4237.636,4212.3945,4429.788,4268.031,4543.1216,4393.727,4293.273,4493.152,3753.9094,4431.3335,4239.697,4287.0913,4156.2427
4553633.404254913,4267.515,4236.6064,4216.0,4430.303,4267.0,4540.031,4388.5757,4297.394,4494.6973,3756.4849,4433.394,4247.9395,4292.2427,4156.2427
4553641.283035278,4268.546,4239.182,4220.121,4435.455,4266.485,4539.515,4385.485,4299.9697,4498.3027,3761.6362,4438.5454,4252.0605,4298.9395,4156.758
4553653.234004974,4268.031,4239.182,4215.485,4434.4243,4267.515,4540.546,4384.9697,4297.909,4496.758,3761.6362,4435.97,4249.4854,4298.4243,4156.2427
4553656.207084656,4268.031,4237.636,4215.485,4433.394,4270.6064,4543.636,4388.5757,4297.909,4497.788,3760.091,4434.4243,4249.4854,4298.4243,4155.727
4553664.285182953,4269.0605,4239.182,4221.1514,4435.455,4271.636,4544.667,4393.212,4304.6064,4503.97,3763.6973,4439.576,4253.6064,4304.091,4159.3335
4553672.2893714905,4267.0,4238.152,4213.9395,4433.9097,4268.031,4540.031,4391.1514,4306.667,4502.9395,3763.6973,4437.5156,4253.0913,4299.9697,4159.3335
4553680.300951004,4263.9097,4234.0303,4201.576,4428.758,4266.485,4541.061,4387.0303,4298.4243,4495.7275,3754.9397,4428.2427,4243.818,4287.606,4154.182
4553688.188791275,4264.9395,4233.0,4202.0913,4424.6367,4267.515,4540.546,4384.9697,4294.8184,4488.0,3750.3032,4423.6064,4238.152,4284.0,4152.1216
4553696.19345665,4264.9395,4235.0605,4207.242,4423.0913,4268.546,4531.273,4389.091,4297.909,4483.879,3754.9397,4423.6064,4238.152,4285.031,4155.212
4553704.226255417,4262.879,4233.0,4204.152,4426.182,4265.97,4532.8184,4393.212,4297.394,4487.4854,3754.4243,4426.6973,4236.6064,4282.4546,4152.1216
4553712.190389633,4264.4243,4233.0,4202.606,4430.8184,4265.4546,4539.515,4392.182,4298.4243,4493.667,3754.4243,4430.8184,4242.788,4288.636,4151.091
4553721.497535706,4270.0913,4244.3335,4213.9395,4437.0005,4271.121,4535.394,4392.182,4303.061,4496.758,3765.7578,4434.4243,4254.636,4302.546,4165.0005
4553733.351945877,4271.121,4250.515,4221.6665,4441.6367,4274.7275,4535.909,4395.788,4302.0303,4497.273,3768.8486,4435.455,4256.697,4302.546,4169.1216
4553735.219478607,4268.031,4247.4243,4218.0605,4437.5156,4270.0913,4545.182,4394.758,4300.485,4498.8184,3764.2124,4437.0005,4253.0913,4297.394,4162.4243
4553743.225574493,4269.0605,4247.9395,4219.091,4439.576,4268.546,4541.061,4390.1216,4302.546,4498.8184,3769.879,4442.152,4255.667,4302.0303,4166.5454
4553752.232789993,4269.5757,4244.3335,4220.121,4443.6973,4271.121,4531.788,4387.5454,4300.485,4497.273,3770.394,4440.606,4254.636,4303.061,4169.1216
4553760.239839554,4267.0,4235.0605,4209.3027,4435.455,4270.0913,4535.909,4383.4243,4296.879,4497.788,3759.5757,4433.9097,4250.0,4298.4243,4157.788
4553767.3189640045,4261.8486,4236.091,4203.121,4430.8184,4269.0605,4541.061,4383.4243,4298.9395,4492.6367,3757.5151,4434.94,4247.9395,4296.879,4153.6665
4553775.184869766,4254.636,4234.0303,4205.1816,4431.8486,4268.546,4539.0,4387.5454,4292.2427,4482.3335,3754.9397,4433.9097,4243.818,4290.182,4156.758
4553783.329486847,4246.394,4224.758,4199.5156,4421.031,4263.9097,4536.9395,4386.0005,4282.4546,4475.6367,3741.0305,4426.6973,4233.515,4278.849,4150.576
4553791.183233261,4251.031,4228.879,4196.424,4418.4546,4265.4546,4540.031,4386.0005,4289.667,4477.182,3742.0608,4432.364,4234.5454,4281.4243,4150.061
4553804.236412048,4262.364,4238.667,4204.6665,4430.303,4271.121,4542.6064,4391.1514,4301.515,4483.879,3755.4546,4447.303,4246.909,4292.2427,4157.788
4553811.247825623,4262.879,4236.6064,4207.242,4433.394,4270.6064,4542.0913,4394.2427,4301.0,4492.121,3757.5151,4450.3945,4244.3335,4291.2124,4159.8486
4553814.2421245575,4258.7573,4234.0303,4202.606,4429.788,4270.6064,4542.6064,4397.3335,4300.485,4497.788,3754.9397,4443.6973,4238.667,4286.5757,4156.758
4553822.454690933,4263.9097,4236.6064,4206.2124,4431.8486,4276.788,4543.636,4398.879,4306.1514,4495.7275,3762.667,4445.758,4246.909,4291.7275,4156.2427
4553835.2155685425,4273.697,4245.364,4221.6665,4442.6665,4280.9097,4544.667,4392.182,4307.6973,4499.3335,3769.879,4456.061,4257.7275,4299.9697,4162.94
4553838.176250458,4282.4546,4255.667,4236.6064,4459.6665,4282.4546,4544.152,4388.5757,4310.2725,4509.121,3775.0305,4467.394,4264.4243,4309.2427,4177.364
4553846.287727356,4285.5454,4256.697,4237.1216,4463.788,4282.97,4542.6064,4393.727,4315.94,4514.788,3786.3635,4478.2124,4273.1816,4316.4546,4187.152
4553858.150959015,4275.758,4253.6064,4226.8184,4448.8486,4278.849,4543.636,4395.273,4311.8184,4512.2124,3785.3333,4478.7275,4270.0913,4311.303,4179.4243
4553862.208843231,4265.4546,4248.4546,4218.576,4437.0005,4272.667,4547.2427,4393.212,4301.0,4503.455,3772.9697,4468.94,4256.1816,4299.9697,4167.061
4553881.623983383,4269.5757,4241.7573,4219.091,4438.031,4270.0913,4544.667,4393.212,4296.879,4496.758,3768.8486,4466.364,4257.7275,4302.0303,4170.667
4553887.986421585,4271.121,4238.152,4220.6367,4437.5156,4268.031,4536.9395,4390.636,4299.4546,4494.6973,3769.879,4469.9697,4261.3335,4304.091,4177.879
4553888.09800148,4264.4243,4237.1216,4216.0,4431.8486,4265.4546,4537.9697,4388.5757,4298.9395,4493.667,3761.6362,4463.788,4254.121,4297.394,4171.6973
4553894.280910492,4263.394,4235.5757,4214.9697,4429.788,4265.97,4542.6064,4392.697,4299.4546,4494.6973,3754.4243,4458.1216,4250.0,4296.364,4168.091
4553902.271747589,4266.485,4236.6064,4218.576,4433.9097,4268.031,4533.8486,4392.697,4301.0,4493.667,3756.4849,4463.788,4254.121,4298.9395,4172.7275
4553909.182310104,4268.546,4237.636,4214.455,4433.394,4264.9395,4525.091,4388.061,4298.9395,4487.4854,3755.4546,4462.2427,4254.121,4291.7275,4168.091
4553918.581724167,4264.9395,4235.0605,4205.1816,4425.152,4261.3335,4532.8184,4387.5454,4296.364,4477.6973,3748.2424,4449.364,4241.7573,4282.4546,4157.273
4553927.316188812,4257.2124,4235.0605,4202.606,4424.1216,4265.4546,4543.636,4390.1216,4297.394,4478.7275,3747.2122,4445.2427,4234.5454,4280.9097,4153.6665
4553937.199115753,4258.7573,4237.1216,4205.6973,4433.9097,4268.546,4543.636,4391.6665,4299.4546,4490.0605,3753.394,4455.0303,4243.818,4289.152,4161.909
4553941.071271896,4265.4546,4236.091,4211.364,4438.5454,4266.485,4542.0913,4392.182,4298.9395,4496.758,3759.5757,4463.273,4253.0913,4296.879,4170.667
4553949.170827866,4264.9395,4235.5757,4216.5156,4435.455,4265.4546,4541.061,4390.636,4299.4546,4494.6973,3765.2427,4469.4546,4251.546,4300.485,4172.2124
4553957.124471664,4265.97,4237.1216,4220.6367,4437.0005,4265.97,4539.515,4391.1514,4301.515,4501.9097,3774.0,4477.6973,4255.667,4306.1514,4170.1514
4553964.069843292,4272.152,4237.636,4219.606,4436.485,4267.0,4540.546,4393.212,4302.546,4510.152,3778.1213,4481.8184,4260.818,4311.303,4172.7275
