Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3190636.133670807,4285.031,4222.6973,4302.0303,4373.1216,4255.152,4520.9697,4361.273,4269.5757,4477.182,3765.2427,4439.061,4207.242,4289.152,4108.3335
3190643.78285408,4283.485,4213.4243,4300.485,4364.364,4254.636,4523.5454,4363.3335,4261.3335,4469.4546,3756.4849,4427.2124,4196.9395,4282.97,4100.091
3190646.717071533,4273.697,4204.152,4296.364,4353.5454,4253.0913,4527.152,4371.061,4250.515,4459.6665,3742.576,4410.2124,4187.152,4262.364,4084.6365
3190655.7853221893,4267.0,4203.6367,4291.2124,4354.5757,4250.0,4526.6367,4373.1216,4251.031,4450.909,3737.9397,4399.909,4183.546,4251.546,4079.4854
3190662.9626750946,4267.515,4203.6367,4284.515,4350.4546,4246.394,4519.4243,4364.879,4260.303,4450.909,3736.9094,4396.8184,4176.3335,4251.546,4076.3938
3190670.647382736,4267.0,4200.5454,4282.97,4343.758,4247.9395,4520.455,4360.758,4264.9395,4460.182,3731.7576,4395.788,4167.5757,4248.4546,4067.6365
3190679.801940918,4265.97,4202.0913,4291.2124,4349.4243,4255.152,4527.667,4363.848,4259.273,4458.1216,3730.7273,4398.3643,4168.091,4245.879,4061.4543
3190686.5549087524,4267.515,4205.1816,4297.909,4353.0303,4252.0605,4520.9697,4362.303,4253.0913,4449.364,3732.273,4404.546,4172.7275,4248.9697,4065.061
3190694.669485092,4269.5757,4201.576,4297.909,4345.303,4240.7275,4511.6973,4361.7876,4258.7573,4456.061,3730.7273,4400.9395,4172.2124,4250.515,4069.1821
3190701.65348053,4268.031,4200.5454,4297.394,4341.1816,4241.7573,4514.2734,4365.394,4268.546,4466.364,3733.818,4396.3037,4169.636,4248.4546,4069.697
3190709.682941437,4268.546,4203.121,4300.485,4346.8486,4250.515,4516.8486,4363.848,4267.0,4463.273,3738.97,4398.879,4175.303,4248.9697,4072.788
3190717.627763748,4276.788,4203.6367,4309.758,4354.0605,4250.515,4513.2427,4359.727,4263.9097,4460.182,3740.5154,4402.4854,4188.6973,4256.697,4084.1213
3190730.5629253387,4284.515,4202.606,4315.425,4354.0605,4247.9395,4509.6367,4359.2124,4267.0,4461.7275,3744.1213,4409.182,4193.3335,4267.515,4088.2424
