Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1137886.5349292755,4276.273,4238.667,4165.515,4398.3643,4247.4243,4542.6064,4392.697,4301.515,4474.0913,3732.273,4430.8184,4241.7573,4268.546,4100.091
1137895.8246707916,4264.9395,4233.0,4162.4243,4397.3335,4248.4546,4544.152,4394.2427,4302.0303,4476.152,3731.2427,4425.667,4238.667,4267.515,4100.091
1137902.4138450623,4276.273,4244.3335,4166.5454,4401.9697,4250.0,4543.1216,4393.212,4302.546,4477.6973,3740.0002,4432.364,4248.4546,4271.636,4106.788
1137909.4800949097,4285.031,4252.5757,4166.5454,4405.5757,4249.4854,4540.546,4391.6665,4301.515,4478.2124,3741.5457,4438.5454,4249.4854,4272.152,4107.8184
1137917.528629303,4274.2124,4249.4854,4162.4243,4408.152,4250.515,4541.061,4392.697,4298.4243,4478.2124,3740.0002,4433.394,4244.8486,4269.5757,4105.758
1137925.4608154297,4274.2124,4248.4546,4168.091,4412.273,4252.0605,4544.152,4393.212,4302.546,4480.788,3745.1516,4436.485,4248.4546,4274.2124,4106.788
1137942.4538612366,4282.97,4254.121,4172.2124,4416.394,4253.0913,4545.697,4390.1216,4307.6973,4483.879,3749.7883,4446.273,4252.5757,4282.4546,4109.879
1137943.4895515442,4280.394,4253.0913,4170.667,4416.394,4253.0913,4542.6064,4386.0005,4303.576,4481.303,3748.758,4443.182,4251.546,4283.485,4109.879
1137949.603319168,4280.394,4250.515,4171.182,4410.7275,4248.9697,4535.394,4383.4243,4298.4243,4477.6973,3740.0002,4435.455,4251.546,4275.758,4105.758
1137957.3917388916,4283.485,4248.9697,4168.606,4407.121,4240.7275,4529.2124,4384.4546,4299.4546,4473.576,3732.7878,4431.3335,4245.879,4268.546,4102.1514
1137965.4576778412,4274.7275,4241.7573,4161.394,4406.6064,4237.1216,4528.6973,4383.4243,4300.485,4473.061,3736.3943,4430.303,4238.152,4268.031,4104.212
1137972.4459648132,4270.0913,4236.6064,4163.9697,4404.0303,4237.636,4529.7275,4377.758,4296.364,4476.152,3741.5457,4432.879,4238.152,4270.0913,4107.8184
1137980.4680347443,4274.7275,4237.1216,4162.94,4399.909,4235.5757,4525.091,4378.7876,4294.8184,4476.667,3738.4548,4433.394,4239.697,4268.031,4102.667
1137989.3839359283,4272.152,4236.6064,4157.788,4397.3335,4236.091,4526.1216,4386.515,4297.909,4477.182,3736.9094,4429.273,4238.152,4265.4546,4098.546
1137996.376991272,4269.0605,4237.1216,4159.3335,4399.909,4239.697,4540.031,4388.061,4301.515,4479.2427,3741.0305,4429.788,4238.667,4268.031,4103.1816
1138005.4490566254,4269.0605,4236.6064,4156.758,4401.9697,4236.6064,4542.0913,4384.9697,4299.9697,4479.2427,3738.97,4426.182,4237.1216,4267.0,4099.5757
1138012.451171875,4267.515,4235.5757,4155.212,4401.9697,4236.091,4530.2427,4384.9697,4295.8486,4476.667,3734.8484,4419.485,4233.0,4262.879,4093.394
1138020.513534546,4269.0605,4242.788,4163.4546,4404.546,4247.4243,4533.8486,4386.0005,4300.485,4479.758,3737.9397,4423.0913,4238.152,4265.4546,4102.1514
1138028.7437438965,4272.152,4250.0,4164.485,4404.0303,4250.0,4545.182,4386.515,4303.576,4481.303,3742.576,4430.303,4241.7573,4270.6064,4103.697
1138041.3699150085,4267.0,4244.8486,4156.2427,4402.4854,4242.273,4542.0913,4388.5757,4292.758,4477.6973,3739.485,4429.273,4235.0605,4266.485,4093.9092
1138044.914007187,4268.031,4244.8486,4160.364,4408.152,4245.879,4537.9697,4387.0303,4287.0913,4476.667,3738.4548,4429.273,4238.152,4262.879,4097.515
1138056.3716888428,4279.364,4252.0605,4170.1514,4412.273,4255.152,4541.061,4386.0005,4295.3335,4479.2427,3746.182,4438.5454,4252.0605,4275.242,4110.909
1138059.4120025635,4278.3335,4251.031,4166.5454,4404.546,4251.546,4541.5757,4386.515,4301.515,4479.758,3749.273,4442.6665,4253.6064,4281.9395,4109.364
1138067.3830509186,4269.0605,4246.394,4158.819,4401.9697,4242.273,4541.061,4386.515,4299.9697,4478.7275,3744.6365,4435.455,4246.909,4272.152,4101.636
1138075.4384994507,4276.273,4248.9697,4159.8486,4409.182,4243.303,4539.0,4388.061,4297.909,4479.758,3745.1516,4432.364,4247.9395,4272.667,4106.788
1138083.5604667664,4286.0605,4250.515,4165.515,4410.2124,4249.4854,4540.546,4392.697,4301.0,4482.3335,3748.2424,4436.485,4250.515,4282.4546,4112.9697
1138091.3636684418,4281.9395,4250.0,4167.061,4407.6367,4251.546,4545.697,4396.8184,4307.6973,4481.303,3748.758,4440.606,4251.546,4283.485,4112.4546
