Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3882766.20554924,4326.7573,4287.0913,4221.1514,4475.1216,4302.546,4604.4243,4438.031,4345.8184,4542.6064,3803.364,4478.7275,4326.7573,4359.2124,4183.0303
3882774.192094803,4326.7573,4294.303,4221.1514,4475.6367,4304.6064,4596.182,4439.061,4342.2124,4528.6973,3799.2424,4478.7275,4324.182,4360.758,4178.394
3882787.1956825256,4323.667,4288.636,4221.1514,4468.4243,4303.061,4588.97,4441.1216,4343.2427,4525.091,3798.2122,4481.8184,4318.0005,4356.1216,4174.788
3882792.108297348,4321.091,4281.4243,4219.606,4466.364,4303.061,4599.788,4447.303,4354.5757,4540.031,3798.7273,4475.6367,4315.425,4346.8486,4175.303
3882801.455974579,4316.9697,4283.485,4216.5156,4463.273,4310.2725,4610.091,4451.4243,4371.061,4554.4546,3804.3943,4464.303,4314.3936,4345.303,4173.2427
3882806.1413764954,4318.515,4286.5757,4216.5156,4461.2124,4313.879,4609.576,4451.4243,4377.758,4565.273,3814.182,4465.8486,4314.3936,4357.6665,4176.8486
3882814.188480377,4326.2427,4285.5454,4219.606,4472.0303,4314.909,4602.879,4448.334,4374.6665,4571.4546,3821.3943,4476.152,4321.6064,4366.9395,4188.6973
3882822.2370147705,4322.636,4285.5454,4218.576,4476.152,4312.8486,4595.152,4446.273,4371.061,4566.8184,3820.364,4471.0005,4322.1216,4358.6973,4188.1816
3882844.321489334,4314.909,4284.515,4218.576,4466.8794,4307.6973,4591.5454,4442.152,4366.9395,4561.152,3815.2124,4460.6978,4315.425,4352.0,4179.9395
3882845.253944397,4316.4546,4283.485,4214.9697,4462.2427,4304.091,4592.061,4435.97,4361.7876,4561.667,3810.576,4464.819,4315.94,4356.1216,4180.9697
3882847.2571372986,4316.9697,4282.97,4205.1816,4462.2427,4302.546,4592.061,4438.5454,4355.606,4562.182,3807.485,4466.364,4316.4546,4354.5757,4176.8486
3882855.301618576,4315.425,4282.97,4207.242,4462.2427,4302.0303,4591.5454,4444.727,4349.4243,4554.4546,3808.5154,4464.303,4314.909,4352.0,4174.273
3882861.253976822,4315.425,4284.0,4217.0303,4462.2427,4304.091,4591.031,4441.6367,4344.788,4544.152,3803.879,4468.94,4318.0005,4355.0913,4184.0605
3882869.210243225,4313.364,4279.879,4208.273,4457.091,4301.515,4591.5454,4440.0913,4344.788,4538.485,3791.0002,4459.6665,4311.8184,4346.8486,4176.8486
3882877.2501945496,4311.303,4277.303,4197.455,4454.0005,4298.4243,4591.5454,4445.2427,4348.909,4530.758,3783.2727,4445.758,4297.909,4336.546,4160.364
3882889.3361091614,4313.364,4281.9395,4204.152,4462.2427,4304.6064,4591.5454,4442.6665,4347.879,4525.606,3787.3938,4452.9697,4299.4546,4341.1816,4165.0005
3882894.2472934723,4313.879,4283.485,4207.758,4466.364,4311.8184,4591.031,4439.061,4347.879,4531.788,3795.1213,4463.788,4309.758,4346.3335,4174.273
