Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4311866.134643555,4290.182,4253.6064,4189.7275,4435.455,4287.0913,4549.303,4410.2124,4323.667,4510.6665,3784.303,4448.8486,4279.364,4301.515,4144.3945
4311874.002933502,4290.182,4250.0,4187.667,4429.273,4274.7275,4547.2427,4409.6973,4329.8486,4510.6665,3784.8184,4447.819,4281.9395,4297.394,4153.6665
4311890.046596527,4297.909,4247.9395,4186.121,4428.2427,4264.4243,4554.97,4413.303,4332.9395,4512.2124,3785.8486,4449.364,4284.515,4307.182,4158.819
4311890.9521102905,4303.061,4251.546,4191.273,4431.3335,4271.636,4560.121,4418.9697,4331.909,4514.2734,3788.9397,4455.5454,4285.5454,4313.879,4158.819
4311897.030591965,4295.8486,4251.546,4188.6973,4428.758,4277.303,4556.515,4416.909,4331.909,4512.727,3784.8184,4448.8486,4284.515,4305.1216,4157.788
4311905.024290085,4285.031,4241.7573,4176.8486,4420.515,4271.121,4548.788,4409.182,4325.212,4511.6973,3775.0305,4434.4243,4279.879,4298.9395,4152.1216
4311913.001775742,4280.9097,4234.5454,4170.667,4414.3335,4267.0,4544.152,4406.6064,4315.425,4506.031,3769.879,4430.8184,4272.667,4294.303,4143.879
4311921.007871628,4279.879,4234.0303,4166.0303,4413.8184,4269.0605,4545.697,4408.152,4313.879,4493.152,3768.8486,4429.273,4266.485,4285.5454,4141.303
4311929.039239883,4276.788,4234.0303,4159.8486,4414.8486,4268.546,4545.697,4407.121,4315.94,4496.758,3768.3335,4417.4243,4263.394,4280.9097,4137.6973
4311937.070608139,4268.546,4233.0,4155.727,4412.273,4267.515,4542.0913,4401.4546,4315.94,4508.0913,3769.879,4411.2427,4256.697,4281.9395,4130.485
4311951.065540314,4265.97,4235.0605,4156.758,4410.2124,4270.6064,4544.152,4401.9697,4315.94,4503.455,3770.9092,4420.515,4251.031,4277.8184,4126.879
4311954.474925995,4269.0605,4236.091,4158.819,4408.667,4272.152,4545.697,4405.5757,4315.94,4495.7275,3769.3638,4424.1216,4252.5757,4278.3335,4127.394
4311968.133687973,4268.031,4232.485,4157.273,4407.121,4268.031,4545.182,4404.0303,4314.3936,4496.758,3769.3638,4416.394,4254.121,4281.9395,4128.4243
4311968.266248703,4268.031,4231.9697,4157.788,4412.788,4270.6064,4546.2124,4401.9697,4314.3936,4504.485,3772.4546,4419.485,4256.697,4279.879,4131.5156
4311976.319313049,4275.758,4236.6064,4168.091,4421.546,4276.273,4546.2124,4401.4546,4316.9697,4510.6665,3774.5151,4431.3335,4264.9395,4287.0913,4137.6973
4311997.344255447,4282.97,4238.667,4176.8486,4422.576,4272.667,4546.7275,4401.9697,4316.9697,4503.455,3774.0,4438.031,4273.1816,4299.9697,4144.3945
4311997.450828552,4281.9395,4236.6064,4173.2427,4418.9697,4267.0,4545.697,4400.425,4316.4546,4495.2124,3773.4849,4433.9097,4274.7275,4296.364,4144.3945
4312006.1774253845,4282.4546,4235.5757,4171.182,4417.9395,4269.5757,4543.636,4395.273,4314.3936,4495.7275,3768.8486,4425.667,4272.152,4285.031,4142.3335
4312013.098239899,4282.4546,4234.5454,4171.6973,4418.9697,4272.667,4542.0913,4392.182,4305.6367,4487.4854,3758.5454,4422.061,4267.0,4282.4546,4138.2124
4312016.050815582,4275.242,4235.0605,4165.0005,4415.364,4271.121,4540.546,4392.182,4297.909,4475.6367,3752.3638,4423.6064,4264.9395,4282.4546,4134.0913
4312024.046182632,4266.485,4233.0,4156.2427,4406.091,4269.5757,4540.546,4392.182,4298.4243,4476.667,3753.394,4422.576,4262.879,4279.879,4133.576
4312031.955480576,4267.515,4225.273,4156.2427,4400.425,4266.485,4541.5757,4394.758,4299.9697,4482.8486,3757.0002,4418.9697,4257.2124,4279.364,4134.0913
4312039.084434509,4272.667,4226.8184,4160.8794,4404.546,4265.97,4540.546,4399.394,4302.0303,4489.031,3762.1519,4422.576,4257.7275,4280.394,4134.606
4312052.040576935,4272.152,4235.0605,4159.3335,4410.2124,4272.152,4542.6064,4401.9697,4310.2725,4499.849,3768.3335,4423.6064,4263.9097,4282.4546,4138.727
4312056.010007858,4273.697,4237.1216,4160.364,4415.364,4278.3335,4547.2427,4403.0,4315.425,4510.152,3775.0305,4423.0913,4267.515,4289.667,4141.303
4312063.450813293,4281.4243,4236.6064,4169.636,4421.031,4281.4243,4548.273,4406.6064,4314.3936,4513.758,3779.667,4430.303,4269.0605,4295.8486,4141.303
4312076.189994812,4284.0,4238.667,4173.2427,4422.061,4282.97,4547.2427,4407.121,4314.909,4511.6973,3779.667,4435.97,4269.5757,4295.8486,4143.364
4312080.132484436,4284.0,4239.182,4171.182,4422.061,4284.515,4547.2427,4404.0303,4315.94,4512.2124,3779.1516,4434.4243,4271.121,4297.394,4145.94
4312094.195127487,4285.031,4237.1216,4171.6973,4421.546,4281.9395,4545.697,4404.0303,4314.3936,4509.121,3779.1516,4432.879,4270.0913,4297.909,4142.3335
4312095.105409622,4277.8184,4234.0303,4167.5757,4417.9395,4278.849,4544.667,4403.515,4307.6973,4499.3335,3775.546,4432.364,4267.0,4289.667,4139.2427
4312105.089664459,4268.546,4231.9697,4158.819,4416.394,4277.8184,4543.636,4396.8184,4300.485,4493.667,3771.4243,4428.758,4265.97,4282.97,4141.303
4312111.2060546875,4265.97,4228.879,4153.1514,4412.273,4271.636,4540.031,4390.636,4298.9395,4491.0913,3762.667,4420.515,4260.818,4282.4546,4135.6367
4312118.170261383,4264.9395,4226.303,4156.2427,4409.182,4265.97,4540.546,4392.697,4299.4546,4488.0,3755.4546,4420.515,4256.697,4279.364,4127.394
4312126.056909561,4268.546,4230.9395,4164.485,4410.7275,4273.697,4544.152,4398.3643,4299.9697,4492.6367,3760.606,4426.6973,4262.879,4282.4546,4133.061
4312139.161348343,4273.1816,4236.6064,4163.9697,4413.303,4282.97,4544.667,4401.4546,4299.4546,4489.546,3763.1821,4420.0,4264.9395,4284.515,4138.2124
4312143.318414688,4269.5757,4234.5454,4156.2427,4416.394,4279.364,4544.152,4399.909,4299.4546,4478.7275,3753.394,4409.182,4253.0913,4270.0913,4126.879
4312151.132583618,4265.97,4233.0,4156.758,4420.0,4278.849,4544.667,4395.273,4297.394,4483.364,3750.3032,4413.303,4250.0,4266.485,4121.2124
4312163.381814957,4271.636,4235.5757,4163.4546,4417.9395,4284.515,4544.667,4396.8184,4297.394,4496.242,3758.0305,4417.4243,4259.788,4279.879,4130.485
4312166.124343872,4279.364,4237.1216,4168.606,4420.0,4282.97,4545.182,4400.9395,4304.6064,4499.849,3768.3335,4419.485,4265.4546,4284.0,4135.6367
4312174.028158188,4284.0,4238.667,4174.788,4430.303,4283.485,4545.697,4400.425,4314.909,4510.6665,3782.7578,4435.97,4273.697,4291.2124,4144.3945
4312182.478904724,4285.031,4238.152,4177.364,4431.3335,4281.9395,4543.1216,4399.394,4319.546,4524.0605,3793.576,4454.0005,4285.031,4311.303,4157.788
4312195.053577423,4284.515,4236.091,4173.758,4422.576,4273.1816,4542.0913,4401.4546,4325.7275,4519.4243,3792.0305,4452.9697,4286.0605,4316.4546,4158.303
4312198.063373566,4283.485,4236.6064,4172.2124,4418.4546,4275.242,4543.636,4403.515,4332.425,4512.727,3788.9397,4443.6973,4280.9097,4303.576,4153.6665
4312205.066919327,4283.485,4238.152,4172.2124,4425.152,4280.394,4544.152,4404.546,4324.697,4515.303,3786.3635,4439.576,4278.849,4299.4546,4156.2427
