Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3497376.698255539,4301.0,4254.636,4258.7573,4451.94,4255.152,4543.636,4382.394,4286.0605,4476.152,3769.879,4478.7275,4255.667,4303.061,4156.758
3497383.009672165,4292.2427,4252.5757,4252.0605,4442.152,4248.4546,4542.0913,4381.364,4293.788,4479.758,3766.273,4479.2427,4254.636,4303.061,4153.6665
3497390.716075897,4278.849,4240.7275,4237.1216,4425.152,4247.9395,4545.182,4384.9697,4296.364,4471.0005,3754.4243,4455.0303,4240.2124,4288.636,4137.182
3497399.623632431,4278.849,4235.5757,4232.485,4424.6367,4251.031,4544.667,4383.4243,4295.3335,4468.4243,3752.8792,4447.303,4231.9697,4280.394,4128.9395
3497406.726837158,4282.4546,4242.273,4236.6064,4434.94,4250.515,4542.0913,4385.485,4304.091,4486.4546,3771.4243,4463.273,4236.6064,4286.0605,4133.061
3497414.1290187836,4274.2124,4241.7573,4237.636,4435.97,4251.546,4551.879,4396.3037,4312.8486,4500.364,3775.0305,4462.2427,4236.091,4287.606,4130.485
3497421.741962433,4267.0,4235.0605,4231.9697,4428.758,4252.5757,4561.667,4403.515,4306.667,4496.242,3759.5757,4447.819,4229.909,4281.9395,4122.758
3497429.8582077026,4269.0605,4236.6064,4223.7275,4423.6064,4249.4854,4551.879,4398.3643,4298.9395,4493.667,3762.667,4447.303,4229.909,4279.879,4124.8184
3497437.80374527,4268.546,4236.091,4222.1816,4422.576,4246.394,4540.546,4387.0303,4295.8486,4499.3335,3774.5151,4450.3945,4233.0,4281.9395,4127.394
3497445.98031044,4273.1816,4234.0303,4231.4546,4427.2124,4246.394,4543.636,4382.909,4290.6973,4492.6367,3763.1821,4445.2427,4233.0,4279.879,4123.273
3497453.7637233734,4282.97,4244.8486,4238.667,4432.879,4250.0,4546.7275,4386.0005,4288.636,4482.3335,3755.97,4448.8486,4235.5757,4279.879,4127.909
3497461.7557525635,4284.0,4246.909,4235.5757,4430.303,4252.0605,4545.182,4389.091,4296.879,4490.576,3770.9092,4462.7583,4239.697,4290.182,4138.2124
3497468.799829483,4280.394,4235.5757,4234.5454,4427.2124,4251.031,4545.697,4389.606,4303.061,4498.3027,3776.0608,4469.4546,4239.182,4301.515,4137.6973
3497477.76055336,4281.9395,4240.7275,4243.303,4434.4243,4251.546,4545.182,4384.4546,4298.9395,4485.9395,3766.273,4464.819,4240.7275,4299.4546,4134.606
3497484.8115444183,4283.485,4253.0913,4248.9697,4442.6665,4250.0,4541.5757,4380.333,4297.394,4475.1216,3763.1821,4462.2427,4247.9395,4291.2124,4139.758
3497492.8233623505,4285.031,4245.364,4241.2427,4435.97,4248.4546,4542.0913,4387.0303,4301.0,4477.6973,3762.667,4461.7275,4246.909,4289.152,4139.758
3497500.834941864,4280.9097,4232.485,4229.909,4419.485,4246.394,4544.667,4391.6665,4301.515,4478.2124,3753.9094,4453.485,4236.091,4286.0605,4128.9395
3497508.835554123,4270.0913,4233.515,4230.4243,4415.364,4242.273,4544.152,4385.485,4298.4243,4476.667,3746.697,4444.727,4227.3335,4274.7275,4121.7275
3497516.7803764343,4269.0605,4237.636,4233.0,4428.758,4243.303,4543.636,4384.9697,4295.3335,4476.152,3744.6365,4443.6973,4229.394,4270.0913,4121.2124
3497525.752544403,4278.3335,4239.697,4233.515,4433.9097,4249.4854,4547.2427,4389.606,4296.364,4476.667,3747.7273,4448.334,4234.5454,4281.4243,4124.8184
3497532.7558517456,4282.4546,4234.0303,4234.5454,4423.0913,4249.4854,4547.2427,4387.0303,4295.8486,4482.3335,3754.9397,4449.8794,4234.5454,4283.485,4125.8486
3497542.7384376526,4282.4546,4231.4546,4234.5454,4421.546,4248.4546,4545.182,4384.4546,4292.758,4483.364,3757.0002,4446.273,4231.4546,4271.636,4122.2427
3497547.8451251984,4285.5454,4244.8486,4238.152,4431.8486,4251.546,4549.818,4388.5757,4295.3335,4479.2427,3754.4243,4446.273,4235.0605,4275.242,4128.4243
3497555.727005005,4286.5757,4247.9395,4239.697,4432.879,4250.0,4551.364,4386.515,4297.909,4484.394,3758.5454,4453.485,4239.182,4286.5757,4136.152
3497565.0029182434,4284.0,4235.5757,4238.152,4429.273,4246.909,4543.636,4381.364,4297.394,4495.2124,3768.3335,4461.7275,4237.1216,4288.636,4131.0005
3497591.5529727936,4285.031,4241.7573,4242.273,4436.485,4251.546,4546.2124,4388.061,4304.6064,4497.788,3770.394,4467.394,4240.2124,4295.3335,4133.576
3497591.84718132,4284.0,4254.636,4242.273,4441.1216,4254.121,4559.6064,4394.758,4315.425,4495.7275,3767.3032,4461.2124,4240.7275,4294.303,4139.2427
3497591.936349869,4279.879,4242.788,4235.0605,4430.303,4253.0913,4558.5757,4387.5454,4314.909,4496.758,3767.8184,4450.3945,4235.0605,4282.4546,4132.031
3497595.907688141,4279.879,4234.0303,4235.0605,4423.0913,4252.0605,4546.2124,4386.0005,4313.364,4498.8184,3773.4849,4458.1216,4240.7275,4290.182,4133.576
3497603.8274765015,4282.97,4243.818,4239.697,4429.788,4252.5757,4543.636,4393.212,4317.4854,4498.8184,3772.4546,4466.8794,4248.9697,4301.515,4142.3335
3497611.7527484894,4281.9395,4241.7573,4235.5757,4433.9097,4251.546,4547.2427,4392.697,4310.788,4495.7275,3764.2124,4451.94,4239.697,4288.636,4132.031
3497620.800971985,4280.9097,4235.0605,4232.485,4428.758,4250.515,4545.697,4390.1216,4304.091,4492.6367,3766.273,4444.2124,4231.9697,4279.364,4122.758
3497627.7828216553,4282.4546,4236.6064,4234.5454,4426.182,4249.4854,4544.152,4393.212,4307.182,4493.152,3770.9092,4460.182,4237.636,4288.636,4127.909
3497634.7782611847,4285.5454,4239.182,4235.0605,4429.273,4250.515,4548.788,4395.273,4304.6064,4493.152,3765.2427,4466.364,4239.182,4297.394,4132.5454
