Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1495248.8627433777,4267.0,4222.1816,4138.2124,4405.5757,4248.9697,4530.758,4394.758,4287.0913,4482.3335,3772.9697,4433.394,4222.6973,4264.4243,4096.4854
1495262.230873108,4264.9395,4221.6665,4138.2124,4403.515,4251.031,4527.152,4392.697,4285.5454,4479.2427,3769.879,4433.9097,4220.6367,4255.667,4094.4246
1495265.988111496,4260.303,4222.1816,4137.182,4407.6367,4252.5757,4533.3335,4394.2427,4279.879,4466.8794,3769.3638,4432.879,4220.6367,4254.121,4093.394
1495272.8810310364,4257.2124,4224.2427,4136.152,4409.6973,4255.152,4543.1216,4394.2427,4281.9395,4469.9697,3771.9395,4429.788,4221.1514,4264.4243,4094.9397
1495284.8691940308,4257.2124,4225.273,4139.758,4411.758,4253.0913,4535.394,4390.636,4277.303,4477.182,3772.9697,4439.576,4219.606,4263.394,4090.818
1495288.8474464417,4255.152,4224.2427,4140.7876,4416.909,4251.546,4524.576,4382.394,4265.97,4466.8794,3769.3638,4448.334,4219.091,4250.515,4086.182
1495314.9037361145,4253.0913,4222.1816,4134.606,4413.8184,4251.031,4527.152,4375.182,4263.394,4459.1514,3764.2124,4437.0005,4220.121,4250.0,4091.8486
1495316.9050216675,4254.121,4219.606,4131.0005,4403.0,4243.818,4526.6367,4374.1514,4268.031,4463.273,3761.1213,4424.1216,4217.0303,4255.152,4093.9092
1495318.8247680664,4252.0605,4218.576,4128.9395,4397.3335,4237.636,4524.0605,4377.2427,4268.031,4462.7583,3759.0608,4418.9697,4206.2124,4247.4243,4085.1514
1495320.899963379,4248.9697,4219.091,4126.364,4398.879,4236.6064,4523.5454,4378.2725,4263.9097,4464.303,3762.667,4418.9697,4201.0605,4239.182,4082.576
1495328.9573192596,4248.4546,4216.0,4125.3335,4402.4854,4236.6064,4513.758,4376.727,4269.5757,4475.1216,3768.8486,4424.6367,4205.6973,4245.364,4090.818
1495340.910434723,4247.9395,4213.4243,4124.303,4400.425,4236.091,4513.758,4378.7876,4282.4546,4480.788,3772.4546,4433.9097,4207.242,4255.667,4094.9397
1495344.7892665863,4248.9697,4216.0,4124.303,4396.3037,4235.5757,4523.5454,4384.9697,4286.5757,4478.7275,3772.4546,4432.364,4205.1816,4253.6064,4093.9092
1495352.0216941833,4250.515,4218.0605,4126.364,4401.4546,4234.5454,4520.9697,4386.0005,4282.97,4478.2124,3774.0,4424.6367,4209.8184,4250.515,4097.0
1495373.3026981354,4251.546,4217.5454,4128.9395,4404.546,4240.2124,4520.455,4381.364,4283.485,4480.273,3773.4849,4424.6367,4211.879,4254.121,4101.121
1495373.417377472,4251.546,4218.0605,4127.394,4399.394,4248.4546,4528.6973,4378.2725,4278.849,4476.667,3770.394,4431.3335,4205.1816,4252.5757,4100.091
1495374.798297882,4252.0605,4221.1514,4131.5156,4401.9697,4248.9697,4526.1216,4377.2427,4267.0,4465.8486,3768.8486,4432.879,4207.758,4248.9697,4098.546
1495383.0564022064,4253.0913,4221.6665,4137.6973,4410.2124,4247.4243,4522.5156,4375.6973,4258.7573,4457.606,3764.2124,4425.667,4218.576,4248.4546,4101.121
1495391.0129070282,4254.636,4221.6665,4138.2124,4409.6973,4248.9697,4529.2124,4380.848,4259.273,4458.6367,3758.0305,4428.2427,4218.576,4248.9697,4105.758
1495403.856754303,4255.667,4223.2124,4136.6665,4408.667,4252.0605,4529.7275,4384.4546,4263.394,4462.2427,3762.1519,4437.5156,4215.485,4251.031,4109.879
1495407.011270523,4255.152,4222.6973,4136.152,4409.182,4250.515,4526.6367,4379.8184,4270.6064,4464.303,3769.879,4435.97,4218.0605,4253.6064,4110.394
1495414.882659912,4254.121,4220.121,4131.0005,4403.0,4242.788,4527.667,4375.182,4273.697,4467.394,3770.9092,4428.758,4218.0605,4253.6064,4113.485
1495424.8991012573,4255.152,4219.606,4127.909,4398.879,4237.1216,4524.0605,4376.212,4271.121,4467.394,3769.879,4430.8184,4217.5454,4251.546,4121.2124
1495434.8666667938,4254.636,4219.606,4129.4546,4400.9395,4236.6064,4514.2734,4378.2725,4274.7275,4468.94,3773.4849,4435.97,4218.0605,4253.0913,4125.3335
1495439.805984497,4253.6064,4217.5454,4128.4243,4399.909,4234.5454,4508.0913,4378.2725,4282.4546,4477.182,3776.5762,4433.394,4210.334,4255.667,4122.758
1495446.9058513641,4251.031,4216.0,4126.879,4398.879,4234.0303,4515.8184,4376.727,4286.5757,4482.3335,3776.5762,4430.8184,4207.758,4252.5757,4122.2427
1495458.8115215302,4251.546,4219.091,4126.879,4401.4546,4238.152,4525.606,4379.8184,4281.9395,4474.6064,3776.5762,4431.8486,4215.485,4255.152,4125.3335
1495462.158203125,4259.788,4221.6665,4131.0005,4403.0,4237.636,4519.4243,4383.4243,4272.667,4466.364,3775.546,4437.5156,4222.1816,4263.394,4127.909
1495474.9298095703,4261.8486,4221.1514,4135.1216,4403.0,4236.6064,4512.727,4379.303,4267.515,4464.819,3772.9697,4437.5156,4219.091,4258.7573,4126.364
1495478.4076213837,4253.0913,4220.6367,4133.061,4403.515,4242.273,4524.0605,4376.212,4268.031,4463.788,3769.879,4431.8486,4209.3027,4250.515,4122.2427
1495486.9000911713,4250.515,4221.1514,4128.9395,4403.515,4243.303,4532.303,4377.758,4267.0,4462.2427,3769.879,4430.303,4205.1816,4251.546,4120.6973
1495495.722770691,4254.636,4220.121,4126.879,4402.4854,4239.182,4527.152,4376.212,4262.879,4460.182,3768.8486,4428.2427,4205.1816,4252.5757,4121.2124
1495516.9203281403,4253.6064,4220.121,4127.394,4403.515,4239.697,4525.091,4376.212,4268.031,4463.273,3769.879,4424.1216,4207.242,4250.0,4120.6973
1495517.8117752075,4253.0913,4221.6665,4128.4243,4405.0605,4239.697,4527.152,4378.7876,4272.667,4475.1216,3774.0,4424.1216,4210.334,4254.636,4124.303
