Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
60368.905544281006,4273.697,4232.485,4155.727,4405.0605,4220.121,4543.1216,4291.7275,4302.0303,4479.2427,3798.2122,4428.2427,4238.667,4252.0605,4155.727
60379.104137420654,4276.273,4229.909,4153.6665,4401.9697,4221.1514,4544.152,4299.9697,4298.9395,4479.2427,3792.5457,4418.9697,4237.1216,4251.031,4155.727
60384.469509124756,4272.667,4230.4243,4155.727,4405.0605,4229.394,4544.152,4298.4243,4303.576,4480.788,3792.5457,4420.0,4235.5757,4248.9697,4152.1216
60391.607999801636,4272.667,4233.0,4154.182,4405.5757,4234.5454,4544.152,4292.2427,4302.0303,4479.2427,3792.0305,4428.2427,4235.5757,4250.0,4153.6665
60399.54972267151,4277.8184,4234.5454,4151.091,4404.546,4233.0,4544.152,4292.2427,4298.4243,4478.7275,3793.576,4430.8184,4242.273,4257.7275,4154.182
60399.84679222107,4282.97,4235.5757,4159.8486,4414.3335,4234.5454,4548.273,4293.788,4298.4243,4479.758,3801.8184,4439.061,4255.152,4268.031,4156.2427
60407.973527908325,4284.515,4238.152,4167.5757,4422.576,4237.636,4549.303,4290.182,4301.515,4483.364,3806.4548,4451.4243,4258.7573,4271.121,4160.364
60414.934158325195,4283.485,4238.152,4162.94,4418.4546,4236.091,4545.182,4283.485,4306.667,4486.97,3802.3337,4445.758,4255.152,4267.515,4159.3335
60422.88541793823,4282.97,4238.667,4163.9697,4416.394,4234.0303,4543.1216,4281.9395,4306.667,4488.5156,3804.3943,4440.606,4258.2427,4267.0,4159.8486
60431.28776550293,4288.121,4239.182,4174.788,4421.546,4234.5454,4544.667,4285.031,4306.667,4493.152,3810.576,4447.819,4261.3335,4270.0913,4165.0005
60441.736698150635,4284.515,4239.697,4170.1514,4416.909,4237.636,4546.7275,4285.5454,4311.303,4497.788,3808.0002,4441.6367,4254.636,4268.546,4162.4243
