Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1792490.2696609497,4255.152,4233.0,4123.273,4401.4546,4200.5454,4525.606,4386.0005,4264.4243,4494.6973,3759.5757,4449.364,4199.0,4265.97,4150.061
1792498.0583190918,4254.636,4233.515,4126.364,4406.091,4200.5454,4522.5156,4382.394,4258.2427,4498.3027,3761.1213,4449.364,4203.6367,4270.6064,4153.1514
1792520.9696292877,4253.0913,4233.515,4126.364,4406.091,4202.606,4525.091,4381.364,4253.0913,4487.4854,3756.4849,4446.273,4198.485,4267.515,4146.9697
1792522.9713916779,4252.0605,4224.758,4122.758,4400.9395,4202.0913,4528.6973,4384.9697,4250.0,4478.2124,3753.394,4445.758,4194.879,4260.303,4138.2124
1792524.9471664429,4252.0605,4225.273,4122.758,4403.515,4203.121,4530.2427,4388.061,4254.636,4482.8486,3755.97,4447.303,4201.576,4262.879,4144.909
1792582.053899765,4254.121,4236.6064,4126.879,4410.7275,4201.576,4524.0605,4388.061,4263.394,4485.9395,3756.4849,4448.334,4202.606,4266.485,4155.212
1792583.0059051514,4259.273,4238.152,4129.9697,4409.6973,4200.5454,4514.2734,4386.0005,4265.97,4479.758,3754.4243,4448.334,4200.031,4265.97,4155.212
1792583.9536190033,4250.515,4219.091,4117.6064,4395.273,4186.6367,4507.576,4377.2427,4259.788,4467.909,3742.0608,4433.9097,4188.6973,4255.667,4141.303
1792585.0932598114,4251.031,4218.576,4119.152,4395.273,4187.667,4510.6665,4376.212,4254.636,4465.3335,3738.4548,4428.758,4190.242,4250.515,4140.7876
1792588.8328552246,4253.6064,4220.121,4124.303,4400.425,4188.6973,4513.2427,4377.758,4251.546,4465.3335,3740.0002,4433.394,4194.3633,4256.1816,4142.3335
1792619.915008545,4253.0913,4223.2124,4128.4243,4404.0303,4190.242,4510.152,4375.6973,4250.515,4471.0005,3748.758,4446.273,4202.606,4265.4546,4149.5454
1792621.953010559,4253.0913,4227.8486,4131.0005,4408.152,4189.2124,4514.788,4380.333,4251.546,4481.8184,3755.97,4449.8794,4204.6665,4268.031,4155.212
1792624.971151352,4259.273,4229.909,4132.031,4412.273,4191.788,4522.0,4386.515,4258.2427,4485.9395,3755.97,4448.8486,4203.121,4267.0,4153.6665
1792626.9617080688,4262.364,4235.0605,4131.0005,4413.303,4204.152,4516.8486,4381.8794,4265.97,4482.8486,3757.0002,4450.909,4203.121,4270.0913,4156.2427
1792639.9898529053,4257.7275,4234.5454,4128.4243,4412.788,4204.6665,4516.334,4381.364,4267.0,4481.8184,3756.4849,4446.273,4194.879,4270.0913,4159.8486
1792641.949892044,4254.121,4228.364,4122.2427,4407.121,4191.788,4523.5454,4390.636,4265.97,4478.7275,3747.2122,4432.879,4185.6064,4261.3335,4154.182
1792644.9658870697,4255.152,4231.4546,4122.2427,4404.546,4188.1816,4516.334,4391.1514,4267.0,4478.2124,3746.182,4431.8486,4192.8184,4258.7573,4153.6665
1792649.4891643524,4255.667,4233.0,4125.3335,4406.6064,4193.3335,4507.576,4382.909,4270.0913,4479.2427,3752.8792,4435.455,4197.455,4261.3335,4156.2427
1792663.0411148071,4252.0605,4221.1514,4117.091,4399.394,4190.242,4512.2124,4385.485,4264.9395,4470.485,3742.0608,4423.0913,4187.152,4248.4546,4143.879
1792664.9777889252,4248.4546,4216.5156,4112.9697,4391.1514,4185.0913,4512.727,4388.5757,4253.6064,4460.6978,3726.6062,4410.7275,4184.0605,4238.152,4135.1216
1792672.0488071442,4249.4854,4222.1816,4122.2427,4396.8184,4187.152,4506.5454,4381.364,4248.9697,4461.7275,3733.3032,4420.515,4195.909,4247.9395,4140.7876
1792680.0229549408,4252.0605,4222.6973,4128.9395,4405.5757,4189.2124,4508.606,4377.2427,4253.6064,4465.8486,3748.758,4433.9097,4203.6367,4256.1816,4145.94
1792688.2629394531,4253.0913,4225.273,4126.364,4406.091,4194.3633,4517.364,4383.94,4251.546,4468.94,3753.9094,4437.0005,4202.0913,4257.7275,4144.3945
1792695.0423717499,4252.0605,4233.515,4125.3335,4408.667,4203.121,4525.091,4389.091,4248.4546,4473.061,3752.8792,4443.182,4200.5454,4265.4546,4148.0005
1792708.110332489,4252.5757,4236.6064,4133.061,4417.4243,4205.6973,4526.6367,4388.061,4257.7275,4481.303,3759.0608,4452.455,4202.606,4269.5757,4156.2427
1792712.986946106,4254.636,4236.091,4136.152,4421.031,4205.6973,4526.1216,4386.0005,4267.515,4493.667,3768.8486,4452.9697,4205.1816,4269.5757,4156.758
1792728.1951904297,4248.4546,4229.909,4126.364,4412.788,4205.6973,4529.2124,4389.606,4270.0913,4496.758,3770.394,4447.303,4199.0,4270.0913,4150.061
1792733.8428497314,4237.1216,4214.455,4111.4243,4395.788,4196.424,4530.758,4394.2427,4270.6064,4486.97,3755.4546,4435.97,4188.1816,4257.2124,4137.6973
1792750.1380443573,4230.9395,4202.606,4102.1514,4379.8184,4185.0913,4524.0605,4390.1216,4270.0913,4476.667,3735.8792,4415.364,4184.576,4235.0605,4124.8184
1792751.6164779663,4229.394,4201.0605,4099.5757,4373.1216,4184.576,4516.334,4384.4546,4268.546,4467.909,3728.1519,4405.0605,4185.6064,4228.879,4120.6973
1792751.9447803497,4234.5454,4203.121,4107.303,4375.6973,4184.576,4507.576,4386.0005,4269.5757,4461.2124,3733.3032,4414.3335,4189.2124,4239.182,4126.879
1792762.607574463,4246.909,4212.3945,4121.2124,4384.9697,4182.0,4498.3027,4382.394,4270.6064,4467.909,3741.5457,4429.273,4200.5454,4250.0,4140.273
1792770.5154418945,4254.636,4221.6665,4126.879,4397.3335,4184.576,4500.364,4373.6367,4266.485,4477.6973,3749.273,4439.061,4206.727,4259.273,4152.1216
1792774.0042209625,4253.6064,4222.6973,4128.9395,4406.6064,4187.667,4511.1816,4380.333,4265.4546,4479.2427,3761.1213,4446.273,4202.0913,4266.485,4157.788
1792786.9963645935,4254.636,4223.2124,4129.9697,4410.2124,4189.7275,4513.2427,4387.5454,4266.485,4480.273,3766.788,4451.94,4202.606,4271.121,4159.3335
1792789.8712158203,4254.636,4225.273,4127.909,4412.273,4193.3335,4510.152,4379.303,4260.303,4480.788,3761.1213,4449.8794,4203.6367,4270.6064,4159.3335
1792797.904253006,4252.0605,4222.1816,4124.303,4410.2124,4190.758,4513.758,4375.182,4251.546,4478.2124,3755.97,4441.1216,4198.485,4265.4546,4153.1514
1792821.02560997,4250.0,4219.091,4124.303,4405.5757,4187.667,4514.2734,4379.303,4250.0,4477.6973,3756.4849,4443.182,4200.5454,4264.9395,4151.091
1792821.9377994537,4253.0913,4221.6665,4127.394,4405.5757,4189.2124,4509.121,4376.727,4257.7275,4481.8184,3759.5757,4452.9697,4204.152,4269.5757,4155.212
1792822.932958603,4251.546,4220.121,4120.182,4403.515,4189.7275,4510.152,4372.606,4264.4243,4482.8486,3755.4546,4444.727,4193.8486,4262.364,4148.0005
1792829.9822807312,4240.7275,4216.0,4109.879,4394.758,4186.6367,4512.2124,4379.8184,4267.0,4479.758,3747.7273,4425.152,4184.0605,4246.394,4137.6973
1792837.963104248,4238.152,4216.0,4110.394,4389.606,4187.152,4511.6973,4388.061,4272.152,4480.788,3743.6062,4422.061,4187.667,4247.9395,4139.758
1792845.9582328796,4246.394,4218.576,4115.546,4391.6665,4188.1816,4511.1816,4390.1216,4275.758,4476.667,3741.5457,4424.6367,4193.8486,4249.4854,4140.7876
1792852.8666496277,4251.031,4219.606,4117.091,4391.6665,4189.7275,4513.758,4389.606,4270.6064,4466.364,3737.9397,4420.0,4192.8184,4237.636,4137.6973
1792869.9207305908,4250.515,4219.606,4121.2124,4393.212,4189.7275,4516.334,4388.5757,4267.515,4461.2124,3736.3943,4420.515,4193.8486,4238.152,4140.273
1792870.8913326263,4250.0,4220.6367,4124.303,4397.8486,4186.6367,4513.2427,4384.4546,4265.4546,4464.819,3739.485,4425.152,4199.0,4250.515,4142.848
1792877.6185512543,4250.515,4221.6665,4123.788,4403.0,4192.3027,4511.1816,4378.7876,4254.636,4467.394,3746.182,4433.9097,4203.121,4254.636,4143.879
1792885.1201534271,4251.031,4222.1816,4125.8486,4403.515,4202.606,4516.8486,4379.8184,4247.9395,4463.788,3749.7883,4446.273,4203.121,4252.0605,4145.94
1792893.990278244,4252.0605,4223.2124,4125.3335,4400.9395,4203.6367,4525.091,4386.0005,4252.5757,4466.364,3748.2424,4449.364,4199.5156,4253.6064,4144.3945
1792901.1580944061,4252.5757,4228.364,4125.3335,4408.667,4201.576,4526.6367,4385.485,4254.121,4476.667,3752.3638,4448.334,4199.5156,4262.364,4144.3945
1792929.148197174,4252.0605,4229.394,4127.394,4416.394,4203.6367,4524.576,4377.2427,4251.546,4480.788,3759.5757,4451.4243,4196.9395,4262.879,4145.4243
1792931.0264587402,4249.4854,4220.121,4121.2124,4407.6367,4202.606,4524.576,4375.6973,4255.667,4475.6367,3752.8792,4443.6973,4189.2124,4253.0913,4140.273
1792932.0058822632,4248.9697,4219.606,4115.546,4396.3037,4200.031,4523.0303,4381.364,4265.4546,4473.061,3746.697,4433.394,4187.152,4249.4854,4133.576
