Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3155819.5345401764,4264.9395,4215.485,4153.1514,4384.4546,4250.0,4529.2124,4376.727,4300.485,4486.4546,3754.4243,4414.3335,4256.1816,4282.4546,4124.8184
3155821.3877677917,4256.697,4205.1816,4145.4243,4373.6367,4238.667,4525.091,4375.182,4293.273,4476.667,3740.0002,4400.425,4246.394,4271.121,4115.546
3155828.4351825714,4253.0913,4202.0913,4142.848,4374.1514,4232.485,4513.2427,4369.5156,4282.4546,4472.5454,3732.273,4407.121,4247.9395,4264.9395,4117.091
3155836.3647460938,4260.303,4203.121,4144.909,4378.2725,4236.6064,4512.727,4373.1216,4290.182,4475.1216,3740.5154,4418.4546,4253.0913,4274.2124,4123.788
3155848.3669757843,4263.9097,4203.121,4145.94,4377.2427,4237.1216,4524.0605,4377.2427,4302.546,4482.8486,3747.2122,4411.2427,4249.4854,4281.4243,4125.3335
3155851.438999176,4263.9097,4210.334,4151.091,4380.848,4237.636,4529.7275,4377.758,4303.061,4492.121,3747.2122,4407.6367,4254.636,4282.97,4126.879
3155859.407901764,4268.546,4221.1514,4158.303,4392.182,4240.7275,4524.576,4377.758,4298.9395,4493.152,3747.2122,4421.031,4265.97,4285.031,4130.485
3155867.4619197845,4268.546,4220.121,4156.758,4393.727,4240.7275,4523.5454,4373.6367,4298.9395,4492.121,3749.273,4423.6064,4260.818,4282.97,4129.9697
3155875.5021095276,4266.485,4216.0,4154.6973,4388.5757,4239.182,4527.667,4370.0303,4298.4243,4493.152,3749.273,4416.394,4252.5757,4281.9395,4126.879
3155883.471727371,4268.031,4217.0303,4155.727,4382.394,4236.091,4522.5156,4367.9697,4290.6973,4489.546,3747.2122,4416.394,4255.152,4284.515,4125.8486
3155892.610311508,4265.4546,4213.9395,4155.727,4380.848,4235.0605,4517.364,4367.4546,4281.9395,4481.303,3746.697,4417.4243,4255.152,4281.4243,4124.303
3155899.4710445404,4265.4546,4207.758,4156.2427,4384.9697,4235.0605,4522.0,4369.0005,4286.0605,4479.758,3747.2122,4420.515,4251.031,4280.9097,4124.303
3155907.4494838715,4262.879,4206.2124,4152.1216,4384.4546,4226.303,4527.152,4371.061,4294.8184,4481.303,3743.091,4416.394,4251.546,4282.4546,4122.2427
3155915.423631668,4254.121,4205.6973,4142.3335,4375.6973,4217.5454,4525.606,4372.606,4294.303,4479.758,3736.9094,4397.3335,4250.0,4272.152,4116.5757
