Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4419641.86167717,4244.3335,4223.2124,4222.1816,4418.9697,4236.091,4525.606,4375.182,4285.5454,4485.9395,3758.5454,4438.5454,4223.7275,4292.2427,4126.364
4419650.1224040985,4243.303,4221.1514,4218.0605,4414.3335,4235.0605,4525.606,4367.9697,4288.121,4492.121,3758.0305,4443.182,4222.1816,4298.9395,4125.3335
4419657.828092575,4243.818,4229.394,4230.4243,4423.0913,4236.091,4525.091,4370.5454,4296.879,4498.8184,3761.6362,4449.8794,4223.7275,4299.4546,4125.3335
4419665.940523148,4249.4854,4238.667,4240.2124,4434.4243,4237.636,4526.1216,4382.909,4306.667,4507.0605,3771.9395,4450.909,4228.879,4300.485,4132.5454
4419673.802137375,4250.515,4234.0303,4225.788,4426.182,4237.636,4529.7275,4389.606,4306.667,4512.727,3769.3638,4446.273,4222.6973,4298.9395,4128.9395
4419681.830644608,4248.4546,4230.9395,4221.6665,4419.485,4240.2124,4530.2427,4387.0303,4302.546,4512.727,3766.273,4444.2124,4217.5454,4295.8486,4123.788
4419689.981460571,4252.5757,4235.5757,4236.091,4429.273,4247.9395,4530.2427,4386.0005,4301.515,4509.6367,3772.4546,4449.364,4229.909,4300.485,4134.606
4419696.771860123,4254.636,4237.636,4240.2124,4434.4243,4250.515,4529.2124,4388.061,4300.485,4503.97,3769.879,4456.061,4235.5757,4304.6064,4139.2427
4419705.84487915,4249.4854,4235.0605,4232.485,4426.6973,4245.879,4527.667,4385.485,4289.667,4489.031,3756.4849,4447.819,4224.2427,4295.8486,4125.8486
4419712.76974678,4247.4243,4233.515,4230.4243,4422.576,4246.394,4533.3335,4386.515,4279.879,4479.2427,3746.182,4431.8486,4217.0303,4282.97,4118.6367
4419720.753908157,4248.9697,4234.0303,4234.0303,4427.7275,4252.5757,4543.1216,4392.182,4281.4243,4477.6973,3745.1516,4434.4243,4220.6367,4282.97,4123.273
4419728.832483292,4249.4854,4235.5757,4231.9697,4431.3335,4252.0605,4543.636,4391.1514,4281.4243,4477.6973,3748.2424,4439.576,4222.1816,4285.5454,4122.2427
4419736.819267273,4249.4854,4234.5454,4223.7275,4428.2427,4247.9395,4538.485,4385.485,4280.394,4477.182,3743.091,4428.2427,4214.9697,4282.4546,4112.9697
4419744.816303253,4247.4243,4234.0303,4218.576,4424.1216,4248.9697,4537.9697,4383.4243,4282.4546,4479.2427,3736.3943,4421.031,4207.242,4278.3335,4106.273
4419752.838611603,4239.697,4234.0303,4220.6367,4423.0913,4250.515,4540.031,4378.7876,4284.515,4481.8184,3738.4548,4423.6064,4203.6367,4279.364,4106.273
4419760.501623154,4235.5757,4233.0,4223.2124,4427.7275,4248.9697,4540.546,4376.212,4287.0913,4480.273,3742.576,4422.061,4204.6665,4278.849,4106.788
4419767.879009247,4236.6064,4233.515,4223.2124,4431.3335,4250.515,4542.0913,4383.94,4295.3335,4482.8486,3743.6062,4424.1216,4203.121,4276.273,4106.273
4419775.816440582,4235.5757,4234.5454,4220.6367,4429.273,4252.5757,4542.6064,4387.5454,4299.9697,4491.6064,3745.6667,4431.8486,4201.576,4277.8184,4105.758
4419783.899068832,4241.7573,4233.515,4226.8184,4428.758,4252.0605,4542.6064,4384.9697,4298.4243,4499.3335,3752.3638,4434.94,4209.8184,4282.97,4110.909
4419791.869401932,4251.031,4235.0605,4236.091,4429.788,4251.031,4542.0913,4390.1216,4298.4243,4494.6973,3755.4546,4434.94,4220.121,4284.515,4120.182
4419801.098823547,4244.3335,4233.515,4228.364,4422.061,4249.4854,4541.5757,4393.212,4295.3335,4484.394,3747.7273,4432.879,4219.091,4283.485,4120.182
4419807.874917984,4234.0303,4223.7275,4216.5156,4414.3335,4247.4243,4541.061,4388.061,4286.5757,4477.6973,3739.485,4429.788,4210.334,4280.394,4109.879
4419819.855213165,4236.091,4219.606,4218.0605,4415.364,4247.4243,4540.546,4383.94,4282.4546,4472.0303,3738.97,4429.788,4206.727,4272.667,4105.758
4419823.840141296,4237.1216,4221.6665,4219.606,4416.394,4248.4546,4540.546,4390.1216,4283.485,4471.0005,3741.0305,4426.182,4207.242,4267.515,4110.394
4419833.344936371,4235.0605,4220.6367,4218.0605,4413.303,4248.4546,4541.5757,4397.3335,4287.0913,4476.152,3738.4548,4416.394,4204.152,4267.0,4108.8486
4419838.950395584,4242.788,4225.273,4218.0605,4413.303,4252.0605,4542.6064,4393.727,4293.788,4478.2124,3738.4548,4417.4243,4206.727,4268.546,4108.8486
4419846.987962723,4252.0605,4235.5757,4221.6665,4422.576,4252.5757,4541.061,4391.6665,4301.0,4483.364,3747.2122,4428.758,4217.5454,4276.788,4119.667
4419855.857133865,4254.636,4239.182,4229.394,4432.364,4255.667,4541.5757,4393.727,4302.0303,4493.667,3755.4546,4435.97,4224.2427,4284.515,4128.4243
4419863.867282867,4253.6064,4237.636,4227.8486,4426.6973,4261.3335,4544.667,4389.606,4300.485,4495.7275,3749.7883,4432.364,4221.1514,4281.9395,4123.273
4419870.796203613,4251.546,4237.1216,4222.6973,4418.9697,4258.2427,4544.152,4387.5454,4299.4546,4492.6367,3746.182,4428.758,4217.5454,4279.879,4118.1216
4419878.803491592,4252.5757,4236.091,4231.9697,4427.2124,4259.788,4545.182,4394.2427,4300.485,4496.758,3753.9094,4438.031,4219.606,4283.485,4123.788
4419886.818647385,4254.636,4236.6064,4239.182,4434.94,4267.515,4548.273,4396.8184,4302.546,4499.3335,3760.091,4449.364,4229.909,4289.667,4129.4546
4419894.790649414,4255.667,4236.6064,4236.6064,4428.2427,4260.303,4544.667,4392.182,4302.0303,4497.273,3758.5454,4447.819,4237.1216,4292.2427,4128.9395
4419901.805639267,4253.0913,4231.9697,4232.485,4419.485,4248.4546,4539.0,4391.1514,4299.9697,4492.121,3752.8792,4440.606,4227.8486,4286.5757,4126.364
4419909.776926041,4251.031,4231.4546,4224.758,4416.909,4251.546,4541.5757,4391.6665,4298.4243,4482.8486,3749.273,4439.061,4219.606,4281.9395,4125.8486
4419922.891139984,4248.9697,4229.909,4219.091,4416.909,4253.6064,4541.5757,4390.636,4297.394,4481.303,3746.697,4437.5156,4222.6973,4283.485,4126.879
4419926.868200302,4248.4546,4223.2124,4222.1816,4415.364,4247.9395,4534.364,4390.1216,4298.4243,4481.303,3740.0002,4434.4243,4221.1514,4282.4546,4120.6973
4419934.820652008,4248.9697,4225.788,4223.2124,4415.879,4248.4546,4527.152,4388.5757,4296.879,4476.667,3736.9094,4431.3335,4214.455,4278.3335,4113.485
