Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
844456.686258316,4261.3335,4242.273,4120.182,4404.546,4279.879,4478.7275,4361.7876,4256.697,4452.9697,3754.9397,4469.4546,4252.5757,4206.727,3936.273
844460.3590965271,4269.5757,4248.4546,4125.3335,4415.879,4282.4546,4481.8184,4362.8184,4266.485,4467.909,3762.1519,4483.879,4254.121,4218.576,3952.2424
844468.3156013489,4267.515,4247.4243,4123.273,4417.9395,4279.879,4490.576,4367.9697,4276.788,4481.8184,3774.5151,4493.152,4251.546,4228.364,3958.424
844476.2835502625,4263.394,4248.4546,4122.758,4416.394,4282.97,4496.242,4374.6665,4284.515,4484.394,3780.6973,4498.8184,4256.1816,4236.6064,3962.5457
844483.1600189209,4267.0,4253.6064,4122.758,4420.0,4286.0605,4494.6973,4374.6665,4285.5454,4482.8486,3779.1516,4501.9097,4258.2427,4240.2124,3962.0305
844491.1968708038,4265.97,4252.0605,4118.1216,4420.0,4285.5454,4493.152,4370.5454,4283.485,4481.303,3778.6367,4500.879,4252.0605,4238.152,3959.97
844499.9570846558,4256.1816,4248.4546,4114.515,4412.273,4282.97,4495.7275,4373.1216,4281.9395,4478.7275,3777.6064,4499.849,4252.0605,4236.6064,3956.879
844507.1942806244,4251.031,4250.0,4112.4546,4407.121,4282.4546,4496.758,4378.2725,4274.7275,4474.6064,3770.9092,4494.1816,4251.546,4226.8184,3948.1213
844515.168428421,4252.5757,4250.0,4108.3335,4410.2124,4283.485,4496.242,4375.6973,4266.485,4465.3335,3761.6362,4480.788,4240.2124,4214.455,3941.9397
844523.1776237488,4253.0913,4250.0,4111.9395,4414.8486,4284.515,4495.7275,4371.576,4265.97,4458.6367,3758.5454,4475.1216,4238.667,4218.0605,3942.9697
844531.2328338623,4253.0913,4249.4854,4117.6064,4418.4546,4284.515,4496.758,4374.6665,4265.97,4462.7583,3762.1519,4485.4243,4247.4243,4219.091,3945.5454
844544.1703796387,4254.121,4251.546,4114.515,4416.909,4285.5454,4496.758,4376.727,4263.9097,4460.6978,3757.5151,4482.8486,4244.8486,4208.7876,3943.4849
844547.2033023834,4252.0605,4251.031,4110.394,4407.6367,4285.031,4495.2124,4376.212,4263.394,4453.485,3747.2122,4462.2427,4234.5454,4200.031,3939.3635
844561.9204044342,4250.515,4242.273,4112.9697,4403.0,4282.97,4496.242,4377.2427,4263.9097,4452.9697,3744.6365,4464.819,4237.1216,4202.606,3939.3635
844570.8267688751,4252.0605,4239.697,4115.0303,4409.6973,4281.9395,4495.7275,4374.1514,4264.9395,4453.485,3748.2424,4483.879,4247.4243,4213.9395,3944.5151
844576.8859386444,4252.5757,4244.3335,4112.9697,4409.182,4284.0,4493.152,4369.5156,4265.97,4451.4243,3750.3032,4484.909,4251.031,4218.0605,3947.0913
