Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3219045.4499721527,4260.303,4219.606,4155.212,4407.121,4235.0605,4526.6367,4379.8184,4291.7275,4476.152,3747.2122,4421.546,4265.4546,4303.576,4131.0005
3219053.4377098083,4255.152,4220.6367,4148.0005,4407.121,4240.2124,4526.6367,4386.0005,4284.515,4475.1216,3746.697,4427.2124,4263.394,4299.4546,4127.394
3219061.4488124847,4253.6064,4220.6367,4144.909,4406.091,4249.4854,4526.1216,4387.5454,4292.2427,4475.6367,3752.8792,4424.6367,4262.879,4298.4243,4125.3335
3219068.4151649475,4252.5757,4218.576,4151.091,4407.121,4252.0605,4532.303,4388.061,4301.0,4486.4546,3759.0608,4425.152,4264.4243,4305.6367,4126.879
3219076.3986110687,4259.273,4224.2427,4156.758,4413.303,4257.2124,4541.061,4394.758,4304.6064,4501.3945,3768.3335,4441.6367,4268.546,4320.061,4136.152
3219084.3954086304,4268.031,4233.515,4155.212,4418.4546,4267.0,4544.152,4399.909,4312.8486,4509.6367,3781.7275,4449.8794,4271.121,4325.7275,4143.364
3219092.3297405243,4269.5757,4234.5454,4153.6665,4417.4243,4268.031,4543.1216,4398.3643,4320.5757,4513.2427,3785.8486,4441.1216,4270.0913,4323.667,4141.8184
3219100.375175476,4263.394,4231.9697,4155.212,4417.9395,4263.9097,4540.546,4391.6665,4315.94,4510.152,3778.6367,4438.5454,4268.546,4321.091,4138.2124
3219108.3858013153,4263.9097,4235.0605,4155.212,4418.4546,4266.485,4539.515,4387.0303,4309.2427,4501.3945,3775.546,4446.273,4270.0913,4320.061,4137.182
3219116.4033412933,4269.0605,4238.152,4155.212,4417.4243,4269.0605,4542.0913,4391.6665,4306.667,4496.758,3775.546,4450.3945,4272.152,4321.6064,4139.758
3219124.354124069,4269.0605,4233.515,4156.758,4419.485,4267.0,4543.636,4395.788,4302.546,4495.7275,3771.4243,4447.303,4269.5757,4320.061,4141.303
3219136.3911628723,4266.485,4231.4546,4157.788,4419.485,4264.4243,4540.546,4389.606,4297.394,4491.6064,3767.3032,4440.606,4271.636,4313.364,4138.2124
3219139.365673065,4270.6064,4237.1216,4162.94,4422.576,4266.485,4540.546,4387.0303,4297.394,4490.0605,3769.3638,4441.6367,4281.9395,4316.9697,4140.7876
3219147.3734378815,4278.3335,4240.2124,4170.667,4429.788,4269.5757,4545.182,4394.758,4301.0,4492.121,3770.394,4447.819,4286.5757,4326.2427,4150.061
3219155.416727066,4279.364,4239.182,4171.182,4431.3335,4268.031,4545.697,4400.425,4303.576,4492.121,3768.3335,4445.758,4284.0,4324.697,4154.182
3219163.412094116,4281.4243,4244.3335,4171.6973,4427.7275,4274.2124,4543.636,4401.4546,4307.6973,4494.1816,3768.8486,4443.6973,4285.031,4324.182,4156.2427
3219172.5611686707,4280.9097,4245.879,4172.2124,4423.0913,4281.9395,4544.667,4400.9395,4305.6367,4496.758,3769.879,4446.7876,4285.5454,4325.7275,4154.182
3219179.4209480286,4272.152,4236.6064,4162.4243,4423.6064,4274.2124,4546.2124,4395.273,4297.394,4494.1816,3769.3638,4442.6665,4281.4243,4318.0005,4145.4243
3219187.4244213104,4263.9097,4233.515,4155.727,4430.303,4269.0605,4545.182,4391.6665,4302.546,4497.788,3770.394,4435.97,4277.303,4312.8486,4137.182
3219195.375442505,4269.5757,4243.818,4165.0005,4434.94,4279.364,4547.2427,4397.3335,4314.3936,4511.1816,3777.091,4441.1216,4276.788,4319.0303,4139.2427
3219203.3274173737,4278.849,4250.515,4172.7275,4433.394,4285.031,4556.0,4401.4546,4316.9697,4516.334,3782.2424,4447.303,4279.879,4325.212,4148.0005
3219210.483074188,4281.9395,4250.0,4170.1514,4433.394,4282.4546,4559.0913,4403.0,4319.546,4511.6973,3781.7275,4448.8486,4282.97,4326.2427,4153.6665
3219219.470500946,4281.4243,4248.4546,4170.1514,4433.9097,4282.4546,4550.3335,4400.9395,4323.1514,4513.758,3780.182,4448.8486,4283.485,4327.2725,4155.212
3219226.4325618744,4279.879,4248.9697,4171.6973,4430.8184,4284.0,4544.667,4396.8184,4320.5757,4513.2427,3778.1213,4448.8486,4283.485,4327.788,4154.6973
3219234.386205673,4279.879,4248.9697,4171.182,4432.364,4281.4243,4547.7573,4396.8184,4313.364,4501.9097,3775.0305,4446.273,4284.0,4329.8486,4155.727
3219242.8724765778,4282.97,4249.4854,4172.7275,4434.94,4275.242,4548.273,4399.394,4304.6064,4493.152,3770.394,4443.182,4283.485,4325.7275,4155.727
3219250.4024505615,4282.4546,4248.9697,4171.6973,4434.4243,4274.7275,4545.182,4398.879,4298.4243,4489.031,3764.7275,4444.727,4283.485,4317.4854,4151.091
3219258.3990097046,4272.667,4240.2124,4161.909,4427.2124,4277.8184,4546.2124,4399.394,4299.4546,4482.3335,3761.1213,4443.182,4279.879,4314.909,4144.3945
3219265.397787094,4265.97,4234.0303,4155.212,4424.1216,4277.303,4547.2427,4400.425,4301.0,4477.6973,3762.1519,4440.606,4275.242,4315.425,4141.303
3219273.4014987946,4268.546,4237.636,4158.819,4428.2427,4277.8184,4546.7275,4398.879,4296.879,4483.364,3764.2124,4440.0913,4276.273,4315.425,4142.3335
3219281.438112259,4268.546,4239.697,4159.3335,4426.182,4276.788,4547.2427,4396.8184,4296.879,4491.6064,3764.2124,4435.455,4276.273,4312.333,4139.758
3219289.321422577,4264.9395,4235.0605,4154.6973,4419.485,4269.0605,4545.697,4397.8486,4303.576,4497.273,3765.7578,4434.94,4271.636,4312.333,4137.182
3219297.4269390106,4266.485,4234.5454,4156.2427,4420.515,4266.485,4543.636,4399.394,4311.8184,4497.273,3770.394,4437.5156,4268.546,4315.425,4140.7876
3219305.3889274597,4268.031,4236.091,4156.2427,4420.0,4268.546,4545.182,4396.3037,4314.3936,4498.3027,3773.4849,4427.7275,4266.485,4313.879,4139.758
3219318.3720111847,4268.031,4233.515,4153.1514,4416.394,4268.546,4546.2124,4392.182,4313.364,4507.0605,3770.394,4421.031,4268.031,4310.788,4140.273
3219321.9273090363,4276.788,4240.7275,4161.909,4425.667,4274.7275,4545.697,4395.788,4314.909,4513.758,3772.4546,4436.485,4279.879,4320.061,4151.606
3219329.3721675873,4284.515,4251.546,4174.273,4433.9097,4279.879,4546.2124,4401.4546,4316.4546,4513.2427,3782.2424,4450.909,4287.606,4330.3643,4159.3335
3219337.3255729675,4282.97,4252.5757,4174.788,4427.7275,4277.8184,4545.697,4397.8486,4312.333,4510.152,3782.2424,4449.364,4284.515,4328.303,4156.758
3219345.325231552,4279.879,4248.9697,4169.636,4425.667,4278.3335,4545.182,4394.2427,4306.667,4507.576,3775.0305,4443.6973,4284.0,4325.212,4156.2427
3219357.403278351,4280.9097,4248.9697,4170.1514,4433.394,4279.364,4545.182,4399.394,4308.212,4503.455,3775.0305,4444.2124,4286.5757,4326.2427,4159.3335
3219360.401391983,4281.4243,4250.515,4172.7275,4433.394,4274.7275,4546.2124,4398.879,4312.8486,4499.3335,3778.1213,4451.4243,4286.5757,4329.3335,4159.3335
3219373.3928203583,4279.364,4246.394,4171.182,4428.758,4269.0605,4547.2427,4392.182,4309.758,4496.758,3774.0,4451.94,4284.0,4330.3643,4157.788
3219376.3461112976,4278.3335,4241.2427,4167.5757,4430.8184,4269.0605,4544.152,4394.758,4303.061,4493.152,3767.8184,4440.0913,4281.9395,4322.1216,4155.212
3219384.382247925,4276.273,4238.152,4164.485,4430.8184,4271.636,4547.7573,4401.9697,4307.182,4495.2124,3769.3638,4431.8486,4281.4243,4312.8486,4149.0303
3219392.44389534,4270.6064,4237.1216,4159.3335,4421.031,4271.121,4559.6064,4404.0303,4314.909,4497.273,3769.879,4430.8184,4275.242,4312.333,4142.848
3219400.463104248,4265.97,4236.6064,4155.212,4413.8184,4267.0,4558.5757,4401.9697,4313.879,4495.2124,3763.1821,4430.8184,4271.121,4314.909,4142.848
3219408.4486961365,4271.636,4234.5454,4160.8794,4417.9395,4267.0,4544.667,4398.879,4311.8184,4500.879,3767.3032,4437.5156,4277.303,4319.0303,4150.576
3219416.4683818817,4281.9395,4236.6064,4171.6973,4424.1216,4270.6064,4539.515,4393.727,4314.3936,4511.6973,3785.8486,4454.0005,4288.121,4329.3335,4158.303
3219423.443555832,4286.5757,4243.303,4175.303,4424.1216,4268.546,4540.546,4392.182,4317.4854,4516.8486,3791.5154,4462.2427,4294.303,4339.636,4160.8794
3219432.319164276,4285.5454,4246.394,4171.182,4424.6367,4264.9395,4539.515,4392.182,4314.3936,4514.788,3785.8486,4457.091,4291.2124,4339.636,4159.8486
3219444.4649219513,4282.4546,4245.879,4170.1514,4430.303,4273.1816,4541.5757,4392.697,4307.6973,4513.758,3787.9092,4455.0303,4285.031,4333.4546,4156.758
3219450.4878520966,4282.4546,4250.515,4172.7275,4434.4243,4281.9395,4543.1216,4391.6665,4307.6973,4515.8184,3791.0002,4461.7275,4285.5454,4337.5757,4156.758
3219460.93583107,4280.9097,4248.9697,4170.667,4433.394,4274.7275,4541.5757,4390.636,4315.425,4517.364,3789.4548,4462.7583,4288.121,4344.273,4157.788
3219463.486433029,4271.636,4237.1216,4160.8794,4426.182,4265.97,4540.546,4389.606,4313.364,4514.2734,3786.3635,4452.9697,4282.97,4335.515,4151.091
3219471.4770317078,4264.4243,4232.485,4153.1514,4418.4546,4266.485,4536.4243,4387.5454,4306.667,4510.152,3779.667,4444.727,4279.364,4324.182,4141.8184
3219481.160879135,4271.121,4237.1216,4160.364,4420.0,4267.515,4529.2124,4388.5757,4311.303,4507.576,3772.4546,4445.758,4281.9395,4327.2725,4141.8184
3219489.620923996,4278.3335,4238.667,4170.1514,4426.182,4264.9395,4527.667,4389.091,4310.788,4500.364,3771.4243,4450.3945,4283.485,4330.3643,4145.4243
