Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4237514.470338821,4297.394,4251.546,4195.394,4409.182,4301.0,4529.7275,4400.425,4309.2427,4509.121,3785.8486,4447.303,4284.0,4321.6064,4157.273
4237517.099618912,4296.364,4252.5757,4193.8486,4412.273,4307.6973,4527.152,4398.3643,4299.9697,4511.1816,3788.9397,4445.2427,4282.97,4315.425,4156.2427
4237525.059461594,4296.879,4252.0605,4194.3633,4412.788,4314.3936,4530.758,4395.273,4299.4546,4512.727,3796.6667,4446.7876,4285.5454,4319.546,4156.758
4237534.109830856,4296.879,4252.0605,4194.3633,4414.8486,4315.425,4541.061,4397.3335,4300.485,4509.121,3799.7576,4447.819,4284.0,4325.212,4155.212
4237546.117544174,4296.879,4254.121,4196.424,4415.364,4313.879,4545.697,4405.5757,4306.667,4517.364,3800.7878,4450.909,4287.606,4327.788,4160.8794
4237549.096107483,4299.4546,4253.0913,4200.5454,4409.6973,4314.3936,4544.152,4409.6973,4319.0303,4530.2427,3805.9395,4455.5454,4297.909,4331.909,4169.1216
4237557.060718536,4299.4546,4251.031,4201.576,4405.5757,4314.3936,4543.636,4409.182,4325.7275,4529.7275,3812.1213,4452.9697,4297.394,4333.4546,4168.606
4237565.0498867035,4296.879,4250.515,4197.97,4407.6367,4313.364,4545.182,4412.273,4325.7275,4527.667,3810.0608,4449.364,4293.273,4330.3643,4164.485
4237572.729587555,4295.8486,4251.546,4196.9395,4409.182,4312.8486,4543.636,4412.273,4322.1216,4524.576,3797.697,4448.334,4295.3335,4322.1216,4163.9697
4237580.110549927,4296.364,4252.5757,4200.031,4415.364,4315.425,4543.1216,4405.5757,4316.4546,4514.2734,3787.3938,4446.273,4292.2427,4315.94,4161.394
4237589.115142822,4299.4546,4254.121,4195.909,4420.0,4316.9697,4543.1216,4400.425,4312.333,4509.121,3786.3635,4447.819,4287.606,4317.4854,4159.8486
4237596.143007278,4295.3335,4253.0913,4189.7275,4412.788,4317.4854,4534.364,4398.879,4306.667,4502.9395,3783.788,4441.6367,4282.4546,4312.333,4154.6973
4237604.142427444,4286.0605,4249.4854,4189.2124,4406.6064,4313.364,4527.152,4394.758,4294.303,4481.303,3770.9092,4427.2124,4273.1816,4298.4243,4142.848
4237627.014875412,4285.5454,4249.4854,4188.1816,4408.152,4305.6367,4530.2427,4392.182,4286.0605,4476.152,3762.1519,4425.152,4272.667,4294.303,4142.3335
4237640.003442764,4295.3335,4251.546,4189.2124,4410.7275,4303.576,4531.273,4393.727,4290.6973,4493.152,3772.9697,4434.4243,4282.4546,4304.6064,4152.1216
4237652.008533478,4298.4243,4252.0605,4195.394,4410.2124,4304.091,4527.667,4395.788,4297.909,4495.7275,3783.788,4440.0913,4285.5454,4312.333,4156.758
4237654.006719589,4291.2124,4248.9697,4193.8486,4402.4854,4299.9697,4537.4546,4400.425,4298.9395,4494.6973,3778.6367,4439.061,4282.4546,4310.788,4155.727
4237656.178951263,4288.636,4243.818,4187.152,4395.788,4295.8486,4543.1216,4405.0605,4299.9697,4509.121,3774.5151,4435.97,4284.0,4308.212,4155.727
4237657.028198242,4290.182,4243.303,4189.7275,4397.8486,4296.364,4531.788,4398.879,4302.546,4512.2124,3777.6064,4432.364,4283.485,4306.667,4156.2427
4237660.789012909,4286.0605,4247.9395,4189.2124,4400.9395,4296.364,4529.7275,4393.212,4302.546,4501.3945,3778.6367,4432.879,4279.879,4304.091,4153.1514
4237668.2908535,4284.0,4250.0,4185.6064,4403.515,4300.485,4541.5757,4400.425,4307.6973,4508.606,3780.6973,4435.97,4283.485,4307.6973,4154.182
4237680.061101913,4292.758,4252.0605,4192.8184,4413.8184,4309.758,4546.7275,4401.9697,4314.3936,4516.334,3783.788,4439.061,4287.606,4314.909,4156.758
4237683.105707169,4295.8486,4256.1816,4197.97,4422.061,4310.788,4539.0,4395.273,4305.1216,4500.364,3778.6367,4438.5454,4284.515,4307.6973,4153.6665
4237691.118955612,4289.152,4254.121,4191.273,4414.8486,4302.546,4530.2427,4392.182,4289.152,4489.546,3774.5151,4436.485,4281.4243,4299.4546,4145.94
4237699.093103409,4286.0605,4249.4854,4186.121,4408.152,4296.879,4525.606,4387.5454,4281.9395,4493.152,3769.3638,4435.455,4281.4243,4301.0,4139.758
4237712.03827858,4287.606,4251.031,4190.758,4414.8486,4299.4546,4527.152,4387.5454,4280.9097,4490.576,3761.1213,4430.8184,4279.879,4301.515,4140.7876
4237715.045928955,4295.3335,4255.152,4201.576,4421.031,4302.546,4529.7275,4397.3335,4287.0913,4489.546,3769.3638,4438.5454,4285.031,4308.212,4152.1216
4237723.018884659,4301.515,4254.636,4206.2124,4413.303,4299.4546,4529.2124,4398.3643,4296.364,4501.3945,3786.3635,4452.9697,4295.3335,4323.1514,4161.394
4237735.013246536,4298.9395,4252.0605,4199.5156,4406.091,4296.879,4529.2124,4392.182,4302.0303,4511.1816,3791.0002,4451.4243,4295.8486,4325.212,4158.819
4237739.042758942,4297.394,4251.031,4197.97,4408.152,4299.4546,4528.6973,4394.2427,4306.667,4510.152,3785.3333,4445.758,4294.303,4316.9697,4155.212
4237746.075391769,4295.3335,4250.0,4200.031,4404.546,4302.0303,4529.2124,4396.3037,4307.182,4509.121,3781.2122,4449.364,4296.364,4316.4546,4157.273
4237754.024505615,4291.2124,4248.9697,4195.394,4401.9697,4299.4546,4531.788,4393.212,4303.576,4509.6367,3781.7275,4446.7876,4290.6973,4318.0005,4159.8486
4237762.329339981,4291.7275,4250.0,4191.273,4410.2124,4302.0303,4531.788,4393.212,4301.0,4506.031,3781.2122,4438.5454,4281.4243,4314.909,4154.182
4237770.093917847,4292.758,4252.0605,4193.3335,4419.485,4309.2427,4529.2124,4395.273,4300.485,4498.3027,3776.0608,4437.5156,4280.9097,4310.788,4148.0005
4237778.150558472,4292.2427,4252.0605,4195.394,4417.4243,4306.1514,4527.152,4392.182,4295.8486,4494.1816,3771.4243,4437.5156,4282.97,4309.758,4149.0303
4237786.083459854,4293.273,4250.515,4195.394,4415.364,4299.9697,4523.0303,4386.0005,4293.788,4495.2124,3772.9697,4434.4243,4283.485,4310.2725,4149.5454
4237794.11816597,4290.6973,4247.9395,4188.1816,4414.3335,4301.515,4518.909,4385.485,4293.788,4494.1816,3768.8486,4431.3335,4279.879,4302.546,4144.3945
4237801.307916641,4290.182,4248.9697,4187.667,4409.6973,4301.515,4522.5156,4392.697,4293.273,4490.576,3765.7578,4430.8184,4280.394,4302.546,4145.94
4237809.096097946,4297.394,4252.5757,4198.485,4411.758,4302.546,4528.6973,4396.3037,4297.394,4492.121,3773.4849,4430.8184,4290.6973,4321.091,4156.2427
