Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4315724.61771965,4206.2124,4230.4243,4188.6973,4450.909,4252.5757,4524.0605,4362.303,4283.485,4475.1216,3754.4243,4479.2427,4243.818,4297.394,4145.4243
4315732.569694519,4220.121,4240.2124,4191.273,4452.9697,4246.394,4525.606,4359.727,4288.636,4481.303,3751.3335,4485.4243,4254.121,4304.6064,4157.788
4315740.54980278,4214.455,4235.5757,4187.667,4453.485,4241.2427,4526.6367,4361.273,4287.0913,4478.2124,3740.5154,4474.6064,4252.5757,4300.485,4149.5454
4315748.621940613,4201.576,4233.0,4187.152,4451.4243,4244.3335,4526.6367,4369.0005,4281.4243,4475.1216,3743.6062,4473.061,4246.909,4295.8486,4140.273
4315756.5150260925,4204.152,4237.636,4186.121,4450.3945,4236.6064,4527.667,4372.606,4287.0913,4476.667,3740.5154,4480.273,4246.909,4297.394,4144.3945
4315763.603210449,4205.1816,4235.5757,4178.394,4445.758,4235.0605,4534.364,4373.6367,4291.7275,4477.182,3727.1216,4474.0913,4240.2124,4297.394,4143.364
4315780.630111694,4202.0913,4236.6064,4178.394,4437.5156,4253.0913,4534.879,4372.091,4284.515,4475.6367,3727.1216,4462.2427,4236.091,4292.2427,4137.6973
4315787.580490112,4204.152,4237.1216,4184.576,4439.576,4256.1816,4527.152,4370.0303,4284.515,4476.152,3741.5457,4455.5454,4239.697,4290.6973,4137.182
4315790.490150452,4203.121,4225.273,4174.788,4438.5454,4247.4243,4526.6367,4368.485,4293.788,4477.182,3747.7273,4456.061,4238.152,4295.3335,4138.727
4315796.527385712,4199.0,4221.6665,4166.0303,4427.7275,4248.4546,4529.2124,4365.394,4296.879,4478.2124,3739.485,4465.8486,4235.0605,4291.7275,4138.727
4315803.5800457,4200.5454,4232.485,4176.8486,4435.455,4241.2427,4527.667,4369.5156,4297.909,4480.273,3740.5154,4476.152,4237.636,4284.0,4139.2427
4315811.614751816,4202.606,4237.1216,4186.6367,4454.0005,4234.5454,4530.2427,4379.8184,4302.0303,4476.152,3748.758,4472.0303,4239.182,4283.485,4139.2427
4315821.079015732,4203.6367,4233.515,4185.6064,4454.0005,4248.4546,4532.303,4374.6665,4294.8184,4465.8486,3738.97,4466.364,4237.1216,4284.515,4138.2124
4315827.656745911,4205.6973,4238.152,4186.121,4446.7876,4257.2124,4527.667,4358.6973,4284.0,4461.2124,3727.1216,4466.364,4240.2124,4285.5454,4139.758
