Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4170987.0612621307,4288.121,4235.5757,4187.667,4418.9697,4233.515,4543.1216,4381.8794,4299.9697,4477.6973,3743.6062,4456.061,4235.5757,4280.9097,4138.2124
4170988.2509708405,4280.9097,4234.0303,4180.4546,4414.8486,4232.485,4543.636,4388.061,4301.0,4488.0,3742.0608,4446.273,4227.3335,4272.667,4128.4243
4170990.1938438416,4278.849,4236.6064,4171.182,4415.879,4233.0,4546.2124,4395.788,4298.9395,4492.6367,3741.5457,4447.819,4218.576,4263.9097,4120.6973
4170994.1680431366,4279.364,4235.0605,4173.758,4415.879,4233.515,4545.182,4394.758,4297.394,4485.4243,3740.0002,4446.273,4219.091,4263.394,4122.2427
4171002.3245811462,4280.394,4234.0303,4177.879,4416.909,4231.9697,4542.6064,4389.091,4296.879,4486.97,3742.0608,4445.2427,4221.6665,4266.485,4122.758
4171011.1339092255,4281.4243,4237.1216,4173.758,4418.4546,4232.485,4544.152,4389.606,4297.394,4496.242,3743.6062,4447.819,4226.8184,4268.546,4127.394
4171018.2831287384,4281.9395,4237.1216,4170.1514,4417.9395,4237.1216,4546.7275,4394.758,4300.485,4496.242,3743.091,4445.2427,4234.0303,4267.515,4136.6665
4171026.124238968,4283.485,4235.5757,4173.2427,4413.8184,4238.667,4545.697,4389.606,4303.061,4493.667,3743.091,4440.606,4233.515,4265.97,4134.606
4171034.1453552246,4285.031,4236.091,4182.515,4417.9395,4234.5454,4542.0913,4376.727,4302.546,4495.7275,3745.1516,4446.7876,4231.9697,4272.152,4131.5156
4171042.177438736,4289.152,4238.152,4188.6973,4429.788,4231.4546,4539.0,4373.6367,4299.9697,4496.242,3749.7883,4460.6978,4236.091,4281.9395,4139.758
4171051.807165146,4297.909,4242.788,4188.6973,4435.455,4234.0303,4536.9395,4380.848,4301.515,4497.788,3755.97,4468.4243,4240.7275,4285.5454,4146.455
4171058.1197738647,4301.0,4248.4546,4190.758,4430.8184,4237.636,4540.031,4387.5454,4303.576,4496.758,3755.4546,4466.364,4245.879,4282.97,4144.3945
4171065.2329921722,4298.4243,4251.031,4198.485,4430.8184,4236.6064,4542.6064,4389.091,4301.515,4491.6064,3751.8489,4464.303,4250.0,4280.9097,4147.485
4171088.1519317627,4301.515,4252.0605,4204.6665,4437.5156,4236.091,4541.061,4388.5757,4301.0,4490.0605,3752.8792,4467.909,4251.546,4288.636,4156.2427
4171089.173078537,4309.2427,4253.6064,4205.1816,4438.5454,4237.636,4540.546,4389.606,4305.6367,4493.152,3753.9094,4468.94,4253.6064,4296.364,4159.3335
4171090.157032013,4307.6973,4253.6064,4202.606,4434.4243,4239.182,4543.1216,4392.182,4309.2427,4495.2124,3756.4849,4465.3335,4253.6064,4294.303,4157.788
4171098.2208251953,4302.0303,4253.0913,4199.5156,4433.9097,4238.667,4542.0913,4393.727,4313.879,4494.6973,3767.3032,4467.394,4251.546,4294.8184,4155.212
4171106.205224991,4301.0,4252.0605,4193.3335,4433.9097,4237.636,4541.5757,4392.182,4313.879,4497.788,3772.4546,4474.0913,4252.0605,4300.485,4156.2427
4171113.111257553,4298.4243,4245.879,4189.7275,4432.364,4236.6064,4543.1216,4387.5454,4307.182,4499.849,3765.2427,4468.94,4250.0,4291.7275,4154.182
4171126.9886493683,4296.364,4245.364,4191.788,4431.8486,4237.1216,4544.152,4386.0005,4304.6064,4498.3027,3757.0002,4452.9697,4242.788,4279.364,4146.9697
4171133.0518722534,4297.394,4249.4854,4190.242,4433.394,4238.667,4546.2124,4388.061,4305.1216,4497.788,3755.97,4449.8794,4235.5757,4282.97,4140.7876
4171137.1812820435,4292.758,4243.818,4186.6367,4432.879,4237.636,4547.7573,4389.091,4300.485,4497.788,3753.9094,4457.091,4233.515,4282.97,4139.2427
4171144.336938858,4285.031,4236.6064,4186.121,4429.273,4235.0605,4545.697,4386.0005,4297.394,4494.1816,3747.2122,4451.94,4234.0303,4271.636,4136.152
4171152.1661281586,4282.97,4236.091,4183.0303,4422.061,4234.5454,4544.152,4384.9697,4299.4546,4494.6973,3745.1516,4442.6665,4231.9697,4267.0,4131.5156
4171163.0370616913,4283.485,4237.1216,4180.4546,4416.909,4235.0605,4544.667,4387.0303,4298.9395,4492.6367,3746.182,4446.273,4224.2427,4269.5757,4128.4243
4171170.5935001373,4282.4546,4235.0605,4183.546,4415.879,4234.5454,4544.152,4392.697,4297.909,4482.3335,3741.0305,4446.273,4219.606,4265.97,4126.879
4171185.289621353,4282.97,4235.5757,4185.0913,4416.909,4232.485,4544.667,4396.3037,4301.515,4482.8486,3738.97,4438.5454,4226.8184,4263.394,4129.4546
4171186.240196228,4285.5454,4236.6064,4185.0913,4417.9395,4231.4546,4543.1216,4393.727,4307.6973,4493.667,3748.758,4444.2124,4235.5757,4274.2124,4136.6665
4171192.2476291656,4293.788,4236.6064,4188.6973,4420.0,4232.485,4540.546,4395.788,4314.909,4497.788,3755.97,4460.6978,4242.788,4286.0605,4148.0005
4171200.2432346344,4300.485,4239.182,4191.273,4423.6064,4234.0303,4544.152,4402.4854,4319.546,4498.3027,3759.5757,4466.364,4253.0913,4288.121,4158.303
4171208.2147598267,4298.4243,4240.2124,4190.242,4422.576,4234.0303,4547.2427,4398.879,4314.3936,4498.3027,3761.1213,4460.182,4254.121,4287.0913,4155.212
4171215.186357498,4294.8184,4237.636,4190.242,4420.515,4234.5454,4544.152,4391.1514,4301.515,4495.7275,3758.0305,4454.0005,4243.818,4286.5757,4143.364
4171223.221540451,4295.3335,4238.667,4189.7275,4424.1216,4236.091,4549.303,4391.1514,4294.303,4491.6064,3755.97,4454.0005,4239.697,4284.0,4138.727
4171232.209444046,4295.3335,4246.394,4188.1816,4426.182,4237.1216,4557.031,4393.727,4297.394,4483.879,3755.4546,4455.0303,4240.2124,4283.485,4141.303
4171240.2787208557,4290.182,4249.4854,4186.6367,4425.667,4236.6064,4550.8486,4390.1216,4292.758,4477.182,3749.273,4450.909,4236.6064,4281.9395,4140.273
4171247.301340103,4285.031,4242.788,4186.121,4424.6367,4236.6064,4546.2124,4388.061,4282.4546,4479.758,3742.576,4449.364,4233.515,4272.667,4135.1216
4171255.2201747894,4284.0,4237.1216,4183.0303,4420.0,4236.6064,4549.303,4395.273,4289.667,4480.273,3742.0608,4443.182,4231.9697,4265.4546,4127.909
4171263.2677555084,4283.485,4237.636,4174.788,4414.3335,4235.0605,4547.7573,4400.9395,4303.061,4479.758,3740.0002,4429.788,4225.273,4265.4546,4125.3335
4171271.2779045105,4282.97,4236.6064,4168.091,4415.364,4233.515,4545.182,4396.3037,4301.515,4487.4854,3740.0002,4432.364,4218.576,4265.97,4123.788
4171289.145708084,4285.031,4236.091,4173.758,4417.9395,4233.0,4546.7275,4393.212,4299.9697,4496.242,3748.2424,4445.758,4224.758,4268.546,4123.273
