Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1033891.0934925079,4298.4243,4251.546,4176.3335,4445.2427,4296.879,4568.879,4436.485,4342.7275,4529.7275,3788.9397,4430.8184,4216.0,4268.031,4101.636
1033902.0330905914,4298.4243,4250.0,4169.636,4444.727,4296.879,4573.0,4441.6367,4349.4243,4529.7275,3783.788,4428.2427,4213.4243,4262.879,4097.0
1033903.2301902771,4288.121,4243.818,4163.9697,4434.94,4290.182,4572.4854,4441.6367,4341.1816,4517.364,3773.4849,4416.394,4203.6367,4253.6064,4091.3335
1033910.9995365143,4279.879,4237.636,4161.394,4428.758,4288.121,4571.4546,4437.0005,4328.8184,4510.152,3763.6973,4405.0605,4193.3335,4244.8486,4081.546
1033919.9824333191,4279.879,4237.1216,4158.303,4431.3335,4294.8184,4574.546,4437.0005,4328.303,4512.727,3765.2427,4406.6064,4190.242,4238.667,4073.818
1033926.0485172272,4280.394,4243.303,4159.3335,4435.455,4298.4243,4577.121,4439.061,4329.8486,4513.2427,3769.3638,4409.182,4188.6973,4236.091,4076.3938
1033933.9718818665,4281.4243,4250.0,4162.94,4438.5454,4297.394,4574.031,4436.485,4322.1216,4508.0913,3768.8486,4408.152,4188.6973,4242.273,4083.0908
1033941.9078826904,4290.182,4251.031,4165.515,4444.2124,4299.4546,4573.0,4434.4243,4322.1216,4514.2734,3776.5762,4418.9697,4203.121,4257.2124,4089.2725
1033949.9809741974,4301.0,4253.0913,4172.2124,4449.8794,4301.0,4574.546,4433.9097,4330.3643,4525.091,3790.485,4440.0913,4221.1514,4269.5757,4101.121
1033958.0523967743,4301.515,4261.3335,4178.394,4451.94,4300.485,4573.515,4432.879,4325.212,4519.9395,3791.5154,4447.819,4222.1816,4272.667,4105.758
1033966.0108089447,4302.0303,4263.394,4179.4243,4450.909,4302.0303,4571.97,4432.879,4313.364,4509.6367,3784.303,4440.0913,4220.121,4270.0913,4104.212
1033974.107503891,4300.485,4254.121,4175.303,4446.7876,4299.9697,4570.4243,4433.394,4312.8486,4508.0913,3784.303,4431.3335,4219.091,4268.546,4100.091
1033981.9476604462,4296.364,4251.031,4174.273,4445.2427,4297.909,4568.364,4430.8184,4321.6064,4510.6665,3784.303,4431.3335,4214.455,4268.031,4099.0605
1033995.0623512268,4298.9395,4258.7573,4179.4243,4448.334,4301.0,4571.4546,4434.4243,4331.909,4517.364,3787.3938,4440.606,4216.0,4269.5757,4102.667
1033996.9255924225,4305.6367,4260.303,4182.515,4449.364,4302.546,4578.152,4446.7876,4343.2427,4529.2124,3797.697,4444.727,4224.2427,4271.636,4108.3335
1034005.05900383,4302.546,4252.5757,4175.8184,4447.303,4299.4546,4578.667,4449.8794,4353.0303,4537.9697,3799.2424,4435.97,4221.1514,4269.5757,4107.303
1034013.041973114,4296.879,4251.031,4172.7275,4447.819,4302.546,4579.6973,4447.303,4355.0913,4539.515,3793.576,4430.303,4212.909,4268.546,4103.1816
1034021.2025642395,4297.909,4253.0913,4175.8184,4449.8794,4310.2725,4587.9395,4449.8794,4350.4546,4534.879,3789.97,4433.394,4213.4243,4269.0605,4102.1514
1034028.9478302002,4297.909,4254.121,4172.7275,4448.334,4310.2725,4588.4546,4449.364,4341.6973,4527.667,3788.9397,4434.4243,4215.485,4267.0,4100.6064
1034037.1596813202,4297.909,4259.273,4173.2427,4451.94,4307.6973,4579.182,4442.152,4333.9697,4526.6367,3788.9397,4431.8486,4214.9697,4262.879,4099.0605
1034044.9457168579,4301.0,4266.485,4180.9697,4459.6665,4310.788,4574.031,4437.5156,4329.8486,4526.6367,3792.0305,4438.031,4215.485,4267.515,4104.7275
1034057.9462051392,4305.6367,4267.0,4184.576,4459.6665,4309.758,4575.0605,4438.031,4329.3335,4525.091,3793.576,4447.819,4225.788,4278.3335,4112.9697
1034061.0179901123,4307.182,4263.9097,4182.0,4453.485,4302.546,4575.5757,4436.485,4327.788,4525.091,3789.97,4451.4243,4233.0,4280.394,4114.515
1034068.0406093597,4302.0303,4263.9097,4178.394,4450.3945,4299.9697,4575.0605,4435.97,4328.303,4524.576,3790.485,4445.2427,4226.303,4277.8184,4110.394
1034076.0495662689,4298.9395,4262.879,4176.3335,4450.909,4302.0303,4576.0913,4441.1216,4336.546,4525.606,3793.576,4441.1216,4221.6665,4278.3335,4110.909
1034084.0203762054,4301.0,4257.2124,4176.8486,4449.364,4301.515,4576.6064,4445.2427,4341.1816,4523.5454,3792.5457,4444.2124,4224.758,4275.242,4114.0
1034097.062587738,4297.394,4251.546,4174.788,4446.273,4298.4243,4576.0913,4444.727,4336.0303,4514.788,3784.303,4438.5454,4220.6367,4267.515,4107.8184
1034100.0502109528,4296.364,4251.031,4172.2124,4444.727,4297.394,4575.0605,4446.7876,4335.0,4508.606,3779.1516,4429.273,4216.0,4263.9097,4102.1514
1034108.0479621887,4301.515,4253.0913,4174.788,4447.819,4298.4243,4576.6064,4449.8794,4343.758,4513.2427,3784.303,4435.455,4221.1514,4271.121,4105.758
1034116.0457134247,4305.6367,4256.1816,4179.4243,4449.8794,4299.4546,4583.303,4450.3945,4349.4243,4524.0605,3790.485,4449.8794,4227.8486,4280.9097,4113.485
1034123.9812374115,4305.6367,4262.364,4183.546,4450.3945,4300.485,4588.97,4453.485,4347.879,4529.7275,3791.5154,4450.909,4228.879,4285.031,4116.0605
1034132.6532363892,4308.7275,4268.031,4188.6973,4454.5156,4301.515,4588.4546,4458.1216,4345.303,4529.2124,3793.576,4445.2427,4227.8486,4282.97,4116.5757
1034144.4528102875,4310.788,4267.0,4188.6973,4456.576,4300.485,4586.394,4458.1216,4345.8184,4526.6367,3800.2727,4448.8486,4229.909,4282.97,4119.152
1034149.7435569763,4310.788,4265.97,4188.6973,4455.0303,4299.4546,4586.9097,4457.606,4352.515,4534.364,3804.3943,4452.9697,4233.515,4286.5757,4123.273
1034156.8539142609,4311.8184,4267.0,4189.2124,4459.1514,4301.515,4586.9097,4455.5454,4353.5454,4541.061,3798.2122,4451.4243,4230.4243,4282.97,4120.182
1034162.9967689514,4310.788,4267.0,4187.152,4461.2124,4303.061,4585.879,4450.3945,4346.3335,4534.364,3787.9092,4445.758,4224.2427,4272.152,4112.9697
1034171.0941791534,4308.212,4265.4546,4182.515,4454.5156,4302.0303,4586.394,4451.94,4342.2124,4526.6367,3783.788,4437.0005,4221.1514,4265.97,4107.8184
1034180.7277202606,4305.1216,4265.4546,4180.4546,4449.364,4302.546,4588.97,4458.6367,4346.8486,4529.2124,3781.7275,4432.879,4217.5454,4268.546,4103.1816
1034188.836812973,4304.6064,4262.364,4180.9697,4449.364,4303.061,4590.0,4461.2124,4346.8486,4527.152,3772.9697,4430.8184,4211.879,4261.3335,4100.091
1034199.0585327148,4303.576,4254.636,4178.909,4448.8486,4300.485,4588.4546,4458.6367,4340.1514,4519.4243,3765.7578,4425.152,4208.273,4249.4854,4099.0605
1034202.9616832733,4301.0,4251.546,4177.364,4446.7876,4297.909,4587.9395,4457.091,4342.7275,4522.0,3772.4546,4424.1216,4209.3027,4254.636,4097.515
1034211.0042572021,4302.0303,4253.6064,4178.909,4446.7876,4299.4546,4589.485,4461.7275,4352.515,4526.6367,3783.788,4430.8184,4215.485,4266.485,4101.636
1034218.896150589,4308.212,4256.697,4185.0913,4446.7876,4304.6064,4590.0,4464.819,4357.152,4531.788,3785.3333,4440.0913,4223.7275,4273.1816,4113.485
1034226.0625362396,4311.8184,4262.364,4188.6973,4450.909,4306.667,4589.485,4463.788,4356.6367,4541.061,3787.3938,4446.7876,4228.879,4277.8184,4119.667
1034233.9997291565,4315.94,4268.031,4193.8486,4460.182,4308.7275,4591.5454,4463.273,4361.273,4546.2124,3799.7576,4454.0005,4235.5757,4287.606,4126.879
1034242.1488761902,4322.636,4269.5757,4200.031,4464.303,4312.8486,4592.061,4465.3335,4363.848,4544.667,3807.485,4462.7583,4241.7573,4298.4243,4136.6665
1034249.9840259552,4325.212,4270.0913,4201.576,4463.273,4313.364,4590.0,4463.788,4352.515,4540.546,3798.2122,4465.3335,4243.818,4296.879,4134.606
