Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3736150.661468506,4310.2725,4235.5757,4216.0,4433.9097,4254.636,4564.2427,4406.091,4316.9697,4516.334,3789.4548,4475.1216,4253.6064,4295.3335,4141.303
3736158.725500107,4312.8486,4239.182,4216.0,4429.788,4253.0913,4556.515,4399.909,4315.94,4512.2124,3783.788,4471.515,4253.6064,4285.5454,4138.727
3736166.6848659515,4313.364,4234.0303,4208.273,4403.0,4242.273,4547.2427,4399.909,4314.3936,4499.849,3770.394,4462.7583,4242.273,4282.4546,4127.909
3736173.6216545105,4307.182,4221.6665,4199.0,4387.5454,4236.091,4542.0913,4399.909,4307.6973,4495.2124,3767.8184,4455.5454,4235.5757,4277.8184,4123.273
3736181.6782951355,4301.0,4220.6367,4202.0913,4397.3335,4240.2124,4541.5757,4394.2427,4298.9395,4493.152,3765.7578,4453.485,4238.667,4267.0,4126.364
3736189.6278858185,4296.879,4222.6973,4204.6665,4413.8184,4240.2124,4542.6064,4396.3037,4297.909,4482.8486,3754.9397,4448.8486,4237.636,4265.4546,4124.8184
3736199.1577148438,4295.3335,4222.1816,4199.5156,4415.879,4236.6064,4538.485,4398.3643,4299.9697,4483.364,3754.4243,4446.7876,4235.0605,4270.0913,4120.182
3736205.6126594543,4303.061,4229.909,4208.273,4414.8486,4237.636,4528.182,4390.1216,4300.485,4495.2124,3769.3638,4467.394,4246.394,4281.4243,4128.9395
3736213.6647701263,4313.879,4239.697,4224.2427,4418.9697,4239.182,4523.5454,4386.515,4304.091,4501.3945,3783.788,4485.9395,4260.303,4297.394,4145.4243
3736221.6613292694,4308.7275,4234.0303,4219.606,4414.8486,4238.152,4534.879,4392.182,4312.333,4506.5454,3784.8184,4479.758,4256.697,4295.3335,4143.879
3736229.7072410583,4300.485,4228.364,4206.2124,4408.667,4237.636,4542.0913,4395.273,4314.909,4513.758,3784.8184,4476.152,4248.9697,4281.9395,4132.031
