Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1999033.7870121002,4301.0,4252.5757,4186.6367,4429.788,4270.0913,4559.6064,4408.667,4326.2427,4524.0605,3784.8184,4460.182,4269.0605,4287.606,4159.3335
1999041.6896343231,4301.515,4252.5757,4189.2124,4431.8486,4276.273,4561.152,4416.394,4332.425,4528.182,3790.485,4460.182,4271.121,4299.9697,4170.667
1999049.762248993,4301.515,4252.5757,4189.7275,4431.8486,4273.697,4562.697,4417.9395,4338.6064,4528.6973,3791.0002,4453.485,4270.6064,4302.546,4174.788
1999057.8293800354,4301.515,4253.6064,4188.6973,4433.394,4270.6064,4562.697,4411.2427,4329.3335,4524.0605,3788.4246,4451.94,4269.5757,4289.667,4158.819
1999069.781780243,4299.4546,4254.636,4187.667,4434.4243,4271.636,4563.7275,4410.2124,4322.636,4523.0303,3783.788,4449.364,4265.97,4285.5454,4155.212
1999072.8347301483,4301.515,4254.121,4188.6973,4433.394,4271.636,4562.182,4414.8486,4332.425,4527.667,3787.9092,4448.334,4269.5757,4294.8184,4168.606
1999080.7836055756,4303.576,4254.121,4190.242,4434.4243,4274.2124,4559.0913,4415.364,4343.758,4539.0,3801.303,4456.576,4279.364,4303.576,4175.8184
1999088.7343883514,4302.0303,4254.121,4189.7275,4434.4243,4278.3335,4565.273,4415.879,4345.8184,4545.182,3799.7576,4454.5156,4276.788,4299.4546,4170.667
1999096.7404842377,4301.0,4253.0913,4187.667,4430.8184,4275.758,4573.0,4418.9697,4346.3335,4536.9395,3788.4246,4447.819,4266.485,4288.121,4161.909
1999104.6869754791,4301.0,4252.5757,4186.6367,4430.8184,4276.788,4566.8184,4420.0,4344.788,4529.2124,3786.3635,4451.94,4265.97,4285.031,4158.819
1999111.942768097,4298.9395,4252.5757,4185.0913,4432.364,4280.394,4558.5757,4415.879,4337.0605,4524.0605,3784.8184,4449.8794,4267.0,4284.515,4158.303
1999119.6930408478,4297.909,4251.031,4183.0303,4430.303,4270.6064,4560.636,4410.7275,4327.788,4515.8184,3774.5151,4441.6367,4262.879,4280.9097,4156.2427
1999127.7294158936,4301.515,4253.0913,4186.6367,4431.8486,4269.5757,4561.667,4407.6367,4326.7573,4517.364,3777.091,4445.758,4267.0,4283.485,4156.2427
1999135.7336044312,4301.515,4255.667,4189.2124,4434.94,4282.4546,4561.152,4409.182,4329.8486,4525.606,3788.9397,4454.5156,4270.6064,4294.303,4163.9697
1999148.7793922424,4302.546,4254.636,4187.152,4433.9097,4280.394,4562.697,4410.2124,4328.8184,4526.6367,3788.4246,4456.061,4268.546,4297.909,4170.667
1999152.9488563538,4309.2427,4257.2124,4188.1816,4435.455,4276.273,4561.152,4403.0,4327.2725,4525.091,3788.9397,4459.6665,4277.303,4297.394,4172.7275
1999162.8835201263,4309.2427,4259.788,4191.273,4438.031,4282.97,4560.121,4400.9395,4327.788,4525.606,3795.6365,4466.364,4284.515,4300.485,4173.2427
1999167.709350586,4302.0303,4257.2124,4190.758,4437.0005,4279.364,4562.182,4411.2427,4327.788,4526.6367,3793.576,4468.94,4278.3335,4300.485,4172.2124
1999175.6973266602,4300.485,4253.0913,4187.667,4430.8184,4269.0605,4562.182,4415.879,4330.3643,4529.2124,3787.3938,4460.182,4269.5757,4296.364,4171.182
1999182.6174259186,4299.9697,4250.515,4186.121,4425.667,4272.152,4561.152,4412.788,4334.4854,4528.6973,3786.3635,4449.8794,4269.0605,4290.6973,4167.061
1999190.750837326,4296.879,4250.0,4182.515,4426.6973,4278.3335,4562.697,4414.3335,4337.0605,4528.6973,3789.97,4449.8794,4267.0,4285.031,4158.819
1999203.6967277527,4297.909,4252.0605,4177.879,4432.364,4278.849,4562.697,4413.303,4332.9395,4527.667,3786.879,4449.8794,4258.2427,4280.9097,4153.1514
1999206.7363262177,4298.4243,4253.0913,4175.303,4432.879,4277.303,4559.6064,4407.6367,4325.212,4516.334,3779.1516,4443.6973,4252.5757,4279.879,4152.1216
1999214.706659317,4296.364,4251.031,4175.8184,4430.303,4277.8184,4559.0913,4408.152,4322.1216,4510.152,3780.6973,4444.2124,4253.6064,4278.849,4152.6367
1999222.6932048798,4297.909,4251.546,4181.485,4432.879,4279.364,4560.636,4406.091,4320.061,4513.758,3786.3635,4449.364,4261.3335,4279.364,4155.212
1999234.6918582916,4298.4243,4252.5757,4185.0913,4433.9097,4280.394,4559.0913,4399.394,4314.909,4509.6367,3783.788,4449.364,4268.546,4285.031,4156.758
1999238.7073040009,4297.909,4253.0913,4185.0913,4433.9097,4282.4546,4557.546,4399.909,4317.4854,4508.606,3784.303,4454.0005,4269.0605,4293.788,4161.394
1999251.7924308777,4299.9697,4254.121,4186.121,4434.4243,4280.9097,4559.6064,4403.515,4326.7573,4523.0303,3796.1516,4463.273,4267.515,4298.9395,4170.1514
1999257.7590942383,4302.0303,4253.0913,4189.7275,4432.879,4276.273,4561.152,4402.4854,4330.3643,4531.788,3802.3337,4465.8486,4273.1816,4299.9697,4175.303
1999267.7869796753,4302.0303,4254.636,4189.7275,4437.5156,4275.242,4561.152,4400.9395,4327.788,4528.182,3801.303,4463.273,4280.394,4299.4546,4173.2427
1999269.772529602,4302.0303,4258.7573,4187.667,4443.182,4280.394,4560.636,4408.152,4332.9395,4529.2124,3800.2727,4464.303,4275.758,4299.9697,4173.758
1999277.7662277222,4300.485,4258.2427,4189.7275,4436.485,4279.879,4559.0913,4415.364,4337.5757,4532.303,3795.1213,4464.303,4269.5757,4298.9395,4176.3335
1999285.7451438904,4299.9697,4252.0605,4187.667,4428.2427,4276.788,4559.6064,4410.2124,4335.0,4529.2124,3788.4246,4458.1216,4268.031,4291.2124,4168.091
1999293.6880588531,4296.879,4248.4546,4177.879,4430.8184,4278.849,4560.121,4403.0,4328.303,4523.0303,3786.3635,4450.3945,4262.879,4281.4243,4156.758
1999306.77652359,4287.0913,4250.0,4169.636,4431.8486,4278.849,4560.121,4404.546,4324.182,4518.3945,3783.788,4444.727,4252.0605,4282.4546,4155.212
1999309.7264766693,4282.4546,4253.0913,4170.667,4430.303,4273.697,4556.0,4401.4546,4314.909,4508.0913,3776.5762,4443.6973,4248.9697,4282.4546,4154.182
1999317.7509307861,4284.515,4252.0605,4172.2124,4432.879,4276.273,4551.879,4392.182,4301.0,4497.788,3771.9395,4447.303,4252.0605,4270.6064,4143.364
1999325.676202774,4284.515,4251.031,4170.1514,4434.4243,4282.4546,4556.515,4393.727,4301.515,4502.4243,3775.546,4446.7876,4251.031,4268.031,4142.848
1999337.634086609,4288.121,4261.3335,4174.273,4439.576,4282.97,4560.636,4398.879,4310.2725,4509.6367,3782.7578,4446.273,4252.0605,4280.394,4156.2427
1999348.7536907196,4297.909,4267.0,4178.909,4444.2124,4280.9097,4558.5757,4398.3643,4312.333,4507.576,3784.8184,4447.819,4260.818,4285.5454,4159.3335
1999356.7161560059,4299.9697,4256.1816,4178.394,4438.031,4282.4546,4559.0913,4399.909,4316.4546,4513.758,3784.8184,4447.819,4266.485,4285.5454,4157.273
1999357.7082157135,4295.3335,4254.636,4180.4546,4434.94,4282.4546,4563.2124,4404.0303,4324.697,4526.1216,3791.0002,4452.9697,4264.9395,4290.6973,4166.5454
1999364.7623062134,4297.394,4265.4546,4187.152,4442.152,4282.4546,4563.7275,4407.121,4331.909,4532.8184,3800.7878,4464.819,4273.1816,4299.9697,4176.8486
1999372.652053833,4302.546,4263.394,4190.758,4441.1216,4282.4546,4562.697,4414.3335,4342.7275,4544.152,3809.0305,4471.0005,4282.4546,4304.6064,4177.364
1999396.2059020996,4299.9697,4252.5757,4182.0,4432.364,4277.8184,4562.697,4417.9395,4345.303,4546.7275,3806.97,4460.182,4273.697,4297.909,4174.273
1999401.5951156616,4291.2124,4249.4854,4172.2124,4430.303,4273.697,4561.152,4409.6973,4331.394,4529.7275,3794.091,4451.4243,4262.364,4283.485,4170.1514
1999401.6766548157,4290.6973,4254.121,4177.364,4434.94,4276.788,4560.121,4407.6367,4327.2725,4523.0303,3789.97,4460.6978,4265.4546,4283.485,4168.091
1999404.6700000763,4299.9697,4263.394,4187.152,4441.1216,4282.97,4561.152,4409.6973,4330.879,4528.182,3799.7576,4463.273,4269.0605,4296.879,4169.1216
1999413.2215976715,4303.061,4268.546,4189.7275,4445.2427,4285.5454,4561.667,4404.546,4320.5757,4526.6367,3804.3943,4449.364,4266.485,4298.4243,4172.2124
1999420.7825660706,4298.9395,4264.9395,4188.1816,4446.7876,4284.0,4559.0913,4400.425,4312.333,4520.9697,3797.697,4452.455,4265.97,4288.636,4169.1216
1999433.3837032318,4295.3335,4261.3335,4181.485,4446.273,4279.364,4556.515,4398.3643,4314.3936,4514.788,3788.9397,4462.2427,4265.97,4281.9395,4158.819
1999436.7039203644,4294.8184,4264.4243,4178.394,4448.334,4279.364,4555.4854,4391.1514,4310.2725,4507.0605,3785.8486,4456.576,4263.394,4285.031,4157.788
1999443.7186717987,4299.4546,4269.5757,4187.667,4449.8794,4283.485,4555.4854,4392.697,4310.788,4513.2427,3792.5457,4460.6978,4268.546,4295.8486,4169.636
1999452.663898468,4305.1216,4270.0913,4192.8184,4450.3945,4282.4546,4557.031,4400.9395,4324.697,4526.6367,3801.303,4473.061,4280.394,4303.576,4183.0303
1999459.6719741821,4306.1514,4269.5757,4191.273,4449.8794,4282.97,4560.121,4403.0,4332.425,4529.7275,3803.879,4468.94,4283.485,4303.576,4187.152
1999477.7855873108,4301.0,4265.97,4188.6973,4443.182,4284.0,4561.152,4401.4546,4328.8184,4529.2124,3800.2727,4457.606,4273.697,4298.9395,4179.4243
1999496.7622756958,4290.182,4254.636,4177.879,4432.879,4274.7275,4558.5757,4401.4546,4330.3643,4528.6973,3792.5457,4449.8794,4260.818,4289.667,4165.0005
1999497.727394104,4282.4546,4246.394,4167.061,4428.758,4265.4546,4558.5757,4403.515,4332.425,4523.0303,3785.3333,4441.1216,4251.546,4275.242,4157.273
1999499.739408493,4282.97,4248.9697,4170.1514,4429.273,4268.546,4561.667,4406.6064,4326.2427,4510.6665,3777.091,4434.4243,4248.4546,4265.97,4156.758
1999500.7362365723,4286.0605,4251.546,4172.7275,4430.303,4272.152,4559.6064,4402.4854,4313.879,4498.3027,3770.9092,4431.3335,4250.515,4268.031,4154.6973
1999542.7911281586,4286.0605,4250.515,4169.1216,4431.8486,4269.5757,4557.031,4398.3643,4301.515,4491.6064,3767.8184,4434.4243,4250.515,4267.515,4153.1514
1999544.7487831116,4286.0605,4252.0605,4174.788,4433.9097,4279.879,4561.667,4400.425,4299.4546,4494.6973,3770.9092,4448.334,4251.546,4272.667,4157.273
