Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
176455.86276054382,4267.515,4220.6367,4158.819,4412.788,4250.0,4531.273,4415.879,4311.8184,4495.2124,3787.9092,4427.2124,4229.909,4273.1816,4220.121
176463.9298915863,4264.9395,4218.576,4154.6973,4405.0605,4245.879,4529.7275,4414.3335,4316.4546,4495.2124,3788.9397,4415.364,4208.273,4272.667,4146.9697
176471.9750881195,4286.0605,4226.8184,4182.0,4420.515,4247.4243,4528.182,4411.758,4315.94,4494.6973,3787.3938,4401.4546,4256.697,4285.5454,4141.303
176479.94089126587,4281.4243,4239.697,4176.3335,4437.0005,4251.031,4528.182,4407.6367,4304.6064,4488.5156,3786.3635,4418.9697,4268.546,4286.5757,4141.8184
176487.90955543518,4263.9097,4233.515,4155.727,4423.6064,4248.9697,4528.182,4403.0,4297.394,4478.2124,3775.0305,4425.152,4234.0303,4269.0605,4098.0303
176496.28472328186,4272.152,4214.9697,4168.606,4394.2427,4245.879,4528.182,4402.4854,4293.788,4471.0005,3760.606,4396.8184,4234.0303,4261.3335,4077.4243
176517.93217658997,4283.485,4223.7275,4180.9697,4409.182,4246.909,4528.182,4403.515,4296.364,4473.061,3763.1821,4383.94,4246.909,4264.4243,4097.0
176518.81670951843,4279.364,4237.1216,4170.1514,4440.606,4248.9697,4527.667,4405.5757,4305.6367,4480.788,3773.4849,4392.182,4244.3335,4270.6064,4104.7275
176520.86234092712,4271.636,4224.758,4159.3335,4422.576,4250.0,4527.152,4407.121,4308.212,4480.788,3771.4243,4404.0303,4235.0605,4278.849,4090.818
176526.87740325928,4272.152,4214.9697,4165.0005,4390.1216,4246.909,4527.667,4409.6973,4310.2725,4478.7275,3767.3032,4415.879,4227.8486,4278.3335,4097.515
176535.04538536072,4274.2124,4225.788,4172.7275,4404.0303,4244.8486,4529.2124,4411.2427,4317.4854,4485.4243,3772.4546,4415.364,4233.0,4275.758,4135.1216
176547.91450500488,4275.242,4236.6064,4171.182,4438.031,4247.9395,4527.667,4410.7275,4313.879,4484.394,3773.4849,4395.273,4247.4243,4281.9395,4163.9697
176551.88155174255,4280.394,4230.4243,4171.182,4433.9097,4251.546,4527.152,4409.6973,4305.1216,4480.273,3768.3335,4386.0005,4257.2124,4282.97,4162.4243
176558.83193016052,4275.758,4217.5454,4171.6973,4404.0303,4250.515,4528.182,4406.091,4306.667,4488.5156,3769.879,4392.182,4246.909,4272.667,4142.3335
176565.85454940796,4269.0605,4219.606,4172.2124,4407.6367,4247.4243,4527.667,4404.0303,4305.6367,4491.6064,3772.9697,4392.697,4237.636,4266.485,4141.8184
176574.86271858215,4272.152,4234.0303,4171.6973,4439.061,4247.9395,4525.606,4401.4546,4297.909,4481.8184,3769.879,4400.425,4243.303,4273.697,4158.303
176582.86809921265,4273.1816,4240.2124,4167.061,4443.182,4250.515,4526.1216,4398.879,4296.879,4478.7275,3765.7578,4405.0605,4246.394,4283.485,4154.6973
176595.3516960144,4276.788,4235.5757,4176.3335,4416.909,4251.031,4527.152,4404.0303,4303.061,4489.031,3773.4849,4417.4243,4242.273,4293.788,4155.212
176598.90842437744,4295.8486,4232.485,4196.9395,4407.121,4249.4854,4528.182,4412.273,4312.333,4497.273,3785.3333,4430.8184,4253.0913,4301.0,4200.031
176605.82661628723,4290.6973,4233.515,4177.879,4432.879,4252.0605,4532.8184,4414.3335,4318.0005,4498.8184,3783.2727,4413.8184,4259.788,4293.273,4222.6973
176618.84689331055,4267.0,4236.6064,4149.0303,4451.4243,4255.152,4541.061,4415.364,4317.4854,4497.273,3774.5151,4399.909,4242.788,4282.97,4192.3027
176621.91033363342,4271.636,4239.182,4161.394,4440.0913,4253.6064,4544.667,4420.515,4318.515,4497.273,3774.0,4421.031,4231.4546,4283.485,4170.1514
176629.93669509888,4282.97,4236.6064,4171.6973,4424.1216,4253.0913,4534.879,4420.0,4314.3936,4496.758,3780.182,4420.0,4237.1216,4286.5757,4158.819
176636.90781593323,4276.788,4233.0,4162.94,4417.4243,4253.6064,4526.6367,4414.8486,4312.8486,4494.1816,3782.7578,4400.425,4245.879,4292.2427,4137.182
176645.15614509583,4273.1816,4233.0,4172.7275,4420.515,4252.0605,4526.6367,4409.6973,4314.909,4496.758,3782.2424,4423.0913,4250.0,4299.4546,4127.394
176652.88996696472,4271.636,4237.1216,4174.273,4438.5454,4252.0605,4527.152,4403.515,4306.667,4493.152,3775.546,4437.0005,4244.3335,4295.3335,4121.7275
176661.0586643219,4264.9395,4237.1216,4155.212,4442.6665,4255.152,4532.303,4403.0,4299.4546,4484.909,3768.8486,4410.2124,4239.697,4285.031,4110.394
176668.87855529785,4262.879,4231.9697,4157.788,4417.4243,4255.667,4542.0913,4408.152,4301.0,4482.8486,3767.8184,4410.7275,4231.9697,4277.303,4108.3335
176676.97262763977,4261.3335,4232.485,4160.364,4416.394,4254.636,4544.667,4412.788,4301.515,4482.3335,3764.7275,4417.9395,4226.8184,4266.485,4101.636
176684.98969078064,4262.879,4229.909,4150.061,4430.8184,4254.121,4542.6064,4412.788,4301.515,4481.8184,3760.091,4386.515,4241.2427,4268.546,4084.6365
176696.92182540894,4279.364,4227.3335,4165.515,4413.303,4251.546,4540.546,4411.758,4307.6973,4490.576,3768.8486,4395.788,4250.0,4288.121,4087.212
176700.941324234,4286.5757,4234.5454,4178.394,4405.5757,4250.515,4531.273,4409.182,4309.2427,4497.273,3779.1516,4439.061,4237.1216,4295.3335,4105.758
176708.9011669159,4278.3335,4236.091,4160.8794,4429.273,4252.5757,4526.6367,4405.0605,4304.091,4494.1816,3772.4546,4431.3335,4229.909,4282.97,4106.273
176720.85809707642,4280.394,4234.0303,4160.8794,4434.94,4250.515,4527.152,4401.9697,4303.576,4492.121,3768.3335,4407.6367,4243.303,4278.3335,4115.0303
176723.80566596985,4289.667,4244.3335,4178.909,4430.8184,4249.4854,4516.334,4400.425,4309.2427,4496.758,3781.7275,4407.6367,4263.9097,4289.667,4161.909
176731.91809654236,4282.97,4247.4243,4170.1514,4440.606,4252.0605,4511.6973,4401.4546,4314.909,4501.3945,3789.4548,4422.061,4260.303,4293.788,4177.879
176739.914894104,4282.97,4237.1216,4173.2427,4431.8486,4251.031,4522.5156,4404.0303,4314.909,4499.849,3781.2122,4428.2427,4257.7275,4284.0,4151.091
176751.4910697937,4287.0913,4233.0,4183.546,4417.4243,4248.4546,4528.182,4403.515,4311.303,4498.8184,3778.6367,4429.273,4264.4243,4279.879,4141.303
176756.60800933838,4271.121,4236.6064,4160.364,4426.182,4250.515,4525.091,4401.4546,4313.364,4507.576,3785.3333,4444.727,4246.909,4288.636,4138.727
176769.72603797913,4272.152,4234.5454,4167.061,4421.546,4250.515,4525.091,4409.6973,4316.9697,4513.758,3787.9092,4469.9697,4236.6064,4300.485,4122.2427
176771.87156677246,4291.2124,4230.9395,4197.455,4416.909,4250.515,4529.2124,4416.394,4317.4854,4511.6973,3790.485,4463.788,4258.7573,4303.061,4117.6064
176780.10201454163,4287.0913,4239.182,4182.515,4440.606,4252.5757,4528.182,4411.758,4316.9697,4507.0605,3787.3938,4438.5454,4263.9097,4297.909,4126.364
176787.05620765686,4277.303,4251.031,4165.0005,4448.334,4252.5757,4529.2124,4412.788,4316.4546,4499.3335,3780.6973,4438.031,4248.9697,4294.8184,4127.394
