Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
541094.4991111755,4256.1816,4218.0605,4148.5156,4414.8486,4248.4546,4528.182,4402.4854,4281.9395,4487.4854,3767.8184,4417.4243,4218.0605,4256.1816,4124.303
541097.7928638458,4265.4546,4222.6973,4154.6973,4420.515,4251.546,4528.6973,4398.3643,4292.758,4498.3027,3774.5151,4429.788,4220.6367,4268.546,4129.9697
541114.5858764648,4270.0913,4230.4243,4159.3335,4430.303,4251.546,4528.182,4401.4546,4292.758,4494.6973,3784.303,4437.5156,4224.758,4270.6064,4136.152
541115.4034137726,4268.031,4226.303,4160.8794,4427.2124,4248.9697,4528.182,4405.5757,4292.2427,4493.152,3786.879,4432.364,4224.758,4269.0605,4133.061
541125.4734992981,4265.97,4219.091,4154.182,4416.394,4247.9395,4528.6973,4406.6064,4300.485,4498.3027,3781.2122,4424.6367,4220.121,4269.5757,4126.364
541129.492521286,4263.9097,4219.091,4146.455,4412.788,4241.7573,4527.152,4403.515,4302.546,4494.6973,3772.4546,4423.0913,4217.0303,4259.273,4124.303
541137.4459266663,4263.9097,4221.6665,4150.576,4418.9697,4235.5757,4524.576,4400.425,4295.8486,4491.0913,3772.4546,4424.1216,4217.5454,4254.121,4123.273
541145.5366611481,4265.4546,4220.6367,4154.182,4418.9697,4240.7275,4525.091,4400.9395,4295.8486,4493.152,3778.1213,4422.061,4220.121,4265.97,4123.788
541153.4833908081,4262.879,4218.576,4150.061,4413.8184,4248.9697,4528.6973,4401.9697,4298.4243,4493.152,3781.7275,4423.0913,4219.606,4270.6064,4125.8486
541161.4129543304,4266.485,4226.8184,4156.758,4421.546,4250.515,4530.2427,4400.425,4298.4243,4501.3945,3785.3333,4434.4243,4221.1514,4267.515,4123.273
541168.4944629669,4268.031,4236.091,4161.909,4433.394,4251.031,4529.7275,4400.425,4299.4546,4508.0913,3788.9397,4435.97,4221.1514,4268.031,4115.546
541176.5058040619,4256.697,4225.788,4150.576,4430.303,4252.5757,4530.2427,4401.9697,4293.788,4499.3335,3784.303,4421.031,4213.4243,4266.485,4109.879
541184.485912323,4253.6064,4221.6665,4148.0005,4425.667,4251.031,4530.2427,4399.909,4288.121,4492.121,3779.667,4419.485,4211.879,4261.3335,4108.3335
541192.5930976868,4264.9395,4231.9697,4156.758,4426.182,4250.0,4530.2427,4400.425,4294.303,4497.273,3781.7275,4429.273,4218.576,4262.364,4105.2427
541200.9389400482,4269.0605,4230.4243,4157.788,4426.182,4250.0,4530.2427,4406.6064,4295.8486,4498.8184,3783.2727,4429.273,4219.606,4265.4546,4101.121
541212.485074997,4260.303,4221.6665,4152.6367,4425.667,4250.0,4529.2124,4405.0605,4285.5454,4493.152,3779.1516,4423.0913,4216.5156,4265.97,4101.636
541216.4719104767,4252.0605,4220.6367,4142.848,4419.485,4247.9395,4529.2124,4399.909,4287.0913,4494.1816,3775.546,4420.0,4217.0303,4263.9097,4100.6064
541228.520154953,4251.031,4219.606,4138.727,4413.8184,4246.909,4529.2124,4401.9697,4301.515,4496.242,3781.2122,4426.182,4217.0303,4263.394,4101.121
541232.5320243835,4257.7275,4218.0605,4145.4243,4414.8486,4246.394,4526.1216,4401.9697,4301.515,4495.2124,3784.8184,4438.5454,4219.606,4270.6064,4108.3335
541240.6506538391,4260.303,4219.606,4147.485,4412.273,4246.909,4528.182,4400.9395,4293.273,4493.667,3778.6367,4428.758,4222.6973,4270.6064,4108.3335
541247.4446296692,4253.0913,4218.0605,4139.2427,4408.152,4248.4546,4532.303,4404.546,4296.879,4496.758,3777.6064,4407.6367,4217.0303,4257.2124,4097.515
541255.4337978363,4253.6064,4219.091,4140.273,4414.3335,4246.909,4530.2427,4400.9395,4302.0303,4500.364,3786.879,4414.3335,4215.485,4256.697,4094.9397
541264.4498348236,4256.697,4221.1514,4148.0005,4420.515,4246.394,4531.273,4392.182,4292.758,4498.8184,3784.303,4426.182,4219.091,4266.485,4097.515
541271.3840007782,4253.0913,4220.121,4146.455,4418.4546,4251.546,4543.1216,4392.697,4282.97,4493.667,3772.4546,4416.394,4211.879,4259.273,4089.788
541279.5464992523,4250.0,4219.606,4140.273,4415.364,4252.5757,4545.182,4395.273,4282.97,4485.9395,3769.879,4411.758,4200.5454,4246.394,4081.546
541287.4851226807,4252.0605,4221.1514,4139.758,4416.909,4248.4546,4532.8184,4397.8486,4285.031,4484.909,3771.9395,4422.576,4209.8184,4256.1816,4086.697
541295.4964637756,4254.121,4222.1816,4144.909,4420.0,4246.909,4527.667,4403.515,4282.4546,4492.6367,3771.4243,4423.6064,4219.606,4266.485,4094.9397
541303.5235404968,4253.6064,4219.091,4141.8184,4413.8184,4241.7573,4529.7275,4404.546,4284.0,4494.6973,3770.394,4416.394,4208.7876,4258.7573,4093.9092
541315.4637813568,4256.697,4216.0,4137.182,4406.091,4235.0605,4528.182,4400.9395,4292.2427,4492.121,3776.0608,4423.0913,4205.1816,4258.2427,4089.788
541318.4673786163,4264.4243,4219.091,4143.879,4413.8184,4242.273,4526.6367,4399.909,4296.879,4494.1816,3782.2424,4434.4243,4219.091,4269.5757,4095.9697
541331.4661979675,4270.6064,4221.6665,4152.6367,4420.0,4249.4854,4528.6973,4406.091,4302.546,4497.788,3781.7275,4432.364,4224.2427,4272.152,4106.273
541334.4650268555,4270.0913,4221.6665,4154.182,4414.3335,4241.2427,4528.6973,4406.6064,4310.2725,4498.8184,3783.2727,4428.758,4220.121,4268.546,4105.2427
541343.3239459991,4268.031,4222.6973,4155.212,4413.8184,4238.152,4525.091,4399.909,4303.061,4498.3027,3782.2424,4432.364,4222.1816,4270.6064,4099.5757
541350.4683971405,4267.515,4222.1816,4155.727,4418.9697,4247.4243,4527.152,4400.425,4290.6973,4493.152,3772.9697,4426.6973,4221.6665,4269.5757,4093.9092
541358.7591648102,4267.0,4221.1514,4154.182,4418.4546,4248.9697,4530.2427,4400.9395,4293.273,4492.121,3770.394,4420.515,4217.5454,4262.879,4088.7576
541366.4238452911,4268.546,4222.6973,4156.758,4417.9395,4247.4243,4527.152,4391.1514,4295.8486,4497.273,3777.6064,4427.2124,4222.1816,4267.515,4086.697
541374.810218811,4263.394,4223.2124,4152.6367,4417.9395,4250.0,4531.788,4393.727,4284.515,4493.667,3776.5762,4424.6367,4221.1514,4268.546,4078.9697
541382.4095726013,4254.121,4220.6367,4139.758,4416.394,4249.4854,4542.0913,4404.546,4278.849,4481.8184,3767.8184,4413.8184,4207.242,4257.2124,4064.0305
541389.4097805023,4252.5757,4220.6367,4139.2427,4415.364,4250.0,4539.0,4398.3643,4282.4546,4478.2124,3769.3638,4418.4546,4203.6367,4251.546,4059.3938
541397.453546524,4255.667,4220.6367,4145.94,4411.758,4250.515,4528.182,4395.273,4285.031,4482.3335,3770.9092,4423.0913,4209.3027,4254.121,4065.576
541410.4149341583,4255.667,4217.0303,4141.8184,4407.121,4241.7573,4529.2124,4403.0,4283.485,4483.879,3766.273,4412.273,4207.242,4252.5757,4063.0
541418.4906482697,4251.546,4216.0,4136.6665,4406.6064,4235.0605,4532.303,4399.394,4282.97,4479.2427,3762.667,4405.5757,4201.576,4248.4546,4057.8489
541421.7302799225,4251.546,4219.606,4140.7876,4407.6367,4241.2427,4530.2427,4394.758,4290.182,4479.2427,3768.8486,4409.182,4204.6665,4252.0605,4061.4543
541429.5828342438,4260.818,4222.1816,4144.909,4411.2427,4246.909,4528.6973,4402.4854,4298.9395,4490.0605,3779.667,4409.6973,4209.8184,4254.121,4066.091
541437.5512599945,4266.485,4220.121,4142.848,4415.879,4246.394,4530.2427,4411.2427,4301.0,4497.788,3781.7275,4410.7275,4204.152,4251.031,4061.97
541445.8441734314,4262.364,4219.091,4139.2427,4415.879,4247.9395,4531.273,4407.121,4299.4546,4493.667,3778.6367,4421.031,4203.121,4258.7573,4056.8184
541459.3958854675,4260.303,4219.606,4139.758,4414.3335,4249.4854,4529.7275,4395.273,4292.2427,4487.4854,3778.6367,4424.1216,4212.3945,4268.031,4058.3638
541460.440158844,4258.7573,4220.121,4142.848,4415.879,4248.4546,4530.2427,4391.6665,4285.5454,4486.97,3776.5762,4417.9395,4211.364,4259.273,4055.7883
541473.9549160004,4253.0913,4221.6665,4140.7876,4418.9697,4248.4546,4531.788,4395.273,4285.031,4485.9395,3772.4546,4414.8486,4203.6367,4249.4854,4046.5151
541476.4347076416,4257.7275,4227.8486,4140.7876,4422.576,4250.515,4530.2427,4393.727,4284.0,4481.303,3771.4243,4420.0,4213.9395,4259.788,4046.0
541484.4079017639,4267.515,4235.0605,4151.091,4424.6367,4249.4854,4533.8486,4393.727,4277.303,4480.788,3774.5151,4427.2124,4222.6973,4266.485,4053.2122
541497.4505901337,4268.546,4236.6064,4159.8486,4427.7275,4255.152,4543.1216,4406.091,4282.97,4491.6064,3778.1213,4433.394,4220.6367,4266.485,4056.3032
