Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2154281.7091941833,4295.3335,4246.909,4181.485,4422.576,4267.0,4556.0,4407.121,4337.5757,4525.091,3798.2122,4449.364,4264.9395,4297.394,4167.061
2154286.812067032,4294.8184,4239.182,4174.273,4418.4546,4267.0,4557.031,4407.6367,4339.121,4524.0605,3800.7878,4451.94,4263.9097,4299.4546,4160.364
2154295.7231998444,4296.879,4247.9395,4179.9395,4426.182,4272.667,4559.0913,4416.394,4341.6973,4527.152,3801.8184,4452.455,4266.485,4298.9395,4166.5454
2154300.7457256317,4297.394,4253.6064,4184.576,4429.273,4274.7275,4560.636,4416.394,4337.0605,4521.485,3798.7273,4451.94,4265.97,4298.4243,4169.1216
2154308.6409568787,4291.2124,4241.7573,4177.364,4421.546,4270.0913,4560.121,4409.6973,4329.8486,4510.152,3792.0305,4451.94,4256.697,4299.4546,4159.8486
2154316.7169094086,4284.0,4231.4546,4170.1514,4414.8486,4266.485,4559.6064,4409.182,4326.7573,4509.6367,3783.788,4440.606,4250.0,4292.2427,4153.6665
2154323.6944675446,4283.485,4231.9697,4171.182,4409.182,4268.031,4559.6064,4409.6973,4325.212,4510.6665,3779.1516,4426.6973,4251.546,4282.4546,4155.727
2154331.8297863007,4285.5454,4237.636,4173.2427,4415.879,4271.121,4557.031,4404.0303,4318.515,4501.3945,3777.6064,4436.485,4253.6064,4281.9395,4155.727
2154339.6587371826,4286.0605,4248.4546,4174.788,4431.8486,4275.758,4557.546,4400.425,4314.909,4492.6367,3778.1213,4451.94,4253.6064,4285.5454,4158.303
2154348.7017154694,4286.0605,4250.515,4174.788,4430.8184,4274.7275,4553.9395,4401.4546,4313.879,4492.6367,3774.5151,4443.182,4251.546,4285.031,4159.8486
2154355.6644916534,4286.5757,4245.879,4172.2124,4422.061,4269.5757,4548.273,4401.9697,4313.879,4494.1816,3768.3335,4428.2427,4250.0,4280.394,4155.212
2154363.7499809265,4284.515,4247.4243,4172.7275,4428.2427,4271.121,4552.394,4402.4854,4318.0005,4493.152,3769.3638,4431.8486,4251.546,4278.849,4153.1514
2154371.9522953033,4285.5454,4244.8486,4174.788,4430.303,4272.152,4559.6064,4405.5757,4319.0303,4492.6367,3772.4546,4435.455,4249.4854,4281.9395,4154.182
2154379.6899318695,4285.031,4237.1216,4169.1216,4420.0,4269.5757,4558.0605,4408.152,4315.425,4494.6973,3767.8184,4425.667,4237.1216,4278.3335,4150.061
2154387.661218643,4274.2124,4234.0303,4157.788,4413.8184,4268.546,4557.031,4407.6367,4312.333,4495.2124,3762.1519,4414.8486,4230.9395,4266.485,4140.273
2154394.694328308,4272.667,4235.0605,4159.3335,4414.8486,4265.97,4559.6064,4403.515,4312.8486,4495.7275,3765.7578,4418.9697,4240.2124,4268.546,4139.758
2154402.697086334,4284.0,4241.7573,4172.2124,4422.576,4268.546,4560.121,4404.0303,4319.0303,4505.0,3779.667,4438.5454,4250.515,4286.0605,4151.606
2154410.7327461243,4288.636,4251.546,4176.8486,4430.8184,4275.242,4561.152,4408.152,4323.1514,4516.334,3788.9397,4452.9697,4253.0913,4297.394,4157.788
2154418.7440872192,4284.0,4251.031,4173.2427,4428.2427,4271.121,4560.121,4406.091,4316.9697,4509.6367,3780.6973,4447.819,4255.152,4292.758,4149.0303
2154426.6605377197,4279.879,4239.697,4167.5757,4418.4546,4263.9097,4557.031,4399.909,4306.667,4495.2124,3769.879,4435.97,4248.9697,4283.485,4137.6973
2154439.7253990173,4277.8184,4233.515,4165.0005,4415.879,4267.0,4556.515,4395.273,4301.0,4493.667,3768.8486,4431.8486,4240.2124,4280.394,4136.152
2154442.65294075,4279.364,4243.818,4169.636,4422.576,4270.0913,4555.4854,4395.788,4299.9697,4495.2124,3771.9395,4434.4243,4244.3335,4284.0,4138.727
2154454.6732902527,4284.515,4252.0605,4174.273,4425.667,4267.0,4555.4854,4399.909,4304.091,4491.6064,3768.8486,4434.94,4250.515,4284.515,4140.273
2154458.6606025696,4282.97,4243.818,4171.6973,4421.546,4265.4546,4557.546,4404.0303,4308.7275,4491.0913,3764.7275,4429.788,4246.394,4279.364,4138.727
2154465.657711029,4281.4243,4241.2427,4169.636,4423.6064,4267.515,4560.121,4409.6973,4311.303,4494.6973,3768.8486,4431.3335,4246.909,4278.3335,4138.727
2154473.708152771,4291.7275,4253.0913,4175.8184,4433.394,4271.636,4560.121,4415.879,4318.515,4496.242,3774.5151,4438.031,4253.6064,4285.5454,4144.909
2154482.668161392,4295.8486,4256.1816,4178.394,4434.4243,4271.636,4559.6064,4414.3335,4322.636,4501.3945,3773.4849,4438.031,4254.121,4288.121,4147.485
2154494.693994522,4286.5757,4250.0,4173.758,4430.303,4267.515,4558.5757,4406.6064,4319.546,4508.0913,3775.0305,4437.0005,4251.031,4281.9395,4141.8184
2154515.72060585,4286.5757,4252.5757,4174.788,4432.364,4269.5757,4557.546,4408.667,4323.1514,4512.727,3786.3635,4443.182,4251.031,4287.606,4142.848
2154517.6923274994,4293.788,4252.0605,4178.909,4432.364,4272.152,4561.152,4416.394,4334.4854,4519.9395,3791.0002,4446.273,4254.636,4296.879,4148.5156
2154518.6750888824,4286.5757,4240.2124,4172.7275,4424.1216,4269.0605,4564.2427,4415.364,4330.3643,4520.455,3782.2424,4439.576,4250.0,4287.0913,4143.879
2154521.697282791,4277.303,4236.6064,4165.515,4417.4243,4266.485,4560.121,4407.121,4316.4546,4513.2427,3777.091,4434.4243,4237.1216,4275.758,4136.152
2154529.6907424927,4279.364,4239.182,4169.1216,4421.546,4268.546,4559.0913,4404.546,4314.909,4512.2124,3778.6367,4433.394,4238.667,4281.9395,4139.2427
2154541.7046546936,4281.9395,4237.636,4172.2124,4426.182,4267.0,4558.5757,4405.5757,4318.0005,4512.2124,3774.5151,4430.303,4245.879,4284.0,4141.303
2154545.6936359406,4282.97,4242.788,4170.667,4428.2427,4264.4243,4549.818,4404.0303,4314.909,4500.879,3769.3638,4429.273,4242.273,4276.788,4138.727
2154553.693294525,4284.0,4251.546,4171.182,4430.8184,4267.0,4544.667,4401.4546,4310.2725,4493.667,3768.3335,4430.303,4237.636,4276.788,4139.758
2154571.7294216156,4283.485,4244.3335,4172.7275,4427.7275,4268.031,4546.2124,4399.394,4311.8184,4496.242,3763.6973,4426.182,4238.152,4277.8184,4140.7876
2154572.6470947266,4284.0,4233.515,4171.182,4421.031,4264.4243,4545.182,4400.425,4314.3936,4495.7275,3762.667,4423.0913,4243.303,4276.788,4138.727
