Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1272482.978105545,4267.515,4254.636,4171.182,4418.4546,4250.515,4544.152,4392.697,4282.4546,4492.121,3774.5151,4440.606,4242.788,4277.303,4114.0
1272485.5508804321,4266.485,4252.0605,4173.2427,4414.8486,4251.031,4544.667,4391.1514,4282.97,4493.152,3775.0305,4436.485,4241.7573,4280.394,4114.515
1272495.4962730408,4267.0,4251.546,4166.5454,4413.303,4250.515,4543.636,4392.182,4295.3335,4494.6973,3777.6064,4429.788,4239.697,4281.4243,4109.879
1272499.2282390594,4265.4546,4250.0,4160.364,4412.273,4247.4243,4543.636,4400.9395,4301.0,4495.2124,3776.5762,4427.2124,4234.5454,4270.0913,4107.303
1272507.3795318604,4266.485,4250.0,4166.0303,4408.152,4247.4243,4544.667,4407.6367,4303.576,4496.242,3775.546,4431.8486,4234.5454,4266.485,4111.4243
1272515.2533054352,4268.031,4251.031,4165.515,4403.515,4250.515,4545.697,4404.0303,4303.576,4496.242,3778.1213,4434.94,4236.091,4273.697,4114.0
1272523.2167243958,4260.818,4246.909,4155.727,4399.909,4242.788,4544.667,4399.394,4291.7275,4494.1816,3774.0,4428.758,4234.5454,4270.0913,4109.364
1272531.260728836,4256.1816,4244.8486,4154.6973,4403.515,4234.5454,4542.0913,4397.8486,4282.97,4492.121,3769.3638,4424.6367,4234.0303,4261.8486,4105.758
1272543.2271957397,4264.4243,4250.515,4165.0005,4415.364,4244.3335,4544.152,4399.909,4292.758,4494.6973,3778.6367,4432.879,4237.1216,4271.636,4108.8486
1272547.2447872162,4270.6064,4254.636,4170.667,4421.546,4256.1816,4551.879,4400.9395,4302.0303,4498.3027,3789.4548,4440.606,4241.2427,4283.485,4112.4546
1272573.1568336487,4265.4546,4250.0,4169.1216,4413.303,4251.546,4554.97,4395.273,4290.6973,4496.242,3787.3938,4435.97,4240.2124,4274.7275,4109.364
1272596.2643623352,4263.394,4248.4546,4168.091,4410.2124,4247.9395,4554.4546,4394.2427,4279.879,4493.667,3783.2727,4431.8486,4237.636,4268.031,4106.788
1272597.1915721893,4269.0605,4251.546,4170.1514,4418.4546,4253.0913,4556.515,4402.4854,4290.182,4497.273,3786.879,4435.455,4242.273,4277.303,4109.364
1272600.5158424377,4270.6064,4252.5757,4172.7275,4421.546,4253.6064,4556.515,4404.546,4300.485,4499.3335,3788.4246,4436.485,4245.364,4279.879,4112.9697
1272601.1335849762,4274.7275,4251.031,4169.1216,4417.9395,4251.546,4560.121,4405.5757,4295.3335,4492.121,3775.546,4429.273,4244.8486,4265.4546,4109.364
1272603.1787395477,4284.0,4252.5757,4171.182,4419.485,4252.0605,4562.182,4416.394,4313.364,4507.0605,3787.9092,4432.364,4250.515,4279.879,4120.182
1272613.1989955902,4284.0,4253.0913,4170.667,4415.879,4251.546,4559.0913,4419.485,4319.0303,4511.1816,3793.576,4433.9097,4250.515,4284.0,4123.273
1272633.3916187286,4278.3335,4252.0605,4170.1514,4415.364,4251.546,4558.0605,4416.394,4302.546,4498.3027,3786.879,4431.8486,4248.4546,4274.7275,4112.9697
1272635.1704597473,4277.303,4250.0,4166.5454,4417.4243,4252.5757,4560.636,4413.303,4292.758,4491.6064,3783.788,4430.303,4249.4854,4267.515,4108.3335
1272636.1167430878,4274.7275,4248.9697,4165.0005,4413.303,4253.6064,4562.697,4409.6973,4300.485,4497.788,3785.8486,4430.303,4249.4854,4271.121,4111.9395
1272642.2190666199,4269.0605,4248.9697,4163.9697,4408.667,4252.0605,4561.152,4403.515,4302.0303,4499.849,3786.3635,4432.364,4249.4854,4273.1816,4110.394
1272650.2740383148,4267.0,4247.9395,4162.94,4410.7275,4249.4854,4557.031,4400.425,4287.0913,4493.667,3781.7275,4431.8486,4248.4546,4268.031,4106.788
1272663.1698608398,4267.0,4248.9697,4166.5454,4417.9395,4251.031,4556.0,4401.4546,4279.364,4491.6064,3778.1213,4432.364,4247.4243,4269.0605,4107.303
1272684.1855049133,4268.031,4252.0605,4171.6973,4423.0913,4253.6064,4558.0605,4400.9395,4287.0913,4493.152,3781.2122,4439.576,4248.9697,4277.303,4107.8184
1272685.1172447205,4275.242,4254.121,4173.2427,4424.1216,4254.636,4557.031,4399.394,4295.8486,4495.7275,3788.9397,4444.2124,4251.546,4282.4546,4113.485
1272686.180114746,4279.364,4253.0913,4172.7275,4422.061,4254.121,4558.0605,4405.0605,4298.9395,4502.9395,3791.0002,4441.6367,4253.0913,4283.485,4121.2124
1272689.2127990723,4272.667,4251.546,4172.7275,4417.9395,4253.0913,4556.515,4408.667,4300.485,4509.6367,3788.4246,4434.94,4252.5757,4281.9395,4123.788
1272707.2150707245,4275.758,4252.0605,4171.182,4421.031,4251.546,4547.2427,4404.546,4305.1216,4510.152,3788.4246,4432.879,4251.546,4281.9395,4122.758
1272709.1226577759,4284.0,4252.5757,4171.6973,4425.667,4250.0,4541.5757,4400.9395,4308.212,4506.031,3789.97,4440.606,4251.031,4283.485,4124.8184
1272713.2177352905,4276.273,4254.636,4174.273,4423.6064,4250.515,4545.182,4402.4854,4302.546,4500.364,3788.4246,4443.6973,4249.4854,4277.8184,4126.879
1272721.2460041046,4265.4546,4252.5757,4168.606,4418.9697,4252.0605,4551.879,4406.091,4295.8486,4494.6973,3783.788,4432.364,4246.909,4265.97,4122.2427
