Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
1556347.8240966797,4252.0605,4220.121,4137.182,4406.6064,4237.1216,4523.0303,4377.758,4280.9097,4461.2124,3768.8486,4400.9395,4213.4243,4235.0605,4109.879
1556354.7523021698,4253.0913,4218.0605,4138.727,4408.152,4236.6064,4526.1216,4384.4546,4282.4546,4463.273,3773.4849,4400.9395,4218.576,4237.636,4110.394
1556362.8199100494,4252.5757,4219.091,4136.6665,4403.0,4243.303,4529.7275,4384.4546,4285.031,4468.4243,3777.091,4393.212,4218.0605,4240.7275,4106.788
1556370.7530498505,4252.0605,4220.6367,4137.182,4401.4546,4244.3335,4527.667,4379.8184,4292.2427,4475.6367,3779.1516,4403.0,4219.606,4245.879,4112.9697
1556400.1669883728,4258.7573,4223.2124,4142.3335,4408.667,4237.636,4525.091,4381.8794,4301.0,4480.788,3785.3333,4413.8184,4224.2427,4252.0605,4124.8184
1556400.916337967,4260.818,4222.1816,4141.303,4408.152,4237.1216,4526.1216,4384.9697,4293.788,4476.152,3783.788,4404.546,4222.6973,4250.515,4121.2124
1556401.68094635,4259.788,4219.606,4139.2427,4405.0605,4238.667,4525.606,4384.4546,4284.0,4468.94,3776.0608,4400.425,4219.606,4248.4546,4114.515
1556402.6746749878,4265.4546,4223.7275,4146.455,4409.6973,4237.1216,4524.576,4389.091,4292.2427,4472.5454,3778.1213,4411.2427,4222.6973,4252.0605,4121.7275
1556409.7113609314,4268.546,4226.8184,4145.94,4409.6973,4237.636,4527.667,4392.182,4295.8486,4472.5454,3778.6367,4406.091,4222.6973,4244.3335,4122.758
1556417.7780151367,4263.394,4223.2124,4139.2427,4404.546,4240.7275,4528.6973,4383.94,4285.5454,4463.788,3770.394,4392.697,4219.091,4234.5454,4110.909
1556425.707101822,4264.4243,4222.1816,4140.273,4405.5757,4239.182,4524.576,4376.727,4281.9395,4462.2427,3771.9395,4397.3335,4220.121,4241.2427,4107.8184
1556434.6823692322,4266.485,4224.758,4144.3945,4409.182,4237.1216,4524.576,4377.758,4286.0605,4467.909,3779.667,4407.121,4222.1816,4246.394,4112.4546
1556441.6975975037,4256.697,4221.6665,4140.273,4407.6367,4243.818,4528.182,4379.303,4284.0,4467.394,3777.6064,4400.9395,4217.5454,4237.1216,4110.909
