Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
7279136.385440826,4281.9395,4225.788,4157.273,4415.879,4280.394,4546.7275,4395.788,4296.879,4493.667,3760.606,4466.364,4219.091,4265.4546,4139.2427
7279144.264221191,4284.515,4231.9697,4163.4546,4418.9697,4281.4243,4546.2124,4397.8486,4310.2725,4495.2124,3759.5757,4466.364,4222.6973,4268.031,4139.758
7279155.132055283,4290.182,4236.091,4169.1216,4418.9697,4282.97,4545.697,4401.4546,4335.515,4497.788,3768.8486,4474.0913,4226.8184,4274.7275,4142.848
7279160.2873802185,4291.2124,4234.5454,4167.5757,4417.4243,4278.849,4545.697,4403.515,4354.5757,4498.8184,3772.4546,4476.152,4225.788,4277.303,4144.909
7279168.746232986,4284.515,4225.273,4157.273,4415.364,4275.758,4546.2124,4403.515,4364.879,4497.273,3761.6362,4465.3335,4219.606,4270.6064,4141.303
7279176.276922226,4281.9395,4221.6665,4155.727,4415.879,4279.364,4546.7275,4402.4854,4376.212,4495.7275,3758.5454,4460.6978,4217.5454,4264.9395,4138.2124
7279183.311223984,4285.5454,4234.5454,4161.394,4419.485,4284.0,4546.2124,4400.425,4382.394,4492.121,3764.7275,4464.819,4219.606,4269.5757,4141.8184
7279196.317195892,4285.031,4239.182,4159.8486,4419.485,4282.4546,4546.2124,4399.394,4380.333,4487.4854,3761.6362,4465.3335,4218.0605,4271.121,4141.8184
7279199.252843857,4279.879,4225.273,4154.6973,4416.909,4275.242,4546.2124,4396.3037,4379.303,4484.909,3754.4243,4464.303,4217.0303,4267.0,4129.9697
7279207.419395447,4276.788,4220.121,4152.1216,4413.8184,4269.5757,4544.667,4391.1514,4377.758,4481.8184,3752.3638,4461.7275,4215.485,4263.394,4121.2124
7279220.395803452,4278.849,4231.4546,4154.182,4415.879,4273.697,4542.6064,4391.1514,4372.606,4483.364,3757.5151,4464.303,4217.0303,4265.4546,4129.9697
7279224.323272705,4283.485,4238.667,4163.4546,4428.2427,4281.9395,4542.6064,4392.697,4369.0005,4492.6367,3768.3335,4477.182,4228.879,4275.758,4142.848
7279231.251001358,4281.9395,4235.5757,4165.0005,4430.303,4280.9097,4545.182,4392.697,4366.4243,4497.788,3772.4546,4478.7275,4229.394,4284.0,4143.364
7279239.305496216,4278.849,4233.0,4156.758,4418.9697,4280.394,4547.2427,4396.8184,4361.7876,4496.758,3766.273,4467.909,4218.576,4284.515,4137.6973
7279247.262716293,4279.879,4232.485,4154.182,4415.879,4279.879,4544.667,4397.3335,4352.515,4494.1816,3761.6362,4464.819,4217.0303,4276.273,4137.6973
7279255.373001099,4282.97,4233.0,4161.394,4421.546,4273.697,4540.031,4391.6665,4340.667,4487.4854,3760.091,4466.8794,4223.7275,4270.0913,4140.273
7279262.321710587,4285.031,4235.5757,4163.4546,4421.546,4269.5757,4539.0,4391.6665,4329.3335,4479.2427,3757.0002,4464.819,4222.6973,4270.6064,4140.7876
7279271.543741226,4284.0,4234.0303,4156.758,4420.0,4268.546,4539.515,4393.727,4319.546,4480.273,3754.4243,4463.273,4218.0605,4269.0605,4138.727
7279279.322624207,4283.485,4231.4546,4160.8794,4420.515,4269.0605,4540.031,4392.697,4307.6973,4480.273,3753.9094,4465.8486,4220.121,4265.97,4138.727
7279286.657333374,4285.031,4234.5454,4171.6973,4421.546,4274.7275,4541.5757,4394.2427,4299.9697,4478.7275,3753.394,4466.8794,4221.6665,4265.4546,4141.303
7279294.260501862,4285.5454,4236.6064,4169.1216,4422.576,4280.9097,4544.152,4399.394,4298.9395,4485.9395,3755.4546,4467.394,4221.1514,4271.121,4142.3335
7279303.888082504,4284.0,4235.0605,4160.8794,4423.6064,4280.9097,4544.152,4400.425,4298.4243,4495.7275,3761.1213,4464.819,4221.1514,4279.364,4142.3335
7279310.241699219,4284.0,4235.5757,4162.4243,4423.0913,4281.4243,4545.182,4401.9697,4298.9395,4498.8184,3763.6973,4465.8486,4223.2124,4285.5454,4141.8184
7279318.652868271,4284.515,4236.091,4160.364,4420.0,4283.485,4547.2427,4405.0605,4301.515,4497.273,3765.2427,4474.6064,4221.6665,4281.9395,4140.7876
7279325.271606445,4284.515,4233.515,4153.6665,4417.4243,4281.9395,4546.7275,4403.515,4296.364,4498.3027,3769.879,4480.788,4221.6665,4277.8184,4139.758
7279333.261013031,4284.515,4231.9697,4154.6973,4417.9395,4279.879,4545.182,4400.425,4287.0913,4502.4243,3774.0,4479.2427,4224.758,4280.9097,4141.8184
7279342.341899872,4284.515,4232.485,4154.182,4417.4243,4280.9097,4545.182,4401.4546,4284.0,4503.455,3770.394,4476.152,4222.6973,4281.4243,4143.364
7279349.331617355,4284.515,4234.0303,4155.727,4416.394,4282.4546,4546.7275,4403.515,4278.3335,4499.3335,3764.7275,4471.515,4222.1816,4278.3335,4142.848
7279357.363462448,4284.0,4237.1216,4167.5757,4424.1216,4282.97,4546.7275,4403.0,4268.546,4495.7275,3763.1821,4463.788,4230.9395,4280.394,4145.4243
7279365.324497223,4283.485,4240.2124,4174.273,4432.364,4284.0,4546.2124,4402.4854,4259.788,4496.758,3763.1821,4463.273,4234.5454,4285.031,4147.485
