Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
25829.325199127197,4265.97,4293.273,4171.182,4449.8794,4313.879,4481.303,4427.2124,4356.1216,4211.364,3744.1213,4464.819,4240.2124,4272.152,4154.182
25837.25380897522,4257.2124,4287.606,4156.2427,4445.2427,4310.788,4480.273,4416.394,4354.5757,4205.1816,3739.485,4463.788,4237.636,4267.0,4144.3945
25850.362300872803,4251.031,4288.636,4152.6367,4446.273,4312.333,4479.758,4412.273,4352.515,4203.6367,3730.7273,4462.7583,4234.5454,4267.0,4136.152
25853.269338607788,4259.273,4291.7275,4158.303,4447.819,4315.94,4481.8184,4422.576,4355.0913,4205.1816,3733.818,4464.819,4234.0303,4270.0913,4140.7876
25861.27734184265,4260.303,4287.0913,4158.819,4443.182,4305.1216,4482.8486,4430.303,4356.1216,4206.2124,3739.485,4461.2124,4233.0,4267.0,4140.273
25870.36681175232,4250.515,4281.9395,4155.212,4433.9097,4296.879,4479.758,4430.8184,4353.0303,4202.0913,3731.7576,4448.8486,4233.515,4261.8486,4135.1216
25877.3455619812,4249.4854,4281.9395,4156.2427,4431.3335,4300.485,4477.6973,4429.788,4356.1216,4200.5454,3726.0913,4445.2427,4235.0605,4259.273,4136.6665
25885.438203811646,4252.0605,4279.879,4151.091,4431.8486,4300.485,4481.8184,4432.879,4362.303,4201.576,3730.2124,4450.909,4228.364,4256.697,4136.152
25893.260717391968,4246.909,4276.788,4139.758,4428.758,4297.394,4482.8486,4435.455,4361.7876,4201.0605,3729.697,4447.819,4219.091,4253.0913,4132.031
25901.86619758606,4243.818,4274.7275,4138.2124,4429.788,4298.9395,4479.2427,4429.273,4359.727,4201.0605,3729.1821,4445.2427,4224.2427,4251.546,4129.4546
25913.404941558838,4250.515,4274.7275,4142.3335,4432.364,4304.091,4480.273,4426.182,4360.758,4203.6367,3736.3943,4449.364,4234.5454,4256.1816,4131.5156
25920.22466659546,4252.5757,4280.394,4141.303,4435.97,4308.7275,4482.3335,4430.303,4358.182,4203.121,3740.5154,4451.94,4236.091,4264.4243,4136.6665
25924.22389984131,4253.0913,4284.515,4144.3945,4442.152,4312.333,4481.303,4431.3335,4354.0605,4202.0913,3740.0002,4456.061,4235.0605,4270.0913,4140.273
25932.284593582153,4261.3335,4284.515,4154.182,4448.334,4310.2725,4480.788,4424.1216,4356.1216,4204.6665,3741.5457,4465.3335,4235.5757,4269.0605,4141.8184
25940.3657913208,4262.879,4284.515,4155.727,4449.364,4304.6064,4479.2427,4415.364,4355.0913,4202.606,3743.6062,4469.4546,4238.667,4269.5757,4143.364
25948.26030731201,4253.0913,4285.5454,4148.5156,4441.1216,4302.0303,4478.2124,4413.8184,4350.9697,4195.909,3740.5154,4461.7275,4238.152,4271.636,4141.8184
25956.40277862549,4250.515,4282.4546,4145.94,4430.8184,4301.515,4479.2427,4417.9395,4354.0605,4193.3335,3734.3335,4450.3945,4227.3335,4263.394,4133.061
25964.221000671387,4253.6064,4277.303,4148.0005,4429.273,4298.9395,4479.2427,4420.0,4354.5757,4189.7275,3726.0913,4444.727,4218.0605,4253.0913,4126.879
25972.858428955078,4249.4854,4276.788,4150.061,4431.3335,4298.4243,4476.152,4415.364,4345.8184,4176.8486,3718.879,4440.606,4217.5454,4250.515,4124.303
25979.8264503479,4247.9395,4277.8184,4153.6665,4429.273,4299.4546,4477.6973,4415.364,4342.2124,4167.5757,3717.3335,4434.94,4215.485,4250.0,4122.758
25987.261295318604,4246.909,4277.8184,4155.212,4429.273,4298.9395,4481.8184,4422.576,4346.8486,4175.303,3721.9697,4437.5156,4213.4243,4246.909,4122.758
25995.342254638672,4250.0,4281.9395,4150.576,4432.364,4297.909,4479.758,4425.152,4352.515,4192.8184,3732.7878,4448.8486,4219.606,4254.636,4126.364
26003.228425979614,4254.121,4280.9097,4136.6665,4429.273,4297.394,4477.182,4420.515,4359.727,4204.6665,3740.5154,4453.485,4223.2124,4268.546,4129.4546
26011.204481124878,4244.3335,4270.0913,4127.909,4422.576,4297.394,4478.7275,4418.4546,4358.182,4203.121,3735.3638,4448.334,4219.606,4264.4243,4126.879
26020.214796066284,4239.697,4273.1816,4137.182,4425.667,4299.4546,4481.303,4419.485,4346.8486,4198.485,3725.576,4440.0913,4216.5156,4251.031,4123.788
26027.271270751953,4248.9697,4282.97,4146.9697,4432.364,4300.485,4480.788,4422.061,4346.8486,4200.031,3726.0913,4443.182,4218.0605,4251.546,4125.3335
26035.468578338623,4244.8486,4275.242,4139.758,4428.2427,4298.9395,4481.303,4427.7275,4358.6973,4207.758,3730.7273,4447.819,4218.576,4261.3335,4125.8486
26043.297052383423,4237.1216,4271.121,4136.152,4425.152,4298.4243,4481.303,4431.3335,4364.364,4217.5454,3733.818,4446.7876,4216.5156,4263.9097,4127.909
