Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
38600.73757171631,4269.0605,4281.4243,4170.667,4441.6367,5064.9697,4478.2124,4416.394,4355.0913,4480.273,3748.2424,4451.4243,4236.091,4268.546,4141.303
38607.38563537598,4268.031,4275.242,4172.2124,4435.97,5075.2725,4482.3335,4414.3335,4356.1216,4484.909,3744.1213,4446.273,4227.3335,4263.394,4141.303
38615.28778076172,4265.4546,4267.515,4172.7275,4430.8184,5079.909,4484.909,4409.182,4348.394,4480.273,3739.485,4445.2427,4218.576,4259.788,4133.061
38623.78716468811,4263.394,4268.546,4170.667,4429.788,5079.394,4484.909,4412.788,4343.2427,4469.4546,3739.485,4448.334,4221.6665,4258.2427,4126.364
38631.22296333313,4267.0,4281.9395,4178.394,4436.485,5089.697,4483.879,4417.9395,4345.303,4467.909,3742.0608,4449.8794,4229.394,4265.4546,4136.6665
38639.907360076904,4262.364,4283.485,4182.0,4438.031,5092.788,4483.364,4407.6367,4343.2427,4468.94,3741.5457,4450.909,4227.3335,4270.6064,4140.7876
38647.28760719299,4252.0605,4271.121,4174.788,4428.2427,5081.4546,4481.8184,4398.879,4339.636,4464.303,3738.4548,4447.819,4220.121,4260.818,4128.4243
38655.333280563354,4250.0,4267.515,4172.7275,4425.152,5077.333,4480.273,4407.121,4341.6973,4462.2427,3737.9397,4439.576,4218.576,4250.515,4123.273
38663.31911087036,4254.636,4271.121,4177.879,4431.3335,5080.425,4480.788,4411.2427,4347.879,4468.94,3739.485,4438.5454,4219.091,4253.0913,4128.4243
38670.21656036377,4253.6064,4270.0913,4179.4243,4431.3335,5079.394,4482.8486,4409.182,4353.0303,4476.667,3741.0305,4447.303,4219.091,4255.667,4129.4546
38678.20858955383,4252.5757,4268.546,4170.667,4429.788,5078.364,4484.909,4413.8184,4356.1216,4479.758,3742.576,4450.3945,4219.606,4252.0605,4129.4546
38686.31386756897,4258.7573,4271.121,4154.6973,4434.4243,5079.394,4483.879,4418.4546,4356.1216,4477.6973,3740.5154,4446.7876,4221.1514,4257.7275,4131.5156
38694.289445877075,4259.273,4269.5757,4140.7876,4436.485,5079.394,4482.8486,4415.364,4355.0913,4476.152,3737.9397,4447.303,4220.121,4262.879,4129.9697
38702.52561569214,4254.121,4270.0913,4140.7876,4436.485,5079.394,4482.8486,4414.3335,4355.606,4478.7275,3744.6365,4447.819,4220.121,4255.667,4127.909
38710.28280258179,4254.121,4274.2124,4150.576,4436.485,5079.909,4482.3335,4414.3335,4355.606,4475.6367,3746.697,4446.7876,4220.121,4250.515,4126.364
38718.53470802307,4255.152,4276.788,4155.212,4434.94,5079.394,4481.8184,4410.7275,4351.485,4465.8486,3740.0002,4448.334,4220.121,4254.121,4124.8184
38726.45378112793,4251.546,4278.849,4149.5454,4435.455,5079.394,4481.303,4407.121,4344.273,4457.606,3737.4246,4449.8794,4220.6367,4255.667,4124.8184
38733.19482803345,4247.9395,4279.879,4145.94,4435.455,5081.4546,4481.303,4408.152,4339.636,4455.5454,3738.4548,4445.758,4219.091,4251.546,4124.8184
38741.30320549011,4250.0,4279.879,4152.6367,4431.8486,5076.8184,4482.3335,4412.788,4342.7275,4458.6367,3739.485,4445.758,4219.606,4253.6064,4124.303
38749.20034408569,4257.7275,4280.394,4158.303,4430.303,5070.1216,4484.909,4416.909,4346.3335,4461.7275,3742.576,4454.5156,4227.3335,4262.879,4127.394
38766.30139350891,4262.879,4284.0,4156.2427,4432.364,5071.1514,4484.909,4415.364,4345.303,4462.2427,3743.091,4455.5454,4235.0605,4267.0,4135.6367
38767.25196838379,4260.818,4281.9395,4156.758,4433.394,5071.1514,4482.8486,4410.7275,4346.3335,4462.7583,3740.0002,4451.94,4234.5454,4263.9097,4139.758
38773.300647735596,4261.8486,4273.1816,4165.0005,4431.8486,5066.0,4483.879,4411.758,4350.4546,4468.4243,3742.576,4458.6367,4234.0303,4262.879,4137.6973
38781.26931190491,4268.546,4269.5757,4166.5454,4432.879,5064.4546,4484.394,4416.394,4357.152,4478.7275,3748.2424,4463.273,4236.6064,4268.031,4138.727
38789.93225097656,4267.515,4270.6064,4156.2427,4434.94,5065.485,4481.8184,4417.9395,4363.3335,4482.8486,3748.2424,4452.455,4234.5454,4267.0,4139.758
38797.343254089355,4258.7573,4270.0913,4153.1514,4434.4243,5063.9395,4481.303,4418.4546,4357.152,4471.515,3743.6062,4446.273,4230.9395,4258.2427,4137.182
38804.34823036194,4253.6064,4269.0605,4157.273,4433.9097,5065.485,4483.879,4416.394,4347.879,4460.6978,3740.0002,4451.94,4231.9697,4253.6064,4138.727
38812.39938735962,4253.6064,4269.0605,4149.5454,4433.9097,5067.546,4483.364,4408.667,4352.515,4464.819,3741.5457,4450.3945,4233.0,4254.636,4139.2427
38820.91498374939,4255.152,4267.515,4139.2427,4432.364,5064.4546,4479.758,4405.0605,4355.0913,4468.94,3742.576,4447.303,4233.0,4252.0605,4135.6367
38828.3007144928,4254.636,4267.515,4134.606,4432.879,5062.394,4480.273,4408.152,4345.303,4463.788,3740.5154,4454.5156,4235.0605,4257.7275,4135.1216
38836.49277687073,4254.121,4270.0913,4127.394,4435.97,5062.909,4480.273,4403.515,4342.7275,4460.182,3736.9094,4459.1514,4235.5757,4267.0,4135.6367
38844.29860115051,4255.152,4270.6064,4116.5757,4433.394,5061.364,4479.2427,4397.3335,4346.8486,4462.2427,3733.3032,4451.94,4233.515,4259.788,4133.576
38852.84209251404,4252.0605,4269.5757,4103.1816,4430.8184,5060.8486,4480.273,4400.9395,4344.273,4458.6367,3731.7576,4449.8794,4234.0303,4254.636,4134.0913
38860.212326049805,4252.0605,4268.546,4099.5757,4432.879,5061.364,4479.758,4400.425,4341.1816,4449.8794,3732.273,4460.182,4235.5757,4264.9395,4138.727
38868.8325881958,4259.788,4268.546,4111.9395,4434.94,5062.394,4476.667,4397.3335,4342.2124,4446.273,3731.7576,4464.303,4236.091,4269.0605,4141.8184
38875.32067298889,4266.485,4270.0913,4125.3335,4438.5454,5064.4546,4478.7275,4407.6367,4344.273,4450.3945,3731.2427,4456.576,4234.5454,4261.8486,4140.7876
38883.26191902161,4263.9097,4270.6064,4125.3335,4440.606,5060.3335,4481.8184,4412.788,4343.758,4449.8794,3728.1519,4448.8486,4234.0303,4253.0913,4140.273
38891.292333602905,4261.8486,4268.031,4118.1216,4436.485,5054.667,4480.788,4403.0,4340.667,4445.758,3724.0308,4445.758,4233.0,4249.4854,4139.758
38899.20401573181,4266.485,4268.031,4124.8184,4437.5156,5057.758,4481.303,4400.9395,4341.6973,4454.0005,3727.6365,4451.94,4234.5454,4258.7573,4140.7876
38907.328844070435,4270.0913,4276.273,4146.9697,4447.303,5063.9395,4482.8486,4410.2124,4346.8486,4464.303,3739.485,4468.94,4242.788,4270.0913,4146.9697
38915.27795791626,4270.0913,4282.97,4159.3335,4452.455,5064.4546,4480.788,4411.2427,4350.9697,4463.273,3747.2122,4478.7275,4252.0605,4269.5757,4156.2427
38923.293352127075,4271.121,4284.0,4157.788,4451.4243,5059.8184,4479.2427,4406.091,4356.1216,4464.819,3749.273,4476.152,4252.5757,4269.5757,4158.303
38931.251525878906,4269.5757,4280.9097,4153.1514,4449.364,5052.0913,4481.303,4403.0,4357.152,4468.4243,3747.7273,4473.061,4242.788,4270.6064,4149.0303
38940.04201889038,4264.9395,4275.242,4145.94,4442.6665,5043.3335,4481.8184,4403.0,4354.0605,4464.819,3745.6667,4465.8486,4231.9697,4266.485,4142.848
38950.97756385803,4264.9395,4274.7275,4149.0303,4440.606,5041.273,4478.7275,4409.6973,4357.6665,4469.4546,3749.7883,4464.819,4239.182,4268.031,4151.091
38954.53119277954,4266.485,4280.394,4156.758,4444.727,5045.394,4485.4243,4415.879,4364.364,4482.8486,3756.4849,4476.152,4251.031,4273.1816,4154.182
38962.20088005066,4261.3335,4279.879,4147.485,4441.6367,5046.4243,4496.242,4414.3335,4365.394,4483.364,3755.97,4477.182,4244.3335,4269.5757,4143.879
