Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
26215.14081954956,4255.152,4227.8486,4157.273,4407.6367,4253.0913,4531.273,4374.1514,4297.394,4485.4243,3753.9094,4425.152,4231.9697,4251.546,4124.8184
26223.154544830322,4254.636,4221.1514,4156.758,4408.667,4250.515,4528.6973,4375.6973,4299.4546,4484.909,3753.9094,4426.6973,4232.485,4251.546,4124.303
26231.659650802612,4256.1816,4223.7275,4158.819,4409.6973,4248.9697,4531.788,4374.1514,4300.485,4485.4243,3753.9094,4426.182,4232.485,4254.636,4126.879
26238.139629364014,4256.1816,4227.3335,4157.788,4408.152,4250.515,4529.7275,4378.2725,4298.9395,4485.9395,3753.9094,4425.667,4233.0,4256.1816,4128.9395
26246.16503715515,4258.7573,4224.758,4154.182,4407.121,4251.546,4526.1216,4384.4546,4298.4243,4487.4854,3753.9094,4425.667,4235.0605,4256.697,4127.394
26254.127025604248,4259.788,4226.8184,4152.1216,4407.6367,4251.031,4527.667,4385.485,4299.9697,4488.0,3753.9094,4427.2124,4234.5454,4256.697,4125.8486
26262.0530128479,4258.7573,4228.879,4153.1514,4408.152,4251.546,4528.182,4385.485,4299.9697,4488.0,3753.9094,4427.7275,4233.515,4258.2427,4127.909
26270.095586776733,4258.2427,4225.788,4152.6367,4407.6367,4251.546,4526.6367,4382.909,4298.4243,4488.5156,3753.9094,4425.152,4233.0,4257.2124,4126.879
26278.240442276,4258.2427,4225.273,4152.1216,4408.152,4251.031,4527.667,4376.727,4298.4243,4488.5156,3753.9094,4425.152,4234.0303,4255.667,4124.8184
26286.23080253601,4255.152,4222.6973,4152.6367,4407.6367,4249.4854,4528.182,4376.212,4298.9395,4489.031,3753.9094,4427.7275,4234.0303,4256.697,4126.364
26294.219255447388,4254.636,4219.606,4152.6367,4407.121,4250.0,4527.152,4378.2725,4298.4243,4485.9395,3753.9094,4428.758,4236.091,4257.7275,4129.4546
26302.21128463745,4255.667,4219.606,4151.606,4409.182,4253.0913,4527.667,4376.212,4298.4243,4482.8486,3753.9094,4425.152,4236.6064,4257.2124,4126.364
26309.226751327515,4255.667,4221.6665,4151.606,4410.2124,4252.0605,4529.2124,4376.212,4298.4243,4483.879,3753.9094,4424.6367,4237.1216,4255.667,4124.8184
26317.225694656372,4254.121,4221.6665,4154.182,4408.152,4250.0,4529.7275,4378.2725,4297.394,4487.4854,3753.9094,4428.758,4236.091,4255.667,4126.364
26325.22678375244,4256.1816,4221.1514,4156.758,4407.6367,4250.0,4529.7275,4377.758,4297.394,4486.97,3753.9094,4429.273,4233.0,4258.2427,4124.8184
26333.21499824524,4256.697,4220.6367,4155.212,4405.5757,4250.515,4530.2427,4377.2427,4298.4243,4484.909,3753.9094,4425.667,4234.0303,4257.7275,4122.758
26341.878414154053,4255.667,4222.6973,4154.182,4405.0605,4249.4854,4529.7275,4377.758,4298.9395,4485.4243,3753.9094,4425.152,4236.091,4254.636,4125.3335
26349.267959594727,4255.667,4225.273,4154.182,4407.121,4250.0,4528.6973,4377.758,4298.9395,4485.9395,3753.9094,4427.2124,4233.515,4256.697,4127.394
26357.17725753784,4256.1816,4225.788,4156.2427,4406.6064,4251.031,4528.6973,4377.758,4299.9697,4486.97,3753.9094,4425.667,4233.515,4258.7573,4127.394
26365.254640579224,4257.2124,4224.2427,4156.2427,4407.121,4252.0605,4527.152,4377.758,4299.9697,4486.97,3753.9094,4424.6367,4237.636,4255.667,4127.394
26372.59030342102,4257.7275,4221.1514,4154.6973,4409.182,4252.5757,4527.667,4377.758,4299.9697,4486.97,3753.9094,4427.2124,4235.0605,4255.152,4125.8486
26382.018327713013,4256.1816,4220.6367,4153.6665,4408.152,4251.031,4529.2124,4377.758,4299.4546,4486.97,3753.9094,4428.758,4234.0303,4257.7275,4127.394
26388.22865486145,4254.121,4222.1816,4155.212,4406.6064,4249.4854,4528.182,4377.758,4299.4546,4486.97,3753.9094,4428.758,4235.5757,4256.1816,4127.909
26396.215677261353,4256.697,4222.1816,4156.758,4408.667,4250.0,4528.182,4377.758,4298.4243,4486.97,3753.9094,4427.7275,4236.091,4255.667,4125.8486
26404.26230430603,4257.2124,4222.6973,4155.212,4409.182,4250.515,4528.182,4377.758,4296.364,4486.97,3753.9094,4426.6973,4236.091,4257.2124,4123.788
26413.331747055054,4256.1816,4223.7275,4152.1216,4407.121,4250.0,4527.667,4377.758,4296.364,4486.97,3754.4243,4428.2427,4236.6064,4256.1816,4126.879
26420.219659805298,4255.667,4220.6367,4152.1216,4404.546,4250.515,4528.182,4377.758,4296.879,4486.97,3754.4243,4429.788,4235.0605,4254.636,4127.909
26428.32064628601,4257.2124,4218.0605,4156.758,4405.5757,4251.546,4526.6367,4377.758,4296.364,4487.4854,3752.8792,4432.364,4237.1216,4256.697,4126.879
26435.139417648315,4256.697,4221.1514,4158.819,4409.6973,4250.515,4527.152,4377.2427,4296.879,4486.4546,3751.3335,4432.364,4238.152,4257.7275,4125.8486
26443.196773529053,4257.2124,4224.758,4155.212,4410.7275,4249.4854,4528.6973,4377.2427,4296.879,4485.9395,3751.8489,4430.8184,4237.1216,4257.2124,4127.394
26451.618194580078,4256.1816,4222.6973,4152.1216,4406.091,4250.515,4528.6973,4378.2725,4295.8486,4488.0,3751.8489,4428.2427,4233.0,4257.2124,4125.3335
26459.36346054077,4255.152,4217.5454,4155.727,4406.6064,4251.546,4527.152,4377.758,4297.394,4484.909,3751.8489,4427.2124,4230.9395,4257.2124,4123.788
26467.145204544067,4256.1816,4221.6665,4158.819,4409.182,4252.0605,4528.182,4376.727,4298.4243,4482.3335,3751.8489,4427.2124,4234.0303,4256.1816,4124.303
26475.185871124268,4259.273,4229.394,4157.788,4408.152,4252.5757,4531.788,4381.364,4297.394,4484.909,3751.8489,4427.2124,4237.1216,4257.2124,4126.879
26483.17861557007,4259.273,4229.909,4157.273,4407.121,4252.0605,4533.8486,4387.0303,4296.364,4485.9395,3751.8489,4427.2124,4235.5757,4257.2124,4125.3335
