Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
114630.90682029724,4267.0,4195.909,4146.9697,4392.697,4209.3027,4488.0,4348.909,4232.485,4439.576,3753.394,4474.0913,4273.1816,4298.9395,4167.061
114638.9353275299,4279.879,4189.2124,4133.576,4381.8794,4226.303,4471.0005,4343.2427,4226.303,4438.5454,3755.97,4498.8184,4298.4243,4307.6973,4174.788
114647.73559570312,4290.182,4182.515,4134.606,4370.5454,4214.455,4472.5454,4333.4546,4220.121,4447.303,3755.4546,4518.3945,4319.546,4319.0303,4185.6064
114654.82711791992,4297.909,4178.394,4142.3335,4367.4546,4199.0,4477.182,4319.546,4236.091,4458.1216,3760.091,4535.394,4338.6064,4333.4546,4204.152
114662.77503967285,4307.182,4173.758,4149.5454,4364.364,4197.97,4467.909,4311.303,4256.697,4463.788,3768.8486,4556.515,4358.6973,4347.879,4217.5454
114670.94373703003,4318.515,4170.667,4157.788,4356.1216,4184.0605,4463.273,4316.4546,4261.8486,4469.9697,3769.879,4584.3335,4386.0005,4363.848,4230.4243
114678.86352539062,4319.0303,4169.636,4172.2124,4355.0913,4165.515,4464.303,4314.909,4262.879,4480.273,3767.3032,4615.2427,4420.0,4381.8794,4244.3335
114686.92350387573,4314.909,4170.667,4191.273,4364.879,4153.6665,4463.273,4306.1514,4276.788,4488.5156,3770.394,4648.7275,4454.0005,4398.879,4257.2124
114693.87698173523,4313.364,4172.2124,4201.0605,4374.1514,4141.8184,4462.7583,4298.9395,4293.788,4494.1816,3771.9395,4694.061,4490.576,4414.3335,4262.364
114701.86877250671,4315.94,4166.5454,4211.879,4380.848,4126.364,4458.6367,4296.879,4300.485,4501.3945,3770.9092,4745.0605,4523.5454,4428.2427,4267.515
114710.83950996399,4314.909,4157.273,4244.8486,4391.1514,4109.879,4451.4243,4299.4546,4298.9395,4509.121,3770.9092,4780.0913,4548.273,4436.485,4267.515
114717.9708480835,4302.0303,4154.6973,4279.879,4408.152,4101.636,4442.6665,4297.909,4294.8184,4520.455,3771.9395,4811.515,4580.2124,4439.576,4252.5757
114725.98576545715,4281.4243,4159.3335,4299.4546,4428.2427,4095.9697,4439.576,4288.121,4289.152,4524.0605,3771.4243,4855.8184,4613.6973,4440.606,4238.152
114733.90483856201,4258.2427,4156.2427,4320.061,4443.182,4093.9092,4441.1216,4276.273,4288.121,4516.334,3768.3335,4892.394,4632.243,4437.0005,4235.5757
114741.77503585815,4236.6064,4153.1514,4343.2427,4460.182,4101.636,4437.0005,4272.152,4291.7275,4510.152,3762.667,4914.0303,4639.9697,4425.667,4226.8184
114749.79710578918,4209.8184,4153.1514,4349.4243,4477.182,4110.394,4421.031,4269.0605,4285.5454,4502.9395,3755.4546,4935.152,4640.4854,4411.758,4204.152
114757.88187980652,4182.515,4149.5454,4349.4243,4484.394,4109.879,4409.182,4266.485,4277.303,4493.152,3751.8489,4933.606,4621.425,4388.061,4179.4243
114764.91498947144,4155.212,4143.879,4353.0303,4490.576,4102.1514,4414.8486,4267.0,4282.97,4488.5156,3753.9094,4908.364,4591.031,4354.0605,4154.6973
114772.96233177185,4149.5454,4159.3335,4364.364,4519.9395,4109.364,4439.576,4283.485,4298.4243,4492.121,3754.9397,4876.9395,4557.031,4321.6064,4134.606
114781.78477287292,4161.394,4191.788,4387.0303,4556.515,4137.6973,4478.7275,4320.5757,4306.1514,4496.758,3752.8792,4841.909,4512.727,4296.364,4114.0
114801.31912231445,4174.788,4214.9697,4402.4854,4578.152,4167.5757,4514.2734,4356.6367,4310.788,4495.7275,3751.3335,4790.9097,4463.788,4268.546,4096.4854
114801.42879486084,4171.6973,4220.6367,4396.3037,4588.4546,4185.6064,4529.7275,4367.9697,4318.0005,4493.152,3754.4243,4737.849,4418.4546,4241.7573,4084.6365
114805.20701408386,4172.2124,4222.6973,4376.212,4588.97,4194.879,4536.9395,4373.1216,4327.788,4496.242,3755.97,4681.6973,4371.061,4227.3335,4078.9697
114812.82091140747,4173.758,4221.6665,4354.5757,4578.152,4206.2124,4546.2124,4388.061,4337.0605,4495.7275,3744.6365,4627.091,4325.7275,4217.0303,4068.667
114820.93000411987,4175.303,4220.6367,4329.3335,4565.273,4222.6973,4552.394,4398.3643,4342.2124,4491.6064,3731.7576,4579.182,4289.667,4200.5454,4063.515
114830.05809783936,4179.9395,4228.879,4301.515,4551.879,4239.182,4559.6064,4403.515,4337.5757,4503.97,3740.0002,4525.091,4252.5757,4183.0303,4055.2727
114836.0641002655,4191.788,4236.6064,4273.1816,4529.7275,4245.879,4567.849,4415.879,4328.303,4523.5454,3753.394,4471.0005,4217.5454,4175.303,4048.0605
114843.9748287201,4202.0913,4235.5757,4243.303,4502.9395,4252.0605,4579.182,4427.7275,4327.2725,4529.7275,3750.8186,4421.546,4189.2124,4172.2124,4049.091
114852.35142707825,4207.242,4233.0,4216.5156,4479.758,4261.8486,4583.8184,4432.364,4336.0303,4530.2427,3748.2424,4375.182,4166.5454,4171.6973,4051.6672
114859.82775688171,4214.455,4234.5454,4191.788,4454.5156,4269.5757,4581.2427,4439.061,4343.2427,4529.7275,3754.9397,4332.9395,4144.909,4173.758,4055.2727
114867.84410476685,4225.273,4237.636,4165.0005,4424.6367,4270.6064,4581.2427,4443.182,4348.394,4526.6367,3757.0002,4301.0,4123.273,4174.788,4059.3938
114875.76103210449,4233.515,4236.6064,4131.0005,4392.697,4271.121,4584.3335,4438.5454,4353.5454,4527.667,3754.9397,4273.697,4103.1816,4176.3335,4062.4849
114883.82911682129,4239.697,4229.394,4096.4854,4365.9087,4280.9097,4583.8184,4435.455,4355.0913,4530.2427,3755.4546,4250.515,4085.1514,4175.303,4064.0305
114891.75605773926,4249.4854,4225.788,4072.2727,4346.8486,4281.4243,4587.9395,4434.4243,4355.0913,4529.2124,3755.97,4233.0,4073.3032,4173.758,4068.667
114898.83518218994,4256.697,4233.0,4058.879,4332.425,4270.0913,4599.273,4434.4243,4355.0913,4529.2124,3756.4849,4203.121,4057.8489,4174.788,4069.1821
