Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
29846.691846847534,4261.8486,4223.7275,4151.606,4405.5757,4253.0913,4531.273,4385.485,4302.0303,4490.576,3753.9094,4427.7275,4223.7275,4254.636,4131.5156
29853.607892990112,4261.3335,4223.7275,4152.1216,4407.121,4253.0913,4534.364,4384.4546,4301.515,4487.4854,3753.9094,4429.273,4225.788,4253.0913,4129.9697
29861.543893814087,4262.879,4226.303,4154.6973,4409.182,4251.546,4531.788,4384.4546,4300.485,4482.8486,3753.9094,4425.152,4227.3335,4253.6064,4132.5454
29870.479345321655,4267.0,4231.4546,4154.6973,4407.6367,4251.031,4527.667,4382.394,4298.9395,4484.909,3753.9094,4424.6367,4229.909,4258.2427,4134.606
29877.572059631348,4266.485,4229.394,4153.6665,4407.6367,4252.0605,4526.6367,4380.333,4299.9697,4491.0913,3753.9094,4431.3335,4231.9697,4262.364,4135.1216
29885.52188873291,4262.879,4224.758,4155.212,4409.182,4251.546,4527.152,4378.7876,4301.0,4489.031,3753.9094,4434.94,4230.9395,4260.303,4135.6367
29893.63670349121,4263.394,4227.3335,4156.2427,4407.121,4251.031,4528.182,4378.2725,4297.909,4484.909,3753.9094,4432.879,4234.5454,4258.2427,4135.1216
29901.570320129395,4264.4243,4227.3335,4156.758,4407.121,4252.0605,4528.6973,4380.848,4295.8486,4483.364,3753.9094,4432.364,4238.667,4258.2427,4133.061
29909.647226333618,4263.394,4222.1816,4157.788,4411.2427,4252.5757,4529.2124,4378.7876,4297.909,4486.4546,3753.9094,4433.394,4234.5454,4257.7275,4132.5454
29916.733741760254,4262.364,4221.1514,4158.303,4410.2124,4250.0,4527.667,4372.606,4299.9697,4489.031,3753.9094,4432.364,4229.394,4259.273,4133.576
29924.667358398438,4261.3335,4221.6665,4158.819,4408.152,4250.0,4527.667,4373.6367,4299.9697,4489.546,3753.9094,4433.9097,4234.0303,4259.788,4133.576
29932.655572891235,4261.3335,4222.6973,4156.2427,4409.182,4252.5757,4530.2427,4380.848,4299.4546,4488.5156,3753.9094,4432.879,4236.091,4259.788,4133.061
29940.651655197144,4262.879,4223.2124,4153.6665,4408.667,4252.0605,4531.273,4380.333,4301.0,4486.4546,3753.9094,4431.8486,4231.9697,4259.273,4132.5454
29948.659658432007,4261.8486,4220.6367,4154.6973,4407.6367,4251.031,4531.273,4378.7876,4303.061,4488.5156,3753.9094,4432.364,4232.485,4257.2124,4132.031
29956.641674041748,4260.303,4221.1514,4156.2427,4408.152,4251.031,4530.2427,4383.4243,4301.0,4493.152,3753.9094,4433.394,4232.485,4256.1816,4132.5454
29964.696168899536,4260.818,4228.364,4154.182,4408.667,4252.5757,4531.788,4385.485,4300.485,4490.576,3753.9094,4433.9097,4229.909,4259.788,4133.576
29972.63526916504,4260.303,4227.3335,4154.182,4407.121,4252.5757,4531.788,4381.364,4302.546,4483.879,3753.9094,4432.364,4228.364,4259.788,4133.061
29980.93843460083,4260.303,4217.5454,4155.212,4407.121,4252.0605,4530.758,4379.8184,4301.0,4485.4243,3753.9094,4429.788,4229.909,4257.2124,4133.576
29987.711668014526,4261.3335,4221.6665,4153.6665,4408.667,4251.546,4529.2124,4379.8184,4299.4546,4488.5156,3753.9094,4429.788,4231.4546,4257.7275,4132.5454
29995.67413330078,4261.3335,4228.364,4154.6973,4409.6973,4253.0913,4530.2427,4379.8184,4302.0303,4488.0,3753.9094,4431.8486,4230.4243,4257.7275,4131.0005
