Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
4512649.3990421295,4264.9395,4217.0303,4142.848,4413.8184,4281.4243,4542.0913,4396.8184,4299.9697,4477.182,3749.273,4435.97,4224.758,4257.7275,4120.182
4512657.26184845,4267.0,4220.121,4141.303,4416.909,4282.4546,4543.1216,4391.1514,4297.909,4478.7275,3747.7273,4430.303,4219.606,4247.9395,4112.9697
4512665.268421173,4266.485,4222.1816,4151.606,4419.485,4284.515,4546.2124,4389.606,4296.364,4478.7275,3753.394,4439.576,4230.4243,4254.121,4115.0303
4512673.197507858,4269.0605,4223.2124,4156.2427,4421.031,4285.031,4545.697,4393.212,4299.4546,4482.3335,3758.5454,4449.364,4240.7275,4267.0,4125.3335
4512681.245803833,4272.152,4227.8486,4155.212,4423.6064,4284.0,4544.152,4398.879,4303.576,4493.152,3762.1519,4450.3945,4245.364,4268.546,4129.9697
4512689.301490784,4270.0913,4226.303,4157.273,4424.6367,4284.515,4549.303,4401.9697,4304.6064,4497.788,3766.273,4448.8486,4242.788,4265.4546,4128.9395
4512697.272062302,4269.5757,4222.1816,4157.273,4423.6064,4287.606,4556.0,4399.394,4300.485,4488.5156,3759.5757,4447.819,4237.636,4266.485,4126.364
4512704.705953598,4269.5757,4221.6665,4154.6973,4420.0,4285.5454,4558.0605,4397.8486,4299.4546,4480.273,3752.3638,4446.273,4239.182,4265.4546,4123.788
4512712.21113205,4267.0,4225.788,4154.6973,4418.9697,4282.97,4556.515,4405.0605,4309.758,4487.4854,3760.091,4446.273,4247.4243,4263.9097,4128.9395
4512720.524787903,4273.1816,4235.0605,4156.758,4425.667,4288.636,4552.394,4409.182,4315.94,4499.849,3770.9092,4455.5454,4259.273,4274.2124,4140.7876
4512728.167772293,4280.394,4236.091,4158.303,4429.788,4296.364,4550.3335,4399.909,4314.909,4499.849,3775.0305,4464.819,4267.0,4285.5454,4145.4243
4512736.229419708,4273.1816,4225.788,4157.788,4425.667,4294.303,4551.879,4390.636,4313.879,4495.2124,3770.394,4461.7275,4260.818,4279.879,4139.758
4512753.60751152,4263.9097,4220.6367,4155.727,4420.515,4289.152,4549.818,4393.212,4309.758,4495.2124,3765.7578,4454.5156,4251.031,4269.5757,4137.6973
4512754.209518433,4270.6064,4225.273,4154.6973,4422.061,4291.2124,4545.697,4394.758,4306.667,4495.7275,3768.3335,4455.5454,4258.7573,4275.758,4140.7876
4512760.232210159,4277.303,4229.394,4156.2427,4424.6367,4289.667,4545.697,4393.727,4308.7275,4493.667,3767.3032,4458.1216,4265.4546,4280.9097,4140.273
4512768.1930065155,4272.667,4225.273,4158.819,4421.546,4284.515,4546.7275,4394.758,4312.333,4494.1816,3765.7578,4460.182,4262.879,4275.242,4140.273
4512776.2405872345,4269.5757,4221.1514,4154.6973,4416.909,4285.031,4544.152,4391.1514,4308.7275,4495.2124,3769.879,4463.788,4263.9097,4273.697,4140.7876
4512783.272266388,4270.6064,4220.6367,4150.061,4417.4243,4285.031,4544.152,4385.485,4301.515,4490.576,3768.8486,4456.061,4261.8486,4273.1816,4135.6367
4512791.252851486,4268.546,4221.1514,4149.0303,4417.4243,4282.4546,4544.152,4386.515,4298.9395,4481.8184,3758.5454,4446.7876,4253.0913,4267.0,4125.8486
4512799.193620682,4265.4546,4219.606,4145.94,4414.3335,4280.394,4542.0913,4386.0005,4297.909,4477.6973,3755.4546,4447.303,4250.515,4263.9097,4122.2427
4512807.277917862,4265.4546,4217.5454,4140.7876,4410.7275,4279.364,4541.061,4379.8184,4294.8184,4478.2124,3758.5454,4449.364,4252.0605,4261.8486,4123.273
4512815.262556076,4265.4546,4217.5454,4144.3945,4409.182,4280.9097,4540.546,4376.727,4294.303,4477.182,3755.97,4447.303,4251.546,4256.1816,4123.273
4512823.271036148,4263.9097,4216.5156,4144.909,4407.6367,4281.4243,4541.5757,4377.2427,4291.7275,4477.182,3753.394,4446.273,4250.0,4256.697,4121.7275
4512831.231832504,4265.4546,4216.0,4139.758,4405.5757,4275.242,4540.546,4376.727,4287.606,4478.2124,3754.4243,4447.819,4249.4854,4261.3335,4121.2124
4512839.25485611,4267.515,4216.5156,4145.4243,4408.152,4275.758,4540.031,4380.333,4295.3335,4479.2427,3756.4849,4449.364,4256.697,4263.394,4124.8184
4512847.330093384,4267.515,4218.576,4150.576,4414.8486,4282.4546,4542.0913,4387.5454,4301.515,4479.2427,3758.0305,4450.3945,4263.394,4263.9097,4126.364
4512854.442596436,4267.515,4218.576,4147.485,4416.909,4281.9395,4541.5757,4388.061,4295.3335,4478.2124,3755.97,4449.364,4256.697,4258.2427,4121.2124
4512862.176418304,4267.515,4217.5454,4146.9697,4414.8486,4280.394,4540.031,4387.0303,4294.8184,4477.6973,3751.8489,4445.2427,4251.546,4252.5757,4115.546
4512870.636224747,4266.485,4218.0605,4145.94,4411.758,4281.9395,4541.061,4386.0005,4298.4243,4477.6973,3748.758,4442.6665,4255.667,4254.121,4117.091
4512878.197193146,4265.4546,4217.0303,4141.8184,4407.6367,4280.394,4538.485,4378.2725,4294.8184,4477.6973,3748.758,4439.061,4254.121,4255.152,4117.091
4512886.26742363,4264.4243,4215.485,4141.8184,4408.667,4279.879,4535.394,4376.212,4292.2427,4478.2124,3749.273,4434.94,4252.5757,4250.515,4114.0
4512894.305467606,4264.9395,4217.5454,4145.94,4411.758,4282.97,4540.031,4384.4546,4291.2124,4475.1216,3747.2122,4434.94,4255.152,4249.4854,4114.515
4512902.269363403,4266.485,4219.091,4145.4243,4410.2124,4283.485,4541.061,4381.8794,4285.031,4467.394,3744.1213,4434.94,4253.0913,4250.0,4111.9395
4512910.304307938,4265.97,4216.5156,4141.8184,4407.6367,4281.4243,4530.2427,4371.061,4282.97,4463.788,3742.0608,4431.8486,4253.6064,4247.4243,4107.303
4512918.2205200195,4265.97,4215.485,4143.364,4407.6367,4281.4243,4526.1216,4372.091,4285.031,4464.819,3742.0608,4430.8184,4259.788,4249.4854,4109.364
4512925.298213959,4266.485,4218.576,4147.485,4412.273,4284.0,4532.303,4378.2725,4282.4546,4469.4546,3745.1516,4434.4243,4264.4243,4253.6064,4114.0
4512933.271408081,4268.546,4220.121,4148.5156,4414.3335,4284.0,4530.758,4378.7876,4281.4243,4475.6367,3744.6365,4432.364,4263.9097,4252.0605,4115.0303
